Dates,Opening/Closure,Notes,Link
3/9/2020,School Closure,All Schools Close,https://twitter.com/FultonCoSchools/status/1237092350150815745
4/1/2020,Stay at Home Order,"Stay at Home Order Enacted, Restaurants Closed",https://www.cbs46.com/news/fulton-county-residents-placed-under-stay-at-home-order/article_bcfa7244-7436-11ea-bdaa-c30dfff616e8.html
3/30/2020,Stay at Home Order Lifted,Stay at Home Order Lifted,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
7/8/2020,Mask Mandate,Mask Mandate Enacted,https://www.cityofsouthfultonga.gov/DocumentCenter/View/3640/NEWS-RELEASE---COSF-Mask-Emergency-Ordinance
8/17/2020,School Opening,Schools Allowed to Reopen,https://www.msn.com/en-us/news/us/fulton-co-schools-announce-reopen-date-students-to-choose-in-person-or-online-learning/ar-BB165LSt
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
2/9/2021,Mask Mandate Lifted,Mask Mandate Lifted,https://www.komu.com/news/midmissourinews/fultons-mask-mandate-expires-sunday-night/article_c58b0950-7467-11eb-a7bc-6f7ef65503ab.html
