Date,Category,Notes,Link
3/16/2020,Buisness Closed | School Closure, all bars closed and restaurants limited to takeout and delivery. Schools close too ,https://www.houstonchronicle.com/projects/2020/texas-coronavirus-timeline/
3/24/2020,Stay at Home Order,For Harris County ,https://www.houstonchronicle.com/projects/2020/texas-coronavirus-timeline/
3/31/2020,Public Facility Opened,Gov. Abbott issues an order that reopens churches with limitations. ,https://www.houstonchronicle.com/projects/2020/texas-coronavirus-timeline/
4/21/2020,Mask Mandate,County mask mandate,https://www.houstonchronicle.com/projects/2020/texas-coronavirus-timeline/
6/26/2020,Regional Stay at Home Order,new stay-at-home advisory nearly identical to the order put in place in late March in an effort to bring the rising COVID-19 case curve down.,https://www.houstonchronicle.com/projects/2020/texas-coronavirus-timeline/
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
10/19/2020,School Opening,HISD Schools return in person with guidelines,https://www.houstonisd.org/site/handlers/filedownload.ashx?moduleinstanceid=294076&dataid=308565&FileName=100920_covid.pdf
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
3/10/2021,Mask Mandate Lifted,Statewide mask mandate lifted ,https://www.khou.com/article/news/health/coronavirus/where-are-masks-still-required/285-750ea1bd-94a4-46fb-823e-a85eb5273ab0
