Dates,Opening/Closure,Notes,Link
3/16/2020,School Closure | Buisness Closed,"Catholic Church Suspends Masses and Bars, Gyms, and Schools Close",https://www.nbclosangeles.com/news/coronavirus/california-coronavirus-pandemic-timeline-key-events/2334100/
3/19/2020,Stay at Home Order,Statewide Stay At Home Order Issued,https://www.nbclosangeles.com/news/coronavirus/2020-2021-california-coronavirus-pandemic-timeline-key-events/2334100/
4/10/2020,Mask Mandate,,https://losangeles.cbslocal.com/2020/04/10/coronavirus-face-mask-mandatory-los-angeles/
5/29/2020,Buisness Open,Resturants and Barberships Open Under Limited Capacity,https://www.nbclosangeles.com/news/coronavirus/2020-2021-california-coronavirus-pandemic-timeline-key-events/2334100/
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/28/2020,Purple Tier,,https://laist.com/news/latest-coronavirus-updates-newsom-california-august-28-2020
8/28/2020,Stay at Home Order Lifted,Stay at Home Order ends - turns to Tier levels ,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
11/23/2020,Buisness Closed,All Diners Were Heavily Restricted and Forced to Observe Curfews,https://abc7.com/los-angeles-coronavirus-update-la-county-covid-restaurants-bars/8181136/
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/3/2020,Regional Stay at Home Order,Targeted Stay At Home Order Enacted,https://www.nbclosangeles.com/news/coronavirus/2020-2021-california-coronavirus-pandemic-timeline-key-events/2334100/
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/25/2021,Regional Stay at Home Order Lifted,Stay at Home Orders Lifted and Outdoor Dining Resumes,https://www.nbclosangeles.com/news/coronavirus/2020-2021-california-coronavirus-pandemic-timeline-key-events/2334100/
3/12/2021,Red Tier,,https://losangeles.cbslocal.com/2021/03/24/la-county-covid-orange-tier-april/
4/5/2021,Orange Tier,,http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=3047
4/12/2021,School Opening,First of LA Schools begin to open,https://www.nbclosangeles.com/news/local/lausd-reopening-classrooms-coronavirus-pandemic-schools/2556014/
5/5/2021,Yellow Tier,,https://www.dailynews.com/2021/05/04/la-county-qualifies-for-yellow-tier-loosened-covid-19-restrictions-to-come-thursday/
6/15/2021,Mask “Mandate Lifted”,Statewide,https://covid19.ca.gov/safely-reopening/
