Dates,Category,Notes,Link
3/16/2020,School Closure,AZ Schools Closed,https://cdn.jamanetwork.com/ama/content_public/journal/jama/938543/joi200088supp1_prod_1598047378.87417.pdf?Expires=1626717312&Signature=aPZX4OSpCGEPJ-bqx71tkfMxRXRI37pg3vwka0GYVrL-5wjvVJkamoQB6eprmMR6SqHu2RwhEIDn-fuYv1yolvtgNiDUPiSKnAmx~-I-~E6RBJzMddX9u0q8qOfrcjyg0CSDlXX4ITRZyMWs28te1ApIMfv0g8fRDdu6rkCUwIfX07IYT4KRnpGgQJcA~FVC6Q0NTs2tMiEPhZKmRAwAMcZ1Xp4b9DSrkQcNWNwLs7ho28SLkyuOgJsfg7QUfwhfUZVL2Jav4uhoVHJyWMTgjkhX26gQLYLTP7DYbT5odepQZ~0UtYSRMlssZdP~aw3EqngAkhrykgbjF1Pr6A34Lw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
3/31/2020,Stay at Home Order,Maricopa County ,https://www.maricopa.gov/CivicAlerts.aspx?AID=2180
5/15/2020,Stay at Home Order Lifted,Statewide ,https://azgovernor.gov/governor/news/2020/12/governor-ducey-announces-latest-actions-fight-covid-19-increase-hospital
6/19/2020,Mask Mandate,Maricopa County ,https://www.maricopa.gov/DocumentCenter/View/61311/Regulations-on-Face-Coverings
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/17/2020,School Opening,Some schools are allowed to open in person (or hybrid) if they meet certain criteria. ,https://www.maricopa.gov/CivicAlerts.aspx?AID=1633
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/18/2020,Christmas Start,Holiday Travel Approximation ,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation ,
1/4/2021,New Years End,3 days before/after holiday for approximation,
3/15/2021,School Opening,Certain Schools forced open by Governor for in person learning. ,https://azgovernor.gov/governor/news/2021/03/governor-ducey-issues-executive-order-requiring-schools-offer-person-learning
3/25/2021,Mask Mandate Lifted,Mask Mandate no longer required for Maricopa County ,https://www.maricopa.gov/CivicAlerts.aspx?AID=2180
