Date,Category,Notes,Link
3/13/2020,School Closed,Monterey Closes schools,https://www.thecalifornian.com/story/news/2020/03/13/monterey-county-public-schools-closed-coronavirus-outbreak/5046277002/
3/18/2020,Stay at Home Order,Everything you need to know about the shelter-in-place order,https://www.montereycountyweekly.com/blogs/news_blog/everything-you-need-to-know-about-the-shelter-in-place-order-in-monterey-county/article_b8158e94-68b5-11ea-b9c3-4707c962109a.html
5/30/2020, Business Opened,Monterey and Santa Cruz Counties approved to reopen dine,https://www.ksbw.com/article/monterey-county-approved-to-reopen-dine-in-restaurants-move-to-stage-25/32719560
6/18/2020,Mask Mandate,New coronavirus mandate: Californians required to wear,https://www.montereyherald.com/2020/06/18/californians-required-to-wear-masks-in-most-public-settings-newsom-says
6/20/2020,Gatherings Allowed,Squad goals: The Monterey County Health Officer allows,https://www.montereycountyweekly.com/blogs/news_blog/squad-goals-the-monterey-county-health-officer-allows-social-circles-expanded-personal-services-are-allowed/article_d91ee958-b33a-11ea-af36-ebbcd7548789.html
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/6/2020,Business Closed,"Coronavirus: State orders Monterey County bars, indoor",https://www.montereyherald.com/2020/07/06/coronavirus-state-orders-monterey-county-bars-indoor-dining-to-close-back-down
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
7/29/2020,School Opened,Reopening California: These 21 counties can reopen schools,https://abc7news.com/california-covid-reopening-schools-ca-where-can-reopen-counties-not-on-watch-list/6329163/
8/28/2020,Stay at Home Order Lifted,Statewide- moves to Tier System ,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/
8/28/2020,Purple Tier,Changes made to reopening criteria and the effect on,https://www.co.monterey.ca.us/Home/Components/News/News/7609/1336
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
10/14/2020,School Opened,Ten Monterey County schools get waivers to reopen - KSBW,https://www.ksbw.com/article/ten-monterey-county-schools-get-waivers-to-reopen/34375946
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/13/2020,Regional Stay at Home Order,"Health Officer Shelter in Place Order | Monterey County, CA",https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/health-officer-shelter-in-place-order
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/25/2021,Regional Stay at Home Order Lifted,State health department lifts stay-at-home order - KION546,https://kion546.com/news/top-stories/2021/01/24/state-health-department-lifts-stay-at-home-order/
1/25/2021,Business Opened,"Stay at home order lifted, allowing outdoor dining, services",https://www.montereyherald.com/2021/01/25/stay-at-home-order-lifted-allowing-outdoor-dining-services
2/16/2021,School Opened,Schools Will Consider Reopening Dates as Monterey County,https://www.montereybayparent.com/schools-will-consider-reopening-dates-as-monterey-county-cor/
4/6/2020,Orange Tier,,https://www.co.monterey.ca.us/Home/Components/News/News/8134/1336
6/1/2020,Yellow Tier,,https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19
6/15/2021,Mask Mandate Lifted,Safely reopening California - Coronavirus COVID-19 Response,https://covid19.ca.gov/safely-reopening/
