Dates,Opening/Closure,Notes,Link
3/19/2020,Stay at Home Order,Statewide Stay at Home Order Issued,https://www.ocregister.com/2021/03/19/one-year-of-coronavirus-a-month-by-month-timeline/
5/23/2020,Buisness Open,"Resturants, Shopping Malls, and Beaches Open",
6/18/2020,Mask Mandate,Californians Required to Wear Masks,
7/13/2020,Business Closed,"Bars, Indoor Dining, Gyms, and Churches Shut Down",
8/28/2020,Stay at Home Order Lifted,Statewide,
8/28/2020,Purple Tier,,https://www.ocbj.com/news/2020/sep/08/orange-county-enters-next-covid-19-tier/
8/31/2020,Buisness Open,"Malls, Salons, and Barber Shops Reopen",
9/8/2020,Red Tier,,https://www.ocbj.com/news/2020/sep/08/orange-county-enters-next-covid-19-tier/
11/16/2020,Purple Tier,,https://www.ocbj.com/news/2020/nov/16/oc-moves-back-purple-tier/
12/4/2020,Stay at Home Order,New Stay at Home Order Enacted,
1/25/2021,Stay at Home Order Lifted,Stay at Home Orders and Curfew Lifted,
2/6/2021,Facilities Open,Indoor Worship Resumes,
2/12/2021,School Opening,Schools are Approved to Reopen,
3/13/21,Red Tier,,https://www.nbclosangeles.com/news/coronavirus/southern-california-coronavirus/orange-county-moves-to-red-tier-loosens-restrictions-at-stroke-of-midnight/2549411/
3/31/2021,Orange Tier,,https://www.nbclosangeles.com/news/coronavirus/southern-california-coronavirus/orange-county-covid-restrictions-eased-orange-tier-restaurant/2563375/
5/19/2021,Yellow Tier,,https://abc7.com/orange-county-tier-yellow-red/10656254/
