Dates,Category ,Notes,Link
3/13/2020,School Closure,For county,
3/19/2020,Stay at Home Order,Statewide,
4/4/2020,Mask Mandate | Gatherings Disallowed,County wide ,https://rivcoph.org/Portals/0/Documents/CoronaVirus/April/4.4.20_HO_order_face_coverings.pdf?ver=2020-04-04-172943-200&timestamp=1586046633879
8/28/2020,Purple Tier,,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/August/News/8.28.20%20new%20state%20color%20coded%20tiers.pdf?ver=2020-08-28-164234-127&timestamp=1598658190283
8/28/2020,Stay at Home Order Lifted,Statewide ,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
9/23/2020,Red Tier,,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/September/News/9.23.20_Red_tier.pdf?ver=2020-09-23-185626-110&timestamp=1600912599475
10/20/2020,Purple Tier,,https://www.kpbs.org/news/2020/oct/20/state-returns-riverside-county-purple-tier-supervi/
12/6/2020,Stay at Home Order,"The state's regional order, which covers Riverside County and 10 other Southern California counties",
3/16/2021,Red Tier,,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/March2021/News/31621redtier.pdf?ver=2021-03-16-133937-710&timestamp=1615927185246
3/29/2021,School Opening,Phase 3 for Hybrid learning starts,http://riversideunified.org/cms/One.aspx?portalId=580805&pageId=14851360
4/7/2021,Orange Tier,,https://www.rivcoph.org/Portals/0/Documents/CoronaVirus/April2021/News/4621orangetier.pdf?ver=2021-04-06-135532-220&timestamp=1617742587339
4/21/2021,School Opening,Phase 4 for Hybrid (but more in person) starts,
6/15/2021,Mask “Mandate Lifted”,,
