Date,Category,Notes,Link
3/16/2020,School Closed,Sacramento City Unified School District closes all schools,https://fox40.com/news/local-news/sacramento-city-unified-school-district-temporarily-closes-all-schools/
3/19/2020,Stay at Home Order,Public Health Order - Sacramento County,https://www.saccounty.net/COVID-19/Documents/April7_UpdatedHealthOrderStayatHome.pdf
5/7/2020,Business Opened | Stay at Home Order Lifted,"California lets retailers reopen. Stay at Home still in place, but with Buisness’ opening, people won’t stay at home ",https://apnews.com/1456d66490a6b367849b65affe1cc5b7
6/18/2020,Mask Mandate,Statewide Mask Mandate,https://www.abc10.com/article/news/health/coronavirus/coronavirus-cases-spike-in-sacramento-county-officials-considers-face-covering-requirement/103-0e24bc06-eb2d-45fe-83d4-32feaa2283ac
7/13/2020,Business Closed,"Newsom orders new shutdown of restaurants, other indoor",https://www.sfchronicle.com/politics/article/Newsom-orders-shutdown-of-indoor-business-in-19-15380217.php
9/29/2020,Business Opened ,Restaurants can open in Sacramento,https://www.sacbee.com/news/coronavirus/article246092815.html
10/13/2020,School Opened,Schools Gatherings Updated SacCounty Health Order,https://www.saccounty.net/news/latest-news/Pages/Schools-Gatherings-Updated-SacCounty-Health-Order.aspx
11/20/2020,Stay at Home Order,SacCounty Amended Health Order for November 21,https://www.saccounty.net/news/latest-news/Pages/SacCounty-Amended-Health-Order-for-November-21.aspx
1/12/2021,Stay at Home Order Lifted,California Lifts Stay-At-Home Order For Greater Sacramento,https://www.capradio.org/articles/2021/01/12/counties-in-greater-sacramento-region-expect-stay-at-home-order-to-lift-immediately/
4/8/2021,School Opened,Schools partially open more,https://www.abc10.com/article/news/education/sacramento-unified-school-district-in-person-learning/103-d13437e3-db51-405f-8f34-d6dba69ecc98
4/15/2021,School Opened,Schools partially open more (higher grade) ,https://www.abc10.com/article/news/education/sacramento-city-unified-school-district-reopening-plan/103-df6be147-4260-4203-b00e-6ff00afba5de
6/1/2021,Business Opened,SacCounty Enters Orange Tier with New Health Order,https://www.saccounty.net/news/latest-news/Pages/SacCounty-Enters-Orange-Tier-with-New-Health-Order.aspx
6/15/2021,Mask “Mandate Lifted”,Statewide ,
