Dates,Category,Notes,Link
3/17/2020,School Closure | Stay at Home Order,"San Bernardino County closes schools, and stay at home order is enacted",https://www.dailybulletin.com/2020/03/13/coronavirus-concerns-close-ontario-montclair-schools-through-april-5/
4/23/2020,Mask Mandate,,https://wp.sbcounty.gov/cao/countywire/?p=6592
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/28/2020,Purple Tier,,https://www.desertsun.com/get-access/?return=https%3A%2F%2Fwww.desertsun.com%2Fstory%2Fnews%2Fhealth%2F2020%2F09%2F29%2Fsan-bernardino-county-remains-purple-tier-covid-19-numbers-worsen%2F3576351001%2F
8/28/2020,Stay at Home Order Lifted,State Stay at home order lifted,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/5/2020,Regional Stay at Home Order,Regional Stay at Home Order,
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/25/2021,Regional Stay at Home Order Lifted,,https://www.fontanaheraldnews.com/news/great-news-for-san-bernardino-county-state-lifts-stay-at-home-orders/article_3fd56dbc-5f38-11eb-80ab-ab6c5c093afc.html
2/22/2021,School Opening,Schools allowed to reopen,https://www.sbsun.com/2021/02/19/san-bernardino-county-schools-cleared-to-reopen-monday/
3/12/2021,Red Tier,,https://ktla.com/news/local-news/o-c-san-bernardino-to-reopen-sunday-under-red-tier-rules-ahead-of-l-a-county/
4/7/2021,Orange Tier,,https://abc7.com/ie-ventura-county-orange-tier-riverside-san-bernardino-inland-empire/10491872/
6/15/2021,Mask “Mandate Lifted”,Statewide. Masks still required for large gatherings ,https://wp.sbcounty.gov/cao/countywire/?p=11812
