Date,Category,Notes,Link
3/19/2020,Stay at Home Order,California COVID-19 Stay-At-Home Order | | ttownmedia.com,https://www.ttownmedia.com/california-covid-19-stay-at-home-order/pdf_19a99f18-6a5c-11ea-bcef-ab82b648d0f7.html
6/12/2020,Business Opened,Some Buisness’ allowed to open,https://www.sjgov.org/covid19/sjc_pr_on_reopening_final.pdf
6/18/2020,Mask Mandate,Residents ordered to wear masks outside of the home | News,https://www.lodinews.com/news/article_cf6796ea-b1b3-11ea-865c-37408b6abe6b.html
6/28/2020,Business Closed,"Gov. Newsom Orders Bars In Several Counties, Including San",https://sacramento.cbslocal.com/2020/06/28/newsom-counties-close-bars-san-joaquin/
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/2/2020,Business Closed,Order of the San Joaquin County Public Health Officer,https://www.lodi.gov/DocumentCenter/View/3560/SJC_Order_Stay_at_Home_20200702
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/28/2020,Stay at Home Order Lifted,Changes to Tier system,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/
8/28/2020,Purple Tier,Starts in purple tier,https://abc30.com/ca-reopneing-phases-covid19cagov-gavin-newsom-update-california-salon-reopening/6393805/
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
9/28/2020,School Opened,More Schools Open,https://www.sjgov.org/covid19/docs/sjc%20bos%20covid-19%20actions%2009152020%20final.pdf
9/29/2020,Red Tier,Moves to Red Tier,http://www.sjcphs.org/assets/20200929_SJC_PR%20%20State%20Announces%20SJC%20in%20Red%20Tier.pdf
10/13/2020,School Opened,Schools allowed to open more,https://www.sjcoe.org/newsDetails.aspx?ID=4988
11/10/2020,Purple Tier,Goes back to Purple Tier,https://www.recordnet.com/story/news/coronavirus/2020/11/10/tighter-covid-19-restrictions-horizon-sj-county/6240612002/
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/5/2020,Business Closed,"Hair and nail salons, outdoor dining ordered to shut down in",https://www.kcra.com/article/hair-nail-salons-outdoor-dining-ordered-shut-down-san-joaquin-valley/34882859
12/5/2020,Regional Stay at Home Order,Regional Stay at Home Order,https://apnews.com/article/business-san-francisco-coronavirus-pandemic-california-restaurants-2a7d62253a089007677d4dbdd80f548b
12/18/2020,Christmas Start,Holiday Travel Approximations ,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximations ,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/24/2021,3 days before/after holiday for approximation,"California lifts virus regional stay-at-home orders, curfew",https://fox40.com/news/california-connection/calfornia-to-lift-regional-stay-at-home-order-monday/
1/25/2021,Business Opened,"State lifts stay at-home order, allowing SJ County businesses",https://www.recordnet.com/story/news/coronavirus/2021/01/25/state-lifts-stay-home-order-allowing-san-joaquin-county-businesses-reopen/4252236001/
4/7/2021,Red Tier,Some San Joaquin County businesses can reopen after moving to Red Tier,https://fox40.com/news/local-news/some-san-joaquin-county-businesses-can-reopen-after-months-in-the-purple-tier/
6/1/2021,Orange Tier,Moves to Orange Tier,https://www.capradio.org/articles/2021/06/01/sacramento-san-joaquin-counties-move-into-orange-covid-19-tier/
6/15/2021,Mask Mandate Lifted,Statewide,https://covid19.ca.gov/safely-reopening/
