Date,Category,Notes,Link
3/13/2020,School Closed,ORDER OF THE HEALTH OFFICER No. c19-3 - San Mateo,https://www.smchealth.org/sites/main/files/file-attachments/031320_english.pdf?1585787754
3/16/2020,Stay at Home Order,,https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php
4/17/2020,Mask Mandate,Face Covering Order - San Mateo County Health,https://www.smchealth.org/sites/main/files/file-attachments/ho_order_c19-8_face_covering_20200417_copy.pdf?1587328957
5/8/2020,Business Opened,San Mateo restaurants may reopen in the street | Local News,https://www.smdailyjournal.com/news/local/san-mateo-restaurants-may-reopen-in-the-street/article_77e5424a-8f45-11ea-8592-333979645342.html
5/18/2020,Business Opened,Coronavirus: 3 Bay Area counties to partly reopen on Monday,https://www.latimes.com/california/story/2020-05-13/san-mateo-moves-ahead-of-other-bay-area-counties-in-reopening-economy-amid-pandemic
6/17/2020,Business Opened,Reopening California: San Mateo County gets permission to,https://abc7news.com/when-nail-salons-can-reopen-california-do-tattoo-shops-in-mall-amc-theaters/6250551/
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/3/2020,Business Closed,Business’s Close after County being on watch list ,https://www.bizjournals.com/sanjose/news/2020/08/10/san-mateo-county-business-closure-pushback.html
8/28/2020,Stay at Home Order Lifted,Changes into tier system,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/
8/28/2020,Purple Tier,"COVID ALERT: County in Purple Tier, Stay At Home Order",https://www.cityofsanmateo.org/CivicSend/ViewMessage/message/129810
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
9/22/2020,Red Tier,County moves down to Red Tier,https://cmo.smcgov.org/press-release/sept-22-2020-covid-19-update-some-health-and-safety-restrictions-eased
9/23/2020,Business Opened,Marin and San Mateo County Restaurants Reopen Dining,https://sf.eater.com/2020/9/23/21452431/marin-and-san-mateo-county-restaurants-reopen-indoor-dining-rooms-san-francisco
10/6/2020,School Opened,Schools prep for reopening in San Mateo County | Local News,https://www.smdailyjournal.com/news/local/schools-prep-for-reopening-in-san-mateo-county/article_3309538e-0130-11eb-8854-bfa4be1d29e8.html
10/27/2020,Orange Tier,Moves into Orange Tier,https://cmo.smcgov.org/press-release/oct-27-2020-covid-19-update-state-moves-san-mateo-county-orange-tier
11/16/2020,Red Tier,,https://cmo.smcgov.org/press-release/nov-16-2020-state-limits-activities-curtails-indoor-dining-covid-19-cases-rise-san
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/28/2020,Purple Tier,,https://cmo.smcgov.org/press-release/nov-28-2020-indoor-dining-closes-outdoor-gatherings-only-state-moves-san-mateo-county
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/16/2020,Regional Stay at Home Order,Regional Stay at Home Order,https://cmo.smcgov.org/press-release/dec-16-2020-san-mateo-county-now-under-regional-stay-home-order-virus-cases
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/11/2021,Regional Stay at Home Order Lifted,"COVID Alert: Stay Home Orders End, San Mateo Now in",https://www.cityofsanmateo.org/CivicSend/ViewMessage/message/134026
2/1/2021,School Opened,Coronavirus: Some schools reopening under new state rules,https://www.mercurynews.com/2021/01/30/coronavirus-some-schools-to-reopen-under-new-state-rules
2/24/2021,Red Tier,,https://cmo.smcgov.org/press-release/feb-23-2021-confronting-covid-state-loosens-restrictions-san-mateo-county
3/17/2021,Orange Tier,,https://climaterwc.com/2021/03/16/san-mateo-county-returns-to-orange-tier-for-first-time-since-october/
4/19/2021,School Opened,Schools open for middle school 4 days a week,smfcsd.net/en/covid-19-updates-resources/updates.html
5/3/2021,School Opened,Schools opens for 5 days a week,smfcsd.net/en/covid-19-updates-resources/updates.html
5/11/2021,Mask Mandate Lifted,5/11/21-RESCISSION OF ORDER OF THE HEALTH OFFICER,https://www.smchealth.org/health-officer-updates/51121-rescission-order-health-officer-no-c19-11
5/11/2021,Yellow Tier,COVID Reopening: San Mateo County Returns to Yellow Tier,https://sanfrancisco.cbslocal.com/2021/05/11/covid-reopening-san-mateo-county-returns-to-yellow-tier-bars-to-resume-indoor-service/
