Date,Category,Notes,Link
3/25/2020,School Closed,List of California K-12 districts closed for in-person instruction,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
4/5/2020,Stay at Home Order,Emergency Order No. 20-02 - City of Goleta,https://www.cityofgoleta.org/home/showdocument?id=23367
4/24/2020,Business Closed,Health Officer Order No. 2020-8 - County of Santa Barbara,https://countyofsb.org/uploadedFiles/phd/PROGRAMS/Disease_Control/Corona/HO%20Order%202020-8%20Clarification%20of%20Essential%20Businesses.pdf
5/21/2020,Business Opened,"Lompoc Dine-In Restaurants, Retail Stores Permitted To Open",https://www.cityoflompoc.com/Home/Components/News/News/1625/
5/26/2020,Stay at Home Order Lifted,California eases more COVID-19 restrictions: What you need,https://www.kcra.com/article/california-eases-more-covid-19-restrictions-what-you-need-to-know/32664860
6/15/2020,School Opened,"Reopening California schools: Smaller class sizes, changes to",https://keyt.com/news/2020/06/15/reopening-california-schools-smaller-classes-sizes-changes-to-schedules-and-masks/
6/19/2020,Business Opened,The businesses on Stearns Wharf are reopening – Phase three,https://stearnswharf.org/the-businesses-on-stearns-wharf-are-reopening-phase-three/
6/26/2020,Stay at Home Order,CA Governor Gavin Newsom Reinstates Restrictions In Worst,https://deadline.com/2020/06/california-coronavirus-200000-cases-flood-of-new-infections-1202971077/
7/17/2020,School Closed,Governor Orders Santa Barbara County Schools to Remain,https://www.independent.com/2020/07/17/governor-orders-santa-barbara-county-schools-to-remain-closed/
7/27/2020,Mask Mandate,Mask enforcement may get tougher in Santa Barbara - KEYT,https://keyt.com/health/2020/07/27/mask-enforcement-may-get-tougher-in-santa-barbara/
8/21/2020,Business Opened,Temporary Outdoor Business Areas Allowed - Santa Barbara,https://www.santabarbaraca.gov/business/outdoor_dining.asp
9/1/2020,School Opened,These 15 Schools Applied for COVID-19 Reopening Waivers,https://www.noozhawk.com/article/school_waiver_applications_santa_barbara_county_20200901
10/3/2020,Business Opened,Santa Barbara restaurants resume indoor dining - KEYT,https://keyt.com/news/money-and-business/2020/10/03/santa-barbara-restaurants-resume-indoor-dining/
10/6/2020,Stay at Home Order Lifted,Ventura County moves into reopening stage that allows gyms,https://www.pacbiztimes.com/2020/10/06/ventura-county-moves-into-reopening-stage-that-allows-gyms-restaurants-indoors/
10/13/2020,School Opened,Santa Barbara Co. schools allowed to reopen for in-person,https://www.ksby.com/news/coronavirus/santa-barbara-co-schools-allowed-to-reopen-for-in-person-instruction
11/16/2020,Purple,"SLO, Santa Barbara counties back in the purple tier | KCBX",https://www.kcbx.org/post/slo-santa-barbara-counties-back-purple-tier
12/3/2020,Stay at Home Order,New stay-at-home order means more closures for Santa,https://lompocrecord.com/news/local/new-stay-at-home-order-means-more-closures-for-santa-barbara-county-businesses/article_e4189a1e-2eae-5d21-a061-8abd6b239f40.html
1/24/2021,Stay at Home Order Lifted,Gov. Gavin Newsom Lifts Stay-at-Home Orders Statewide,https://www.noozhawk.com/article/gov_gavin_newsom_reportedly_to_lift_stay-at-home_order_on_monday_20210124
1/25/2021,Business Closed,Some restrictions lifted for Santa Barbara County restaurants,https://lompocrecord.com/news/local/some-restrictions-lifted-for-santa-barbara-county-restaurants-salons/article_4a837ec2-3f21-5567-806a-56b6500e2b56.html
1/25/2021,Business Opened,Regional COVID Stay-at-Home Order Lifted in Santa Barbara,https://www.independent.com/2021/01/25/regional-covid-stay-at-home-order-lifted-in-santa-barbara-county/
1/27/2021,Stay at Home Order Lifted,Regional Stay at Home Order Lifted | Carpinteria's COVID-19,https://carpinteriahub.com/regional-stay-at-home-order-lifted/
2/4/2021,Business Opened,"With Statewide Lifting of Stay-at-Home Order, Outdoor Dining",https://www.montecitojournal.net/2021/02/04/with-statewide-lifting-of-stay-at-home-order-outdoor-dining-finally-returns-to-santa-barbara-county/
2/23/2021,School Opened,Schools to Open in Santa Barbara County,https://www.independent.com/2021/02/23/schools-to-open-in-santa-barbara-county/
4/20/2021,Orange,5 more counties hit COVID orange tier as California reopens,https://www.latimes.com/california/story/2021-04-20/5-more-counties-hit-covid-orange-tier-as-california-reopens
5/14/2021,Mask Mandate,Health officials: CA mask mandate remains in effect in SLO,https://www.ksby.com/news/coronavirus/health-officials-ca-mask-mandate-remains-in-effect-in-slo-santa-barbara-counties
