Dates,Category,Notes,Link
3/13/2020,Gatherings Disallowed,Santa Clara county bans gathers of 100 or more,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
3/16/2020,School Closure,,
3/17/2020,Stay at Home Order,Stay at Home Order for Bay Area ,
5/22/2020,Stay at Home Order Lifted | Mask Mandate,Santa Clara County moves in Phase 2 of reopening. Mask Mandates go in place.,
7/13/2020,Buisness Open,Some businesses allowed to open,
7/15/2020,Buisness Closed,On watchlist too long ,
8/28/2020,Purple Tier,,https://www.mercurynews.com/2020/08/28/california-revamps-pathway-for-counties-to-reopen-amid-coronavirus-pandemic/
8/31/2020,Buisness Open,Tier level drops,
9/8/2020,Red Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
10/13/2020,Orange Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
11/16/2020,Purple Tier,,3/3
11/16/2020,Buisness Closed,Jump back to purple tier ,
12/4/2020,Stay at Home Order,Regional Stay at home Order,
3/3/2021,Red Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
3/3/2021,Stay at Home Order Lifted | Buisness Open,Move back into Red (lower) Tier,
3/24/2021,Orange Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
3/29/2021,School Opening,Schools reopen in phases by grades ,https://www.santaclarausd.org/reopening
5/18/2021,Yellow Tier,,https://abc7news.com/timeline-of-coronavirus-us-covid-19-bay-area-sf/6047519/
6/15/2021,Mask “Mandate Lifted”,State reopens ,
