Date,Category,Notes,Link
3/16/2020,School Closed,Solano Schools close,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
3/18/2020,Stay at Home Order,Shelter at home order,https://www.solanocounty.com/civicax/filebank/blobdload.aspx?BlobID=31828
5/7/2020,Business Opened,Coronavirus Bay Area: Solano County to reopen some retail,https://abc7news.com/solano-county-phase-2-shelter-in-place-coronavirus-orders-covid19/6162285/
5/15/2020,Business Opened,"Napa, Solano counties ask for Phase 2 reopening despite not",https://www.sfchronicle.com/bayarea/article/Sonoma-Napa-Solano-counties-seek-waivers-to-15271699.php
5/25/2020,Business Opened,Coronavirus Phase 2 reopening: 47 counties in California,https://abc7news.com/sonoma-county-restaurants-napa-newsoms-plan-to-reopen-california-when/6178845/
7/1/2020,Business Closed,"Governor Orders Solano County To Close Bars, Indoor - Patch",https://patch.com/california/benicia/governor-orders-solano-county-close-bars-indoor-businesses
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,
8/28/2020,Stay at Home Order Lifted,Changes to Tier System ,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/
8/28/2020,Purple Tier,Starts in Purple Tier,https://abc30.com/ca-reopneing-phases-covid19cagov-gavin-newsom-update-california-salon-reopening/6393805/
8/30/2020,School Opened,Seeking guidance for opening schools? | EdSource,https://edsource.org/2020/seeking-guidance-for-reopening-schools/633593
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,
9/22/2020,Red Tier,Solano County moves to Red Tier,https://sanfrancisco.cbslocal.com/2020/09/22/covid-reopening-alameda-san-mateo-and-solano-counties-move-to-red-tier-all-nail-salons-cleared-to-reopen/
11/16/2020,Purple Tier,Coronavirus: Solano County moving back to purple tier – The,https://www.thereporter.com/2020/11/16/coronavirus-solano-county-moving-back-to-purple-tier
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,
12/17/2020,Regional Stay at Home Order,Regional Stay at Home Order,https://solanocounty.com/news/displaynews.asp?NewsID=2354&TargetID=1
12/18/2020,Christmas Start,Holiday Travel Approximation,
12/28/2020,New Years Start,3 days before/after holiday for approximation,
12/31/2020,Christmas End,Holiday Travel Approximation,
1/4/2021,New Years End,3 days before/after holiday for approximation,
1/25/2021,Regional Stay at Home Order Lifted,Vallejo area back in business as Newsom lifts stay-at-home,https://www.timesheraldonline.com/2021/01/25/vallejo-area-back-in-business-as-newsom-lifts-stay-at-home-order
3/10/2021,Red Tier,County moves to red tier ,https://www.solanocounty.com/news/displaynews.asp?NewsID=2366&TargetID=1
3/19/2021,School Opened,One open day for hybrid learning,https://www.thereporter.com/2021/03/18/coronavirus-solano-public-schools-unlikely-to-return-to-the-before-times/
6/2/2021,Orange Tier,Solano County moves to Orange Tier,https://www.solanocounty.com/news/displaynews.asp?NewsID=2383&TargetID=1
304/999,Mask “Mandate Lifted”,Statewide,https://covid19.ca.gov/safely-reopening/
