Date,Category,Notes,Link
3/17/2020,Stay at Home Order,Health Officer Orders County Residents Shelter in Place,https://sonomacounty.ca.gov/CAO/Press-Releases/Health-Officer-Orders-County-Residents-Shelter-in-Place/
3/25/2020,School Closed,List of California K-12 districts closed for in-person instruction,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
4/2/2020,Stay at Home Order,Health Officer Extends Shelter in Place Order | Press Releases,https://sonomacounty.ca.gov/CAO/Press-Releases/Health-Officer-Extends-Shelter-in-Place-Order/
4/13/2020,Stay at Home Order,Order of the Health Officer C19-07: Facial Coverings,https://socoemergency.org/order-of-the-health-officer-facial-coverings/
5/7/2020,Stay at Home Order Lifted,Amendment Shelter in Place Order | Press Releases | County,https://sonomacounty.ca.gov/CAO/Press-Releases/Amendment-Shelter-in-Place-Order/
6/5/2020,Business Opened,"San Mateo County Reopens For Outdoor Dining, Sonoma",https://sf.eater.com/2020/6/5/21281795/san-mateo-sonoma-restaurant-reopening-coronavirus
6/5/2020,Stay at Home Order,Order of the Health Officer C19-14: Stay Well Sonoma County,https://socoemergency.org/order-of-the-health-officer-c19-14-stay-well-sonoma-county/
6/18/2020,Stay at Home Order,Stay at Home Order (C19-15) - Sonoma County Emergency,https://socoemergency.org/order-of-the-health-officer-c19-15-stay-well-sonoma-county/
7/12/2020,Business Closed,State places restrictions on some businesses due to rising,https://sonomacounty.ca.gov/CAO/Press-Releases/State-places-restrictions-on-some-businesses--due-to-rising-Sonoma-County-coronavirus-cases/
7/20/2020,School Closed,"Most California schools ordered to shutdown, switch to online",https://www.abc10.com/article/news/local/california/california-schools-coronavirus/103-76e7e8bc-0850-4e64-be4d-a61357af4150
9/1/2020,School Opened,COVID-19 Reopening Schools Plan - Cotati-Rohnert Park,https://www.crpusd.org/our_district/covid-19_reopening_schools_plan
10/22/2020,School Opened,Sonoma school first to welcome students back to campus,https://www.sonomanews.com/article/news/sonoma-school-first-to-welcome-students-back-to-campus/
11/24/2020,School Closed,School reopening waivers halted in Sonoma County,https://www.pressdemocrat.com/article/news/sonoma-county-to-halt-school-reopening-waivers-as-pandemic-worsens-across-s/
12/4/2020,Business Opened,Biggest 2020 Sonoma County Restaurant Openings and,https://www.sonomamag.com/biggest-2020-sonoma-county-restaurant-openings-and-closings/
1/25/2021,Stay at Home Order Lifted,State lifts Bay Area pandemic lockdown that loosens,https://www.pressdemocrat.com/article/news/sonoma-county-dropping-some-stay-home-restrictions/
2/27/2021,School Opened,A COVID-19 milestone: Some schools to reopen next week in,https://www.pressdemocrat.com/article/news/a-covid-milestone-some-schools-to-reopen-next-week-in-sonoma-county/
3/14/2021,Business Opened,"Reopening California: Sonoma County restaurants, wineries",https://abc7news.com/sonoma-county-reopen-red-tier-breweries-open-wineries/10415745/
5/15/2021,Stay at Home Order Lifted,County offices to fully reopen to the public Tuesday June 15,https://sonomacounty.ca.gov/CAO/Press-Releases/County-offices-to-fully-reopen-to-the-public-Tuesday-June-15/
