Date,Category,Notes,Link
3/23/2020,Stay at Home Order,Tulare county stay at home order,https://tchhsa.org/eng/index.cfm/public-health/covid-19-in-tulare-county/covid-19-news-releases1/march-20-2020-news-release-tulare-county-health-human-services-agency-operations-and-services-during-stay-home-order/
4/27/2020,Schools Closed,Last school closes 27,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
5/16/2020,Business Opened,Playbook for Reopening Your Business in the Age of COVID-19,https://covid19.tularecounty.ca.gov/business-and-financial-resources/covid-19-guide-playbook-for-reopening-your-business-in-the-age-of-covid-19/
6/18/2020,Mask Mandate,Gov. Newsom orders masks must be worn in public | KMPH,https://kmph.com/news/local/gov-newsom-orders-masks-must-be-worn-in-public
6/29/2020,Business Closed,Coronavirus California: Governor Gavin Newsom orders bars,https://abc7.com/gov-gavin-newsom-bars-closed-covid19-coronavirus/6278318/
7/1/2020,Business Closed,"Newsom orders new shutdown of restaurants, other indoor",https://www.sfchronicle.com/politics/article/Newsom-orders-shutdown-of-indoor-business-in-19-15380217.php
8/1/2020,Business Opened,"Visalia, Hanford restaurants open with outdoor dining - ABC30",https://abc30.com/visalia-restaurant-business-outdoor-dining/6346552/
8/28/2020,Purple Tier,,https://abc30.com/ca-reopneing-phases-covid19cagov-gavin-newsom-update-california-salon-reopening/6393805/
11/30/2020,Schools Open,Schools begin to open ,https://covid19.tularecounty.ca.gov/school-resources/approved-school-waivers/
12/5/2020,Stay at Home Order,Regional Stay at Home Order,https://www.desertsun.com/story/news/health/2020/12/03/california-stay-home-order-newsom-furthers-covid-19-restrictions/6477138002/
1/25/2021,Stay at Home Order Lifted,Regional Stay at Home Order Lifted,https://covid19.tularecounty.ca.gov/school-resources/
2/8/2021,School Open,Schools allowed to open more,https://abc30.com/elementary-schools-waiver-open-fresno-county-tulare/7184678/
2/19/2021,Business Opened,Area restaurants reopening indoors; county and cities leaving,https://www.ourvalleyvoice.com/2021/02/19/area-restaurants-reopening-indoors-county-and-cities-leaving-enforcement-to-state/
3/16/2021,Red Tier,,https://www.visaliatimesdelta.com/story/news/2021/03/16/tulare-county-moves-into-red-tier-heres-what-means-you/4715310001/
4/7/2021,Orange Tier,"English - April 6, 2021 News Release: Tulare County Moves",https://tchhsa.org/eng/index.cfm/public-health/covid-19-in-tulare-county/covid-19-news-releases1/april-6-2021-news-release-tulare-county-moves-into-less-restrictive-orange-tier-for-reopening-officials-urge-residents-to-get-vaccinated/
6/15/2021,Mask Mandate Lifted,Statewide ,
