Date,Category,Notes,Link
3/13/2020,School Closed,Coronavirus: Ventura County schools to stay closed for rest of,https://www.vcstar.com/story/news/2020/04/01/coronavirus-ventura-county-california-schools-closed/5109695002/
3/19/2020,Stay at Home Order,Stay at Home order,https://vcportal.ventura.org/CEO/VCNC/2020-05-20_VCPHOfficerOrder_ver20200507_amended_20200522.pdf
5/20/2020,Business Opened,Coronavirus: Ventura County OK'd to reopen more stores,https://www.vcstar.com/story/news/2020/05/20/coronavirus-ventura-county-reopen-stores-restaurants-approval-newsom/5233413002/
5/29/2020,Business Opened,"Reopening of Businesses | Ventura, CA",https://www.cityofventura.ca.gov/1872/Reopening-of-Businesses
6/18/2020,Mask Mandate,California orders people to wear masks in most indoor spaces,https://www.vcstar.com/story/news/2020/06/18/newsom-face-masks-mandate-public-california-ventura-county/3219602001/
8/24/2020,School Opened,"Fires, coronavirus, back-to-school, Kobe Bryant: Monday news",https://www.usatoday.com/story/news/nation/2020/08/24/fires-coronavirus-back-school-kobe-bryant-monday-news/3431210001/
8/28/2020,Purple Tier,County stays in purple tier,https://www.vcstar.com/story/news/local/2020/09/22/what-tier-is-ventura-county-in-covid-update-california-reopening/5845785002/
10/6/2020,Red Tier,,https://abc7.com/ventura-county-reopening-coronavirus-covid-19-pandemic-california-covid-tiers/6820171/
10/6/2020,Business Opened,"Ventura Reopens for Indoor Dining Today, LA County Likely",https://la.eater.com/2020/10/6/21504695/ventura-county-reopening-indoor-dining-los-angeles-covid-19-coronavirus-waiting-disneyland
11/3/2020,School Opened,First - 3rd Grade,https://www.vcstar.com/story/news/2020/10/24/ventura-county-schools-reopening-date-covid-19-orders-masks/6007443002/
11/9/2020,School Opened,4-5th,https://www.vcstar.com/story/news/2020/10/24/ventura-county-schools-reopening-date-covid-19-orders-masks/6007443002/
11/17/2020,Purple Tier,"""AN EMERGENCY BRAKE"" | State puts Ventura County back",https://vcreporter.com/2020/11/an-emergency-brake-state-puts-ventura-county-back-in-purple-tier/
11/20/2020,Stay at Home Order,Regional Stay at Home Order,https://www.vcnewschannel.com/news/411-state-issues-limited-stay-at-home-order
1/25/2021,Business Opened,Some Ventura County businesses can reopen after order ends,https://www.vcstar.com/story/news/local/2021/01/25/california-stay-home-order-ends-purple-tier-ventura-county-businesses/6701334002/
1/25/2021,Stay at Home Order Lifted,What the lifted stay-at-home order means for Ventura County,https://keyt.com/news/money-and-business/2021/01/25/what-does-the-stay-at-home-lift-mean-for-ventura-county/
3/17/2021,Red Tier,,https://www.vcstar.com/get-access/?return=https%3A%2F%2Fwww.vcstar.com%2Fstory%2Fnews%2Flocal%2F2021%2F03%2F16%2Fcovid-updates-ventura-county-enters-red-tier-easing-restrictions-businesses%2F4674533001%2F
4/7/2021,Orange Tier,,https://www.vcstar.com/story/news/local/2021/04/06/ventura-county-enters-orange-tier-easing-covid-19-restrictions/7065286002/
5/28/2021,Yellow Tier,,https://www.thecamarilloacorn.com/articles/county-sees-yellow-tier-for-first-time/
6/15/2021,Mask “Mandate Lifted”,California mask mandate to be lifted June 15 | NewsChannel,https://keyt.com/health/coronavirus/2021/05/12/california-mask-mandate-to-be-lifted-on-june-15/
