Dates ,Category ,Notes,Link
3/13/2020,Major Closure,Pritzker closed all schools across the state,"https://ballotpedia.org/Documenting_Illinois%27_path_to_recovery_from_the_coronavirus_(COVID-19)_pandemic,_2020-2021"
3/21/2020,Major Closure,Stay at Home Order,
5/29/2020,Major Opening,"The state's stay-at-home order expired. Illinois also started the third phase of its reopening plan, which allows non-essential retailers and manufacturers to begin reopening. Restaurants can also reopen for outdoor dining and gatherings of up to 10 people are allowed.",
6/4/2020,Minor Opening,Gov. J.B. Pritzker (D) announced public and private summer school programs could begin reopening,
6/26/2020,Major Opening,"The state is moving into the fourth phase of reopening. Phase 4 allows gatherings of up to 50 people. Indoor recreation venues (like bowling alleys and theaters), indoor dining services, and outdoor spectator sports facilities can reopen with limits",
7/6/2020,Minor Closure," Chicago Department of Public Health Commissioner Allison Arwady issued an order requiring travelers entering the city of Chicago from states experiencing a surge in COVID-19 cases to self-quarantine for 14 days. The order applied to travelers from the following states: Alabama, Arkansas, Arizona, California, Florida, Georgia, Idaho, Louisiana, Mississippi, North Carolina, Nevada, South Carolina, Tennessee, Texas, and Uta",
8/26/2020,Mask Mandate," Gov. J.B. Pritzker (D) announced an additional statewide order requiring restaurant and bar patrons to wear a mask anytime they interact with a server, including whenever beverages or food are brought to a table. ",
10/3/2020,Minor Closure,"Gov. J.B. Pritzker (D) announced additional mitigation measures will be into effect in Region 1 (Boone, Carroll, DeKalb, Jo Daviess, Lee, Ogle, Stephenson, Whiteside, and Winnebago counties). Under the new restrictions, bars and restaurants will not be able to offer indoor service and gatherings will be limited to 25 people.",
10/9/2020,Minor Opening,Gov. J.B. Pritzker (D) announced Region 4 (the Metro East region) is returning to Phase 4 of reopening,
11/4/2020,Minor Closure,"The state implemented mitigation policies in Region 2 starting. Bars and restaurants cannot offer indoor service, and outdoor service has to close by 11 p.m. every night. Gatherings are limited to the lesser of 25 people or 25% of a room's capacity. All 11 of the state’s regions now have mitigation restrictions in effect.",
11/18/2020,Major Closure," Gov. J.B. Pritzker announced additional statewide mitigation measures, effective Nov. 20. Restaurants and bars will not be able to offer indoor service, casinos and museums will be required to close, and gyms will have to cease indoor group classes. Retailers will have to reduce capacity from 50% to 25%.",
1/19/2021,Minor Opening,"The Department of Health adjusted the state’s mitigation metrics to reflect additional hospital staff and capacity. The change allowed regions 8, 9, 10, and 11 to begin operating under Tier 2 mitigation restrictions. Regions 1, 2, and 6 were allowed to move to Tier 1 (the least restrictive mitigation level), and regions 3 and 5 were allowed to resume Phase 4 of the Restore Illinois plan with no additional mitigation measures.",
4/12/2021,," All residents age 16 and older are eligible for vaccinations starting April 12. Previously, everyone 65 and older was eligible for vaccination",
5/18/2021,,Gov. J.B. Pritzker (D) signed an executive order exempting fully vaccinated individuals from most indoor mask requirements.,
6/11/2021,Major Opening,"Gov. J.B. Pritzker (D) announced Phase 5 reopening guidance. On that day, the statewide mask requirement will end, and large events and gatherings can expand to full capacity.",
