Dates,Opening/Closure,Notes,Link
3/23/2020,Major Closure,Non-Essential Buisnesses Close,https://www.wboc.com/story/41941962/covid19-timeline-of-events-in-delaware
3/24/2020,Major Closure,Stay at Home Order Enacted,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
3/29/2020,Minor Closure,Travelers Ordered to Self-Quarantine,https://news.delaware.gov/2020/03/29/governor-carney-orders-out-of-state-travelers-to-immediately-self-quarantine-for-14-days/
4/17/2020,Major Closure,Schools Orderd to Close,https://www.wmdt.com/2020/04/del-schools-to-remain-closed-until-may-18th-additional-updates-from-gov-carney/
4/25/2020,Major Closure,Masks Required in Public,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Delaware#cite_note-31
5/8/2020,Minor Opening,Retail Stores Open for Curbside Pickup and Barberships Open,https://www.delawareonline.com/story/news/politics/2020/05/05/some-delaware-businesses-can-reopen-friday-find-out-which-ones-and-their-limitations/3086162001/
5/22/2020,Minor Opening,Beaches Reopen,https://www.delmarvanow.com/story/news/local/delaware/2020/05/14/coronavirus-delaware-reopen-beaches-may-22-restrictions/5193059002/
5/31/2020,Major Opening,Stay at Home Order Lifted
6/1/2020,Major Opening,Retail Stores Resturaunts and Other Buisnesses Reopen at 30% Capacity,https://www.nbcphiladelphia.com/news/coronavirus/delaware-enters-phase-1-of-reopening-plan/2415303/
6/8/2020,Minor Opening,Tatto Shops and Nail Salons allowed to reopen at 30% Capacity,https://6abc.com/delaware-covid19-coronavirus-reopen/6229721/
6/15/2020,Major Opening,Buisnesses Open to 60% Capacity and Non-Essential Childcare Services Allowed to Reopen,https://6abc.com/delaware-covid19-coronavirus-reopen/6229721/
11/17/2020,Major Closure,"Indoor Gathering Limit to 10 People, Sports are Suspended, and Restauraunts Limited to 30% Capacity",https://6abc.com/health/delaware-issues-new-restrictions-on-gatherings-youth-sports/8039097/
12/3/2020,Major Closure,Stay at Home Advisory Issued and Face Covering Required,http://www.wboc.com/story/43003530/gov-carney-announces-stayathome-advisory-expands-mask-order?fbclid=IwAR2sM1II1WOBKWpWdv299yW0oDQRpjPt5uDXzIvvtKp1793-7hPT7GmKfrQ
1/8/2021,Minor Opening,Curfews Lifted from Resturaunts and Youth Sports Resume at 30% Capacity,https://www.capegazette.com/article/bar-restaurant-curfew-lifted-latest-order/213950?fbclid=IwAR1A4yHCT0bk0QCluO81Jm8C2cxyA_q4ClWJuS2oWE0Nf8gz2rEgmVWSCTQ
2/12/2021,Major Opening,"Resturaunts, Gyms, and other Buisnesses Reopen at 50% Capacity",https://6abc.com/health/delaware-to-ease-some-covid-19-restrictions-/10315326/
3/27/2021,Major Opening,Groups of up to 10 Allowed at Resturaunts and Masks No Longer Required Outdoors Outside of Large Groups,https://www.wdel.com/news/delawares-mask-restrictions-to-continue-as-many-second-vaccine-shots-continue/article_8da88e56-a8ae-11eb-8819-cbf642d3c200.html
4/4/2021,Major Opening,Capacity Limits Lifted at Most Facilites and Buisnesses and Social Distancing Reduced from 6 to 3 Feet,https://6abc.com/health/delaware-announces-major-changes-to-covid-19-restrictions-/10579405/
4/14/2021,Major Opening,Mask Mandates Lifted,https://www.wboc.com/story/43889996/delaware-to-lift-mask-mandate-may-21
