Dates,Infected,Deaths,Recovered
2/1/2020,47.0,0.0,0
2/2/2020,48.0,0.0,0
2/3/2020,52.0,0.0,0
2/4/2020,53.0,0.0,0
2/5/2020,54.0,0.0,0
2/6/2020,54.0,0.0,0
2/7/2020,54.0,0.0,0
2/8/2020,55.0,0.0,0
2/9/2020,57.0,0.0,0
2/10/2020,58.0,0.0,0
2/11/2020,59.0,0.0,0
2/12/2020,60.0,0.0,0
2/13/2020,61.0,0.0,0
2/14/2020,64.0,0.0,0
2/15/2020,66.0,0.0,0
2/16/2020,66.0,0.0,0
2/17/2020,70.0,0.0,0
2/18/2020,70.0,0.0,0
2/19/2020,70.0,0.0,0
2/20/2020,71.0,0.0,0
2/21/2020,75.0,0.0,0
2/22/2020,75.0,0.0,0
2/23/2020,77.0,0.0,0
2/24/2020,81.0,0.0,0
2/25/2020,82.0,0.0,0
2/26/2020,84.0,0.0,0
2/27/2020,92.0,1.0,0
2/28/2020,96.0,1.0,0
2/29/2020,100.0,1.0,0
3/1/2020,116.0,1.0,0
3/2/2020,125.0,1.0,0
3/3/2020,135.0,1.0,0
3/4/2020,144.0,1.0,0
3/5/2020,153.0,1.0,0
3/6/2020,161.0,1.0,0
3/7/2020,175.0,1.0,0
3/8/2020,189.0,1.0,0
3/9/2020,215.0,1.0,0
3/10/2020,239.0,1.0,0
3/11/2020,268.0,1.0,0
3/12/2020,305.0,1.0,0
3/13/2020,368.0,1.0,0
3/14/2020,445.0,1.0,0
3/15/2020,513.0,2.0,0
3/16/2020,626.0,2.0,0
3/17/2020,750.0,3.0,0
3/18/2020,887.0,3.0,0
3/19/2020,1007.0,4.0,0
3/20/2020,1162.0,4.0,0
3/21/2020,1281.0,4.0,0
3/22/2020,1403.0,4.0,0
3/23/2020,1618.0,5.0,0
3/24/2020,1779.0,6.0,0
3/25/2020,1954.0,10.0,0
3/26/2020,2132.0,12.0,0
3/27/2020,2363.0,22.0,0
3/28/2020,2506.0,27.0,0
3/29/2020,2635.0,32.0,0
3/30/2020,2884.0,41.0,0
3/31/2020,3096.0,49.0,0
4/1/2020,3296.0,56.0,0
4/2/2020,3519.0,59.0,0
4/3/2020,3727.0,67.0,0
4/4/2020,3873.0,71.0,0
4/5/2020,4030.0,84.0,0
4/6/2020,4330.0,95.0,0
4/7/2020,4568.0,108.0,0
4/8/2020,4771.0,118.0,0
4/9/2020,4981.0,129.0,0
4/10/2020,5161.0,141.0,0
4/11/2020,5282.0,150.0,0
4/12/2020,5395.0,160.0,0
4/13/2020,5655.0,168.0,0
4/14/2020,5831.0,180.0,0
4/15/2020,5996.0,192.0,0
4/16/2020,6207.0,204.0,0
4/17/2020,6416.0,222.0,0
4/18/2020,6609.0,239.0,0
4/19/2020,6735.0,248.0,0
4/20/2020,7028.0,256.0,0
4/21/2020,7285.0,265.0,0
4/22/2020,7529.0,283.0,0
4/23/2020,7735.0,295.0,0
4/24/2020,7945.0,309.0,0
4/25/2020,8160.0,322.0,0
4/26/2020,8332.0,337.0,0
4/27/2020,8665.0,349.0,0
4/28/2020,8974.0,361.0,0
4/29/2020,9236.0,372.0,0
4/30/2020,9532.0,386.0,0
5/1/2020,9881.0,404.0,0
5/2/2020,10015.0,416.0,0
5/3/2020,10185.0,436.0,0
5/4/2020,10513.0,455.0,0
5/5/2020,10825.0,480.0,0
5/6/2020,11138.0,491.0,0
5/7/2020,11421.0,500.0,0
5/8/2020,11710.0,519.0,0
5/9/2020,11877.0,535.0,0
5/10/2020,12110.0,546.0,0
5/11/2020,12528.0,561.0,0
5/12/2020,12917.0,575.0,0
5/13/2020,13341.0,592.0,0
5/14/2020,13757.0,614.0,0
5/15/2020,14187.0,627.0,0
5/16/2020,14480.0,636.0,0
5/17/2020,14733.0,648.0,0
5/18/2020,15243.0,665.0,0
5/19/2020,15759.0,681.0,0
5/20/2020,16296.0,701.0,0
5/21/2020,16811.0,716.0,0
5/22/2020,17207.0,728.0,0
5/23/2020,17527.0,734.0,0
5/24/2020,17813.0,752.0,0
5/25/2020,18173.0,764.0,0
5/26/2020,18753.0,782.0,0
5/27/2020,19388.0,802.0,0
5/28/2020,19898.0,821.0,0
5/29/2020,20404.0,841.0,0
5/30/2020,20794.0,856.0,0
5/31/2020,21147.0,866.0,0
6/1/2020,21894.0,882.0,0
6/2/2020,22457.0,903.0,0
6/3/2020,23059.0,919.0,0
6/4/2020,23576.0,931.0,0
6/5/2020,24181.0,945.0,0
6/6/2020,24583.0,958.0,0
6/7/2020,24948.0,975.0,0
6/8/2020,25737.0,990.0,0
6/9/2020,26449.0,1006.0,0
6/10/2020,27236.0,1021.0,0
6/11/2020,27987.0,1040.0,0
6/12/2020,28680.0,1053.0,0
6/13/2020,29119.0,1061.0,0
6/14/2020,29528.0,1075.0,0
6/15/2020,30484.0,1092.0,0
6/16/2020,31301.0,1114.0,0
6/17/2020,32218.0,1121.0,0
6/18/2020,33091.0,1128.0,0
6/19/2020,34011.0,1149.0,0
6/20/2020,34671.0,1169.0,0
6/21/2020,35272.0,1186.0,0
6/22/2020,36545.0,1198.0,0
6/23/2020,37670.0,1219.0,0
6/24/2020,38822.0,1242.0,0
6/25/2020,39973.0,1253.0,0
6/26/2020,41144.0,1266.0,0
6/27/2020,41908.0,1287.0,0
6/28/2020,42754.0,1302.0,0
6/29/2020,44435.0,1320.0,0
6/30/2020,45972.0,1343.0,0
7/1/2020,47714.0,1361.0,0
7/2/2020,49447.0,1388.0,0
7/3/2020,50667.0,1417.0,0
7/4/2020,51302.0,1436.0,0
7/5/2020,52196.0,1455.0,0
7/6/2020,54868.0,1472.0,0
7/7/2020,57469.0,1491.0,0
7/8/2020,59973.0,1521.0,0
7/9/2020,62324.0,1539.0,0
7/10/2020,64768.0,1559.0,0
7/11/2020,65794.0,1579.0,0
7/12/2020,66681.0,1604.0,0
7/13/2020,69298.0,1633.0,0
7/14/2020,71733.0,1667.0,0
7/15/2020,74059.0,1696.0,0
7/16/2020,76300.0,1728.0,0
7/17/2020,78286.0,1752.0,0
7/18/2020,79389.0,1788.0,0
7/19/2020,80315.0,1830.0,0
7/20/2020,82972.0,1860.0,0
7/21/2020,85219.0,1898.0,0
7/22/2020,87264.0,1938.0,0
7/23/2020,89154.0,1975.0,0
7/24/2020,90689.0,2016.0,0
7/25/2020,91626.0,2055.0,0
7/26/2020,92435.0,2098.0,0
7/27/2020,94658.0,2142.0,0
7/28/2020,96728.0,2166.0,0
7/29/2020,98726.0,2205.0,0
7/30/2020,100330.0,2251.0,0
7/31/2020,101680.0,2304.0,0
8/1/2020,102648.0,2349.0,0
8/2/2020,103490.0,2391.0,0
8/3/2020,105517.0,2421.0,0
8/4/2020,107196.0,2468.0,0
8/5/2020,108772.0,2506.0,0
8/6/2020,110306.0,2554.0,0
8/7/2020,111630.0,2602.0,0
8/8/2020,112406.0,2645.0,0
8/9/2020,113056.0,2683.0,0
8/10/2020,114690.0,2726.0,0
8/11/2020,116046.0,2766.0,0
8/12/2020,117259.0,2796.0,0
8/13/2020,118364.0,2831.0,0
8/14/2020,119432.0,2864.0,0
8/15/2020,120087.0,2900.0,0
8/16/2020,120690.0,2930.0,0
8/17/2020,121902.0,2957.0,0
8/18/2020,122944.0,2990.0,0
8/19/2020,123997.0,3029.0,0
8/20/2020,125032.0,3058.0,0
8/21/2020,126158.0,3096.0,0
8/22/2020,126907.0,3125.0,0
8/23/2020,127742.0,3153.0,0
8/24/2020,129464.0,3183.0,0
8/25/2020,130904.0,3213.0,0
8/26/2020,132344.0,3236.0,0
8/27/2020,133745.0,3261.0,0
8/28/2020,135010.0,3291.0,0
8/29/2020,135664.0,3325.0,0
8/30/2020,136396.0,3339.0,0
8/31/2020,137822.0,3363.0,0
9/1/2020,139228.0,3394.0,0
9/2/2020,140536.0,3418.0,0
9/3/2020,141625.0,3446.0,0
9/4/2020,142632.0,3472.0,0
9/5/2020,143222.0,3498.0,0
9/6/2020,143809.0,3518.0,0
9/7/2020,144515.0,3544.0,0
9/8/2020,145884.0,3562.0,0
9/9/2020,146999.0,3590.0,0
9/10/2020,147995.0,3616.0,0
9/11/2020,148931.0,3635.0,0
9/12/2020,149558.0,3658.0,0
9/13/2020,150153.0,3689.0,0
9/14/2020,151243.0,3706.0,0
9/15/2020,152225.0,3732.0,0
9/16/2020,153137.0,3760.0,0
9/17/2020,153969.0,3779.0,0
9/18/2020,154822.0,3795.0,0
9/19/2020,155385.0,3805.0,0
9/20/2020,155968.0,3821.0,0
9/21/2020,157094.0,3841.0,0
9/22/2020,158002.0,3858.0,0
9/23/2020,158810.0,3878.0,0
9/24/2020,159608.0,3891.0,0
9/25/2020,160469.0,3899.0,0
9/26/2020,161069.0,3912.0,0
9/27/2020,161659.0,3929.0,0
9/28/2020,162799.0,3943.0,0
9/29/2020,163619.0,3964.0,0
9/30/2020,164527.0,3980.0,0
10/1/2020,165363.0,3999.0,0
10/2/2020,166231.0,4017.0,0
10/3/2020,166878.0,4034.0,0
10/4/2020,167556.0,4055.0,0
10/5/2020,168837.0,4083.0,0
10/6/2020,169900.0,4104.0,0
10/7/2020,171044.0,4124.0,0
10/8/2020,172108.0,4141.0,0
10/9/2020,173211.0,4160.0,0
10/10/2020,173990.0,4182.0,0
10/11/2020,174739.0,4199.0,0
10/12/2020,176127.0,4214.0,0
10/13/2020,177416.0,4235.0,0
10/14/2020,178544.0,4253.0,0
10/15/2020,179729.0,4272.0,0
10/16/2020,180843.0,4294.0,0
10/17/2020,181587.0,4312.0,0
10/18/2020,182401.0,4334.0,0
10/19/2020,183961.0,4356.0,0
10/20/2020,185294.0,4372.0,0
10/21/2020,186628.0,4378.0,0
10/22/2020,188004.0,4395.0,0
10/23/2020,189248.0,4416.0,0
10/24/2020,190048.0,4438.0,0
10/25/2020,190951.0,4456.0,0
10/26/2020,192793.0,4474.0,0
10/27/2020,194491.0,4497.0,0
10/28/2020,195974.0,4517.0,0
10/29/2020,197284.0,4543.0,0
10/30/2020,198496.0,4558.0,0
10/31/2020,199315.0,4575.0,0
11/1/2020,200254.0,4594.0,0
11/2/2020,202008.0,4617.0,0
11/3/2020,203482.0,4634.0,0
11/4/2020,205110.0,4657.0,0
11/5/2020,206935.0,4687.0,0
11/6/2020,208622.0,4712.0,0
11/7/2020,209815.0,4729.0,0
11/8/2020,211049.0,4752.0,0
11/9/2020,213970.0,4776.0,0
11/10/2020,216449.0,4799.0,0
11/11/2020,218855.0,4823.0,0
11/12/2020,221237.0,4855.0,0
11/13/2020,223329.0,4880.0,0
11/14/2020,224754.0,4911.0,0
11/15/2020,226141.0,4936.0,0
11/16/2020,229346.0,4960.0,0
11/17/2020,231981.0,4984.0,0
11/18/2020,234553.0,5004.0,0
11/19/2020,237070.0,5028.0,0
11/20/2020,239359.0,5059.0,0
11/21/2020,240876.0,5092.0,0
11/22/2020,242476.0,5119.0,0
11/23/2020,245891.0,5146.0,0
11/24/2020,248857.0,5169.0,0
11/25/2020,251661.0,5206.0,0
11/26/2020,252383.0,5229.0,0
11/27/2020,255248.0,5263.0,0
11/28/2020,257420.0,5300.0,0
11/29/2020,259800.0,5342.0,0
11/30/2020,264809.0,5378.0,0
12/1/2020,268868.0,5408.0,0
12/2/2020,272652.0,5449.0,0
12/3/2020,276431.0,5490.0,0
12/4/2020,279854.0,5529.0,0
12/5/2020,282032.0,5565.0,0
12/6/2020,284258.0,5622.0,0
12/7/2020,289296.0,5671.0,0
12/8/2020,293390.0,5725.0,0
12/9/2020,297485.0,5783.0,0
12/10/2020,301768.0,5836.0,0
12/11/2020,305708.0,5890.0,0
12/12/2020,308373.0,5955.0,0
12/13/2020,311032.0,5995.0,0
12/14/2020,317163.0,6059.0,0
12/15/2020,322202.0,6116.0,0
12/16/2020,326839.0,6188.0,0
12/17/2020,331251.0,6239.0,0
12/18/2020,335175.0,6298.0,0
12/19/2020,337783.0,6358.0,0
12/20/2020,340352.0,6421.0,0
12/21/2020,346288.0,6487.0,0
12/22/2020,351193.0,6553.0,0
12/23/2020,355664.0,6633.0,0
12/24/2020,358213.0,6694.0,0
12/25/2020,359181.0,6750.0,0
12/26/2020,362661.0,6821.0,0
12/27/2020,365815.0,6895.0,0
12/28/2020,372741.0,6964.0,0
12/29/2020,378643.0,7043.0,0
12/30/2020,384351.0,7110.0,0
12/31/2020,388764.0,7181.0,0
1/1/2021,391078.0,7263.0,0
1/2/2021,394501.0,7341.0,0
1/3/2021,397806.0,7416.0,0
1/4/2021,404542.0,7509.0,0
1/5/2021,409995.0,7579.0,0
1/6/2021,414667.0,7659.0,0
1/7/2021,419035.0,7738.0,0
1/8/2021,422965.0,7810.0,0
1/9/2021,425323.0,7893.0,0
1/10/2021,427393.0,7978.0,0
1/11/2021,431705.0,8065.0,0
1/12/2021,435231.0,8142.0,0
1/13/2021,438562.0,8227.0,0
1/14/2021,441827.0,8323.0,0
1/15/2021,444910.0,8398.0,0
1/16/2021,446794.0,8467.0,0
1/17/2021,448586.0,8537.0,0
1/18/2021,452069.0,8623.0,0
1/19/2021,455434.0,8703.0,0
1/20/2021,458454.0,8786.0,0
1/21/2021,461351.0,8874.0,0
1/22/2021,463951.0,8959.0,0
1/23/2021,465576.0,9032.0,0
1/24/2021,467227.0,9102.0,0
1/25/2021,470616.0,9166.0,0
1/26/2021,473524.0,9242.0,0
1/27/2021,476096.0,9303.0,0
1/28/2021,478436.0,9386.0,0
1/29/2021,480403.0,9464.0,0
1/30/2021,481656.0,9531.0,0
1/31/2021,482884.0,9570.0,0
2/1/2021,485360.0,9624.0,0
2/2/2021,487357.0,9677.0,0
2/3/2021,489099.0,9733.0,0
2/4/2021,490748.0,9783.0,0
2/5/2021,492330.0,9834.0,0
2/6/2021,493309.0,9876.0,0
2/7/2021,494231.0,9911.0,0
2/8/2021,495938.0,9947.0,0
2/9/2021,497410.0,9994.0,0
2/10/2021,498768.0,10043.0,0
2/11/2021,499949.0,10079.0,0
2/12/2021,501049.0,10112.0,0
2/13/2021,501803.0,10137.0,0
2/14/2021,502448.0,10169.0,0
2/15/2021,503451.0,10197.0,0
2/16/2021,504153.0,10227.0,0
2/17/2021,505263.0,10259.0,0
2/18/2021,506161.0,10288.0,0
2/19/2021,506957.0,10323.0,0
2/20/2021,507564.0,10355.0,0
2/21/2021,508142.0,10389.0,0
2/22/2021,509180.0,10410.0,0
2/23/2021,510050.0,10432.0,0
2/24/2021,511047.0,10455.0,0
2/25/2021,511817.0,10477.0,0
2/26/2021,512487.0,10506.0,0
2/27/2021,512935.0,10525.0,0
2/28/2021,513439.0,10538.0,0
3/1/2021,514283.0,10555.0,0
3/2/2021,514866.0,10569.0,0
3/3/2021,515428.0,10579.0,0
3/4/2021,515949.0,10598.0,0
3/5/2021,516474.0,10617.0,0
3/6/2021,516841.0,10635.0,0
3/7/2021,517189.0,10650.0,0
3/8/2021,517721.0,10665.0,0
3/9/2021,518233.0,10681.0,0
3/10/2021,518725.0,10698.0,0
3/11/2021,519213.0,10708.0,0
3/12/2021,519720.0,10718.0,0
3/13/2021,520017.0,10735.0,0
3/14/2021,520313.0,10754.0,0
3/15/2021,520893.0,10764.0,0
3/16/2021,521370.0,10776.0,0
3/17/2021,521777.0,10794.0,0
3/18/2021,522250.0,10799.0,0
3/19/2021,522645.0,10805.0,0
3/20/2021,522987.0,10816.0,0
3/21/2021,523264.0,10830.0,0
3/22/2021,523811.0,10838.0,0
3/23/2021,524261.0,10847.0,0
3/24/2021,524681.0,10854.0,0
3/25/2021,525002.0,10873.0,0
3/26/2021,525366.0,10882.0,0
3/27/2021,525658.0,10891.0,0
3/28/2021,525939.0,10901.0,0
3/29/2021,526404.0,10910.0,0
3/30/2021,526824.0,10921.0,0
3/31/2021,527175.0,10925.0,0
4/1/2021,527574.0,10936.0,0
4/2/2021,527945.0,10943.0,0
4/3/2021,528203.0,10955.0,0
4/4/2021,528448.0,10964.0,0
4/5/2021,529019.0,10971.0,0
4/6/2021,529491.0,10979.0,0
4/7/2021,529947.0,10991.0,0
4/8/2021,530365.0,10994.0,0
4/9/2021,530799.0,11006.0,0
4/10/2021,531122.0,11010.0,0
4/11/2021,531419.0,11017.0,0
4/12/2021,532009.0,11022.0,0
4/13/2021,532509.0,11033.0,0
4/14/2021,532979.0,11039.0,0
4/15/2021,533410.0,11040.0,0
4/16/2021,533840.0,11044.0,0
4/17/2021,534119.0,11052.0,0
4/18/2021,534442.0,11058.0,0
4/19/2021,535000.0,11060.0,0
4/20/2021,535463.0,11067.0,0
4/21/2021,535896.0,11073.0,0
4/22/2021,536290.0,11078.0,0
4/23/2021,536688.0,11084.0,0
4/24/2021,536968.0,11097.0,0
4/25/2021,537254.0,11104.0,0
4/26/2021,537763.0,11111.0,0
4/27/2021,538220.0,11117.0,0
4/28/2021,538704.0,11122.0,0
4/29/2021,539105.0,11132.0,0
4/30/2021,539470.0,11137.0,0
5/1/2021,539767.0,11142.0,0
5/2/2021,540059.0,11148.0,0
5/3/2021,540562.0,11154.0,0
5/4/2021,540948.0,11165.0,0
5/5/2021,541332.0,11173.0,0
5/6/2021,541683.0,11182.0,0
5/7/2021,542003.0,11196.0,0
5/8/2021,542254.0,11202.0,0
5/9/2021,542484.0,11213.0,0
5/10/2021,542903.0,11218.0,0
5/11/2021,543221.0,11230.0,0
5/12/2021,543612.0,11235.0,0
5/13/2021,543921.0,11239.0,0
5/14/2021,544213.0,11247.0,0
5/15/2021,544431.0,11253.0,0
5/16/2021,544652.0,11264.0,0
5/17/2021,545030.0,11269.0,0
5/18/2021,545317.0,11274.0,0
5/19/2021,545589.0,11281.0,0
5/20/2021,545862.0,11289.0,0
5/21/2021,546156.0,11295.0,0
5/22/2021,546352.0,11300.0,0
5/23/2021,546515.0,11300.0,0
5/24/2021,546785.0,11307.0,0
5/25/2021,546994.0,11314.0,0
5/26/2021,547198.0,11317.0,0
5/27/2021,547386.0,11324.0,0
5/28/2021,547548.0,11326.0,0
5/29/2021,547662.0,11331.0,0
5/30/2021,547797.0,11337.0,0
5/31/2021,547937.0,11341.0,0
6/1/2021,548195.0,11346.0,0
6/2/2021,548400.0,11353.0,0
6/3/2021,548569.0,11357.0,0
6/4/2021,548703.0,11363.0,0
6/5/2021,548816.0,11366.0,0
6/6/2021,548941.0,11373.0,0
6/7/2021,549151.0,11379.0,0
6/8/2021,549304.0,11386.0,0
6/9/2021,549478.0,11388.0,0
6/10/2021,549621.0,11391.0,0
6/11/2021,549775.0,11393.0,0
6/12/2021,549880.0,11399.0,0
6/13/2021,550007.0,11403.0,0
6/14/2021,550201.0,11404.0,0
6/15/2021,550339.0,11407.0,0
6/16/2021,550533.0,11413.0,0
6/17/2021,550700.0,11417.0,0
6/18/2021,550855.0,11419.0,0
6/19/2021,550972.0,11422.0,0
6/20/2021,551119.0,11424.0,0
6/21/2021,551329.0,11429.0,0
6/22/2021,551540.0,11434.0,0
6/23/2021,551779.0,11439.0,0
6/24/2021,551988.0,11444.0,0
6/25/2021,552202.0,11450.0,0
6/26/2021,552400.0,11455.0,0
6/27/2021,552618.0,11459.0,0
6/28/2021,552929.0,11463.0,0
6/29/2021,553188.0,11466.0,0
6/30/2021,553462.0,11466.0,0
7/1/2021,553765.0,11468.0,0
7/2/2021,554050.0,11472.0,0
7/3/2021,554308.0,11477.0,0
7/4/2021,554542.0,11485.0,0
7/5/2021,554936.0,11489.0,0
7/6/2021,555417.0,11492.0,0
7/7/2021,555904.0,11497.0,0
7/8/2021,556430.0,11501.0,0
7/9/2021,556943.0,11506.0,0
7/10/2021,557352.0,11510.0,0
7/11/2021,557830.0,11513.0,0
7/12/2021,558657.0,11516.0,0
7/13/2021,559453.0,11523.0,0
7/14/2021,560374.0,11531.0,0
7/15/2021,561360.0,11538.0,0
7/16/2021,562388.0,11544.0,0
7/17/2021,563301.0,11547.0,0
7/18/2021,564321.0,11553.0,0
7/19/2021,566170.0,11564.0,0
7/20/2021,567916.0,11570.0,0
7/21/2021,569621.0,11582.0,0
7/22/2021,571596.0,11591.0,0
7/23/2021,573557.0,11596.0,0
7/24/2021,575142.0,11604.0,0
7/25/2021,576929.0,11616.0,0
7/26/2021,579933.0,11626.0,0
7/27/2021,582806.0,11642.0,0
7/28/2021,585951.0,11653.0,0
7/29/2021,588940.0,11668.0,0
7/30/2021,591776.0,11680.0,0
7/31/2021,593895.0,11695.0,0
8/1/2021,596364.0,11714.0,0
8/2/2021,600785.0,11745.0,0
8/3/2021,604920.0,11767.0,0
8/4/2021,608775.0,11788.0,0
8/5/2021,612631.0,11818.0,0
8/6/2021,616176.0,11842.0,0
8/7/2021,618792.0,11870.0,0
8/8/2021,621560.0,11905.0,0
8/9/2021,626597.0,11945.0,0
8/10/2021,631248.0,11974.0,0
8/11/2021,635711.0,12015.0,0
8/12/2021,639898.0,12041.0,0
8/13/2021,643806.0,12086.0,0
8/14/2021,646495.0,12138.0,0
8/15/2021,649351.0,12171.0,0
8/16/2021,654968.0,12213.0,0
8/17/2021,660248.0,12248.0,0
8/18/2021,665185.0,12295.0,0
8/19/2021,669979.0,12327.0,0
8/20/2021,674418.0,12357.0,0
8/21/2021,677150.0,12391.0,0
8/22/2021,679811.0,12418.0,0
8/23/2021,685582.0,12449.0,0
8/24/2021,690508.0,12472.0,0
8/25/2021,695177.0,12492.0,0
8/26/2021,699738.0,12519.0,0
8/27/2021,704141.0,12540.0,0
8/28/2021,706701.0,12559.0,0
8/29/2021,709194.0,12581.0,0
8/30/2021,714229.0,12592.0,0
8/31/2021,718956.0,12603.0,0
9/1/2021,723341.0,12624.0,0
9/2/2021,727137.0,12632.0,0
9/3/2021,730458.0,12639.0,0
9/4/2021,732449.0,12647.0,0
9/5/2021,734432.0,12649.0,0
9/6/2021,736572.0,12657.0,0
9/7/2021,741003.0,12663.0,0
9/8/2021,744166.0,12666.0,0
9/9/2021,746816.0,12671.0,0
9/10/2021,748611.0,12676.0,0
9/11/2021,749516.0,12678.0,0
9/12/2021,750298.0,12678.0,0
9/13/2021,754242.0,12718.0,0
9/14/2021,757893.0,12784.0,0
9/15/2021,761865.0,12856.0,0
9/16/2021,764839.0,13048.0,0
9/17/2021,768301.0,13209.0,0
9/18/2021,770391.0,13210.0,0
9/19/2021,772311.0,13210.0,0
9/20/2021,775531.0,13460.0,0
9/21/2021,778549.0,13665.0,0
9/22/2021,781915.0,13798.0,0
