Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,2.0,0.0,0
1/27/2020,2.0,0.0,0
1/28/2020,2.0,0.0,0
1/29/2020,2.0,0.0,0
1/30/2020,2.0,0.0,0
1/31/2020,3.0,0.0,0
2/1/2020,3.0,0.0,0
2/2/2020,3.0,0.0,0
2/3/2020,496.0,226.0,0
2/4/2020,503.0,226.0,0
2/5/2020,507.0,226.0,0
2/6/2020,509.0,226.0,0
2/7/2020,513.0,226.0,0
2/8/2020,520.0,227.0,0
2/9/2020,553.0,227.0,0
2/10/2020,561.0,227.0,0
2/11/2020,570.0,227.0,0
2/12/2020,578.0,227.0,0
2/13/2020,583.0,227.0,0
2/14/2020,588.0,227.0,0
2/15/2020,591.0,227.0,0
2/16/2020,604.0,227.0,0
2/17/2020,616.0,227.0,0
2/18/2020,623.0,227.0,0
2/19/2020,639.0,228.0,0
2/20/2020,651.0,228.0,0
2/21/2020,663.0,228.0,0
2/22/2020,687.0,228.0,0
2/23/2020,709.0,228.0,0
2/24/2020,724.0,228.0,0
2/25/2020,743.0,228.0,0
2/26/2020,783.0,228.0,0
2/27/2020,809.0,228.0,0
2/28/2020,852.0,228.0,0
2/29/2020,877.0,228.0,0
3/1/2020,931.0,228.0,0
3/2/2020,971.0,228.0,0
3/3/2020,1072.0,228.0,0
3/4/2020,1148.0,228.0,0
3/5/2020,1233.0,229.0,0
3/6/2020,1328.0,230.0,0
3/7/2020,1437.0,230.0,0
3/8/2020,1593.0,231.0,0
3/9/2020,1754.0,231.0,0
3/10/2020,1935.0,231.0,0
3/11/2020,2262.0,234.0,0
3/12/2020,2615.0,234.0,0
3/13/2020,3035.0,235.0,0
3/14/2020,3537.0,235.0,0
3/15/2020,4110.0,236.0,0
3/16/2020,4613.0,237.0,0
3/17/2020,5213.0,239.0,0
3/18/2020,6073.0,244.0,0
3/19/2020,6894.0,250.0,0
3/20/2020,7648.0,250.0,0
3/21/2020,8413.0,257.0,0
3/22/2020,9352.0,264.0,0
3/23/2020,10037.0,274.0,0
3/24/2020,10788.0,288.0,0
3/25/2020,11793.0,306.0,0
3/26/2020,12631.0,324.0,0
3/27/2020,13675.0,344.0,0
3/28/2020,14639.0,359.0,0
3/29/2020,15632.0,381.0,0
3/30/2020,16576.0,407.0,0
3/31/2020,17400.0,432.0,0
4/1/2020,18769.0,461.0,0
4/2/2020,20018.0,503.0,0
4/3/2020,21518.0,544.0,0
4/4/2020,22890.0,600.0,0
4/5/2020,24400.0,653.0,0
4/6/2020,25522.0,691.0,0
4/7/2020,26664.0,748.0,0
4/8/2020,28016.0,784.0,0
4/9/2020,29432.0,846.0,0
4/10/2020,30894.0,910.0,0
4/11/2020,32289.0,969.0,0
4/12/2020,33751.0,1031.0,0
4/13/2020,34800.0,1085.0,0
4/14/2020,35776.0,1153.0,0
4/15/2020,37288.0,1232.0,0
4/16/2020,38773.0,1321.0,0
4/17/2020,40434.0,1389.0,0
4/18/2020,42095.0,1488.0,0
4/19/2020,43680.0,1563.0,0
4/20/2020,44878.0,1632.0,0
4/21/2020,45947.0,1699.0,0
4/22/2020,47845.0,1786.0,0
4/23/2020,49512.0,1858.0,0
4/24/2020,51261.0,1943.0,0
4/25/2020,53096.0,2032.0,0
4/26/2020,55104.0,2111.0,0
4/27/2020,56705.0,2178.0,0
4/28/2020,57961.0,2249.0,0
4/29/2020,60196.0,2316.0,0
4/30/2020,62292.0,2409.0,0
5/1/2020,64316.0,2487.0,0
5/2/2020,66233.0,2566.0,0
5/3/2020,68454.0,2640.0,0
5/4/2020,69839.0,2736.0,0
5/5/2020,70984.0,2806.0,0
5/6/2020,73399.0,2882.0,0
5/7/2020,75998.0,2949.0,0
5/8/2020,78326.0,3047.0,0
5/9/2020,80473.0,3131.0,0
5/10/2020,82725.0,3215.0,0
5/11/2020,84295.0,3303.0,0
5/12/2020,85622.0,3377.0,0
5/13/2020,88053.0,3444.0,0
5/14/2020,90506.0,3528.0,0
5/15/2020,92792.0,3603.0,0
5/16/2020,95440.0,3678.0,0
5/17/2020,97945.0,3753.0,0
5/18/2020,99657.0,3844.0,0
5/19/2020,100985.0,3917.0,0
5/20/2020,103759.0,4006.0,0
5/21/2020,106173.0,4081.0,0
5/22/2020,108874.0,4153.0,0
5/23/2020,111311.0,4210.0,0
5/24/2020,113834.0,4290.0,0
5/25/2020,115580.0,4361.0,0
5/26/2020,116980.0,4438.0,0
5/27/2020,119217.0,4497.0,0
5/28/2020,122818.0,4577.0,0
5/29/2020,126347.0,4658.0,0
5/30/2020,129528.0,4729.0,0
5/31/2020,133322.0,4790.0,0
6/1/2020,135549.0,4856.0,0
6/2/2020,137143.0,4923.0,0
6/3/2020,140803.0,5001.0,0
6/4/2020,144705.0,5066.0,0
6/5/2020,148117.0,5151.0,0
6/6/2020,151713.0,5225.0,0
6/7/2020,155418.0,5291.0,0
6/8/2020,158113.0,5356.0,0
6/9/2020,160133.0,5423.0,0
6/10/2020,164335.0,5503.0,0
6/11/2020,168343.0,5578.0,0
6/12/2020,172598.0,5640.0,0
6/13/2020,176671.0,5699.0,0
6/14/2020,181156.0,5769.0,0
6/15/2020,184802.0,5842.0,0
6/16/2020,187805.0,5906.0,0
6/17/2020,194227.0,5973.0,0
6/18/2020,200691.0,6033.0,0
6/19/2020,207434.0,6102.0,0
6/20/2020,214191.0,6169.0,0
6/21/2020,221104.0,6249.0,0
6/22/2020,226461.0,6327.0,0
6/23/2020,230800.0,6400.0,0
6/24/2020,240194.0,6472.0,0
6/25/2020,249888.0,6538.0,0
6/26/2020,259749.0,6630.0,0
6/27/2020,269178.0,6699.0,0
6/28/2020,278289.0,6783.0,0
6/29/2020,284566.0,6847.0,0
6/30/2020,290043.0,6943.0,0
7/1/2020,300577.0,7039.0,0
7/2/2020,311133.0,7135.0,0
7/3/2020,322393.0,7221.0,0
7/4/2020,333055.0,7329.0,0
7/5/2020,341076.0,7423.0,0
7/6/2020,346484.0,7509.0,0
7/7/2020,352743.0,7606.0,0
7/8/2020,364547.0,7724.0,0
7/9/2020,377123.0,7826.0,0
7/10/2020,389336.0,7933.0,0
7/11/2020,400554.0,8026.0,0
7/12/2020,412040.0,8140.0,0
7/13/2020,419623.0,8258.0,0
7/14/2020,425540.0,8367.0,0
7/15/2020,437248.0,8510.0,0
7/16/2020,448883.0,8643.0,0
7/17/2020,460579.0,8774.0,0
7/18/2020,471704.0,8903.0,0
7/19/2020,482516.0,9026.0,0
7/20/2020,489884.0,9155.0,0
7/21/2020,495407.0,9282.0,0
7/22/2020,506519.0,9430.0,0
7/23/2020,516695.0,9568.0,0
7/24/2020,526146.0,9711.0,0
7/25/2020,534705.0,9851.0,0
7/26/2020,543042.0,9988.0,0
7/27/2020,548874.0,10163.0,0
7/28/2020,553071.0,10306.0,0
7/29/2020,562226.0,10455.0,0
7/30/2020,571111.0,10583.0,0
7/31/2020,578966.0,10740.0,0
8/1/2020,586254.0,10884.0,0
8/2/2020,593597.0,11032.0,0
8/3/2020,599040.0,11170.0,0
8/4/2020,602658.0,11307.0,0
8/5/2020,610279.0,11484.0,0
8/6/2020,617590.0,11644.0,0
8/7/2020,624365.0,11793.0,0
8/8/2020,630658.0,11913.0,0
8/9/2020,637157.0,12048.0,0
8/10/2020,641482.0,12183.0,0
8/11/2020,644692.0,12312.0,0
8/12/2020,651842.0,12452.0,0
8/13/2020,658128.0,12607.0,0
8/14/2020,664157.0,12719.0,0
8/15/2020,669428.0,12838.0,0
8/16/2020,674707.0,12960.0,0
8/17/2020,678398.0,13088.0,0
8/18/2020,681106.0,13219.0,0
8/19/2020,686950.0,13336.0,0
8/20/2020,692309.0,13458.0,0
8/21/2020,697089.0,13592.0,0
8/22/2020,701862.0,13700.0,0
8/23/2020,706334.0,13819.0,0
8/24/2020,709508.0,13940.0,0
8/25/2020,712120.0,14047.0,0
8/26/2020,717713.0,14154.0,0
8/27/2020,722694.0,14261.0,0
8/28/2020,727409.0,14360.0,0
8/29/2020,731485.0,14477.0,0
8/30/2020,735487.0,14564.0,0
8/31/2020,738172.0,14682.0,0
9/1/2020,740479.0,14792.0,0
9/2/2020,744915.0,14880.0,0
9/3/2020,749591.0,14981.0,0
9/4/2020,753723.0,15063.0,0
9/5/2020,757475.0,15144.0,0
9/6/2020,761017.0,15232.0,0
9/7/2020,763340.0,15318.0,0
9/8/2020,765352.0,15401.0,0
9/9/2020,767718.0,15475.0,0
9/10/2020,772033.0,15556.0,0
9/11/2020,775701.0,15642.0,0
9/12/2020,778992.0,15714.0,0
9/13/2020,782413.0,15790.0,0
9/14/2020,784794.0,15864.0,0
9/15/2020,786861.0,15934.0,0
9/16/2020,791094.0,16012.0,0
9/17/2020,794927.0,16094.0,0
9/18/2020,798802.0,16156.0,0
9/19/2020,802166.0,16228.0,0
9/20/2020,805663.0,16288.0,0
9/21/2020,808215.0,16361.0,0
9/22/2020,810422.0,16432.0,0
9/23/2020,814608.0,16488.0,0
9/24/2020,818408.0,16556.0,0
9/25/2020,822256.0,16623.0,0
9/26/2020,825693.0,16694.0,0
9/27/2020,829255.0,16751.0,0
9/28/2020,831649.0,16827.0,0
9/29/2020,833762.0,16886.0,0
9/30/2020,837896.0,16941.0,0
10/1/2020,841775.0,16993.0,0
10/2/2020,845559.0,17034.0,0
10/3/2020,849370.0,17091.0,0
10/4/2020,852810.0,17151.0,0
10/5/2020,855530.0,17201.0,0
10/6/2020,857811.0,17270.0,0
10/7/2020,862219.0,17325.0,0
10/8/2020,866037.0,17375.0,0
10/9/2020,869850.0,17432.0,0
10/10/2020,873700.0,17488.0,0
10/11/2020,877330.0,17538.0,0
10/12/2020,880400.0,17588.0,0
10/13/2020,882684.0,17634.0,0
10/14/2020,887123.0,17676.0,0
10/15/2020,891037.0,17724.0,0
10/16/2020,894930.0,17769.0,0
10/17/2020,898937.0,17809.0,0
10/18/2020,902844.0,17851.0,0
10/19/2020,905843.0,17886.0,0
10/20/2020,908479.0,17923.0,0
10/21/2020,913639.0,17978.0,0
10/22/2020,918410.0,18021.0,0
10/23/2020,922948.0,18063.0,0
10/24/2020,927222.0,18104.0,0
10/25/2020,931929.0,18157.0,0
10/26/2020,935281.0,18205.0,0
10/27/2020,938291.0,18251.0,0
10/28/2020,943909.0,18291.0,0
10/29/2020,948911.0,18342.0,0
10/30/2020,953985.0,18383.0,0
10/31/2020,959027.0,18438.0,0
11/1/2020,964742.0,18475.0,0
11/2/2020,969343.0,18525.0,0
11/3/2020,974498.0,18583.0,0
11/4/2020,983381.0,18637.0,0
11/5/2020,991904.0,18675.0,0
11/6/2020,1000592.0,18722.0,0
11/7/2020,1009054.0,18763.0,0
11/8/2020,1017843.0,18817.0,0
11/9/2020,1024501.0,18862.0,0
11/10/2020,1030245.0,18919.0,0
11/11/2020,1041673.0,18964.0,0
11/12/2020,1052955.0,19024.0,0
11/13/2020,1063936.0,19083.0,0
11/14/2020,1075877.0,19157.0,0
11/15/2020,1088760.0,19239.0,0
11/16/2020,1099015.0,19313.0,0
11/17/2020,1108528.0,19393.0,0
11/18/2020,1126736.0,19486.0,0
11/19/2020,1144447.0,19589.0,0
11/20/2020,1162360.0,19666.0,0
11/21/2020,1179541.0,19779.0,0
11/22/2020,1197704.0,19859.0,0
11/23/2020,1210608.0,19954.0,0
11/24/2020,1221331.0,20059.0,0
11/25/2020,1243214.0,20159.0,0
11/26/2020,1264596.0,20271.0,0
11/27/2020,1286324.0,20400.0,0
11/28/2020,1295862.0,20509.0,0
11/29/2020,1314800.0,20629.0,0
11/30/2020,1333769.0,20790.0,0
12/1/2020,1350579.0,20918.0,0
12/2/2020,1384381.0,21080.0,0
12/3/2020,1420154.0,21241.0,0
12/4/2020,1454952.0,21417.0,0
12/5/2020,1488165.0,21634.0,0
12/6/2020,1521297.0,21829.0,0
12/7/2020,1546815.0,22067.0,0
12/8/2020,1566301.0,22301.0,0
12/9/2020,1609032.0,22563.0,0
12/10/2020,1651949.0,22791.0,0
12/11/2020,1695353.0,23041.0,0
12/12/2020,1738109.0,23357.0,0
12/13/2020,1780206.0,23655.0,0
12/14/2020,1812296.0,23940.0,0
12/15/2020,1834824.0,24276.0,0
12/16/2020,1886597.0,24635.0,0
12/17/2020,1937197.0,25015.0,0
12/18/2020,1985205.0,25392.0,0
12/19/2020,2031902.0,25785.0,0
12/20/2020,2075375.0,26246.0,0
12/21/2020,2106742.0,26712.0,0
12/22/2020,2129182.0,27154.0,0
12/23/2020,2179917.0,27648.0,0
12/24/2020,2231079.0,28183.0,0
12/25/2020,2278377.0,28686.0,0
12/26/2020,2306621.0,29237.0,0
12/27/2020,2320298.0,29810.0,0
12/28/2020,2356975.0,30408.0,0
12/29/2020,2384661.0,30993.0,0
12/30/2020,2445142.0,31610.0,0
12/31/2020,2506077.0,32193.0,0
1/1/2021,2562617.0,32814.0,0
1/2/2021,2600368.0,33455.0,0
1/3/2021,2620673.0,34114.0,0
1/4/2021,2659981.0,34751.0,0
1/5/2021,2688659.0,35419.0,0
1/6/2021,2751668.0,36112.0,0
1/7/2021,2808662.0,36817.0,0
1/8/2021,2861258.0,37509.0,0
1/9/2021,2908436.0,38215.0,0
1/10/2021,2951451.0,38894.0,0
1/11/2021,2981271.0,39575.0,0
1/12/2021,3001412.0,40249.0,0
1/13/2021,3045429.0,40951.0,0
1/14/2021,3085416.0,41654.0,0
1/15/2021,3121384.0,42283.0,0
1/16/2021,3154322.0,42939.0,0
1/17/2021,3184620.0,43642.0,0
1/18/2021,3205426.0,44263.0,0
1/19/2021,3219823.0,44896.0,0
1/20/2021,3244821.0,45492.0,0
1/21/2021,3273604.0,46081.0,0
1/22/2021,3300004.0,46682.0,0
1/23/2021,3323236.0,47239.0,0
1/24/2021,3344139.0,47784.0,0
1/25/2021,3358273.0,48276.0,0
1/26/2021,3369195.0,48724.0,0
1/27/2021,3390460.0,49231.0,0
1/28/2021,3409167.0,49726.0,0
1/29/2021,3425668.0,50184.0,0
1/30/2021,3440946.0,50643.0,0
1/31/2021,3454476.0,51101.0,0
2/1/2021,3465120.0,51530.0,0
2/2/2021,3473530.0,51941.0,0
2/3/2021,3489574.0,52413.0,0
