Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,1.0,0.0,0
3/9/2020,1.0,0.0,0
3/10/2020,2.0,0.0,0
3/11/2020,3.0,0.0,0
3/12/2020,7.0,0.0,0
3/13/2020,7.0,0.0,0
3/14/2020,7.0,0.0,0
3/15/2020,26.0,0.0,0
3/16/2020,41.0,0.0,0
3/17/2020,68.0,0.0,0
3/18/2020,96.0,1.0,0
3/19/2020,159.0,3.0,0
3/20/2020,194.0,4.0,0
3/21/2020,223.0,5.0,0
3/22/2020,327.0,8.0,0
3/23/2020,415.0,10.0,0
3/24/2020,618.0,12.0,0
3/25/2020,875.0,19.0,0
3/26/2020,1012.0,21.0,0
3/27/2020,1291.0,27.0,0
3/28/2020,1524.0,33.0,0
3/29/2020,1993.0,34.0,0
3/30/2020,2571.0,36.0,0
3/31/2020,3128.0,69.0,0
4/1/2020,3557.0,85.0,0
4/2/2020,3824.0,112.0,0
4/3/2020,4915.0,132.0,0
4/4/2020,5276.0,165.0,0
4/5/2020,5675.0,189.0,0
4/6/2020,6906.0,206.0,0
4/7/2020,7781.0,277.0,0
4/8/2020,8781.0,335.0,0
4/9/2020,9784.0,380.0,0
4/10/2020,10131.0,444.0,0
4/11/2020,11510.0,494.0,0
4/12/2020,12035.0,554.0,0
4/13/2020,13381.0,602.0,0
4/14/2020,13989.0,608.0,0
4/15/2020,14755.0,868.0,0
4/16/2020,15884.0,971.0,0
4/17/2020,16809.0,1036.0,0
4/18/2020,17550.0,1086.0,0
4/19/2020,17962.0,1127.0,0
4/20/2020,19815.0,1331.0,0
4/21/2020,20360.0,1423.0,0
4/22/2020,22469.0,1544.0,0
4/23/2020,23100.0,1639.0,0
4/24/2020,23921.0,1764.0,0
4/25/2020,24582.0,1862.0,0
4/26/2020,25269.0,1924.0,0
4/27/2020,25997.0,2012.0,0
4/28/2020,26312.0,2089.0,0
4/29/2020,26767.0,2168.0,0
4/30/2020,27700.0,2257.0,0
5/1/2020,28764.0,2339.0,0
5/2/2020,29287.0,2436.0,0
5/3/2020,29312.0,2495.0,0
5/4/2020,29973.0,2556.0,0
5/5/2020,30621.0,2633.0,0
5/6/2020,30995.0,2718.0,0
5/7/2020,31784.0,2797.0,0
5/8/2020,32411.0,2874.0,0
5/9/2020,32984.0,2932.0,0
5/10/2020,33554.0,2967.0,0
5/11/2020,33765.0,3008.0,0
5/12/2020,34333.0,3041.0,0
5/13/2020,34855.0,3125.0,0
5/14/2020,35464.0,3219.0,0
5/15/2020,36085.0,3285.0,0
5/16/2020,36703.0,3339.0,0
5/17/2020,37419.0,3408.0,0
5/18/2020,38116.0,3449.0,0
5/19/2020,38430.0,3472.0,0
5/20/2020,39017.0,3529.0,0
5/21/2020,39208.0,3582.0,0
5/22/2020,39640.0,3637.0,0
5/23/2020,40022.0,3675.0,0
5/24/2020,40468.0,3693.0,0
5/25/2020,40873.0,3742.0,0
5/26/2020,41303.0,3769.0,0
5/27/2020,41288.0,3803.0,0
5/28/2020,41559.0,3826.0,0
5/29/2020,41762.0,3868.0,0
5/30/2020,42022.0,3912.0,0
5/31/2020,42201.0,3944.0,0
6/1/2020,42740.0,3964.0,0
6/2/2020,42979.0,3972.0,0
6/3/2020,43091.0,3989.0,0
6/4/2020,43239.0,4007.0,0
6/5/2020,43460.0,4038.0,0
6/6/2020,43818.0,4055.0,0
6/7/2020,43968.0,4071.0,0
6/8/2020,44092.0,4084.0,0
6/9/2020,44179.0,4097.0,0
6/10/2020,44347.0,4120.0,0
6/11/2020,44461.0,4146.0,0
6/12/2020,44689.0,4159.0,0
6/13/2020,44994.0,4186.0,0
6/14/2020,45088.0,4201.0,0
6/15/2020,45235.0,4204.0,0
6/16/2020,45349.0,4210.0,0
6/17/2020,45429.0,4219.0,0
6/18/2020,45440.0,4226.0,0
6/19/2020,45557.0,4238.0,0
6/20/2020,45715.0,4251.0,0
6/21/2020,45755.0,4260.0,0
6/22/2020,45782.0,4263.0,0
6/23/2020,45899.0,4277.0,0
6/24/2020,45913.0,4287.0,0
6/25/2020,45994.0,4298.0,0
6/26/2020,46059.0,4307.0,0
6/27/2020,46206.0,4311.0,0
6/28/2020,46303.0,4316.0,0
6/29/2020,46362.0,4320.0,0
6/30/2020,46514.0,4322.0,0
7/1/2020,46572.0,4324.0,0
7/2/2020,46646.0,4326.0,0
7/3/2020,46717.0,4335.0,0
7/4/2020,46717.0,4335.0,0
7/5/2020,46717.0,4335.0,0
7/6/2020,46976.0,4338.0,0
7/7/2020,47033.0,4338.0,0
7/8/2020,47108.0,4343.0,0
7/9/2020,47209.0,4348.0,0
7/10/2020,47287.0,4348.0,0
7/11/2020,47287.0,4348.0,0
7/12/2020,47287.0,4348.0,0
7/13/2020,47510.0,4371.0,0
7/14/2020,47530.0,4372.0,0
7/15/2020,47636.0,4380.0,0
7/16/2020,47750.0,4389.0,0
7/17/2020,47893.0,4396.0,0
7/18/2020,47893.0,4396.0,0
7/19/2020,47893.0,4396.0,0
7/20/2020,48055.0,4406.0,0
7/21/2020,48096.0,4406.0,0
7/22/2020,48223.0,4406.0,0
7/23/2020,48232.0,4410.0,0
7/24/2020,48776.0,4413.0,0
7/25/2020,48776.0,4413.0,0
7/26/2020,48776.0,4413.0,0
7/27/2020,48983.0,4418.0,0
7/28/2020,49077.0,4423.0,0
7/29/2020,49540.0,4425.0,0
7/30/2020,49670.0,4431.0,0
7/31/2020,49810.0,4432.0,0
8/1/2020,49810.0,4432.0,0
8/2/2020,49810.0,4432.0,0
8/3/2020,50062.0,4437.0,0
8/4/2020,50110.0,4437.0,0
8/5/2020,50225.0,4437.0,0
8/6/2020,50245.0,4437.0,0
8/7/2020,50320.0,4441.0,0
8/8/2020,50320.0,4441.0,0
8/9/2020,50320.0,4441.0,0
8/10/2020,50567.0,4444.0,0
8/11/2020,50684.0,4444.0,0
8/12/2020,50706.0,4450.0,0
8/13/2020,50782.0,4450.0,0
8/14/2020,50897.0,4453.0,0
8/15/2020,50897.0,4453.0,0
8/16/2020,50897.0,4453.0,0
8/17/2020,51267.0,4456.0,0
8/18/2020,51255.0,4456.0,0
8/19/2020,51314.0,4457.0,0
8/20/2020,51432.0,4458.0,0
8/21/2020,51519.0,4460.0,0
8/22/2020,51519.0,4460.0,0
8/23/2020,51519.0,4460.0,0
8/24/2020,52011.0,4460.0,0
8/25/2020,52040.0,4463.0,0
8/26/2020,52220.0,4463.0,0
8/27/2020,52350.0,4465.0,0
8/28/2020,52495.0,4465.0,0
8/29/2020,52495.0,4465.0,0
8/30/2020,52495.0,4465.0,0
8/31/2020,52879.0,4465.0,0
9/1/2020,53006.0,4466.0,0
9/2/2020,53108.0,4467.0,0
9/3/2020,53209.0,4468.0,0
9/4/2020,53365.0,4468.0,0
9/5/2020,53365.0,4468.0,0
9/6/2020,53365.0,4468.0,0
9/7/2020,53365.0,4468.0,0
9/8/2020,53782.0,4474.0,0
9/9/2020,53871.0,4474.0,0
9/10/2020,54093.0,4478.0,0
9/11/2020,54326.0,4480.0,0
9/12/2020,54326.0,4480.0,0
9/13/2020,54326.0,4480.0,0
9/14/2020,54895.0,4485.0,0
9/15/2020,55031.0,4485.0,0
9/16/2020,55166.0,4487.0,0
9/17/2020,55386.0,4488.0,0
9/18/2020,55527.0,4492.0,0
9/19/2020,55527.0,4492.0,0
9/20/2020,55527.0,4492.0,0
9/21/2020,56024.0,4495.0,0
9/22/2020,56160.0,4496.0,0
9/23/2020,56315.0,4497.0,0
9/24/2020,56472.0,4499.0,0
9/25/2020,56587.0,4501.0,0
9/26/2020,56587.0,4501.0,0
9/27/2020,56587.0,4501.0,0
9/28/2020,57147.0,4503.0,0
9/29/2020,57329.0,4505.0,0
9/30/2020,57550.0,4508.0,0
10/1/2020,57742.0,4511.0,0
10/2/2020,58297.0,4513.0,0
10/3/2020,58297.0,4513.0,0
10/4/2020,58297.0,4513.0,0
10/5/2020,59120.0,4517.0,0
10/6/2020,59241.0,4521.0,0
10/7/2020,59364.0,4522.0,0
10/8/2020,59748.0,4527.0,0
10/9/2020,60038.0,4530.0,0
10/10/2020,60038.0,4530.0,0
10/11/2020,60038.0,4530.0,0
10/12/2020,61377.0,4532.0,0
10/13/2020,61697.0,4533.0,0
10/14/2020,61861.0,4537.0,0
10/15/2020,62028.0,4540.0,0
10/16/2020,62830.0,4542.0,0
10/17/2020,62830.0,4542.0,0
10/18/2020,62830.0,4542.0,0
10/19/2020,64021.0,4554.0,0
10/20/2020,64455.0,4559.0,0
10/21/2020,64871.0,4567.0,0
10/22/2020,65373.0,4569.0,0
10/23/2020,66052.0,4577.0,0
10/24/2020,66052.0,4577.0,0
10/25/2020,66052.0,4577.0,0
10/26/2020,68099.0,4589.0,0
10/27/2020,68637.0,4595.0,0
10/28/2020,69127.0,4604.0,0
10/29/2020,70446.0,4609.0,0
10/30/2020,71207.0,4616.0,0
10/31/2020,71207.0,4616.0,0
11/1/2020,71207.0,4616.0,0
11/2/2020,73858.0,4627.0,0
11/3/2020,74843.0,4634.0,0
11/4/2020,75373.0,4645.0,0
11/5/2020,77060.0,4656.0,0
11/6/2020,78125.0,4671.0,0
11/7/2020,78125.0,4671.0,0
11/8/2020,78125.0,4674.0,0
11/9/2020,81463.0,4698.0,0
11/10/2020,82987.0,4707.0,0
11/11/2020,84741.0,4716.0,0
11/12/2020,85899.0,4726.0,0
11/13/2020,88645.0,4737.0,0
11/14/2020,88645.0,4737.0,0
11/15/2020,88645.0,4737.0,0
11/16/2020,93284.0,4759.0,0
11/17/2020,94986.0,4771.0,0
11/18/2020,97028.0,4784.0,0
11/19/2020,99381.0,4805.0,0
11/20/2020,101469.0,4828.0,0
11/21/2020,101469.0,4828.0,0
11/22/2020,101469.0,4828.0,0
11/23/2020,106740.0,4871.0,0
11/24/2020,107280.0,4881.0,0
11/25/2020,109152.0,4926.0,0
11/26/2020,109152.0,4926.0,0
11/27/2020,112581.0,4961.0,0
11/28/2020,112581.0,4961.0,0
11/29/2020,112581.0,4961.0,0
11/30/2020,117295.0,5020.0,0
12/1/2020,118754.0,5040.0,0
12/2/2020,121426.0,5091.0,0
12/3/2020,126177.0,5111.0,0
12/4/2020,127715.0,5146.0,0
12/5/2020,127715.0,5146.0,0
12/6/2020,127715.0,5146.0,0
12/7/2020,135844.0,5224.0,0
12/8/2020,138258.0,5242.0,0
12/9/2020,140548.0,5285.0,0
12/10/2020,142979.0,5327.0,0
12/11/2020,146761.0,5363.0,0
12/12/2020,146761.0,5363.0,0
12/13/2020,146761.0,5363.0,0
12/14/2020,153992.0,5444.0,0
12/15/2020,155462.0,5466.0,0
12/16/2020,157781.0,5506.0,0
12/17/2020,160102.0,5552.0,0
12/18/2020,162782.0,5581.0,0
12/19/2020,162782.0,5581.0,0
12/20/2020,162782.0,5581.0,0
12/21/2020,167377.0,5676.0,0
12/22/2020,168960.0,5703.0,0
12/23/2020,170705.0,5736.0,0
12/24/2020,172743.0,5791.0,0
12/25/2020,172743.0,5791.0,0
12/26/2020,172743.0,5791.0,0
12/27/2020,172743.0,5791.0,0
12/28/2020,181200.0,5904.0,0
12/29/2020,181967.0,5924.0,0
12/30/2020,183663.0,5964.0,0
12/31/2020,185708.0,5995.0,0
1/1/2021,185708.0,5995.0,0
1/2/2021,190120.0,6099.0,0
1/3/2021,190120.0,6099.0,0
1/4/2021,194636.0,6168.0,0
1/5/2021,196968.0,6192.0,0
1/6/2021,199454.0,6230.0,0
1/7/2021,202758.0,6287.0,0
1/8/2021,205994.0,6324.0,0
1/9/2021,205994.0,6324.0,0
1/10/2021,205994.0,6324.0,0
1/11/2021,213358.0,6416.0,0
1/12/2021,217047.0,6449.0,0
1/13/2021,220576.0,6536.0,0
1/14/2021,221544.0,6553.0,0
1/15/2021,223422.0,6594.0,0
1/16/2021,223422.0,6594.0,0
1/17/2021,223422.0,6594.0,0
1/18/2021,230125.0,6670.0,0
1/19/2021,232219.0,6682.0,0
1/20/2021,234134.0,6726.0,0
1/21/2021,235796.0,6774.0,0
1/22/2021,237815.0,6819.0,0
1/23/2021,237815.0,6819.0,0
1/24/2021,237815.0,6819.0,0
1/25/2021,243632.0,6911.0,0
1/26/2021,244899.0,6934.0,0
1/27/2021,247339.0,6976.0,0
1/28/2021,248765.0,7020.0,0
1/29/2021,250023.0,7046.0,0
1/30/2021,250023.0,7046.0,0
1/31/2021,250023.0,7046.0,0
2/1/2021,253954.0,7119.0,0
2/2/2021,256522.0,7133.0,0
2/3/2021,257004.0,7157.0,0
2/4/2021,257941.0,7185.0,0
2/5/2021,259372.0,7214.0,0
2/6/2021,259372.0,7214.0,0
2/7/2021,259372.0,7214.0,0
2/8/2021,263739.0,7282.0,0
2/9/2021,264608.0,7298.0,0
