Dates,Infected,Recovered,Deaths
1/22/2020,0.0,0.0,0.0
1/23/2020,0.0,0.0,0.0
1/24/2020,0.0,0.0,0.0
1/25/2020,0.0,0.0,0.0
1/26/2020,0.0,0.0,0.0
1/27/2020,0.0,0.0,0.0
1/28/2020,0.0,0.0,0.0
1/29/2020,0.0,0.0,0.0
1/30/2020,0.0,0.0,0.0
1/31/2020,0.0,0.0,0.0
2/1/2020,0.0,0.0,0.0
2/2/2020,0.0,0.0,0.0
2/3/2020,0.0,0.0,0.0
2/4/2020,0.0,0.0,0.0
2/5/2020,0.0,0.0,0.0
2/6/2020,0.0,0.0,0.0
2/7/2020,0.0,0.0,0.0
2/8/2020,0.0,0.0,0.0
2/9/2020,0.0,0.0,0.0
2/10/2020,0.0,0.0,0.0
2/11/2020,0.0,0.0,0.0
2/12/2020,0.0,0.0,0.0
2/13/2020,0.0,0.0,0.0
2/14/2020,0.0,0.0,0.0
2/15/2020,0.0,0.0,0.0
2/16/2020,0.0,0.0,0.0
2/17/2020,0.0,0.0,0.0
2/18/2020,0.0,0.0,0.0
2/19/2020,0.0,0.0,0.0
2/20/2020,0.0,0.0,0.0
2/21/2020,0.0,0.0,0.0
2/22/2020,0.0,0.0,0.0
2/23/2020,0.0,0.0,0.0
2/24/2020,0.0,0.0,0.0
2/25/2020,0.0,0.0,0.0
2/26/2020,0.0,0.0,0.0
2/27/2020,0.0,0.0,0.0
2/28/2020,0.0,0.0,0.0
2/29/2020,0.0,0.0,0.0
3/1/2020,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0
3/5/2020,0.0,0.0,0.0
3/6/2020,0.0,0.0,0.0
3/7/2020,1.0,0.0,0.0
3/8/2020,1.0,0.0,0.0
3/9/2020,2.0,0.0,0.0
3/10/2020,2.0,0.0,0.0
3/11/2020,2.0,0.0,0.0
3/12/2020,2.0,0.0,0.0
3/13/2020,3.0,0.0,0.0
3/14/2020,3.0,0.0,0.0
3/15/2020,17.0,0.0,0.0
3/16/2020,22.0,0.0,0.0
3/17/2020,31.0,0.0,0.0
3/18/2020,39.0,0.0,0.0
3/19/2020,71.0,0.0,0.0
3/20/2020,77.0,0.0,1.0
3/21/2020,98.0,0.0,1.0
3/22/2020,116.0,0.0,2.0
3/23/2020,137.0,0.0,2.0
3/24/2020,183.0,0.0,2.0
3/25/2020,231.0,0.0,3.0
3/26/2020,267.0,0.0,3.0
3/27/2020,304.0,0.0,4.0
3/28/2020,342.0,0.0,5.0
3/29/2020,401.0,0.0,9.0
3/30/2020,495.0,0.0,9.0
3/31/2020,495.0,0.0,9.0
4/1/2020,586.0,0.0,11.0
4/2/2020,653.0,0.0,12.0
4/3/2020,757.0,0.0,15.0
4/4/2020,902.0,0.0,21.0
4/5/2020,998.0,0.0,22.0
4/6/2020,1097.0,0.0,24.0
4/7/2020,1211.0,0.0,24.0
4/8/2020,1440.0,0.0,27.0
4/9/2020,1523.0,0.0,32.0
4/10/2020,1660.0,0.0,38.0
4/11/2020,1778.0,0.0,47.0
4/12/2020,1875.0,0.0,50.0
4/13/2020,1955.0,0.0,52.0
4/14/2020,2058.0,0.0,67.0
4/15/2020,2197.0,0.0,72.0
4/16/2020,2350.0,0.0,81.0
4/17/2020,2476.0,0.0,86.0
4/18/2020,2666.0,0.0,91.0
4/19/2020,2793.0,0.0,96.0
4/20/2020,2927.0,0.0,105.0
4/21/2020,3098.0,0.0,112.0
4/22/2020,3206.0,0.0,127.0
4/23/2020,3361.0,0.0,139.0
4/24/2020,3528.0,0.0,153.0
4/25/2020,3699.0,0.0,165.0
4/26/2020,3841.0,0.0,178.0
4/27/2020,3892.0,0.0,185.0
4/28/2020,3994.0,0.0,190.0
4/29/2020,4106.0,0.0,205.0
4/30/2020,4323.0,0.0,224.0
5/1/2020,4658.0,0.0,231.0
5/2/2020,4797.0,0.0,240.0
5/3/2020,5016.0,0.0,251.0
5/4/2020,5170.0,0.0,258.0
5/5/2020,5322.0,0.0,264.0
5/6/2020,5461.0,0.0,277.0
5/7/2020,5654.0,0.0,285.0
5/8/2020,5899.0,0.0,304.0
5/9/2020,6102.0,0.0,311.0
5/10/2020,6272.0,0.0,323.0
5/11/2020,6389.0,0.0,328.0
5/12/2020,6485.0,0.0,336.0
5/13/2020,6584.0,0.0,350.0
5/14/2020,6736.0,0.0,358.0
5/15/2020,6871.0,0.0,368.0
5/16/2020,7042.0,0.0,375.0
5/17/2020,7123.0,0.0,383.0
5/18/2020,7270.0,0.0,392.0
5/19/2020,7434.0,0.0,400.0
5/20/2020,7551.0,0.0,407.0
5/21/2020,7788.0,0.0,412.0
5/22/2020,7893.0,0.0,418.0
5/23/2020,7966.0,0.0,427.0
5/24/2020,8110.0,0.0,432.0
5/25/2020,8225.0,0.0,440.0
5/26/2020,8334.0,0.0,440.0
5/27/2020,8406.0,0.0,445.0
5/28/2020,8492.0,0.0,453.0
5/29/2020,8538.0,0.0,460.0
5/30/2020,8717.0,0.0,462.0
5/31/2020,8801.0,0.0,466.0
6/1/2020,8857.0,0.0,468.0
6/2/2020,8886.0,0.0,470.0
6/3/2020,9016.0,0.0,473.0
6/4/2020,9120.0,0.0,475.0
6/5/2020,9199.0,0.0,479.0
6/6/2020,9269.0,0.0,483.0
6/7/2020,9332.0,0.0,489.0
6/8/2020,9389.0,0.0,491.0
6/9/2020,9474.0,0.0,495.0
6/10/2020,9537.0,0.0,499.0
6/11/2020,9589.0,0.0,502.0
6/12/2020,9654.0,0.0,506.0
6/13/2020,9709.0,0.0,511.0
6/14/2020,9767.0,0.0,515.0
6/15/2020,9799.0,0.0,515.0
6/16/2020,9818.0,0.0,520.0
6/17/2020,9847.0,0.0,523.0
6/18/2020,9903.0,0.0,527.0
6/19/2020,9952.0,0.0,530.0
6/20/2020,9984.0,0.0,531.0
6/21/2020,10020.0,0.0,533.0
6/22/2020,10058.0,0.0,535.0
6/23/2020,10094.0,0.0,537.0
6/24/2020,10128.0,0.0,541.0
6/25/2020,10159.0,0.0,543.0
6/26/2020,10185.0,0.0,546.0
6/27/2020,10216.0,0.0,548.0
6/28/2020,10248.0,0.0,550.0
6/29/2020,10292.0,0.0,551.0
6/30/2020,10327.0,0.0,551.0
7/1/2020,10365.0,0.0,553.0
7/2/2020,10390.0,0.0,554.0
7/3/2020,10435.0,0.0,555.0
7/4/2020,10447.0,0.0,557.0
7/5/2020,10482.0,0.0,559.0
7/6/2020,10515.0,0.0,561.0
7/7/2020,10569.0,0.0,561.0
7/8/2020,10642.0,0.0,564.0
7/9/2020,10679.0,0.0,568.0
7/10/2020,10743.0,0.0,568.0
7/11/2020,10801.0,0.0,568.0
7/12/2020,10847.0,0.0,568.0
7/13/2020,10906.0,0.0,568.0
7/14/2020,10946.0,0.0,568.0
7/15/2020,11026.0,0.0,571.0
7/16/2020,11076.0,0.0,574.0
7/17/2020,11115.0,0.0,577.0
7/18/2020,11194.0,0.0,578.0
7/19/2020,11261.0,0.0,578.0
7/20/2020,11339.0,0.0,579.0
7/21/2020,11427.0,0.0,580.0
7/22/2020,11529.0,0.0,580.0
7/23/2020,11571.0,0.0,581.0
7/24/2020,11649.0,0.0,581.0
7/25/2020,11717.0,0.0,581.0
7/26/2020,11780.0,0.0,581.0
7/27/2020,11858.0,0.0,582.0
7/28/2020,11945.0,0.0,583.0
7/29/2020,11999.0,0.0,584.0
7/30/2020,12057.0,0.0,584.0
7/31/2020,12126.0,0.0,585.0
8/1/2020,12205.0,0.0,585.0
8/2/2020,12274.0,0.0,586.0
8/3/2020,12313.0,0.0,586.0
8/4/2020,12398.0,0.0,587.0
8/5/2020,12443.0,0.0,587.0
8/6/2020,12518.0,0.0,587.0
8/7/2020,12589.0,0.0,589.0
8/8/2020,12653.0,0.0,590.0
8/9/2020,12753.0,0.0,591.0
8/10/2020,12807.0,0.0,591.0
8/11/2020,12896.0,0.0,593.0
8/12/2020,12959.0,0.0,593.0
8/13/2020,13024.0,0.0,594.0
8/14/2020,13118.0,0.0,594.0
8/15/2020,13159.0,0.0,597.0
8/16/2020,13220.0,0.0,597.0
8/17/2020,13273.0,0.0,597.0
8/18/2020,13325.0,0.0,599.0
8/19/2020,13354.0,0.0,600.0
8/20/2020,13409.0,0.0,601.0
8/21/2020,13469.0,0.0,602.0
8/22/2020,13534.0,0.0,604.0
8/23/2020,13590.0,0.0,604.0
8/24/2020,13639.0,0.0,604.0
8/25/2020,13684.0,0.0,604.0
8/26/2020,13722.0,0.0,605.0
8/27/2020,13794.0,0.0,605.0
8/28/2020,13851.0,0.0,605.0
8/29/2020,13925.0,0.0,605.0
8/30/2020,13959.0,0.0,606.0
8/31/2020,13992.0,0.0,607.0
9/1/2020,14049.0,0.0,607.0
9/2/2020,14077.0,0.0,608.0
9/3/2020,14135.0,0.0,609.0
9/4/2020,14186.0,0.0,611.0
9/5/2020,14238.0,0.0,611.0
9/6/2020,14279.0,0.0,611.0
9/7/2020,14315.0,0.0,611.0
9/8/2020,14362.0,0.0,611.0
9/9/2020,14387.0,0.0,615.0
9/10/2020,14412.0,0.0,616.0
9/11/2020,14493.0,0.0,616.0
9/12/2020,14552.0,0.0,616.0
9/13/2020,14592.0,0.0,616.0
9/14/2020,14622.0,0.0,616.0
9/15/2020,14687.0,0.0,616.0
9/16/2020,14743.0,0.0,617.0
9/17/2020,14790.0,0.0,619.0
9/18/2020,14852.0,0.0,619.0
9/19/2020,14902.0,0.0,619.0
9/20/2020,14955.0,0.0,620.0
9/21/2020,14978.0,0.0,621.0
9/22/2020,15021.0,0.0,621.0
9/23/2020,15050.0,0.0,621.0
9/24/2020,15106.0,0.0,621.0
9/25/2020,15163.0,0.0,623.0
9/26/2020,15215.0,0.0,624.0
9/27/2020,15250.0,0.0,624.0
9/28/2020,15264.0,0.0,624.0
9/29/2020,15300.0,0.0,626.0
9/30/2020,15326.0,0.0,627.0
10/1/2020,15358.0,0.0,628.0
10/2/2020,15423.0,0.0,629.0
10/3/2020,15473.0,0.0,629.0
10/4/2020,15519.0,0.0,631.0
10/5/2020,15547.0,0.0,631.0
10/6/2020,15652.0,0.0,631.0
10/7/2020,15697.0,0.0,632.0
10/8/2020,15765.0,0.0,634.0
10/9/2020,15843.0,0.0,634.0
10/10/2020,15981.0,0.0,636.0
10/11/2020,15984.0,0.0,637.0
10/12/2020,16022.0,0.0,637.0
10/13/2020,16068.0,0.0,637.0
10/14/2020,16132.0,0.0,638.0
10/15/2020,16166.0,0.0,638.0
10/16/2020,16255.0,0.0,641.0
10/17/2020,16334.0,0.0,641.0
10/18/2020,16370.0,0.0,641.0
10/19/2020,16395.0,0.0,641.0
10/20/2020,16445.0,0.0,642.0
10/21/2020,16498.0,0.0,642.0
10/22/2020,16537.0,0.0,642.0
10/23/2020,16609.0,0.0,642.0
10/24/2020,16706.0,0.0,642.0
10/25/2020,16767.0,0.0,642.0
10/26/2020,16812.0,0.0,642.0
10/27/2020,16906.0,0.0,644.0
10/28/2020,16973.0,0.0,644.0
10/29/2020,17074.0,0.0,645.0
10/30/2020,17144.0,0.0,646.0
10/31/2020,17266.0,0.0,646.0
11/1/2020,17369.0,0.0,646.0
11/2/2020,17438.0,0.0,647.0
11/3/2020,17524.0,0.0,647.0
11/4/2020,17601.0,0.0,647.0
11/5/2020,17682.0,0.0,650.0
11/6/2020,17792.0,0.0,652.0
11/7/2020,17891.0,0.0,654.0
11/8/2020,18001.0,0.0,654.0
11/9/2020,18087.0,0.0,655.0
11/10/2020,18173.0,0.0,657.0
11/11/2020,18379.0,0.0,657.0
11/12/2020,18507.0,0.0,657.0
11/13/2020,18666.0,0.0,657.0
11/14/2020,18814.0,0.0,658.0
11/15/2020,18977.0,0.0,660.0
11/16/2020,19064.0,0.0,660.0
11/17/2020,19309.0,0.0,660.0
11/18/2020,19465.0,0.0,665.0
11/19/2020,19678.0,0.0,667.0
11/20/2020,19808.0,0.0,669.0
11/21/2020,19961.0,0.0,670.0
11/22/2020,20151.0,0.0,670.0
11/23/2020,20290.0,0.0,672.0
11/24/2020,20409.0,0.0,673.0
11/25/2020,20516.0,0.0,677.0
11/26/2020,20736.0,0.0,677.0
11/27/2020,20937.0,0.0,677.0
11/28/2020,21038.0,0.0,678.0
11/29/2020,21448.0,0.0,680.0
11/30/2020,21552.0,0.0,680.0
12/1/2020,21685.0,0.0,685.0
12/2/2020,21842.0,0.0,690.0
12/3/2020,22164.0,0.0,692.0
12/4/2020,22480.0,0.0,693.0
12/5/2020,22872.0,0.0,695.0
12/6/2020,23136.0,0.0,697.0
12/7/2020,23319.0,0.0,701.0
12/8/2020,23589.0,0.0,701.0
12/9/2020,23854.0,0.0,704.0
12/10/2020,24098.0,0.0,708.0
12/11/2020,24357.0,0.0,709.0
12/12/2020,24643.0,0.0,713.0
12/13/2020,24874.0,0.0,715.0
12/14/2020,25038.0,0.0,716.0
12/15/2020,25339.0,0.0,720.0
12/16/2020,25602.0,0.0,720.0
12/17/2020,25830.0,0.0,725.0
12/18/2020,26104.0,0.0,728.0
12/19/2020,26342.0,0.0,730.0
12/20/2020,26601.0,0.0,737.0
12/21/2020,26740.0,0.0,742.0
12/22/2020,26900.0,0.0,744.0
12/23/2020,27226.0,0.0,751.0
12/24/2020,27436.0,0.0,756.0
12/25/2020,27436.0,0.0,756.0
12/26/2020,27710.0,0.0,762.0
12/27/2020,28202.0,0.0,768.0
12/28/2020,28342.0,0.0,771.0
12/29/2020,28535.0,0.0,775.0
12/30/2020,28758.0,0.0,780.0
12/31/2020,28983.0,0.0,786.0
1/1/2021,29252.0,0.0,788.0
1/2/2021,29509.0,0.0,792.0
1/3/2021,29764.0,0.0,794.0
1/4/2021,29904.0,0.0,797.0
1/5/2021,30166.0,0.0,801.0
1/6/2021,30482.0,0.0,806.0
1/7/2021,30750.0,0.0,808.0
1/8/2021,31107.0,0.0,809.0
1/9/2021,31457.0,0.0,813.0
1/10/2021,31791.0,0.0,817.0
1/11/2021,31993.0,0.0,821.0
1/12/2021,32423.0,0.0,825.0
1/13/2021,32600.0,0.0,831.0
1/14/2021,32820.0,0.0,842.0
1/15/2021,33140.0,0.0,842.0
1/16/2021,33537.0,0.0,847.0
1/17/2021,33851.0,0.0,850.0
1/18/2021,34033.0,0.0,857.0
1/19/2021,34259.0,0.0,861.0
1/20/2021,34403.0,0.0,863.0
1/21/2021,34612.0,0.0,864.0
1/22/2021,34905.0,0.0,867.0
1/23/2021,35077.0,0.0,870.0
1/24/2021,35301.0,0.0,872.0
1/25/2021,35505.0,0.0,879.0
1/26/2021,35700.0,0.0,888.0
1/27/2021,35865.0,0.0,895.0
1/28/2021,36132.0,0.0,902.0
1/29/2021,36414.0,0.0,907.0
1/30/2021,36662.0,0.0,909.0
1/31/2021,36872.0,0.0,913.0
2/1/2021,37008.0,0.0,916.0
2/2/2021,37138.0,0.0,921.0
2/3/2021,37199.0,0.0,926.0
2/4/2021,37365.0,0.0,932.0
2/5/2021,37634.0,0.0,940.0
2/6/2021,37877.0,0.0,947.0
2/7/2021,38035.0,0.0,952.0
2/8/2021,38136.0,0.0,956.0
2/9/2021,38281.0,0.0,961.0
2/10/2021,38348.0,0.0,965.0
2/11/2021,38533.0,0.0,973.0
2/12/2021,38670.0,0.0,976.0
2/13/2021,38796.0,0.0,979.0
2/14/2021,38918.0,0.0,979.0
2/15/2021,39001.0,0.0,980.0
2/16/2021,39131.0,0.0,982.0
2/17/2021,39180.0,0.0,985.0
2/18/2021,39301.0,0.0,992.0
2/19/2021,39461.0,0.0,993.0
2/20/2021,39553.0,0.0,994.0
2/21/2021,39648.0,0.0,995.0
2/22/2021,39755.0,0.0,995.0
2/23/2021,39844.0,0.0,998.0
2/24/2021,39943.0,0.0,1001.0
2/25/2021,40122.0,0.0,1005.0
2/26/2021,40284.0,0.0,1009.0
2/27/2021,40478.0,0.0,1010.0
2/28/2021,40598.0,0.0,1017.0
3/1/2021,40684.0,0.0,1019.0
3/2/2021,40767.0,0.0,1019.0
3/3/2021,40818.0,0.0,1023.0
3/4/2021,41014.0,0.0,1024.0
3/5/2021,41122.0,0.0,1027.0
3/6/2021,41273.0,0.0,1030.0
3/7/2021,41419.0,0.0,1030.0
3/8/2021,41579.0,0.0,1035.0
3/9/2021,41910.0,0.0,1036.0
3/10/2021,42006.0,0.0,1037.0
3/11/2021,42128.0,0.0,1038.0
3/12/2021,42282.0,0.0,1038.0
3/13/2021,42432.0,0.0,1040.0
3/14/2021,42511.0,0.0,1041.0
3/15/2021,42623.0,0.0,1042.0
3/16/2021,42730.0,0.0,1042.0
3/17/2021,42811.0,0.0,1044.0
3/18/2021,42892.0,0.0,1046.0
3/19/2021,43034.0,0.0,1047.0
3/20/2021,43175.0,0.0,1049.0
3/21/2021,43229.0,0.0,1050.0
3/22/2021,43383.0,0.0,1050.0
3/23/2021,43488.0,0.0,1051.0
3/24/2021,43595.0,0.0,1053.0
3/25/2021,43669.0,0.0,1053.0
3/26/2021,43825.0,0.0,1055.0
3/27/2021,44051.0,0.0,1056.0
3/28/2021,44175.0,0.0,1056.0
3/29/2021,44248.0,0.0,1059.0
3/30/2021,44413.0,0.0,1061.0
3/31/2021,44513.0,0.0,1064.0
4/1/2021,44656.0,0.0,1066.0
4/2/2021,44807.0,0.0,1069.0
4/3/2021,44932.0,0.0,1070.0
4/4/2021,45037.0,0.0,1070.0
4/5/2021,45112.0,0.0,1072.0
4/6/2021,45234.0,0.0,1074.0
4/7/2021,45328.0,0.0,1076.0
4/8/2021,45498.0,0.0,1077.0
4/9/2021,45634.0,0.0,1079.0
4/10/2021,45762.0,0.0,1081.0
4/11/2021,45830.0,0.0,1081.0
4/12/2021,45903.0,0.0,1084.0
4/13/2021,46016.0,0.0,1085.0
4/14/2021,46209.0,0.0,1088.0
4/15/2021,46315.0,0.0,1090.0
4/16/2021,46449.0,0.0,1093.0
4/17/2021,46579.0,0.0,1095.0
4/18/2021,46662.0,0.0,1096.0
4/19/2021,46740.0,0.0,1096.0
4/20/2021,46869.0,0.0,1097.0
4/21/2021,46941.0,0.0,1097.0
4/22/2021,47040.0,0.0,1098.0
4/23/2021,47141.0,0.0,1099.0
4/24/2021,47219.0,0.0,1099.0
4/25/2021,47323.0,0.0,1099.0
4/26/2021,47378.0,0.0,1099.0
4/27/2021,47471.0,0.0,1100.0
4/28/2021,47533.0,0.0,1104.0
4/29/2021,47614.0,0.0,1105.0
4/30/2021,47697.0,0.0,1105.0
5/1/2021,47748.0,0.0,1105.0
5/2/2021,47800.0,0.0,1106.0
5/3/2021,47903.0,0.0,1106.0
5/4/2021,47986.0,0.0,1106.0
5/5/2021,48041.0,0.0,1109.0
5/6/2021,48080.0,0.0,1110.0
5/7/2021,48136.0,0.0,1110.0
5/8/2021,48164.0,0.0,1110.0
5/9/2021,48180.0,0.0,1110.0
5/10/2021,48195.0,0.0,1110.0
5/11/2021,48282.0,0.0,1113.0
5/12/2021,48336.0,0.0,1115.0
5/13/2021,48404.0,0.0,1115.0
5/14/2021,48424.0,0.0,1116.0
5/15/2021,48530.0,0.0,1118.0
5/16/2021,48545.0,0.0,1120.0
5/17/2021,48590.0,0.0,1122.0
5/18/2021,48616.0,0.0,1122.0
5/19/2021,48634.0,0.0,1124.0
5/20/2021,48662.0,0.0,1125.0
5/21/2021,48689.0,0.0,1125.0
5/22/2021,48718.0,0.0,1125.0
5/23/2021,48748.0,0.0,1127.0
5/24/2021,48762.0,0.0,1130.0
5/25/2021,48803.0,0.0,1130.0
5/26/2021,48822.0,0.0,1131.0
5/27/2021,48844.0,0.0,1132.0
5/28/2021,48898.0,0.0,1132.0
5/29/2021,48923.0,0.0,1132.0
5/30/2021,48948.0,0.0,1132.0
5/31/2021,48973.0,0.0,1132.0
6/1/2021,49000.0,0.0,1134.0
6/2/2021,49011.0,0.0,1135.0
6/3/2021,49041.0,0.0,1136.0
6/4/2021,49068.0,0.0,1136.0
6/5/2021,49082.0,0.0,1136.0
6/6/2021,49096.0,0.0,1136.0
6/7/2021,49110.0,0.0,1136.0
6/8/2021,49119.0,0.0,1137.0
6/9/2021,49127.0,0.0,1137.0
6/10/2021,49151.0,0.0,1137.0
6/11/2021,49158.0,0.0,1137.0
6/12/2021,49165.0,0.0,1137.0
6/13/2021,49172.0,0.0,1137.0
6/14/2021,49179.0,0.0,1138.0
