Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,1.0,0.0,0
3/7/2020,1.0,0.0,0
3/8/2020,1.0,0.0,0
3/9/2020,1.0,0.0,0
3/10/2020,1.0,0.0,0
3/11/2020,5.0,0.0,0
3/12/2020,5.0,0.0,0
3/13/2020,6.0,0.0,0
3/14/2020,6.0,0.0,0
3/15/2020,9.0,0.0,0
3/16/2020,10.0,0.0,0
3/17/2020,14.0,0.0,0
3/18/2020,25.0,0.0,0
3/19/2020,38.0,0.0,0
3/20/2020,46.0,0.0,0
3/21/2020,53.0,0.0,0
3/22/2020,66.0,0.0,0
3/23/2020,105.0,0.0,0
3/24/2020,136.0,0.0,0
3/25/2020,154.0,0.0,0
3/26/2020,177.0,2.0,0
3/27/2020,215.0,2.0,0
3/28/2020,262.0,5.0,0
3/29/2020,308.0,6.0,0
3/30/2020,344.0,7.0,0
3/31/2020,414.0,10.0,0
4/1/2020,451.0,11.0,0
4/2/2020,483.0,12.0,0
4/3/2020,655.0,14.0,0
4/4/2020,715.0,14.0,0
4/5/2020,786.0,14.0,0
4/6/2020,880.0,15.0,0
4/7/2020,1106.0,16.0,0
4/8/2020,1221.0,19.0,0
4/9/2020,1320.0,23.0,0
4/10/2020,1474.0,32.0,0
4/11/2020,1612.0,33.0,0
4/12/2020,1720.0,35.0,0
4/13/2020,1866.0,41.0,0
4/14/2020,2061.0,43.0,0
4/15/2020,2123.0,46.0,0
4/16/2020,2236.0,52.0,0
4/17/2020,2522.0,61.0,0
4/18/2020,2640.0,67.0,0
4/19/2020,2842.0,72.0,0
4/20/2020,3030.0,72.0,0
4/21/2020,3308.0,89.0,0
4/22/2020,3436.0,92.0,0
4/23/2020,3579.0,100.0,0
4/24/2020,3715.0,100.0,0
4/25/2020,4171.0,112.0,0
4/26/2020,4301.0,125.0,0
4/27/2020,4704.0,137.0,0
4/28/2020,4812.0,144.0,0
4/29/2020,4850.0,152.0,0
4/30/2020,5046.0,152.0,0
5/1/2020,5177.0,159.0,0
5/2/2020,5328.0,168.0,0
5/3/2020,5630.0,177.0,0
5/4/2020,5846.0,182.0,0
5/5/2020,6011.0,187.0,0
5/6/2020,6202.0,193.0,0
5/7/2020,6376.0,213.0,0
5/8/2020,6542.0,213.0,0
5/9/2020,6665.0,224.0,0
5/10/2020,7152.0,225.0,0
5/11/2020,7268.0,237.0,0
5/12/2020,7334.0,247.0,0
5/13/2020,7396.0,260.0,0
5/14/2020,7515.0,271.0,0
5/15/2020,7962.0,271.0,0
5/16/2020,8101.0,286.0,0
5/17/2020,8290.0,297.0,0
5/18/2020,8400.0,304.0,0
5/19/2020,8476.0,310.0,0
5/20/2020,8576.0,317.0,0
5/21/2020,8708.0,322.0,0
5/22/2020,8819.0,324.0,0
5/23/2020,8954.0,324.0,0
5/24/2020,9111.0,326.0,0
5/25/2020,9205.0,337.0,0
5/26/2020,9240.0,344.0,0
5/27/2020,9316.0,345.0,0
5/28/2020,9397.0,356.0,0
5/29/2020,9554.0,361.0,0
5/30/2020,9624.0,366.0,0
5/31/2020,9751.0,369.0,0
6/1/2020,9809.0,373.0,0
6/2/2020,9845.0,375.0,0
6/3/2020,9888.0,386.0,0
6/4/2020,9946.0,388.0,0
6/5/2020,10022.0,390.0,0
6/6/2020,10103.0,398.0,0
6/7/2020,10149.0,398.0,0
6/8/2020,10202.0,410.0,0
6/9/2020,10238.0,413.0,0
6/10/2020,10307.0,414.0,0
6/11/2020,10363.0,414.0,0
6/12/2020,10423.0,418.0,0
6/13/2020,10465.0,422.0,0
6/14/2020,10541.0,423.0,0
6/15/2020,10601.0,424.0,0
6/16/2020,10648.0,426.0,0
6/17/2020,10711.0,431.0,0
6/18/2020,10751.0,433.0,0
6/19/2020,10800.0,433.0,0
6/20/2020,10889.0,435.0,0
6/21/2020,10934.0,435.0,0
6/22/2020,10981.0,504.0,0
6/23/2020,11025.0,505.0,0
6/24/2020,11123.0,505.0,0
6/25/2020,11207.0,507.0,0
6/26/2020,11318.0,507.0,0
6/27/2020,11452.0,507.0,0
6/28/2020,11608.0,507.0,0
6/29/2020,11688.0,507.0,0
6/30/2020,11728.0,509.0,0
7/1/2020,11914.0,510.0,0
7/2/2020,12072.0,510.0,0
7/3/2020,12146.0,512.0,0
7/4/2020,12353.0,512.0,0
7/5/2020,12464.0,512.0,0
7/6/2020,12583.0,514.0,0
7/7/2020,12637.0,515.0,0
7/8/2020,12711.0,517.0,0
7/9/2020,12854.0,518.0,0
7/10/2020,12968.0,518.0,0
7/11/2020,13185.0,518.0,0
7/12/2020,13364.0,517.0,0
7/13/2020,13489.0,518.0,0
7/14/2020,13583.0,521.0,0
7/15/2020,13662.0,521.0,0
7/16/2020,13788.0,521.0,0
7/17/2020,13867.0,523.0,0
7/18/2020,13952.0,523.0,0
7/19/2020,14067.0,523.0,0
7/20/2020,14211.0,525.0,0
7/21/2020,14270.0,527.0,0
7/22/2020,14419.0,529.0,0
7/23/2020,14495.0,529.0,0
7/24/2020,14608.0,578.0,0
7/25/2020,14725.0,579.0,0
7/26/2020,14837.0,579.0,0
7/27/2020,14908.0,580.0,0
7/28/2020,15050.0,581.0,0
7/29/2020,15140.0,581.0,0
7/30/2020,15236.0,581.0,0
7/31/2020,15326.0,585.0,0
8/1/2020,15420.0,585.0,0
8/2/2020,15530.0,585.0,0
8/3/2020,15607.0,585.0,0
8/4/2020,15670.0,587.0,0
8/5/2020,15740.0,587.0,0
8/6/2020,15826.0,587.0,0
8/7/2020,15886.0,590.0,0
8/8/2020,15940.0,591.0,0
8/9/2020,16010.0,591.0,0
8/10/2020,16079.0,591.0,0
8/11/2020,16147.0,591.0,0
8/12/2020,16241.0,593.0,0
8/13/2020,16314.0,593.0,0
8/14/2020,16383.0,593.0,0
8/15/2020,16440.0,593.0,0
8/16/2020,16530.0,593.0,0
8/17/2020,16585.0,593.0,0
8/18/2020,16630.0,595.0,0
8/19/2020,16715.0,595.0,0
8/20/2020,16771.0,595.0,0
8/21/2020,16854.0,600.0,0
8/22/2020,16943.0,600.0,0
8/23/2020,17011.0,604.0,0
8/24/2020,17091.0,604.0,0
8/25/2020,17160.0,604.0,0
8/26/2020,17227.0,604.0,0
8/27/2020,17357.0,604.0,0
8/28/2020,17460.0,604.0,0
8/29/2020,17569.0,604.0,0
8/30/2020,17669.0,604.0,0
8/31/2020,17765.0,605.0,0
9/1/2020,17832.0,605.0,0
9/2/2020,17944.0,606.0,0
9/3/2020,18035.0,606.0,0
9/4/2020,18183.0,608.0,0
9/5/2020,18292.0,609.0,0
9/6/2020,18374.0,609.0,0
9/7/2020,18436.0,609.0,0
9/8/2020,18504.0,609.0,0
9/9/2020,18607.0,609.0,0
9/10/2020,18710.0,613.0,0
9/11/2020,18842.0,613.0,0
9/12/2020,18977.0,613.0,0
9/13/2020,19079.0,617.0,0
9/14/2020,19163.0,618.0,0
9/15/2020,19248.0,618.0,0
9/16/2020,19338.0,619.0,0
9/17/2020,19481.0,619.0,0
9/18/2020,19563.0,621.0,0
9/19/2020,19683.0,621.0,0
9/20/2020,19784.0,627.0,0
9/21/2020,19874.0,627.0,0
9/22/2020,19956.0,628.0,0
9/23/2020,20077.0,630.0,0
9/24/2020,20199.0,630.0,0
9/25/2020,20288.0,631.0,0
9/26/2020,20389.0,633.0,0
9/27/2020,20534.0,634.0,0
9/28/2020,20629.0,635.0,0
9/29/2020,20728.0,635.0,0
9/30/2020,20906.0,636.0,0
10/1/2020,21047.0,642.0,0
10/2/2020,21221.0,645.0,0
10/3/2020,21343.0,645.0,0
10/4/2020,21500.0,645.0,0
10/5/2020,21587.0,645.0,0
10/6/2020,21717.0,646.0,0
10/7/2020,21816.0,649.0,0
10/8/2020,21973.0,651.0,0
10/9/2020,22154.0,651.0,0
10/10/2020,22286.0,654.0,0
10/11/2020,22445.0,654.0,0
10/12/2020,22548.0,659.0,0
10/13/2020,22619.0,659.0,0
10/14/2020,22710.0,660.0,0
10/15/2020,22874.0,661.0,0
10/16/2020,23113.0,662.0,0
10/17/2020,23260.0,664.0,0
10/18/2020,23364.0,666.0,0
10/19/2020,23478.0,666.0,0
10/20/2020,23536.0,668.0,0
10/21/2020,23677.0,670.0,0
10/22/2020,23846.0,678.0,0
10/23/2020,24005.0,678.0,0
10/24/2020,24128.0,680.0,0
10/25/2020,24331.0,685.0,0
10/26/2020,24417.0,685.0,0
10/27/2020,24552.0,686.0,0
10/28/2020,24710.0,688.0,0
10/29/2020,24901.0,689.0,0
10/30/2020,25100.0,708.0,0
10/31/2020,25286.0,710.0,0
11/1/2020,25471.0,710.0,0
11/2/2020,25572.0,712.0,0
11/3/2020,25689.0,712.0,0
11/4/2020,25909.0,716.0,0
11/5/2020,26204.0,716.0,0
11/6/2020,26421.0,716.0,0
11/7/2020,26735.0,716.0,0
11/8/2020,27049.0,718.0,0
11/9/2020,27255.0,722.0,0
11/10/2020,27495.0,724.0,0
11/11/2020,27692.0,724.0,0
11/12/2020,28155.0,732.0,0
11/13/2020,28536.0,734.0,0
11/14/2020,28937.0,736.0,0
11/15/2020,29339.0,736.0,0
11/16/2020,29702.0,739.0,0
11/17/2020,29924.0,742.0,0
11/18/2020,30319.0,742.0,0
11/19/2020,30963.0,742.0,0
11/20/2020,31482.0,746.0,0
11/21/2020,31979.0,746.0,0
11/22/2020,32366.0,748.0,0
11/23/2020,32813.0,757.0,0
11/24/2020,33127.0,757.0,0
11/25/2020,33716.0,760.0,0
11/26/2020,34293.0,761.0,0
11/27/2020,34804.0,763.0,0
11/28/2020,35414.0,770.0,0
11/29/2020,35836.0,772.0,0
11/30/2020,36518.0,777.0,0
12/1/2020,36886.0,777.0,0
12/2/2020,37675.0,779.0,0
12/3/2020,38603.0,779.0,0
12/4/2020,39299.0,782.0,0
12/5/2020,40103.0,782.0,0
12/6/2020,40933.0,793.0,0
12/7/2020,41664.0,793.0,0
12/8/2020,42604.0,803.0,0
12/9/2020,43250.0,803.0,0
12/10/2020,44045.0,806.0,0
12/11/2020,45135.0,815.0,0
12/12/2020,45753.0,815.0,0
12/13/2020,46795.0,816.0,0
12/14/2020,47513.0,816.0,0
12/15/2020,48359.0,833.0,0
12/16/2020,49237.0,833.0,0
12/17/2020,49592.0,845.0,0
12/18/2020,50639.0,854.0,0
12/19/2020,51140.0,858.0,0
12/20/2020,51618.0,862.0,0
12/21/2020,52211.0,871.0,0
12/22/2020,52841.0,872.0,0
12/23/2020,53647.0,872.0,0
12/24/2020,54295.0,888.0,0
12/25/2020,55126.0,891.0,0
12/26/2020,55719.0,895.0,0
12/27/2020,56197.0,897.0,0
12/28/2020,56921.0,898.0,0
12/29/2020,57338.0,898.0,0
12/30/2020,58221.0,921.0,0
12/31/2020,58847.0,930.0,0
1/1/2021,59670.0,930.0,0
1/2/2021,60298.0,930.0,0
1/3/2021,61174.0,930.0,0
1/4/2021,61961.0,937.0,0
1/5/2021,62591.0,947.0,0
1/6/2021,63786.0,947.0,0
1/7/2021,64359.0,949.0,0
1/8/2021,65368.0,969.0,0
1/9/2021,66206.0,969.0,0
1/10/2021,66921.0,972.0,0
1/11/2021,67482.0,986.0,0
1/12/2021,68232.0,991.0,0
1/13/2021,69125.0,994.0,0
1/14/2021,69803.0,995.0,0
1/15/2021,70497.0,1002.0,0
1/16/2021,71458.0,1016.0,0
1/17/2021,72108.0,1016.0,0
1/18/2021,72527.0,1016.0,0
1/19/2021,73008.0,1021.0,0
1/20/2021,73763.0,1026.0,0
1/21/2021,74476.0,1027.0,0
1/22/2021,75159.0,1027.0,0
1/23/2021,75834.0,1036.0,0
1/24/2021,76458.0,1041.0,0
1/25/2021,76764.0,1049.0,0
1/26/2021,77118.0,1065.0,0
1/27/2021,77782.0,1072.0,0
1/28/2021,78229.0,1075.0,0
1/29/2021,78850.0,1078.0,0
1/30/2021,79386.0,1081.0,0
1/31/2021,79823.0,1090.0,0
2/1/2021,80037.0,1101.0,0
2/2/2021,80323.0,1108.0,0
2/3/2021,80579.0,1130.0,0
2/4/2021,80945.0,1135.0,0
2/5/2021,81518.0,1191.0,0
2/6/2021,82019.0,1202.0,0
2/7/2021,82382.0,1208.0,0
2/8/2021,82668.0,1208.0,0
2/9/2021,82936.0,1221.0,0
2/10/2021,83385.0,1245.0,0
2/11/2021,83776.0,1262.0,0
2/12/2021,84203.0,1269.0,0
2/13/2021,84552.0,1282.0,0
2/14/2021,84805.0,1283.0,0
2/15/2021,84944.0,1283.0,0
2/16/2021,85168.0,1291.0,0
2/17/2021,85462.0,1316.0,0
2/18/2021,85787.0,1326.0,0
2/19/2021,86128.0,1343.0,0
2/20/2021,86342.0,1366.0,0
2/21/2021,86693.0,1367.0,0
2/22/2021,86830.0,1368.0,0
2/23/2021,87093.0,1379.0,0
2/24/2021,87386.0,1402.0,0
2/25/2021,87694.0,1406.0,0
2/26/2021,88129.0,1418.0,0
2/27/2021,88420.0,1418.0,0
2/28/2021,88711.0,1422.0,0
3/1/2021,88847.0,1422.0,0
3/2/2021,89098.0,1426.0,0
3/3/2021,89329.0,1440.0,0
3/4/2021,89550.0,1444.0,0
3/5/2021,89806.0,1453.0,0
3/6/2021,90039.0,1464.0,0
3/7/2021,90253.0,1473.0,0
3/8/2021,90370.0,1475.0,0
3/9/2021,90573.0,1482.0,0
3/10/2021,90759.0,1492.0,0
3/11/2021,90967.0,1494.0,0
3/12/2021,91204.0,1496.0,0
3/13/2021,91402.0,1504.0,0
3/14/2021,91631.0,1507.0,0
3/15/2021,91768.0,1511.0,0
3/16/2021,91899.0,1514.0,0
3/17/2021,92186.0,1516.0,0
3/18/2021,92388.0,1517.0,0
