Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,2.0,0.0,0
3/1/2020,2.0,0.0,0
3/2/2020,3.0,0.0,0
3/3/2020,5.0,0.0,0
3/4/2020,7.0,0.0,0
3/5/2020,2.0,0.0,0
3/6/2020,8.0,0.0,0
3/7/2020,11.0,0.0,0
3/8/2020,17.0,0.0,0
3/9/2020,26.0,0.0,0
3/10/2020,39.0,0.0,0
3/11/2020,55.0,0.0,0
3/12/2020,88.0,1.0,0
3/13/2020,115.0,1.0,0
3/14/2020,139.0,1.0,0
3/15/2020,191.0,1.0,0
3/16/2020,240.0,1.0,0
3/17/2020,283.0,1.0,0
3/18/2020,378.0,6.0,0
3/19/2020,493.0,13.0,0
3/20/2020,615.0,14.0,0
3/21/2020,701.0,20.0,0
3/22/2020,856.0,25.0,0
3/23/2020,1077.0,31.0,0
3/24/2020,1259.0,38.0,0
3/25/2020,1540.0,47.0,0
3/26/2020,1843.0,60.0,0
3/27/2020,2367.0,65.0,0
3/28/2020,2592.0,79.0,0
3/29/2020,2835.0,84.0,0
3/30/2020,3224.0,103.0,0
3/31/2020,4236.0,130.0,0
4/1/2020,4806.0,154.0,0
4/2/2020,5443.0,176.0,0
4/3/2020,5931.0,198.0,0
4/4/2020,6353.0,208.0,0
4/5/2020,6649.0,219.0,0
4/6/2020,7388.0,319.0,0
4/7/2020,8950.0,351.0,0
4/8/2020,10080.0,371.0,0
4/9/2020,10693.0,413.0,0
4/10/2020,11627.0,420.0,0
4/11/2020,12046.0,432.0,0
4/12/2020,12203.0,447.0,0
4/13/2020,13289.0,481.0,0
4/14/2020,14133.0,526.0,0
4/15/2020,14819.0,579.0,0
4/16/2020,15808.0,624.0,0
4/17/2020,16716.0,661.0,0
4/18/2020,17068.0,670.0,0
4/19/2020,17573.0,691.0,0
4/20/2020,18416.0,782.0,0
4/21/2020,19028.0,821.0,0
4/22/2020,19925.0,838.0,0
4/23/2020,20856.0,873.0,0
4/24/2020,21537.0,899.0,0
4/25/2020,22223.0,897.0,0
4/26/2020,22494.0,912.0,0
4/27/2020,23268.0,944.0,0
4/28/2020,23850.0,1025.0,0
4/29/2020,24704.0,1054.0,0
4/30/2020,25241.0,1111.0,0
5/1/2020,26176.0,1167.0,0
5/2/2020,26557.0,1174.0,0
5/3/2020,26841.0,1178.0,0
5/4/2020,27594.0,1211.0,0
5/5/2020,28196.0,1258.0,0
5/6/2020,28998.0,1327.0,0
5/7/2020,29819.0,1336.0,0
5/8/2020,30363.0,1362.0,0
5/9/2020,30670.0,1404.0,0
5/10/2020,31546.0,1404.0,0
5/11/2020,32005.0,1442.0,0
5/12/2020,32773.0,1464.0,0
5/13/2020,33331.0,1505.0,0
5/14/2020,33657.0,1527.0,0
5/15/2020,34270.0,1557.0,0
5/16/2020,34832.0,1592.0,0
5/17/2020,35455.0,1606.0,0
5/18/2020,36117.0,1642.0,0
5/19/2020,36889.0,1668.0,0
5/20/2020,37669.0,1689.0,0
5/21/2020,38356.0,1758.0,0
5/22/2020,39387.0,1808.0,0
5/23/2020,40366.0,1814.0,0
5/24/2020,41090.0,1827.0,0
5/25/2020,41622.0,1830.0,0
5/26/2020,41972.0,1874.0,0
5/27/2020,42681.0,1909.0,0
5/28/2020,43519.0,1973.0,0
5/29/2020,44145.0,1971.0,0
5/30/2020,44883.0,2003.0,0
5/31/2020,45612.0,2052.0,0
6/1/2020,46501.0,2074.0,0
6/2/2020,47079.0,2102.0,0
6/3/2020,47802.0,2123.0,0
6/4/2020,48744.0,2147.0,0
6/5/2020,49543.0,2174.0,0
6/6/2020,50126.0,2160.0,0
6/7/2020,50650.0,2180.0,0
6/8/2020,51298.0,2208.0,0
6/9/2020,52106.0,2285.0,0
6/10/2020,52910.0,2329.0,0
6/11/2020,54011.0,2375.0,0
6/12/2020,54974.0,2418.0,0
6/13/2020,56017.0,2446.0,0
6/14/2020,56869.0,2451.0,0
6/15/2020,57720.0,2494.0,0
6/16/2020,58590.0,2529.0,0
6/17/2020,59684.0,2575.0,0
6/18/2020,60707.0,2605.0,0
6/19/2020,61974.0,2636.0,0
6/20/2020,63788.0,2642.0,0
6/21/2020,64673.0,2643.0,0
6/22/2020,65944.0,2648.0,0
6/23/2020,67804.0,2687.0,0
6/24/2020,69639.0,2698.0,0
6/25/2020,71382.0,2745.0,0
6/26/2020,73458.0,2770.0,0
6/27/2020,75410.0,2776.0,0
6/28/2020,77596.0,2778.0,0
6/29/2020,79701.0,2784.0,0
6/30/2020,81677.0,2805.0,0
7/1/2020,84688.0,2827.0,0
7/2/2020,88233.0,2849.0,0
7/3/2020,91044.0,2856.0,0
7/4/2020,93772.0,2857.0,0
7/5/2020,95892.0,2860.0,0
7/6/2020,97534.0,2878.0,0
7/7/2020,101000.0,2899.0,0
7/8/2020,104495.0,2922.0,0
7/9/2020,107333.0,2930.0,0
7/10/2020,111956.0,2965.0,0
7/11/2020,115157.0,2996.0,0
7/12/2020,117728.0,3001.0,0
7/13/2020,121518.0,3026.0,0
7/14/2020,125091.0,3054.0,0
7/15/2020,129193.0,3091.0,0
7/16/2020,132869.0,3104.0,0
7/17/2020,137102.0,3132.0,0
7/18/2020,141845.0,3168.0,0
7/19/2020,145038.0,3173.0,0
7/20/2020,147804.0,3176.0,0
7/21/2020,151536.0,3254.0,0
7/22/2020,155083.0,3335.0,0
7/23/2020,159615.0,3360.0,0
7/24/2020,164638.0,3442.0,0
7/25/2020,168460.0,3495.0,0
7/26/2020,171200.0,3498.0,0
7/27/2020,174277.0,3509.0,0
7/28/2020,178676.0,3563.0,0
7/29/2020,182243.0,3642.0,0
7/30/2020,186426.0,3671.0,0
7/31/2020,190734.0,3752.0,0
8/1/2020,194466.0,3825.0,0
8/2/2020,197628.0,3840.0,0
8/3/2020,200166.0,3842.0,0
8/4/2020,202908.0,3921.0,0
8/5/2020,206796.0,3984.0,0
8/6/2020,210160.0,4026.0,0
8/7/2020,214367.0,4117.0,0
8/8/2020,218789.0,4186.0,0
8/9/2020,221951.0,4199.0,0
8/10/2020,224627.0,4229.0,0
8/11/2020,228381.0,4351.0,0
8/12/2020,232148.0,4456.0,0
8/13/2020,234964.0,4538.0,0
8/14/2020,238304.0,4573.0,0
8/15/2020,241640.0,4573.0,0
8/16/2020,243529.0,4702.0,0
8/17/2020,245486.0,4727.0,0
8/18/2020,248712.0,4794.0,0
8/19/2020,251224.0,4849.0,0
8/20/2020,254163.0,4904.0,0
8/21/2020,257532.0,4998.0,0
8/22/2020,260287.0,5092.0,0
8/23/2020,262099.0,5132.0,0
8/24/2020,264540.0,5156.0,0
8/25/2020,267034.0,5262.0,0
8/26/2020,269637.0,5311.0,0
8/27/2020,272456.0,5393.0,0
8/28/2020,275134.0,5471.0,0
8/29/2020,277688.0,5576.0,0
8/30/2020,279049.0,5604.0,0
8/31/2020,280769.0,5633.0,0
9/1/2020,283281.0,5733.0,0
9/2/2020,285667.0,5795.0,0
9/3/2020,288640.0,5868.0,0
9/4/2020,290938.0,5931.0,0
9/5/2020,293208.0,5977.0,0
9/6/2020,294887.0,6037.0,0
9/7/2020,295685.0,6044.0,0
9/8/2020,297429.0,6070.0,0
9/9/2020,299621.0,6128.0,0
9/10/2020,301835.0,6204.0,0
9/11/2020,303951.0,6246.0,0
9/12/2020,306156.0,6287.0,0
9/13/2020,307634.0,6444.0,0
9/14/2020,309018.0,6353.0,0
9/15/2020,310866.0,6398.0,0
9/16/2020,313535.0,6419.0,0
9/17/2020,315618.0,6474.0,0
9/18/2020,317825.0,6537.0,0
9/19/2020,320113.0,6599.0,0
9/20/2020,321265.0,6602.0,0
9/21/2020,322650.0,6604.0,0
9/22/2020,323859.0,6677.0,0
9/23/2020,325550.0,6773.0,0
9/24/2020,327158.0,6822.0,0
9/25/2020,329170.0,6874.0,0
9/26/2020,330612.0,6914.0,0
9/27/2020,331487.0,6946.0,0
9/28/2020,332443.0,6961.0,0
9/29/2020,333811.0,6994.0,0
9/30/2020,335717.0,7021.0,0
10/1/2020,337302.0,7063.0,0
10/2/2020,338824.0,7106.0,0
10/3/2020,340362.0,7134.0,0
10/4/2020,341302.0,7162.0,0
10/5/2020,342421.0,7192.0,0
10/6/2020,344399.0,7229.0,0
10/7/2020,346195.0,7259.0,0
10/8/2020,348022.0,7294.0,0
10/9/2020,350033.0,7348.0,0
10/10/2020,351369.0,7393.0,0
10/11/2020,352587.0,7416.0,0
10/12/2020,353768.0,7429.0,0
10/13/2020,355093.0,7454.0,0
10/14/2020,356669.0,7470.0,0
10/15/2020,358533.0,7492.0,0
10/16/2020,360530.0,7556.0,0
10/17/2020,362517.0,7607.0,0
10/18/2020,363775.0,7638.0,0
10/19/2020,364909.0,7657.0,0
10/20/2020,366409.0,7674.0,0
10/21/2020,368010.0,7704.0,0
10/22/2020,370047.0,7729.0,0
10/23/2020,372888.0,7766.0,0
10/24/2020,374841.0,7808.0,0
10/25/2020,376207.0,7809.0,0
10/26/2020,377553.0,7827.0,0
10/27/2020,379592.0,7844.0,0
10/28/2020,382261.0,7876.0,0
10/29/2020,384453.0,7923.0,0
10/30/2020,386257.0,7955.0,0
10/31/2020,388993.0,7979.0,0
11/1/2020,390428.0,7981.0,0
11/2/2020,391785.0,7999.0,0
11/3/2020,393834.0,8029.0,0
11/4/2020,396607.0,8072.0,0
11/5/2020,399017.0,8126.0,0
11/6/2020,401779.0,8156.0,0
11/7/2020,403851.0,8193.0,0
11/8/2020,405256.0,8194.0,0
11/9/2020,406904.0,8223.0,0
11/10/2020,411183.0,8730.0,0
11/11/2020,413415.0,8806.0,0
11/12/2020,416217.0,8881.0,0
11/13/2020,419870.0,8905.0,0
11/14/2020,422905.0,8956.0,0
11/15/2020,424989.0,8957.0,0
11/16/2020,426236.0,8967.0,0
11/17/2020,430571.0,9008.0,0
11/18/2020,433732.0,9065.0,0
11/19/2020,437156.0,9102.0,0
11/20/2020,440591.0,9142.0,0
11/21/2020,446804.0,9179.0,0
11/22/2020,449132.0,9198.0,0
11/23/2020,451056.0,9215.0,0
11/24/2020,454732.0,9221.0,0
11/25/2020,457909.0,9297.0,0
11/26/2020,461517.0,9336.0,0
11/27/2020,464526.0,9380.0,0
11/28/2020,467564.0,9424.0,0
11/29/2020,469516.0,9442.0,0
11/30/2020,471563.0,9452.0,0
12/1/2020,476405.0,9515.0,0
12/2/2020,482139.0,9567.0,0
12/3/2020,487978.0,9648.0,0
12/4/2020,494354.0,9725.0,0
12/5/2020,499371.0,9793.0,0
12/6/2020,501405.0,9806.0,0
12/7/2020,506690.0,9851.0,0
12/8/2020,512267.0,9873.0,0
12/9/2020,517779.0,9921.0,0
12/10/2020,525402.0,9975.0,0
12/11/2020,531593.0,10031.0,0
12/12/2020,538040.0,10075.0,0
12/13/2020,542838.0,10076.0,0
12/14/2020,546558.0,10104.0,0
12/15/2020,553995.0,10160.0,0
12/16/2020,560619.0,10228.0,0
12/17/2020,568396.0,10294.0,0
12/18/2020,576537.0,10332.0,0
12/19/2020,582300.0,10381.0,0
12/20/2020,587918.0,10383.0,0
12/21/2020,591438.0,10399.0,0
12/22/2020,600517.0,10463.0,0
12/23/2020,608290.0,10519.0,0
12/24/2020,618576.0,10582.0,0
12/25/2020,624630.0,10631.0,0
12/26/2020,628788.0,10685.0,0
12/27/2020,632299.0,10689.0,0
12/28/2020,636240.0,10696.0,0
12/29/2020,645690.0,10779.0,0
12/30/2020,654743.0,10846.0,0
12/31/2020,666452.0,10934.0,0
1/1/2021,677589.0,10958.0,0
1/2/2021,685122.0,10960.0,0
1/3/2021,690900.0,10964.0,0
1/4/2021,696063.0,10971.0,0
1/5/2021,706154.0,11072.0,0
1/6/2021,713840.0,11165.0,0
1/7/2021,723630.0,11230.0,0
1/8/2021,736926.0,11314.0,0
1/9/2021,748852.0,11457.0,0
1/10/2021,757045.0,11458.0,0
1/11/2021,764499.0,11475.0,0
1/12/2021,773692.0,11662.0,0
1/13/2021,782288.0,11803.0,0
1/14/2021,791324.0,11975.0,0
1/15/2021,801130.0,12138.0,0
1/16/2021,809663.0,12291.0,0
1/17/2021,815995.0,12296.0,0
1/18/2021,820952.0,12360.0,0
1/19/2021,828444.0,12582.0,0
1/20/2021,836649.0,12778.0,0
1/21/2021,844799.0,12889.0,0
1/22/2021,853173.0,13060.0,0
1/23/2021,862158.0,13246.0,0
1/24/2021,866911.0,13250.0,0
1/25/2021,870828.0,13303.0,0
1/26/2021,879221.0,13482.0,0
1/27/2021,885605.0,13643.0,0
1/28/2021,892957.0,13827.0,0
1/29/2021,899515.0,13986.0,0
1/30/2021,905858.0,14196.0,0
1/31/2021,909445.0,14198.0,0
2/1/2021,912479.0,14242.0,0
2/2/2021,917440.0,14450.0,0
2/3/2021,922364.0,14587.0,0
2/4/2021,928070.0,14756.0,0
2/5/2021,932912.0,14858.0,0
2/6/2021,937402.0,15090.0,0
2/7/2021,940991.0,15092.0,0
2/8/2021,943695.0,15130.0,0
2/9/2021,947416.0,15301.0,0
2/10/2021,950906.0,15421.0,0
2/11/2021,955085.0,15513.0,0
2/12/2021,958985.0,15708.0,0
2/13/2021,962808.0,15850.0,0
2/14/2021,964737.0,15871.0,0
2/15/2021,966807.0,15928.0,0
2/16/2021,969702.0,16174.0,0
2/17/2021,973247.0,16273.0,0
2/18/2021,976732.0,16403.0,0
2/19/2021,980411.0,16610.0,0
2/20/2021,983747.0,16742.0,0
2/21/2021,985505.0,16744.0,0
2/22/2021,987041.0,16835.0,0
2/23/2021,990821.0,16927.0,0
2/24/2021,994061.0,17064.0,0
2/25/2021,997388.0,17199.0,0
2/26/2021,1000822.0,17219.0,0
2/27/2021,1004187.0,17294.0,0
2/28/2021,1006521.0,17295.0,0
3/1/2021,1008660.0,17376.0,0
3/2/2021,1011807.0,17480.0,0
3/3/2021,1014542.0,17625.0,0
