Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,1.0,0.0,0
3/6/2020,1.0,0.0,0
3/7/2020,1.0,0.0,0
3/8/2020,2.0,0.0,0
3/9/2020,2.0,0.0,0
3/10/2020,2.0,0.0,0
3/11/2020,2.0,0.0,0
3/12/2020,2.0,0.0,0
3/13/2020,4.0,0.0,0
3/14/2020,7.0,0.0,0
3/15/2020,10.0,0.0,0
3/16/2020,11.0,0.0,0
3/17/2020,16.0,0.0,0
3/18/2020,22.0,0.0,0
3/19/2020,39.0,0.0,0
3/20/2020,49.0,0.0,0
3/21/2020,59.0,0.0,0
3/22/2020,79.0,0.0,0
3/23/2020,93.0,0.0,0
3/24/2020,102.0,0.0,0
3/25/2020,119.0,0.0,0
3/26/2020,136.0,0.0,0
3/27/2020,171.0,0.0,0
3/28/2020,199.0,0.0,0
3/29/2020,230.0,0.0,0
3/30/2020,252.0,0.0,0
3/31/2020,283.0,1.0,0
4/1/2020,311.0,1.0,0
4/2/2020,350.0,2.0,0
4/3/2020,373.0,3.0,0
4/4/2020,388.0,4.0,0
4/5/2020,406.0,4.0,0
4/6/2020,428.0,5.0,0
4/7/2020,449.0,5.0,0
4/8/2020,458.0,5.0,0
4/9/2020,469.0,6.0,0
4/10/2020,489.0,8.0,0
4/11/2020,503.0,9.0,0
4/12/2020,507.0,9.0,0
4/13/2020,513.0,9.0,0
4/14/2020,524.0,9.0,0
4/15/2020,535.0,9.0,0
4/16/2020,544.0,9.0,0
4/17/2020,564.0,9.0,0
4/18/2020,572.0,9.0,0
4/19/2020,576.0,10.0,0
4/20/2020,578.0,10.0,0
4/21/2020,584.0,12.0,0
4/22/2020,589.0,12.0,0
4/23/2020,592.0,12.0,0
4/24/2020,594.0,13.0,0
4/25/2020,596.0,14.0,0
4/26/2020,597.0,14.0,0
4/27/2020,598.0,16.0,0
4/28/2020,602.0,16.0,0
4/29/2020,606.0,16.0,0
4/30/2020,607.0,16.0,0
5/1/2020,607.0,16.0,0
5/2/2020,610.0,16.0,0
5/3/2020,611.0,17.0,0
5/4/2020,614.0,17.0,0
5/5/2020,615.0,17.0,0
5/6/2020,617.0,17.0,0
5/7/2020,617.0,17.0,0
5/8/2020,619.0,17.0,0
5/9/2020,620.0,17.0,0
5/10/2020,622.0,17.0,0
5/11/2020,623.0,17.0,0
5/12/2020,626.0,17.0,0
5/13/2020,626.0,17.0,0
5/14/2020,626.0,17.0,0
5/15/2020,628.0,17.0,0
5/16/2020,629.0,17.0,0
5/17/2020,629.0,17.0,0
5/18/2020,630.0,17.0,0
5/19/2020,631.0,17.0,0
5/20/2020,635.0,17.0,0
5/21/2020,635.0,17.0,0
5/22/2020,636.0,17.0,0
5/23/2020,636.0,17.0,0
5/24/2020,636.0,17.0,0
5/25/2020,636.0,17.0,0
5/26/2020,636.0,17.0,0
5/27/2020,638.0,17.0,0
5/28/2020,641.0,17.0,0
5/29/2020,644.0,17.0,0
5/30/2020,644.0,17.0,0
5/31/2020,644.0,17.0,0
6/1/2020,645.0,17.0,0
6/2/2020,646.0,17.0,0
6/3/2020,647.0,17.0,0
6/4/2020,653.0,17.0,0
6/5/2020,661.0,17.0,0
6/6/2020,662.0,17.0,0
6/7/2020,663.0,17.0,0
6/8/2020,669.0,17.0,0
6/9/2020,673.0,17.0,0
6/10/2020,679.0,17.0,0
6/11/2020,694.0,17.0,0
6/12/2020,711.0,17.0,0
6/13/2020,716.0,17.0,0
6/14/2020,724.0,17.0,0
6/15/2020,727.0,17.0,0
6/16/2020,732.0,17.0,0
6/17/2020,750.0,17.0,0
6/18/2020,776.0,17.0,0
6/19/2020,788.0,17.0,0
6/20/2020,798.0,17.0,0
6/21/2020,802.0,17.0,0
6/22/2020,805.0,17.0,0
6/23/2020,818.0,17.0,0
6/24/2020,833.0,17.0,0
6/25/2020,849.0,17.0,0
6/26/2020,855.0,17.0,0
6/27/2020,881.0,17.0,0
6/28/2020,883.0,18.0,0
6/29/2020,901.0,18.0,0
6/30/2020,908.0,18.0,0
7/1/2020,928.0,18.0,0
7/2/2020,956.0,18.0,0
7/3/2020,980.0,19.0,0
7/4/2020,1005.0,19.0,0
7/5/2020,1012.0,19.0,0
7/6/2020,1053.0,19.0,0
7/7/2020,1075.0,19.0,0
7/8/2020,1109.0,19.0,0
7/9/2020,1136.0,19.0,0
7/10/2020,1177.0,19.0,0
7/11/2020,1197.0,19.0,0
7/12/2020,1217.0,19.0,0
7/13/2020,1239.0,22.0,0
7/14/2020,1267.0,22.0,0
7/15/2020,1286.0,22.0,0
7/16/2020,1309.0,22.0,0
7/17/2020,1328.0,23.0,0
7/18/2020,1356.0,24.0,0
7/19/2020,1368.0,24.0,0
7/20/2020,1392.0,24.0,0
7/21/2020,1409.0,24.0,0
7/22/2020,1463.0,25.0,0
7/23/2020,1521.0,26.0,0
7/24/2020,1591.0,26.0,0
7/25/2020,1655.0,26.0,0
7/26/2020,1683.0,26.0,0
7/27/2020,1730.0,26.0,0
7/28/2020,1840.0,26.0,0
7/29/2020,1963.0,26.0,0
7/30/2020,2085.0,26.0,0
7/31/2020,2172.0,26.0,0
8/1/2020,2217.0,26.0,0
8/2/2020,2424.0,26.0,0
8/3/2020,2567.0,26.0,0
8/4/2020,2738.0,27.0,0
8/5/2020,2887.0,27.0,0
8/6/2020,3088.0,29.0,0
8/7/2020,3317.0,30.0,0
8/8/2020,3468.0,31.0,0
8/9/2020,3608.0,31.0,0
8/10/2020,3728.0,34.0,0
8/11/2020,3927.0,34.0,0
8/12/2020,4280.0,38.0,0
8/13/2020,4512.0,38.0,0
8/14/2020,4795.0,40.0,0
8/15/2020,5014.0,40.0,0
8/16/2020,5188.0,40.0,0
8/17/2020,5322.0,40.0,0
8/18/2020,5583.0,41.0,0
8/19/2020,5818.0,43.0,0
8/20/2020,6048.0,45.0,0
8/21/2020,6328.0,45.0,0
8/22/2020,6575.0,47.0,0
8/23/2020,6744.0,47.0,0
8/24/2020,6959.0,49.0,0
8/25/2020,7234.0,49.0,0
8/26/2020,7540.0,51.0,0
8/27/2020,7803.0,55.0,0
8/28/2020,8113.0,59.0,0
8/29/2020,8313.0,62.0,0
8/30/2020,8443.0,63.0,0
8/31/2020,8622.0,70.0,0
9/1/2020,8961.0,74.0,0
9/2/2020,9169.0,75.0,0
9/3/2020,9436.0,79.0,0
9/4/2020,9655.0,81.0,0
9/5/2020,9816.0,84.0,0
9/6/2020,9920.0,85.0,0
9/7/2020,9986.0,86.0,0
9/8/2020,10086.0,88.0,0
9/9/2020,10253.0,91.0,0
9/10/2020,10420.0,94.0,0
9/11/2020,10547.0,96.0,0
9/12/2020,10661.0,97.0,0
9/13/2020,10741.0,99.0,0
9/14/2020,10806.0,99.0,0
9/15/2020,10904.0,99.0,0
9/16/2020,11060.0,99.0,0
9/17/2020,11179.0,107.0,0
9/18/2020,11291.0,120.0,0
9/19/2020,11368.0,120.0,0
9/20/2020,11423.0,120.0,0
9/21/2020,11487.0,120.0,0
9/22/2020,11654.0,120.0,0
9/23/2020,11744.0,122.0,0
9/24/2020,11855.0,124.0,0
9/25/2020,11982.0,127.0,0
9/26/2020,12077.0,131.0,0
9/27/2020,12167.0,131.0,0
9/28/2020,12252.0,132.0,0
9/29/2020,12373.0,134.0,0
9/30/2020,12480.0,136.0,0
10/1/2020,12566.0,139.0,0
10/2/2020,12699.0,142.0,0
10/3/2020,12768.0,142.0,0
10/4/2020,12819.0,156.0,0
10/5/2020,12900.0,157.0,0
10/6/2020,13009.0,160.0,0
10/7/2020,13110.0,163.0,0
10/8/2020,13110.0,164.0,0
10/9/2020,13263.0,166.0,0
10/10/2020,13371.0,168.0,0
10/11/2020,13435.0,169.0,0
10/12/2020,13477.0,169.0,0
10/13/2020,13538.0,173.0,0
10/14/2020,13636.0,183.0,0
10/15/2020,13724.0,184.0,0
10/16/2020,13813.0,185.0,0
10/17/2020,13907.0,186.0,0
10/18/2020,13989.0,187.0,0
10/19/2020,14024.0,187.0,0
10/20/2020,14108.0,189.0,0
10/21/2020,14185.0,203.0,0
10/22/2020,14284.0,206.0,0
10/23/2020,14412.0,209.0,0
10/24/2020,14501.0,211.0,0
10/25/2020,14618.0,211.0,0
10/26/2020,14653.0,211.0,0
10/27/2020,14715.0,214.0,0
10/28/2020,14834.0,213.0,0
10/29/2020,14841.0,214.0,0
10/30/2020,14933.0,215.0,0
10/31/2020,14995.0,218.0,0
11/1/2020,15075.0,218.0,0
11/2/2020,15147.0,218.0,0
11/3/2020,15229.0,218.0,0
11/4/2020,15379.0,218.0,0
11/5/2020,15471.0,218.0,0
11/6/2020,15584.0,218.0,0
11/7/2020,15707.0,219.0,0
11/8/2020,15834.0,220.0,0
11/9/2020,15892.0,220.0,0
11/10/2020,15961.0,221.0,0
11/11/2020,16077.0,221.0,0
11/12/2020,16171.0,221.0,0
11/13/2020,16274.0,221.0,0
11/14/2020,16379.0,221.0,0
11/15/2020,16379.0,221.0,0
11/16/2020,16471.0,221.0,0
11/17/2020,16515.0,221.0,0
11/18/2020,16577.0,222.0,0
11/19/2020,16677.0,222.0,0
11/20/2020,16766.0,222.0,0
11/21/2020,16919.0,229.0,0
11/22/2020,17039.0,231.0,0
11/23/2020,17142.0,231.0,0
11/24/2020,17198.0,231.0,0
11/25/2020,17298.0,233.0,0
11/26/2020,17415.0,235.0,0
11/27/2020,17498.0,238.0,0
11/28/2020,17573.0,238.0,0
11/29/2020,17627.0,242.0,0
11/30/2020,17708.0,242.0,0
12/1/2020,17751.0,242.0,0
12/2/2020,17819.0,242.0,0
12/3/2020,17958.0,244.0,0
12/4/2020,18058.0,254.0,0
12/5/2020,18169.0,259.0,0
12/6/2020,18266.0,260.0,0
12/7/2020,18344.0,260.0,0
12/8/2020,18397.0,260.0,0
12/9/2020,18470.0,264.0,0
12/10/2020,18586.0,266.0,0
12/11/2020,18665.0,267.0,0
12/12/2020,18861.0,269.0,0
12/13/2020,18938.0,272.0,0
12/14/2020,19125.0,272.0,0
12/15/2020,19177.0,272.0,0
12/16/2020,19281.0,276.0,0
12/17/2020,19417.0,278.0,0
12/18/2020,19539.0,279.0,0
12/19/2020,19691.0,279.0,0
12/20/2020,19893.0,280.0,0
12/21/2020,20025.0,280.0,0
12/22/2020,20089.0,280.0,0
12/23/2020,20184.0,283.0,0
12/24/2020,20309.0,283.0,0
12/25/2020,20428.0,283.0,0
12/26/2020,20537.0,283.0,0
12/27/2020,20631.0,283.0,0
12/28/2020,20676.0,283.0,0
12/29/2020,20747.0,283.0,0
12/30/2020,20851.0,283.0,0
12/31/2020,21026.0,286.0,0
1/1/2021,21258.0,287.0,0
1/2/2021,21417.0,287.0,0
1/3/2021,21539.0,287.0,0
1/4/2021,21614.0,287.0,0
1/5/2021,21721.0,287.0,0
1/6/2021,21846.0,297.0,0
1/7/2021,22133.0,297.0,0
1/8/2021,22372.0,301.0,0
1/9/2021,22600.0,305.0,0
1/10/2021,22778.0,306.0,0
1/11/2021,22940.0,306.0,0
1/12/2021,23048.0,306.0,0
1/13/2021,23141.0,309.0,0
1/14/2021,23305.0,315.0,0
1/15/2021,23448.0,315.0,0
1/16/2021,23604.0,317.0,0
1/17/2021,23725.0,319.0,0
1/18/2021,23840.0,319.0,0
1/19/2021,24483.0,321.0,0
1/20/2021,24551.0,322.0,0
1/21/2021,24663.0,325.0,0
1/22/2021,24785.0,329.0,0
1/23/2021,24950.0,333.0,0
1/24/2021,25093.0,339.0,0
1/25/2021,25209.0,339.0,0
1/26/2021,25272.0,398.0,0
1/27/2021,25366.0,401.0,0
1/28/2021,25460.0,403.0,0
1/29/2021,25564.0,404.0,0
1/30/2021,25708.0,404.0,0
1/31/2021,25786.0,407.0,0
2/1/2021,25870.0,407.0,0
2/2/2021,25932.0,407.0,0
2/3/2021,26000.0,411.0,0
2/4/2021,26101.0,413.0,0
2/5/2021,26192.0,413.0,0
2/6/2021,26325.0,413.0,0
2/7/2021,26398.0,415.0,0
2/8/2021,26428.0,415.0,0
2/9/2021,26456.0,415.0,0
2/10/2021,26507.0,420.0,0
2/11/2021,26591.0,421.0,0
2/12/2021,26652.0,422.0,0
2/13/2021,26729.0,422.0,0
2/14/2021,26772.0,423.0,0
2/15/2021,26803.0,423.0,0
2/16/2021,26819.0,423.0,0
2/17/2021,26846.0,424.0,0
2/18/2021,26906.0,425.0,0
2/19/2021,26950.0,427.0,0
2/20/2021,27011.0,427.0,0
2/21/2021,27075.0,428.0,0
2/22/2021,27124.0,428.0,0
2/23/2021,27168.0,428.0,0
2/24/2021,27211.0,432.0,0
2/25/2021,27247.0,432.0,0
2/26/2021,27286.0,434.0,0
2/27/2021,27419.0,436.0,0
2/28/2021,27473.0,436.0,0
3/1/2021,27499.0,436.0,0
3/2/2021,27532.0,436.0,0
3/3/2021,27549.0,438.0,0
3/4/2021,27604.0,438.0,0
