Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,3.0,0.0,0
3/9/2020,8.0,0.0,0
3/10/2020,13.0,0.0,0
3/11/2020,14.0,0.0,0
3/12/2020,16.0,0.0,0
3/13/2020,16.0,0.0,0
3/14/2020,16.0,0.0,0
3/15/2020,22.0,0.0,0
3/16/2020,23.0,0.0,0
3/17/2020,29.0,0.0,0
3/18/2020,38.0,0.0,0
3/19/2020,44.0,0.0,0
3/20/2020,45.0,0.0,0
3/21/2020,68.0,0.0,0
3/22/2020,90.0,0.0,0
3/23/2020,105.0,0.0,0
3/24/2020,124.0,0.0,0
3/25/2020,145.0,1.0,0
3/26/2020,179.0,1.0,0
3/27/2020,235.0,3.0,0
3/28/2020,298.0,3.0,0
3/29/2020,336.0,4.0,0
3/30/2020,424.0,6.0,0
3/31/2020,497.0,7.0,0
4/1/2020,549.0,9.0,0
4/2/2020,614.0,11.0,0
4/3/2020,699.0,11.0,0
4/4/2020,786.0,14.0,0
4/5/2020,868.0,22.0,0
4/6/2020,946.0,25.0,0
4/7/2020,1048.0,26.0,0
4/8/2020,1145.0,27.0,0
4/9/2020,1270.0,29.0,0
4/10/2020,1388.0,31.0,0
4/11/2020,1510.0,34.0,0
4/12/2020,1587.0,41.0,0
4/13/2020,1710.0,43.0,0
4/14/2020,1899.0,49.0,0
4/15/2020,1995.0,53.0,0
4/16/2020,2141.0,60.0,0
4/17/2020,2332.0,64.0,0
4/18/2020,2513.0,74.0,0
4/19/2020,2902.0,75.0,0
4/20/2020,3159.0,79.0,0
4/21/2020,3641.0,83.0,0
4/22/2020,3748.0,90.0,0
4/23/2020,3924.0,96.0,0
4/24/2020,4445.0,107.0,0
4/25/2020,5092.0,112.0,0
4/26/2020,5475.0,118.0,0
4/27/2020,5868.0,127.0,0
4/28/2020,6376.0,136.0,0
4/29/2020,6843.0,148.0,0
4/30/2020,7145.0,162.0,0
5/1/2020,7884.0,170.0,0
5/2/2020,8641.0,175.0,0
5/3/2020,9169.0,184.0,0
5/4/2020,9703.0,188.0,0
5/5/2020,10111.0,207.0,0
5/6/2020,10404.0,219.0,0
5/7/2020,11059.0,231.0,0
5/8/2020,11457.0,243.0,0
5/9/2020,11671.0,252.0,0
5/10/2020,11959.0,265.0,0
5/11/2020,12373.0,271.0,0
5/12/2020,12912.0,289.0,0
5/13/2020,13289.0,306.0,0
5/14/2020,13675.0,318.0,0
5/15/2020,14049.0,336.0,0
5/16/2020,14328.0,346.0,0
5/17/2020,14651.0,351.0,0
5/18/2020,15082.0,364.0,0
5/19/2020,15349.0,372.0,0
5/20/2020,15595.0,386.0,0
5/21/2020,16170.0,407.0,0
5/22/2020,16504.0,424.0,0
5/23/2020,16898.0,445.0,0
5/24/2020,17250.0,454.0,0
5/25/2020,17577.0,459.0,0
5/26/2020,17703.0,475.0,0
5/27/2020,18357.0,492.0,0
5/28/2020,18585.0,506.0,0
5/29/2020,18956.0,523.0,0
5/30/2020,19244.0,531.0,0
5/31/2020,19552.0,534.0,0
6/1/2020,19698.0,549.0,0
6/2/2020,20015.0,561.0,0
6/3/2020,20108.0,574.0,0
6/4/2020,20804.0,580.0,0
6/5/2020,21146.0,592.0,0
6/6/2020,21478.0,598.0,0
6/7/2020,21588.0,604.0,0
6/8/2020,21988.0,614.0,0
6/9/2020,22237.0,624.0,0
6/10/2020,22603.0,631.0,0
6/11/2020,22973.0,640.0,0
6/12/2020,23348.0,643.0,0
6/13/2020,23717.0,650.0,0
6/14/2020,23926.0,652.0,0
6/15/2020,24077.0,655.0,0
6/16/2020,24179.0,669.0,0
6/17/2020,24461.0,673.0,0
6/18/2020,24854.0,680.0,0
6/19/2020,25275.0,681.0,0
6/20/2020,25496.0,682.0,0
6/21/2020,25957.0,685.0,0
6/22/2020,26051.0,686.0,0
6/23/2020,26372.0,688.0,0
6/24/2020,26705.0,692.0,0
6/25/2020,27257.0,695.0,0
6/26/2020,27685.0,704.0,0
6/27/2020,28012.0,704.0,0
6/28/2020,28489.0,705.0,0
6/29/2020,28782.0,708.0,0
6/30/2020,28947.0,714.0,0
7/1/2020,29458.0,717.0,0
7/2/2020,30209.0,718.0,0
7/3/2020,30430.0,721.0,0
7/4/2020,31061.0,721.0,0
7/5/2020,31353.0,721.0,0
7/6/2020,31657.0,723.0,0
7/7/2020,32029.0,725.0,0
7/8/2020,32509.0,735.0,0
7/9/2020,33243.0,740.0,0
7/10/2020,33896.0,743.0,0
7/11/2020,34647.0,748.0,0
7/12/2020,35171.0,750.0,0
7/13/2020,35529.0,754.0,0
7/14/2020,35850.0,757.0,0
7/15/2020,36294.0,767.0,0
7/16/2020,37132.0,778.0,0
7/17/2020,37722.0,784.0,0
7/18/2020,38041.0,787.0,0
7/19/2020,38723.0,793.0,0
7/20/2020,39224.0,797.0,0
7/21/2020,39473.0,802.0,0
7/22/2020,40000.0,808.0,0
7/23/2020,40635.0,818.0,0
7/24/2020,41271.0,823.0,0
7/25/2020,41671.0,826.0,0
7/26/2020,42199.0,827.0,0
7/27/2020,42554.0,834.0,0
7/28/2020,42782.0,839.0,0
7/29/2020,43280.0,845.0,0
7/30/2020,44039.0,857.0,0
7/31/2020,44582.0,867.0,0
8/1/2020,44981.0,871.0,0
8/2/2020,45492.0,876.0,0
8/3/2020,45845.0,883.0,0
8/4/2020,46045.0,887.0,0
8/5/2020,46659.0,899.0,0
8/6/2020,47362.0,908.0,0
8/7/2020,47865.0,913.0,0
8/8/2020,48286.0,925.0,0
8/9/2020,48789.0,930.0,0
8/10/2020,49074.0,933.0,0
8/11/2020,49329.0,940.0,0
8/12/2020,49806.0,951.0,0
8/13/2020,50336.0,959.0,0
8/14/2020,50935.0,966.0,0
8/15/2020,51793.0,973.0,0
8/16/2020,52433.0,975.0,0
8/17/2020,52829.0,987.0,0
8/18/2020,52969.0,989.0,0
8/19/2020,53280.0,1005.0,0
8/20/2020,54533.0,1016.0,0
8/21/2020,55006.0,1021.0,0
8/22/2020,55735.0,1030.0,0
8/23/2020,56275.0,1036.0,0
8/24/2020,56631.0,1044.0,0
8/25/2020,57294.0,1052.0,0
8/26/2020,58215.0,1066.0,0
8/27/2020,61484.0,1091.0,0
8/28/2020,62828.0,1095.0,0
8/29/2020,63199.0,1108.0,0
8/30/2020,64208.0,1113.0,0
8/31/2020,64823.0,1116.0,0
9/1/2020,65448.0,1122.0,0
9/2/2020,66266.0,1126.0,0
9/3/2020,67151.0,1135.0,0
9/4/2020,68256.0,1141.0,0
9/5/2020,69247.0,1161.0,0
9/6/2020,70010.0,1165.0,0
9/7/2020,70403.0,1168.0,0
9/8/2020,70865.0,1179.0,0
9/9/2020,71265.0,1194.0,0
9/10/2020,72275.0,1207.0,0
9/11/2020,73070.0,1212.0,0
9/12/2020,73697.0,1217.0,0
9/13/2020,74506.0,1218.0,0
9/14/2020,74935.0,1224.0,0
9/15/2020,75389.0,1234.0,0
9/16/2020,76679.0,1248.0,0
9/17/2020,77315.0,1251.0,0
9/18/2020,78556.0,1260.0,0
9/19/2020,79384.0,1264.0,0
9/20/2020,80048.0,1265.0,0
9/21/2020,80740.0,1274.0,0
9/22/2020,81301.0,1286.0,0
9/23/2020,82357.0,1294.0,0
9/24/2020,83582.0,1302.0,0
9/25/2020,84685.0,1307.0,0
9/26/2020,85588.0,1311.0,0
9/27/2020,86357.0,1315.0,0
9/28/2020,86999.0,1321.0,0
9/29/2020,87631.0,1326.0,0
9/30/2020,88830.0,1346.0,0
10/1/2020,90009.0,1360.0,0
10/2/2020,91025.0,1372.0,0
10/3/2020,91964.0,1377.0,0
10/4/2020,92584.0,1383.0,0
10/5/2020,92989.0,1389.0,0
10/6/2020,93563.0,1400.0,0
10/7/2020,94615.0,1415.0,0
10/8/2020,96224.0,1421.0,0
10/9/2020,97457.0,1441.0,0
10/10/2020,98591.0,1455.0,0
10/11/2020,99685.0,1460.0,0
10/12/2020,100194.0,1472.0,0
10/13/2020,100895.0,1486.0,0
10/14/2020,102445.0,1498.0,0
10/15/2020,103638.0,1506.0,0
10/16/2020,104972.0,1523.0,0
10/17/2020,106263.0,1527.0,0
10/18/2020,107122.0,1528.0,0
10/19/2020,107745.0,1539.0,0
10/20/2020,108691.0,1556.0,0
10/21/2020,109803.0,1583.0,0
10/22/2020,111811.0,1601.0,0
10/23/2020,112898.0,1620.0,0
10/24/2020,114631.0,1631.0,0
10/25/2020,115844.0,1634.0,0
10/26/2020,116703.0,1648.0,0
10/27/2020,117782.0,1661.0,0
10/28/2020,119932.0,1681.0,0
10/29/2020,122355.0,1696.0,0
10/30/2020,125025.0,1706.0,0
10/31/2020,127966.0,1716.0,0
11/1/2020,130361.0,1717.0,0
11/2/2020,132123.0,1741.0,0
11/3/2020,133762.0,1765.0,0
11/4/2020,136522.0,1787.0,0
11/5/2020,141373.0,1802.0,0
11/6/2020,144714.0,1818.0,0
11/7/2020,149273.0,1829.0,0
11/8/2020,152802.0,1842.0,0
11/9/2020,157904.0,1850.0,0
11/10/2020,161803.0,1874.0,0
11/11/2020,166841.0,1899.0,0
11/12/2020,171243.0,1931.0,0
11/13/2020,176695.0,1949.0,0
11/14/2020,181332.0,1973.0,0
11/15/2020,185156.0,1985.0,0
11/16/2020,188378.0,1991.0,0
11/17/2020,191413.0,2028.0,0
11/18/2020,195542.0,2066.0,0
11/19/2020,199691.0,2106.0,0
11/20/2020,203975.0,2135.0,0
11/21/2020,207675.0,2160.0,0
11/22/2020,210514.0,2192.0,0
11/23/2020,213223.0,2207.0,0
11/24/2020,216117.0,2226.0,0
11/25/2020,219609.0,2271.0,0
11/26/2020,222797.0,2312.0,0
11/27/2020,224256.0,2352.0,0
11/28/2020,226258.0,2360.0,0
11/29/2020,227963.0,2376.0,0
11/30/2020,229448.0,2403.0,0
12/1/2020,231439.0,2431.0,0
12/2/2020,234810.0,2449.0,0
12/3/2020,239687.0,2603.0,0
12/4/2020,240321.0,2605.0,0
12/5/2020,242212.0,2667.0,0
12/6/2020,244322.0,2683.0,0
12/7/2020,245285.0,2718.0,0
12/8/2020,246811.0,2919.0,0
12/9/2020,249276.0,3021.0,0
12/10/2020,251386.0,3120.0,0
12/11/2020,253601.0,3197.0,0
12/12/2020,255240.0,3212.0,0
12/13/2020,256359.0,3213.0,0
12/14/2020,257332.0,3273.0,0
12/15/2020,258599.0,3340.0,0
12/16/2020,260779.0,3354.0,0
12/17/2020,262558.0,3451.0,0
12/18/2020,264758.0,3451.0,0
12/19/2020,266236.0,3533.0,0
12/20/2020,267249.0,3589.0,0
12/21/2020,268127.0,3589.0,0
12/22/2020,269210.0,3653.0,0
12/23/2020,271308.0,3668.0,0
12/24/2020,272839.0,3739.0,0
12/25/2020,274013.0,3744.0,0
12/26/2020,274406.0,3744.0,0
12/27/2020,274982.0,3745.0,0
12/28/2020,275883.0,3745.0,0
12/29/2020,277247.0,3812.0,0
12/30/2020,278959.0,3822.0,0
12/31/2020,280669.0,3891.0,0
1/1/2021,282664.0,3898.0,0
1/2/2021,283330.0,3946.0,0
1/3/2021,284378.0,3946.0,0
1/4/2021,285476.0,3992.0,0
1/5/2021,287306.0,3999.0,0
1/6/2021,289932.0,4060.0,0
1/7/2021,291753.0,4065.0,0
1/8/2021,294008.0,4124.0,0
1/9/2021,295353.0,4127.0,0
1/10/2021,296480.0,4138.0,0
1/11/2021,297301.0,4139.0,0
1/12/2021,298406.0,4222.0,0
1/13/2021,300304.0,4232.0,0
1/14/2021,301824.0,4251.0,0
1/15/2021,303120.0,4257.0,0
1/16/2021,304270.0,4321.0,0
1/17/2021,304906.0,4323.0,0
1/18/2021,305622.0,4324.0,0
1/19/2021,306679.0,4332.0,0
1/20/2021,307908.0,4394.0,0
1/21/2021,309600.0,4445.0,0
1/22/2021,310935.0,4478.0,0
1/23/2021,312084.0,4487.0,0
1/24/2021,312932.0,4488.0,0
1/25/2021,313515.0,4488.0,0
1/26/2021,314411.0,4492.0,0
1/27/2021,315412.0,4500.0,0
1/28/2021,316684.0,4532.0,0
1/29/2021,317689.0,4577.0,0
1/30/2021,318556.0,4651.0,0
1/31/2021,319247.0,4901.0,0
2/1/2021,319814.0,4906.0,0
2/2/2021,320618.0,4919.0,0
2/3/2021,321836.0,4975.0,0
2/4/2021,322709.0,5033.0,0
2/5/2021,323509.0,5067.0,0
2/6/2021,323937.0,5108.0,0
2/7/2021,324443.0,5108.0,0
2/8/2021,324908.0,5110.0,0
2/9/2021,325583.0,5145.0,0
2/10/2021,326573.0,5174.0,0
2/11/2021,327426.0,5196.0,0
2/12/2021,328139.0,5223.0,0
2/13/2021,328719.0,5236.0,0
2/14/2021,329120.0,5236.0,0
2/15/2021,329453.0,5237.0,0
2/16/2021,329909.0,5263.0,0
2/17/2021,330507.0,5306.0,0
2/18/2021,331221.0,5321.0,0
2/19/2021,331768.0,5336.0,0
2/20/2021,332228.0,5336.0,0
2/21/2021,332641.0,5336.0,0
2/22/2021,333068.0,5374.0,0
2/23/2021,333501.0,5400.0,0
2/24/2021,334244.0,5415.0,0
2/25/2021,334900.0,5438.0,0
2/26/2021,335588.0,5463.0,0
2/27/2021,336007.0,5470.0,0
2/28/2021,336329.0,5471.0,0
3/1/2021,336647.0,5472.0,0
3/2/2021,337062.0,5498.0,0
3/3/2021,337686.0,5501.0,0
3/4/2021,338269.0,5536.0,0
3/5/2021,338774.0,5549.0,0
3/6/2021,339258.0,5552.0,0
3/7/2021,339574.0,5558.0,0
3/8/2021,339779.0,5559.0,0
3/9/2021,340336.0,5574.0,0
3/10/2021,341102.0,5601.0,0
