Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,0.0,0.0,0
3/9/2020,0.0,0.0,0
3/10/2020,0.0,0.0,0
3/11/2020,0.0,0.0,0
3/12/2020,0.0,0.0,0
3/13/2020,0.0,0.0,0
3/14/2020,1.0,0.0,0
3/15/2020,5.0,0.0,0
3/16/2020,5.0,0.0,0
3/17/2020,5.0,0.0,0
3/18/2020,10.0,0.0,0
3/19/2020,23.0,0.0,0
3/20/2020,31.0,0.0,0
3/21/2020,42.0,0.0,0
3/22/2020,47.0,0.0,0
3/23/2020,51.0,0.0,0
3/24/2020,71.0,0.0,0
3/25/2020,123.0,0.0,0
3/26/2020,189.0,3.0,0
3/27/2020,230.0,4.0,0
3/28/2020,261.0,5.0,0
3/29/2020,310.0,6.0,0
3/30/2020,415.0,7.0,0
3/31/2020,525.0,9.0,0
4/1/2020,669.0,9.0,0
4/2/2020,891.0,9.0,0
4/3/2020,1013.0,10.0,0
4/4/2020,1077.0,10.0,0
4/5/2020,1101.0,10.0,0
4/6/2020,1170.0,13.0,0
4/7/2020,1210.0,15.0,0
4/8/2020,1232.0,18.0,0
4/9/2020,1353.0,24.0,0
4/10/2020,1396.0,25.0,0
4/11/2020,1407.0,27.0,0
4/12/2020,1458.0,27.0,0
4/13/2020,1486.0,33.0,0
4/14/2020,1486.0,39.0,0
4/15/2020,1587.0,41.0,0
4/16/2020,1609.0,41.0,0
4/17/2020,1655.0,43.0,0
4/18/2020,1668.0,44.0,0
4/19/2020,1672.0,45.0,0
4/20/2020,1736.0,48.0,0
4/21/2020,1766.0,51.0,0
4/22/2020,1802.0,54.0,0
4/23/2020,1836.0,54.0,0
4/24/2020,1870.0,54.0,0
4/25/2020,1887.0,56.0,0
4/26/2020,1897.0,56.0,0
4/27/2020,1917.0,58.0,0
4/28/2020,1952.0,60.0,0
4/29/2020,1984.0,60.0,0
4/30/2020,2015.0,63.0,0
5/1/2020,2035.0,63.0,0
5/2/2020,2061.0,64.0,0
5/3/2020,2061.0,64.0,0
5/4/2020,2106.0,64.0,0
5/5/2020,2127.0,65.0,0
5/6/2020,2158.0,66.0,0
5/7/2020,2178.0,67.0,0
5/8/2020,2205.0,67.0,0
5/9/2020,2230.0,67.0,0
5/10/2020,2230.0,67.0,0
5/11/2020,2260.0,70.0,0
5/12/2020,2293.0,69.0,0
5/13/2020,2324.0,69.0,0
5/14/2020,2351.0,72.0,0
5/15/2020,2389.0,73.0,0
5/16/2020,2419.0,73.0,0
5/17/2020,2419.0,73.0,0
5/18/2020,2455.0,74.0,0
5/19/2020,2476.0,77.0,0
5/20/2020,2506.0,77.0,0
5/21/2020,2534.0,77.0,0
5/22/2020,2595.0,79.0,0
5/23/2020,2626.0,79.0,0
5/24/2020,2626.0,79.0,0
5/25/2020,2684.0,79.0,0
5/26/2020,2699.0,81.0,0
5/27/2020,2731.0,82.0,0
5/28/2020,2769.0,82.0,0
5/29/2020,2803.0,82.0,0
5/30/2020,2839.0,82.0,0
5/31/2020,2839.0,82.0,0
6/1/2020,2906.0,83.0,0
6/2/2020,2933.0,83.0,0
6/3/2020,2990.0,83.0,0
6/4/2020,3054.0,83.0,0
6/5/2020,3111.0,83.0,0
6/6/2020,3139.0,83.0,0
6/7/2020,3139.0,83.0,0
6/8/2020,3189.0,83.0,0
6/9/2020,3220.0,85.0,0
6/10/2020,3260.0,85.0,0
6/11/2020,3302.0,86.0,0
6/12/2020,3353.0,87.0,0
6/13/2020,3399.0,87.0,0
6/14/2020,3399.0,87.0,0
6/15/2020,3462.0,88.0,0
6/16/2020,3540.0,88.0,0
6/17/2020,3632.0,88.0,0
6/18/2020,3743.0,89.0,0
6/19/2020,3871.0,89.0,0
6/20/2020,4006.0,89.0,0
6/21/2020,4006.0,89.0,0
6/22/2020,4254.0,89.0,0
6/23/2020,4402.0,89.0,0
6/24/2020,4645.0,90.0,0
6/25/2020,4865.0,90.0,0
6/26/2020,5148.0,90.0,0
6/27/2020,5319.0,91.0,0
6/28/2020,5319.0,91.0,0
6/29/2020,5752.0,91.0,0
6/30/2020,6117.0,92.0,0
7/1/2020,6370.0,92.0,0
7/2/2020,6593.0,92.0,0
7/3/2020,6994.0,113.0,0
7/4/2020,7370.0,93.0,0
7/5/2020,7733.0,93.0,0
7/6/2020,8052.0,94.0,0
7/7/2020,8539.0,94.0,0
7/8/2020,8969.0,98.0,0
7/9/2020,9428.0,100.0,0
7/10/2020,9928.0,101.0,0
7/11/2020,10505.0,102.0,0
7/12/2020,10902.0,102.0,0
7/13/2020,11402.0,102.0,0
7/14/2020,11718.0,103.0,0
7/15/2020,12445.0,110.0,0
7/16/2020,13133.0,114.0,0
7/17/2020,13752.0,118.0,0
7/18/2020,14302.0,119.0,0
7/19/2020,14873.0,119.0,0
7/20/2020,15266.0,122.0,0
7/21/2020,15822.0,126.0,0
7/22/2020,16322.0,135.0,0
7/23/2020,16736.0,138.0,0
7/24/2020,17264.0,144.0,0
7/25/2020,17827.0,146.0,0
7/26/2020,18177.0,146.0,0
7/27/2020,18694.0,152.0,0
7/28/2020,19222.0,160.0,0
7/29/2020,19679.0,173.0,0
7/30/2020,20246.0,177.0,0
7/31/2020,20721.0,189.0,0
8/1/2020,21114.0,197.0,0
8/2/2020,21344.0,197.0,0
8/3/2020,21675.0,200.0,0
8/4/2020,22234.0,210.0,0
8/5/2020,22707.0,217.0,0
8/6/2020,23399.0,223.0,0
8/7/2020,23922.0,229.0,0
8/8/2020,24495.0,235.0,0
8/9/2020,24671.0,237.0,0
8/10/2020,25100.0,239.0,0
8/11/2020,25595.0,246.0,0
8/12/2020,26133.0,246.0,0
8/13/2020,26631.0,251.0,0
8/14/2020,27173.0,265.0,0
8/15/2020,27477.0,269.0,0
8/16/2020,27660.0,269.0,0
8/17/2020,27942.0,273.0,0
8/18/2020,28326.0,282.0,0
8/19/2020,28696.0,291.0,0
8/20/2020,29120.0,298.0,0
8/21/2020,29369.0,304.0,0
8/22/2020,29662.0,306.0,0
8/23/2020,29853.0,307.0,0
8/24/2020,30070.0,314.0,0
8/25/2020,30465.0,326.0,0
8/26/2020,30780.0,337.0,0
8/27/2020,31122.0,343.0,0
8/28/2020,31384.0,353.0,0
8/29/2020,31677.0,358.0,0
8/30/2020,31867.0,359.0,0
8/31/2020,32088.0,361.0,0
9/1/2020,32368.0,368.0,0
9/2/2020,32664.0,372.0,0
9/3/2020,32927.0,372.0,0
9/4/2020,33196.0,382.0,0
9/5/2020,33477.0,384.0,0
9/6/2020,33667.0,385.0,0
9/7/2020,33741.0,385.0,0
9/8/2020,33981.0,389.0,0
9/9/2020,34310.0,406.0,0
9/10/2020,34617.0,407.0,0
9/11/2020,34950.0,412.0,0
9/12/2020,35167.0,415.0,0
9/13/2020,35279.0,415.0,0
9/14/2020,35532.0,419.0,0
9/15/2020,35810.0,423.0,0
9/16/2020,36093.0,429.0,0
9/17/2020,36489.0,434.0,0
9/18/2020,36959.0,450.0,0
9/19/2020,37247.0,441.0,0
9/20/2020,37491.0,443.0,0
9/21/2020,37901.0,447.0,0
9/22/2020,38347.0,451.0,0
9/23/2020,38743.0,454.0,0
9/24/2020,39234.0,457.0,0
9/25/2020,39757.0,458.0,0
9/26/2020,40296.0,460.0,0
9/27/2020,40501.0,460.0,0
9/28/2020,40923.0,460.0,0
9/29/2020,41434.0,464.0,0
9/30/2020,42048.0,469.0,0
10/1/2020,42561.0,472.0,0
10/2/2020,43238.0,474.0,0
10/3/2020,43702.0,480.0,0
10/4/2020,43964.0,482.0,0
10/5/2020,44422.0,487.0,0
10/6/2020,45082.0,492.0,0
10/7/2020,45753.0,500.0,0
10/8/2020,46426.0,503.0,0
10/9/2020,47088.0,506.0,0
10/10/2020,47701.0,507.0,0
10/11/2020,48066.0,507.0,0
10/12/2020,48663.0,510.0,0
10/13/2020,49247.0,512.0,0
10/14/2020,49892.0,516.0,0
10/15/2020,50610.0,517.0,0
10/16/2020,51704.0,523.0,0
10/17/2020,52582.0,529.0,0
10/18/2020,53092.0,528.0,0
10/19/2020,53790.0,531.0,0
10/20/2020,54663.0,535.0,0
10/21/2020,55650.0,546.0,0
10/22/2020,56600.0,553.0,0
10/23/2020,57673.0,562.0,0
10/24/2020,58694.0,572.0,0
10/25/2020,59344.0,573.0,0
10/26/2020,60041.0,580.0,0
10/27/2020,60923.0,585.0,0
10/28/2020,61785.0,599.0,0
10/29/2020,62746.0,615.0,0
10/30/2020,63810.0,626.0,0
10/31/2020,64608.0,629.0,0
11/1/2020,65088.0,630.0,0
11/2/2020,65845.0,632.0,0
11/3/2020,67024.0,647.0,0
11/4/2020,68314.0,664.0,0
11/5/2020,69579.0,671.0,0
11/6/2020,70909.0,679.0,0
11/7/2020,72312.0,683.0,0
11/8/2020,72961.0,686.0,0
11/9/2020,74227.0,698.0,0
11/10/2020,75428.0,714.0,0
11/11/2020,77121.0,733.0,0
11/12/2020,78279.0,749.0,0
11/13/2020,79798.0,752.0,0
11/14/2020,81317.0,759.0,0
11/15/2020,82245.0,759.0,0
11/16/2020,83344.0,763.0,0
11/17/2020,85125.0,798.0,0
11/18/2020,86435.0,812.0,0
11/19/2020,87978.0,835.0,0
11/20/2020,89764.0,845.0,0
11/21/2020,90834.0,847.0,0
11/22/2020,91653.0,850.0,0
11/23/2020,93090.0,866.0,0
11/24/2020,94730.0,874.0,0
11/25/2020,96503.0,895.0,0
11/26/2020,97054.0,897.0,0
11/27/2020,98500.0,909.0,0
11/28/2020,99660.0,913.0,0
11/29/2020,100484.0,920.0,0
11/30/2020,101698.0,929.0,0
12/1/2020,103305.0,960.0,0
12/2/2020,104734.0,991.0,0
12/3/2020,106455.0,1014.0,0
12/4/2020,108366.0,1032.0,0
12/5/2020,109705.0,1032.0,0
12/6/2020,110510.0,1035.0,0
12/7/2020,111893.0,1055.0,0
12/8/2020,113905.0,1074.0,0
12/9/2020,116203.0,1103.0,0
12/10/2020,118028.0,1136.0,0
12/11/2020,119610.0,1151.0,0
12/12/2020,120632.0,1169.0,0
12/13/2020,121179.0,1175.0,0
12/14/2020,122217.0,1194.0,0
12/15/2020,124019.0,1214.0,0
12/16/2020,125452.0,1231.0,0
12/17/2020,126878.0,1259.0,0
12/18/2020,128218.0,1275.0,0
12/19/2020,129069.0,1275.0,0
12/20/2020,129960.0,1280.0,0
12/21/2020,130877.0,1301.0,0
12/22/2020,132594.0,1313.0,0
12/23/2020,133985.0,1324.0,0
12/24/2020,135233.0,1349.0,0
12/25/2020,135233.0,1349.0,0
12/26/2020,135787.0,1354.0,0
12/27/2020,136215.0,1354.0,0
12/28/2020,137010.0,1377.0,0
12/29/2020,138524.0,1393.0,0
12/30/2020,139864.0,1403.0,0
12/31/2020,141077.0,1436.0,0
1/1/2021,141077.0,1436.0,0
1/2/2021,142199.0,1448.0,0
1/3/2021,142507.0,1448.0,0
1/4/2021,143305.0,1459.0,0
1/5/2021,144843.0,1471.0,0
1/6/2021,146106.0,1488.0,0
1/7/2021,147173.0,1517.0,0
1/8/2021,148258.0,1523.0,0
1/9/2021,149235.0,1528.0,0
1/10/2021,149667.0,1534.0,0
1/11/2021,150239.0,1544.0,0
1/12/2021,151273.0,1556.0,0
1/13/2021,152364.0,1564.0,0
1/14/2021,153358.0,1591.0,0
1/15/2021,153358.0,1591.0,0
1/16/2021,155276.0,1605.0,0
1/17/2021,155554.0,1607.0,0
1/18/2021,155554.0,1607.0,0
1/19/2021,156778.0,1637.0,0
1/20/2021,157588.0,1635.0,0
1/21/2021,158200.0,1654.0,0
1/22/2021,158798.0,1667.0,0
1/23/2021,159325.0,1668.0,0
1/24/2021,159506.0,1669.0,0
1/25/2021,160033.0,1681.0,0
1/26/2021,160592.0,1688.0,0
1/27/2021,161212.0,1714.0,0
1/28/2021,161720.0,1721.0,0
1/29/2021,162355.0,1725.0,0
1/30/2021,162683.0,1725.0,0
1/31/2021,162683.0,1725.0,0
2/1/2021,163165.0,1735.0,0
2/2/2021,163656.0,1741.0,0
2/3/2021,164163.0,1748.0,0
2/4/2021,164565.0,1747.0,0
2/5/2021,164969.0,1758.0,0
2/6/2021,165209.0,1767.0,0
2/7/2021,165209.0,1767.0,0
2/8/2021,165658.0,1776.0,0
2/9/2021,166095.0,1780.0,0
2/10/2021,166553.0,1791.0,0
2/11/2021,166876.0,1791.0,0
2/12/2021,167225.0,1796.0,0
2/13/2021,167483.0,1803.0,0
2/14/2021,167483.0,1803.0,0
2/15/2021,167483.0,1803.0,0
2/16/2021,167945.0,1806.0,0
2/17/2021,168353.0,1817.0,0
2/18/2021,168639.0,1826.0,0
2/19/2021,168953.0,1827.0,0
2/20/2021,169150.0,1826.0,0
2/21/2021,169150.0,1826.0,0
2/22/2021,169584.0,1826.0,0
2/23/2021,169866.0,1840.0,0
2/24/2021,170289.0,1840.0,0
2/25/2021,170595.0,1850.0,0
2/26/2021,170907.0,1859.0,0
2/27/2021,171140.0,1860.0,0
2/28/2021,171140.0,1860.0,0
3/1/2021,171462.0,1867.0,0
3/2/2021,171836.0,1871.0,0
3/3/2021,172288.0,1876.0,0
3/4/2021,172587.0,1876.0,0
3/5/2021,172827.0,1876.0,0
3/6/2021,172931.0,1879.0,0
3/7/2021,172931.0,1879.0,0
3/8/2021,173309.0,1890.0,0
3/9/2021,173790.0,1892.0,0
3/10/2021,174246.0,1901.0,0
3/11/2021,174610.0,1906.0,0
3/12/2021,174943.0,1909.0,0
3/13/2021,175236.0,1910.0,0
3/14/2021,175236.0,1910.0,0
3/15/2021,175657.0,1916.0,0
3/16/2021,176007.0,1929.0,0
