Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,1.0,0.0,0
3/9/2020,1.0,0.0,0
3/10/2020,1.0,0.0,0
3/11/2020,1.0,0.0,0
3/12/2020,4.0,1.0,0
3/13/2020,6.0,1.0,0
3/14/2020,7.0,1.0,0
3/15/2020,8.0,1.0,0
3/16/2020,11.0,1.0,0
3/17/2020,16.0,1.0,0
3/18/2020,21.0,1.0,0
3/19/2020,35.0,1.0,0
3/20/2020,44.0,1.0,0
3/21/2020,55.0,2.0,0
3/22/2020,64.0,2.0,0
3/23/2020,82.0,2.0,0
3/24/2020,98.0,2.0,0
3/25/2020,98.0,2.0,0
3/26/2020,168.0,3.0,0
3/27/2020,202.0,4.0,0
3/28/2020,261.0,5.0,0
3/29/2020,319.0,6.0,0
3/30/2020,368.0,8.0,0
3/31/2020,428.0,9.0,0
4/1/2020,482.0,10.0,0
4/2/2020,552.0,13.0,0
4/3/2020,620.0,17.0,0
4/4/2020,698.0,21.0,0
4/5/2020,813.0,23.0,0
4/6/2020,845.0,25.0,0
4/7/2020,900.0,27.0,0
4/8/2020,1076.0,39.0,0
4/9/2020,1106.0,44.0,0
4/10/2020,1241.0,52.0,0
4/11/2020,1279.0,56.0,0
4/12/2020,1377.0,57.0,0
4/13/2020,1376.0,62.0,0
4/14/2020,1477.0,71.0,0
4/15/2020,1494.0,76.0,0
4/16/2020,1588.0,80.0,0
4/17/2020,1760.0,88.0,0
4/18/2020,1811.0,88.0,0
4/19/2020,1849.0,92.0,0
4/20/2020,1986.0,100.0,0
4/21/2020,2025.0,107.0,0
4/22/2020,2211.0,110.0,0
4/23/2020,2482.0,112.0,0
4/24/2020,2777.0,111.0,0
4/25/2020,3056.0,117.0,0
4/26/2020,3174.0,118.0,0
4/27/2020,3328.0,120.0,0
4/28/2020,3491.0,124.0,0
4/29/2020,3738.0,125.0,0
4/30/2020,4238.0,129.0,0
5/1/2020,4449.0,130.0,0
5/2/2020,4746.0,131.0,0
5/3/2020,5030.0,134.0,0
5/4/2020,5245.0,136.0,0
5/5/2020,5458.0,137.0,0
5/6/2020,5734.0,144.0,0
5/7/2020,6144.0,147.0,0
5/8/2020,6501.0,152.0,0
5/9/2020,6751.0,157.0,0
5/10/2020,6984.0,157.0,0
5/11/2020,7116.0,158.0,0
5/12/2020,7116.0,158.0,0
5/13/2020,7468.0,164.0,0
5/14/2020,7468.0,164.0,0
5/15/2020,7886.0,172.0,0
5/16/2020,7886.0,172.0,0
5/17/2020,7886.0,172.0,0
5/18/2020,8340.0,173.0,0
5/19/2020,8340.0,173.0,0
5/20/2020,8539.0,178.0,0
5/21/2020,8539.0,178.0,0
5/22/2020,8958.0,185.0,0
5/23/2020,8958.0,185.0,0
5/24/2020,8958.0,185.0,0
5/25/2020,9218.0,188.0,0
5/26/2020,9218.0,188.0,0
5/27/2020,9337.0,205.0,0
5/28/2020,9337.0,205.0,0
5/29/2020,9719.0,208.0,0
5/30/2020,9719.0,208.0,0
5/31/2020,9719.0,208.0,0
6/1/2020,10011.0,217.0,0
6/2/2020,10011.0,217.0,0
6/3/2020,10170.0,222.0,0
6/4/2020,10170.0,222.0,0
6/5/2020,10393.0,232.0,0
6/6/2020,10393.0,232.0,0
6/7/2020,10393.0,232.0,0
6/8/2020,10650.0,236.0,0
6/9/2020,10650.0,236.0,0
6/10/2020,10812.0,240.0,0
6/11/2020,10812.0,240.0,0
6/12/2020,11047.0,243.0,0
6/13/2020,11047.0,243.0,0
6/14/2020,11047.0,243.0,0
6/15/2020,11419.0,245.0,0
6/16/2020,11419.0,245.0,0
6/17/2020,11681.0,247.0,0
6/18/2020,11681.0,247.0,0
6/19/2020,12059.0,254.0,0
6/20/2020,12059.0,254.0,0
6/21/2020,12059.0,254.0,0
6/22/2020,12465.0,259.0,0
6/23/2020,12465.0,259.0,0
6/24/2020,12970.0,261.0,0
6/25/2020,12970.0,261.0,0
6/26/2020,13538.0,264.0,0
6/27/2020,13538.0,264.0,0
6/28/2020,13538.0,264.0,0
6/29/2020,14443.0,270.0,0
6/30/2020,14443.0,270.0,0
7/1/2020,14990.0,272.0,0
7/2/2020,14990.0,272.0,0
7/3/2020,15919.0,277.0,0
7/4/2020,15919.0,277.0,0
7/5/2020,15919.0,277.0,0
7/6/2020,16901.0,280.0,0
7/7/2020,16901.0,280.0,0
7/8/2020,17618.0,282.0,0
7/9/2020,17618.0,282.0,0
7/10/2020,18611.0,284.0,0
7/11/2020,18611.0,284.0,0
7/12/2020,18611.0,284.0,0
7/13/2020,20058.0,288.0,0
7/14/2020,20058.0,288.0,0
7/15/2020,20933.0,299.0,0
7/16/2020,20933.0,299.0,0
7/17/2020,21965.0,299.0,0
7/18/2020,21965.0,299.0,0
7/19/2020,21965.0,299.0,0
7/20/2020,23334.0,307.0,0
7/21/2020,23334.0,307.0,0
7/22/2020,24104.0,308.0,0
7/23/2020,24104.0,308.0,0
7/24/2020,25109.0,326.0,0
7/25/2020,25109.0,326.0,0
7/26/2020,25109.0,326.0,0
7/27/2020,26172.0,335.0,0
7/28/2020,26172.0,335.0,0
7/29/2020,26870.0,349.0,0
7/30/2020,26870.0,349.0,0
7/31/2020,27812.0,358.0,0
8/1/2020,27812.0,358.0,0
8/2/2020,27812.0,358.0,0
8/3/2020,28876.0,365.0,0
8/4/2020,28876.0,365.0,0
8/5/2020,29717.0,368.0,0
8/6/2020,29717.0,368.0,0
8/7/2020,30638.0,380.0,0
8/8/2020,30638.0,380.0,0
8/9/2020,30638.0,380.0,0
8/10/2020,31730.0,387.0,0
8/11/2020,31730.0,387.0,0
8/12/2020,32547.0,395.0,0
8/13/2020,32547.0,395.0,0
8/14/2020,33885.0,402.0,0
8/15/2020,33885.0,402.0,0
8/16/2020,33885.0,402.0,0
8/17/2020,35167.0,405.0,0
8/18/2020,35167.0,405.0,0
8/19/2020,35890.0,411.0,0
8/20/2020,35890.0,411.0,0
8/21/2020,36856.0,419.0,0
8/22/2020,36856.0,419.0,0
8/23/2020,36856.0,419.0,0
8/24/2020,38401.0,426.0,0
8/25/2020,38401.0,426.0,0
8/26/2020,39937.0,426.0,0
8/27/2020,39937.0,437.0,0
8/28/2020,41048.0,443.0,0
8/29/2020,41048.0,443.0,0
8/30/2020,41048.0,443.0,0
8/31/2020,42612.0,446.0,0
9/1/2020,42612.0,446.0,0
9/2/2020,43940.0,458.0,0
9/3/2020,43940.0,458.0,0
9/4/2020,45220.0,481.0,0
9/5/2020,45220.0,481.0,0
9/6/2020,45220.0,481.0,0
9/7/2020,46914.0,485.0,0
9/8/2020,46914.0,485.0,0
9/9/2020,47410.0,495.0,0
9/10/2020,47410.0,495.0,0
9/11/2020,48386.0,511.0,0
9/12/2020,48386.0,511.0,0
9/13/2020,48386.0,511.0,0
9/14/2020,49899.0,534.0,0
9/15/2020,49899.0,534.0,0
9/16/2020,50870.0,586.0,0
9/17/2020,50870.0,586.0,0
9/18/2020,52285.0,596.0,0
9/19/2020,52285.0,596.0,0
9/20/2020,52285.0,596.0,0
9/21/2020,53959.0,600.0,0
9/22/2020,53959.0,600.0,0
9/23/2020,55226.0,621.0,0
9/24/2020,55226.0,621.0,0
9/25/2020,56592.0,632.0,0
9/26/2020,56592.0,632.0,0
9/27/2020,56592.0,632.0,0
9/28/2020,58629.0,637.0,0
9/29/2020,58629.0,637.0,0
9/30/2020,59749.0,678.0,0
10/1/2020,59749.0,678.0,0
10/2/2020,61111.0,698.0,0
10/3/2020,61111.0,698.0,0
10/4/2020,61111.0,698.0,0
10/5/2020,62708.0,706.0,0
10/6/2020,62708.0,706.0,0
10/7/2020,63952.0,723.0,0
10/8/2020,63952.0,723.0,0
10/9/2020,65807.0,763.0,0
10/10/2020,65807.0,763.0,0
10/11/2020,65807.0,763.0,0
10/12/2020,67862.0,771.0,0
10/13/2020,67862.0,771.0,0
10/14/2020,69155.0,838.0,0
10/15/2020,69155.0,838.0,0
10/16/2020,70855.0,859.0,0
10/17/2020,70855.0,859.0,0
10/18/2020,70855.0,859.0,0
10/19/2020,72968.0,872.0,0
10/20/2020,72968.0,872.0,0
10/21/2020,74456.0,952.0,0
10/22/2020,74456.0,952.0,0
10/23/2020,76230.0,975.0,0
10/24/2020,76230.0,975.0,0
10/25/2020,76230.0,975.0,0
10/26/2020,78676.0,976.0,0
10/27/2020,78676.0,976.0,0
10/28/2020,82045.0,1007.0,0
10/29/2020,82045.0,1007.0,0
10/30/2020,85181.0,1029.0,0
10/31/2020,85181.0,1029.0,0
11/1/2020,85181.0,1029.0,0
11/2/2020,89277.0,1046.0,0
11/3/2020,89277.0,1046.0,0
11/4/2020,92215.0,1087.0,0
11/5/2020,92215.0,1087.0,0
11/6/2020,97633.0,1166.0,0
11/7/2020,97633.0,1166.0,0
11/8/2020,97633.0,1166.0,0
11/9/2020,103553.0,1181.0,0
11/10/2020,103553.0,1181.0,0
11/11/2020,109225.0,1215.0,0
11/12/2020,109225.0,1215.0,0
11/13/2020,115507.0,1259.0,0
11/14/2020,115507.0,1259.0,0
11/15/2020,115507.0,1259.0,0
11/16/2020,122741.0,1266.0,0
11/17/2020,122741.0,1266.0,0
11/18/2020,128594.0,1326.0,0
11/19/2020,128594.0,1326.0,0
11/20/2020,134533.0,1410.0,0
11/21/2020,134533.0,1410.0,0
11/22/2020,134533.0,1410.0,0
11/23/2020,142059.0,1456.0,0
11/24/2020,142059.0,1456.0,0
11/25/2020,147797.0,1503.0,0
11/26/2020,147797.0,1503.0,0
11/27/2020,153021.0,1529.0,0
11/28/2020,153021.0,1529.0,0
11/29/2020,153021.0,1529.0,0
11/30/2020,157446.0,1560.0,0
12/1/2020,157446.0,1560.0,0
12/2/2020,162061.0,1679.0,0
12/3/2020,162061.0,1679.0,0
12/4/2020,168295.0,1786.0,0
12/5/2020,168386.0,1786.0,0
12/6/2020,168295.0,1786.0,0
12/7/2020,174025.0,1856.0,0
12/8/2020,174025.0,1856.0,0
12/9/2020,179803.0,1941.0,0
12/10/2020,179803.0,1941.0,0
12/11/2020,185294.0,2072.0,0
12/12/2020,185294.0,2072.0,0
12/13/2020,185294.0,2072.0,0
12/14/2020,190018.0,2109.0,0
12/15/2020,190018.0,2109.0,0
12/16/2020,194569.0,2253.0,0
12/17/2020,194569.0,2253.0,0
12/18/2020,200426.0,2341.0,0
12/19/2020,200426.0,2341.0,0
12/20/2020,200426.0,2341.0,0
12/21/2020,204600.0,2448.0,0
12/22/2020,204600.0,2448.0,0
12/23/2020,209689.0,2507.0,0
12/24/2020,209689.0,2507.0,0
12/25/2020,209689.0,2507.0,0
12/26/2020,209689.0,2507.0,0
12/27/2020,209689.0,2507.0,0
12/28/2020,216062.0,2548.0,0
12/29/2020,216062.0,2548.0,0
12/30/2020,222433.0,2741.0,0
12/31/2020,222433.0,2741.0,0
1/1/2021,227745.0,2879.0,0
1/2/2021,227745.0,2879.0,0
1/3/2021,227745.0,2879.0,0
1/4/2021,231317.0,2897.0,0
1/5/2021,231317.0,2897.0,0
1/6/2021,236818.0,3027.0,0
1/7/2021,236818.0,3027.0,0
1/8/2021,242322.0,3148.0,0
1/9/2021,242322.0,3148.0,0
1/10/2021,242322.0,3148.0,0
1/11/2021,247502.0,3255.0,0
1/12/2021,247502.0,3255.0,0
1/13/2021,252041.0,3355.0,0
1/14/2021,252041.0,3355.0,0
1/15/2021,256134.0,3502.0,0
1/16/2021,256134.0,3502.0,0
1/17/2021,256134.0,3502.0,0
1/18/2021,259822.0,3525.0,0
1/19/2021,259822.0,3525.0,0
1/20/2021,263412.0,3575.0,0
1/21/2021,263412.0,3575.0,0
1/22/2021,266653.0,3598.0,0
1/23/2021,266653.0,3598.0,0
1/24/2021,266653.0,3598.0,0
1/25/2021,269255.0,3622.0,0
1/26/2021,269255.0,3622.0,0
1/27/2021,272517.0,3718.0,0
1/28/2021,272517.0,3718.0,0
1/29/2021,274685.0,3779.0,0
1/30/2021,274685.0,3779.0,0
1/31/2021,274685.0,3779.0,0
2/1/2021,276668.0,3809.0,0
2/2/2021,276668.0,3809.0,0
2/3/2021,278915.0,3895.0,0
2/4/2021,278915.0,3895.0,0
2/5/2021,281562.0,4101.0,0
2/6/2021,281562.0,4101.0,0
2/7/2021,281562.0,4101.0,0
2/8/2021,282960.0,4197.0,0
2/9/2021,282960.0,4197.0,0
2/10/2021,284894.0,4303.0,0
2/11/2021,284894.0,4303.0,0
2/12/2021,286102.0,4364.0,0
2/13/2021,286102.0,4364.0,0
2/14/2021,286102.0,4364.0,0
2/15/2021,287450.0,4406.0,0
2/16/2021,287450.0,4406.0,0
2/17/2021,288717.0,4521.0,0
2/18/2021,288717.0,4521.0,0
2/19/2021,290832.0,4614.0,0
2/20/2021,290832.0,4614.0,0
2/21/2021,290832.0,4614.0,0
2/22/2021,291715.0,4643.0,0
2/23/2021,291715.0,4643.0,0
2/24/2021,292837.0,4724.0,0
2/25/2021,292837.0,4724.0,0
2/26/2021,293663.0,4735.0,0
2/27/2021,293663.0,4735.0,0
2/28/2021,293663.0,4735.0,0
3/1/2021,294302.0,4744.0,0
3/2/2021,294302.0,4744.0,0
3/3/2021,295109.0,4816.0,0
3/4/2021,295109.0,4816.0,0
3/5/2021,295861.0,4812.0,0
3/6/2021,295861.0,4812.0,0
3/7/2021,295861.0,4812.0,0
3/8/2021,296451.0,4816.0,0
3/9/2021,296451.0,4816.0,0
3/10/2021,297229.0,4851.0,0
3/11/2021,297229.0,4851.0,0
3/12/2021,297748.0,4824.0,0
3/13/2021,297748.0,4824.0,0
3/14/2021,297748.0,4824.0,0
