Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,3.0,0.0,0
3/6/2020,3.0,0.0,0
3/7/2020,3.0,0.0,0
3/8/2020,3.0,0.0,0
3/9/2020,9.0,0.0,0
3/10/2020,9.0,0.0,0
3/11/2020,12.0,0.0,0
3/12/2020,12.0,0.0,0
3/13/2020,12.0,0.0,0
3/14/2020,12.0,0.0,0
3/15/2020,37.0,0.0,0
3/16/2020,57.0,0.0,0
3/17/2020,85.0,0.0,0
3/18/2020,107.0,2.0,0
3/19/2020,149.0,2.0,0
3/20/2020,149.0,4.0,0
3/21/2020,190.0,4.0,0
3/22/2020,288.0,5.0,0
3/23/2020,288.0,5.0,0
3/24/2020,349.0,6.0,0
3/25/2020,580.0,6.0,0
3/26/2020,774.0,8.0,0
3/27/2020,774.0,11.0,0
3/28/2020,992.0,18.0,0
3/29/2020,1239.0,25.0,0
3/30/2020,1660.0,36.0,0
3/31/2020,1660.0,44.0,0
4/1/2020,1985.0,53.0,0
4/2/2020,2331.0,66.0,0
4/3/2020,2758.0,86.0,0
4/4/2020,3125.0,103.0,0
4/5/2020,4045.0,125.0,0
4/6/2020,4371.0,142.0,0
4/7/2020,5529.0,164.0,0
4/8/2020,6185.0,195.0,0
4/9/2020,6968.0,224.0,0
4/10/2020,6968.0,258.0,0
4/11/2020,7694.0,301.0,0
4/12/2020,8936.0,338.0,0
4/13/2020,9472.0,387.0,0
4/14/2020,10032.0,424.0,0
4/15/2020,10784.0,472.0,0
4/16/2020,11572.0,502.0,0
4/17/2020,11572.0,544.0,0
4/18/2020,12308.0,587.0,0
4/19/2020,13684.0,632.0,0
4/20/2020,14193.0,687.0,0
4/21/2020,14775.0,737.0,0
4/22/2020,15737.0,786.0,0
4/23/2020,16616.0,840.0,0
4/24/2020,16616.0,908.0,0
4/25/2020,17766.0,959.0,0
4/26/2020,19487.0,1013.0,0
4/27/2020,20113.0,1059.0,0
4/28/2020,20849.0,1116.0,0
4/29/2020,21742.0,1186.0,0
4/30/2020,23472.0,1248.0,0
5/1/2020,23472.0,1300.0,0
5/2/2020,24473.0,1348.0,0
5/3/2020,26408.0,1397.0,0
5/4/2020,27117.0,1451.0,0
5/5/2020,28163.0,1507.0,0
5/6/2020,28163.0,1551.0,0
5/7/2020,30485.0,1612.0,0
5/8/2020,31534.0,1678.0,0
5/9/2020,32587.0,1729.0,0
5/10/2020,33373.0,1777.0,0
5/11/2020,34061.0,1830.0,0
5/12/2020,34812.0,1880.0,0
5/13/2020,35903.0,1930.0,0
5/14/2020,36986.0,1984.0,0
5/15/2020,37968.0,2042.0,0
5/16/2020,38804.0,2092.0,0
5/17/2020,38804.0,2144.0,0
5/18/2020,41546.0,2180.0,0
5/19/2020,42323.0,2222.0,0
5/20/2020,43531.0,2258.0,0
5/21/2020,44424.0,2282.0,0
5/22/2020,45495.0,2338.0,0
5/23/2020,46313.0,2372.0,0
5/24/2020,47152.0,2410.0,0
5/25/2020,47687.0,2449.0,0
5/26/2020,48423.0,2493.0,0
5/27/2020,49709.0,2536.0,0
5/28/2020,50988.0,2581.0,0
5/29/2020,52015.0,2621.0,0
5/30/2020,52778.0,2649.0,0
5/31/2020,53327.0,2684.0,0
6/1/2020,54175.0,2715.0,0
6/2/2020,54982.0,2741.0,0
6/3/2020,55858.0,2780.0,0
6/4/2020,56770.0,2813.0,0
6/5/2020,57482.0,2847.0,0
6/6/2020,57973.0,2871.0,0
6/7/2020,58404.0,2898.0,0
6/8/2020,58904.0,2922.0,0
6/9/2020,59465.0,2948.0,0
6/10/2020,60197.0,2981.0,0
6/11/2020,60613.0,3004.0,0
6/12/2020,61305.0,3029.0,0
6/13/2020,61701.0,3047.0,0
6/14/2020,62032.0,3065.0,0
6/15/2020,62409.0,3088.0,0
6/16/2020,62969.0,3102.0,0
6/17/2020,63229.0,3124.0,0
6/18/2020,63548.0,3133.0,0
6/19/2020,63956.0,3153.0,0
6/20/2020,64306.0,3174.0,0
6/21/2020,64603.0,3187.0,0
6/22/2020,65007.0,3203.0,0
6/23/2020,65337.0,3218.0,0
6/24/2020,65777.0,3235.0,0
6/25/2020,66115.0,3247.0,0
6/26/2020,66450.0,3261.0,0
6/27/2020,66777.0,3280.0,0
6/28/2020,67254.0,3286.0,0
6/29/2020,67559.0,3303.0,0
6/30/2020,67918.0,3316.0,0
7/1/2020,68423.0,3331.0,0
7/2/2020,68961.0,3339.0,0
7/3/2020,69341.0,3357.0,0
7/4/2020,69632.0,3365.0,0
7/5/2020,69904.0,3371.0,0
7/6/2020,70396.0,3386.0,0
7/7/2020,70861.0,3397.0,0
7/8/2020,71447.0,3403.0,0
7/9/2020,71910.0,3414.0,0
7/10/2020,72467.0,3421.0,0
7/11/2020,73109.0,3434.0,0
7/12/2020,73527.0,3441.0,0
7/13/2020,74260.0,3447.0,0
7/14/2020,75016.0,3449.0,0
7/15/2020,75664.0,3460.0,0
7/16/2020,76371.0,3473.0,0
7/17/2020,77206.0,3481.0,0
7/18/2020,78131.0,3491.0,0
7/19/2020,78685.0,3502.0,0
7/20/2020,79545.0,3509.0,0
7/21/2020,80172.0,3519.0,0
7/22/2020,80836.0,3525.0,0
7/23/2020,81766.0,3534.0,0
7/24/2020,83054.0,3545.0,0
7/25/2020,83748.0,3555.0,0
7/26/2020,84876.0,3563.0,0
7/27/2020,85524.0,3573.0,0
7/28/2020,86285.0,3585.0,0
7/29/2020,87177.0,3596.0,0
7/30/2020,88346.0,3607.0,0
7/31/2020,89365.0,3614.0,0
8/1/2020,90274.0,3628.0,0
8/2/2020,91144.0,3636.0,0
8/3/2020,91854.0,3646.0,0
8/4/2020,92426.0,3655.0,0
8/5/2020,93005.0,3664.0,0
8/6/2020,93806.0,3674.0,0
8/7/2020,94581.0,3687.0,0
8/8/2020,95503.0,3697.0,0
8/9/2020,96258.0,3702.0,0
8/10/2020,96843.0,3714.0,0
8/11/2020,97384.0,3720.0,0
8/12/2020,98160.0,3732.0,0
8/13/2020,98875.0,3742.0,0
8/14/2020,99693.0,3748.0,0
8/15/2020,100212.0,3756.0,0
8/16/2020,100715.0,3759.0,0
8/17/2020,101235.0,3767.0,0
8/18/2020,101649.0,3775.0,0
8/19/2020,102229.0,3780.0,0
8/20/2020,102899.0,3788.0,0
8/21/2020,103523.0,3801.0,0
8/22/2020,104102.0,3812.0,0
8/23/2020,104669.0,3820.0,0
8/24/2020,105046.0,3821.0,0
8/25/2020,105486.0,3831.0,0
8/26/2020,106063.0,3840.0,0
8/27/2020,106664.0,3852.0,0
8/28/2020,107294.0,3863.0,0
8/29/2020,107791.0,3869.0,0
8/30/2020,108249.0,3877.0,0
8/31/2020,108863.0,3880.0,0
9/1/2020,109319.0,3887.0,0
9/2/2020,110012.0,3895.0,0
9/3/2020,110831.0,3909.0,0
9/4/2020,111607.0,3914.0,0
9/5/2020,112119.0,3921.0,0
9/6/2020,112883.0,3923.0,0
9/7/2020,113239.0,3927.0,0
9/8/2020,113575.0,3930.0,0
9/9/2020,114078.0,3938.0,0
9/10/2020,114724.0,3948.0,0
9/11/2020,115533.0,3952.0,0
9/12/2020,116110.0,3956.0,0
9/13/2020,116646.0,3959.0,0
9/14/2020,117245.0,3968.0,0
9/15/2020,117888.0,3977.0,0
9/16/2020,118519.0,3983.0,0
9/17/2020,119062.0,3988.0,0
9/18/2020,119744.0,3995.0,0
9/19/2020,120156.0,4001.0,0
9/20/2020,120568.0,4008.0,0
9/21/2020,120912.0,4013.0,0
9/22/2020,121297.0,4017.0,0
9/23/2020,121800.0,4029.0,0
9/24/2020,122359.0,4033.0,0
9/25/2020,122972.0,4040.0,0
9/26/2020,123403.0,4047.0,0
9/27/2020,123880.0,4052.0,0
9/28/2020,124311.0,4059.0,0
9/29/2020,124725.0,4062.0,0
9/30/2020,125510.0,4064.0,0
10/1/2020,126222.0,4072.0,0
10/2/2020,126819.0,4081.0,0
10/3/2020,127290.0,4084.0,0
10/4/2020,127791.0,4090.0,0
10/5/2020,128204.0,4097.0,0
10/6/2020,128644.0,4104.0,0
10/7/2020,129425.0,4114.0,0
10/8/2020,130159.0,4120.0,0
10/9/2020,130795.0,4128.0,0
10/10/2020,131357.0,4133.0,0
10/11/2020,131861.0,4139.0,0
10/12/2020,132343.0,4142.0,0
10/13/2020,132918.0,4152.0,0
10/14/2020,133548.0,4157.0,0
10/15/2020,134329.0,4162.0,0
10/16/2020,135127.0,4169.0,0
10/17/2020,135657.0,4172.0,0
10/18/2020,136154.0,4180.0,0
10/19/2020,136744.0,4186.0,0
10/20/2020,137236.0,4198.0,0
10/21/2020,137979.0,4206.0,0
10/22/2020,138691.0,4216.0,0
10/23/2020,139487.0,4223.0,0
10/24/2020,140279.0,4229.0,0
10/25/2020,140844.0,4235.0,0
10/26/2020,141741.0,4239.0,0
10/27/2020,142425.0,4245.0,0
10/28/2020,143387.0,4258.0,0
10/29/2020,144314.0,4271.0,0
10/30/2020,145281.0,4282.0,0
10/31/2020,146145.0,4290.0,0
11/1/2020,146995.0,4296.0,0
11/2/2020,147766.0,4302.0,0
11/3/2020,148766.0,4315.0,0
11/4/2020,149964.0,4326.0,0
11/5/2020,151505.0,4340.0,0
11/6/2020,152915.0,4353.0,0
11/7/2020,153996.0,4366.0,0
11/8/2020,155371.0,4375.0,0
11/9/2020,156709.0,4387.0,0
11/10/2020,158423.0,4402.0,0
11/11/2020,159900.0,4413.0,0
11/12/2020,161769.0,4431.0,0
11/13/2020,164090.0,4451.0,0
11/14/2020,165930.0,4463.0,0
11/15/2020,167656.0,4479.0,0
11/16/2020,169805.0,4495.0,0
11/17/2020,171823.0,4514.0,0
11/18/2020,174733.0,4536.0,0
11/19/2020,177086.0,4552.0,0
11/20/2020,179971.0,4572.0,0
11/21/2020,182139.0,4609.0,0
11/22/2020,183797.0,4629.0,0
11/23/2020,185464.0,4662.0,0
11/24/2020,188161.0,4691.0,0
11/25/2020,190480.0,4725.0,0
11/26/2020,192858.0,4756.0,0
11/27/2020,194448.0,4791.0,0
11/28/2020,196447.0,4824.0,0
11/29/2020,198370.0,4848.0,0
11/30/2020,201135.0,4881.0,0
12/1/2020,203355.0,4924.0,0
12/2/2020,205399.0,4966.0,0
12/3/2020,209191.0,4996.0,0
12/4/2020,212384.0,5032.0,0
12/5/2020,215027.0,5067.0,0
12/6/2020,217329.0,5108.0,0
12/7/2020,219961.0,5154.0,0
12/8/2020,222653.0,5201.0,0
12/9/2020,225855.0,5245.0,0
12/10/2020,228471.0,5298.0,0
12/11/2020,232009.0,5349.0,0
12/12/2020,234647.0,5399.0,0
12/13/2020,236961.0,5438.0,0
12/14/2020,239362.0,5490.0,0
12/15/2020,241767.0,5539.0,0
12/16/2020,243984.0,5593.0,0
12/17/2020,246553.0,5638.0,0
12/18/2020,248754.0,5696.0,0
12/19/2020,250808.0,5747.0,0
12/20/2020,253073.0,5777.0,0
12/21/2020,255397.0,5827.0,0
12/22/2020,257862.0,5876.0,0
12/23/2020,260728.0,5918.0,0
12/24/2020,263160.0,5961.0,0
12/25/2020,265440.0,5996.0,0
12/26/2020,267198.0,6048.0,0
12/27/2020,269183.0,6090.0,0
12/28/2020,271061.0,6143.0,0
12/29/2020,273689.0,6193.0,0
12/30/2020,276662.0,6242.0,0
12/31/2020,280219.0,6285.0,0
1/1/2021,283171.0,6327.0,0
1/2/2021,285319.0,6371.0,0
1/3/2021,287802.0,6415.0,0
1/4/2021,289758.0,6453.0,0
1/5/2021,292904.0,6498.0,0
1/6/2021,295874.0,6535.0,0
1/7/2021,299606.0,6564.0,0
1/8/2021,303364.0,6611.0,0
1/9/2021,306674.0,6655.0,0
1/10/2021,309686.0,6691.0,0
1/11/2021,312351.0,6738.0,0
1/12/2021,314867.0,6793.0,0
1/13/2021,317815.0,6828.0,0
1/14/2021,320739.0,6879.0,0
1/15/2021,324031.0,6921.0,0
1/16/2021,326445.0,6962.0,0
1/17/2021,328214.0,7011.0,0
1/18/2021,330186.0,7064.0,0
1/19/2021,332353.0,7113.0,0
1/20/2021,334519.0,7159.0,0
1/21/2021,336915.0,7203.0,0
1/22/2021,339307.0,7243.0,0
1/23/2021,341452.0,7287.0,0
1/24/2021,343138.0,7340.0,0
1/25/2021,344620.0,7388.0,0
1/26/2021,346559.0,7425.0,0
1/27/2021,348749.0,7468.0,0
1/28/2021,350629.0,7502.0,0
1/29/2021,352726.0,7533.0,0
1/30/2021,354473.0,7569.0,0
1/31/2021,355636.0,7600.0,0
2/1/2021,356541.0,7632.0,0
2/2/2021,357483.0,7650.0,0
2/3/2021,359037.0,7703.0,0
2/4/2021,360584.0,7734.0,0
2/5/2021,362084.0,7769.0,0
2/6/2021,363650.0,7792.0,0
2/7/2021,364553.0,7829.0,0
2/8/2021,365529.0,7874.0,0
2/9/2021,366666.0,7907.0,0
2/10/2021,367865.0,7939.0,0
2/11/2021,368977.0,7966.0,0
2/12/2021,370136.0,7994.0,0
2/13/2021,370983.0,8020.0,0
2/14/2021,371705.0,8054.0,0
2/15/2021,372221.0,8076.0,0
2/16/2021,372980.0,8103.0,0
2/17/2021,373966.0,8130.0,0
2/18/2021,374974.0,8152.0,0
2/19/2021,375737.0,8180.0,0
2/20/2021,376355.0,8206.0,0
2/21/2021,376966.0,8234.0,0
2/22/2021,377628.0,8261.0,0
2/23/2021,378490.0,8274.0,0
2/24/2021,379466.0,8296.0,0
2/25/2021,380436.0,8326.0,0
2/26/2021,381272.0,8341.0,0
2/27/2021,382099.0,8355.0,0
2/28/2021,382702.0,8370.0,0
3/1/2021,383170.0,8381.0,0
3/2/2021,383956.0,8391.0,0
3/3/2021,384765.0,8403.0,0
3/4/2021,385678.0,8411.0,0
