Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,0.0,0.0,0
3/9/2020,0.0,0.0,0
3/10/2020,0.0,0.0,0
3/11/2020,0.0,0.0,0
3/12/2020,1.0,0.0,0
3/13/2020,1.0,0.0,0
3/14/2020,5.0,0.0,0
3/15/2020,14.0,0.0,0
3/16/2020,19.0,0.0,0
3/17/2020,32.0,0.0,0
3/18/2020,44.0,0.0,0
3/19/2020,52.0,0.0,0
3/20/2020,56.0,0.0,0
3/21/2020,70.0,0.0,0
3/22/2020,93.0,0.0,0
3/23/2020,109.0,0.0,0
3/24/2020,118.0,0.0,0
3/25/2020,147.0,0.0,0
3/26/2020,155.0,0.0,0
3/27/2020,168.0,1.0,0
3/28/2020,211.0,1.0,0
3/29/2020,253.0,3.0,0
3/30/2020,303.0,5.0,0
3/31/2020,303.0,5.0,0
4/1/2020,344.0,7.0,0
4/2/2020,376.0,7.0,0
4/3/2020,432.0,9.0,0
4/4/2020,456.0,10.0,0
4/5/2020,470.0,10.0,0
4/6/2020,499.0,10.0,0
4/7/2020,519.0,12.0,0
4/8/2020,537.0,14.0,0
4/9/2020,560.0,16.0,0
4/10/2020,583.0,17.0,0
4/11/2020,616.0,19.0,0
4/12/2020,633.0,19.0,0
4/13/2020,698.0,19.0,0
4/14/2020,734.0,20.0,0
4/15/2020,770.0,24.0,0
4/16/2020,796.0,27.0,0
4/17/2020,827.0,29.0,0
4/18/2020,847.0,32.0,0
4/19/2020,867.0,34.0,0
4/20/2020,875.0,35.0,0
4/21/2020,888.0,36.0,0
4/22/2020,907.0,39.0,0
4/23/2020,937.0,44.0,0
4/24/2020,965.0,47.0,0
4/25/2020,990.0,50.0,0
4/26/2020,1023.0,50.0,0
4/27/2020,1040.0,51.0,0
4/28/2020,1056.0,51.0,0
4/29/2020,1095.0,53.0,0
4/30/2020,1123.0,55.0,0
5/1/2020,1123.0,55.0,0
5/2/2020,1152.0,56.0,0
5/3/2020,1205.0,57.0,0
5/4/2020,1226.0,61.0,0
5/5/2020,1254.0,62.0,0
5/6/2020,1254.0,62.0,0
5/7/2020,1374.0,62.0,0
5/8/2020,1374.0,63.0,0
5/9/2020,1434.0,64.0,0
5/10/2020,1457.0,64.0,0
5/11/2020,1462.0,65.0,0
5/12/2020,1515.0,66.0,0
5/13/2020,1515.0,66.0,0
5/14/2020,1603.0,69.0,0
5/15/2020,1648.0,70.0,0
5/16/2020,1687.0,70.0,0
5/17/2020,1713.0,71.0,0
5/18/2020,1741.0,73.0,0
5/19/2020,1819.0,73.0,0
5/20/2020,1877.0,73.0,0
5/21/2020,1948.0,75.0,0
5/22/2020,1948.0,75.0,0
5/23/2020,2013.0,77.0,0
5/24/2020,2074.0,78.0,0
5/25/2020,2109.0,79.0,0
5/26/2020,2109.0,79.0,0
5/27/2020,2189.0,84.0,0
5/28/2020,2226.0,85.0,0
5/29/2020,2282.0,89.0,0
5/30/2020,2325.0,89.0,0
5/31/2020,2349.0,89.0,0
6/1/2020,2377.0,94.0,0
6/2/2020,2418.0,95.0,0
6/3/2020,2418.0,95.0,0
6/4/2020,2446.0,95.0,0
6/5/2020,2482.0,98.0,0
6/6/2020,2570.0,99.0,0
6/7/2020,2570.0,99.0,0
6/8/2020,2588.0,99.0,0
6/9/2020,2606.0,100.0,0
6/10/2020,2667.0,100.0,0
6/11/2020,2667.0,100.0,0
6/12/2020,2721.0,100.0,0
6/13/2020,2757.0,100.0,0
6/14/2020,2810.0,101.0,0
6/15/2020,2819.0,101.0,0
6/16/2020,2819.0,101.0,0
6/17/2020,2836.0,102.0,0
6/18/2020,2878.0,102.0,0
6/19/2020,2938.0,102.0,0
6/20/2020,2938.0,102.0,0
6/21/2020,2957.0,102.0,0
6/22/2020,2971.0,102.0,0
6/23/2020,2994.0,102.0,0
6/24/2020,3071.0,103.0,0
6/25/2020,3070.0,103.0,0
6/26/2020,3102.0,103.0,0
6/27/2020,3191.0,104.0,0
6/28/2020,3221.0,105.0,0
6/29/2020,3252.0,105.0,0
6/30/2020,3294.0,105.0,0
7/1/2020,3328.0,105.0,0
7/2/2020,3328.0,105.0,0
7/3/2020,3397.0,107.0,0
7/4/2020,3397.0,107.0,0
7/5/2020,3423.0,109.0,0
7/6/2020,3440.0,110.0,0
7/7/2020,3460.0,110.0,0
7/8/2020,3486.0,111.0,0
7/9/2020,3499.0,111.0,0
7/10/2020,3499.0,111.0,0
7/11/2020,3539.0,114.0,0
7/12/2020,3558.0,114.0,0
7/13/2020,3566.0,114.0,0
7/14/2020,3578.0,114.0,0
7/15/2020,3598.0,114.0,0
7/16/2020,3636.0,115.0,0
7/17/2020,3644.0,117.0,0
7/18/2020,3646.0,117.0,0
7/19/2020,3711.0,117.0,0
7/20/2020,3711.0,118.0,0
7/21/2020,3722.0,118.0,0
7/22/2020,3737.0,118.0,0
7/23/2020,3758.0,118.0,0
7/24/2020,3757.0,118.0,0
7/25/2020,3814.0,119.0,0
7/26/2020,3832.0,119.0,0
7/27/2020,3838.0,121.0,0
7/28/2020,3866.0,121.0,0
7/29/2020,3888.0,121.0,0
7/30/2020,3910.0,123.0,0
7/31/2020,3937.0,123.0,0
8/1/2020,3958.0,123.0,0
8/2/2020,3970.0,123.0,0
8/3/2020,3975.0,123.0,0
8/4/2020,3992.0,124.0,0
8/5/2020,3997.0,124.0,0
8/6/2020,4015.0,124.0,0
8/7/2020,4026.0,125.0,0
8/8/2020,4042.0,125.0,0
8/9/2020,4051.0,125.0,0
8/10/2020,4050.0,126.0,0
8/11/2020,4069.0,126.0,0
8/12/2020,4089.0,126.0,0
8/13/2020,4115.0,126.0,0
8/14/2020,4144.0,127.0,0
8/15/2020,4168.0,127.0,0
8/16/2020,4197.0,127.0,0
8/17/2020,4213.0,127.0,0
8/18/2020,4235.0,127.0,0
8/19/2020,4253.0,128.0,0
8/20/2020,4285.0,129.0,0
8/21/2020,4316.0,130.0,0
8/22/2020,4335.0,131.0,0
8/23/2020,4356.0,131.0,0
8/24/2020,4369.0,131.0,0
8/25/2020,4390.0,132.0,0
8/26/2020,4416.0,132.0,0
8/27/2020,4437.0,132.0,0
8/28/2020,4436.0,132.0,0
8/29/2020,4489.0,132.0,0
8/30/2020,4526.0,132.0,0
8/31/2020,4548.0,132.0,0
9/1/2020,4548.0,132.0,0
9/2/2020,4617.0,133.0,0
9/3/2020,4632.0,134.0,0
9/4/2020,4667.0,134.0,0
9/5/2020,4682.0,134.0,0
9/6/2020,4701.0,134.0,0
9/7/2020,4713.0,134.0,0
9/8/2020,4734.0,134.0,0
9/9/2020,4761.0,134.0,0
9/10/2020,4792.0,134.0,0
9/11/2020,4834.0,135.0,0
9/12/2020,4863.0,136.0,0
9/13/2020,4863.0,136.0,0
9/14/2020,4918.0,137.0,0
9/15/2020,4941.0,138.0,0
9/16/2020,4962.0,138.0,0
9/17/2020,5005.0,138.0,0
9/18/2020,5035.0,139.0,0
9/19/2020,5079.0,140.0,0
9/20/2020,5106.0,140.0,0
9/21/2020,5146.0,140.0,0
9/22/2020,5171.0,140.0,0
9/23/2020,5215.0,140.0,0
9/24/2020,5235.0,140.0,0
9/25/2020,5235.0,140.0,0
9/26/2020,5289.0,140.0,0
9/27/2020,5300.0,140.0,0
9/28/2020,5337.0,140.0,0
9/29/2020,5391.0,141.0,0
9/30/2020,5431.0,142.0,0
10/1/2020,5468.0,142.0,0
10/2/2020,5468.0,142.0,0
10/3/2020,5520.0,142.0,0
10/4/2020,5545.0,142.0,0
10/5/2020,5565.0,142.0,0
10/6/2020,5604.0,142.0,0
10/7/2020,5639.0,142.0,0
10/8/2020,5666.0,143.0,0
10/9/2020,5696.0,143.0,0
10/10/2020,5696.0,143.0,0
10/11/2020,5723.0,143.0,0
10/12/2020,5780.0,143.0,0
10/13/2020,5816.0,143.0,0
10/14/2020,5836.0,144.0,0
10/15/2020,5865.0,145.0,0
10/16/2020,5902.0,145.0,0
10/17/2020,5940.0,146.0,0
10/18/2020,5962.0,146.0,0
10/19/2020,5989.0,146.0,0
10/20/2020,5989.0,146.0,0
10/21/2020,6060.0,146.0,0
10/22/2020,6095.0,146.0,0
10/23/2020,6137.0,146.0,0
10/24/2020,6137.0,146.0,0
10/25/2020,6254.0,146.0,0
10/26/2020,6311.0,146.0,0
10/27/2020,6387.0,146.0,0
10/28/2020,6467.0,146.0,0
10/29/2020,6570.0,146.0,0
10/30/2020,6668.0,147.0,0
10/31/2020,6668.0,147.0,0
11/1/2020,6799.0,148.0,0
11/2/2020,6926.0,148.0,0
11/3/2020,7077.0,150.0,0
11/4/2020,7260.0,150.0,0
11/5/2020,7444.0,150.0,0
11/6/2020,7602.0,151.0,0
11/7/2020,7692.0,152.0,0
11/8/2020,7897.0,152.0,0
11/9/2020,8060.0,156.0,0
11/10/2020,8202.0,158.0,0
11/11/2020,8202.0,158.0,0
11/12/2020,8639.0,162.0,0
11/13/2020,8791.0,164.0,0
11/14/2020,8944.0,165.0,0
11/15/2020,9117.0,165.0,0
11/16/2020,9363.0,166.0,0
11/17/2020,9519.0,170.0,0
11/18/2020,9734.0,171.0,0
11/19/2020,9958.0,173.0,0
11/20/2020,10123.0,174.0,0
11/21/2020,10360.0,176.0,0
11/22/2020,10544.0,177.0,0
11/23/2020,10800.0,189.0,0
11/24/2020,11027.0,190.0,0
11/25/2020,11027.0,190.0,0
11/26/2020,11265.0,190.0,0
11/27/2020,11288.0,191.0,0
11/28/2020,11508.0,191.0,0
11/29/2020,11508.0,191.0,0
11/30/2020,11976.0,214.0,0
12/1/2020,12208.0,218.0,0
12/2/2020,12558.0,220.0,0
12/3/2020,12845.0,224.0,0
12/4/2020,13127.0,227.0,0
12/5/2020,13349.0,227.0,0
12/6/2020,13774.0,227.0,0
12/7/2020,14051.0,239.0,0
12/8/2020,14455.0,246.0,0
12/9/2020,14861.0,246.0,0
12/10/2020,15205.0,250.0,0
12/11/2020,15619.0,257.0,0
12/12/2020,15907.0,257.0,0
12/13/2020,16334.0,259.0,0
12/14/2020,16744.0,265.0,0
12/15/2020,17295.0,267.0,0
12/16/2020,17904.0,277.0,0
12/17/2020,18341.0,281.0,0
12/18/2020,18742.0,292.0,0
12/19/2020,18949.0,292.0,0
12/20/2020,19287.0,294.0,0
12/21/2020,19285.0,293.0,0
12/22/2020,20491.0,312.0,0
12/23/2020,21226.0,318.0,0
12/24/2020,21226.0,317.0,0
12/25/2020,21547.0,319.0,0
12/26/2020,21881.0,325.0,0
12/27/2020,22320.0,326.0,0
12/28/2020,22909.0,333.0,0
12/29/2020,23497.0,334.0,0
12/30/2020,24188.0,344.0,0
12/31/2020,24201.0,347.0,0
1/1/2021,25243.0,358.0,0
1/2/2021,25590.0,359.0,0
1/3/2021,25966.0,360.0,0
1/4/2021,26563.0,369.0,0
1/5/2021,27088.0,372.0,0
1/6/2021,27625.0,385.0,0
1/7/2021,28407.0,427.0,0
1/8/2021,29019.0,432.0,0
1/9/2021,29298.0,432.0,0
1/10/2021,29611.0,438.0,0
1/11/2021,30327.0,449.0,0
1/12/2021,31149.0,453.0,0
1/13/2021,31953.0,461.0,0
1/14/2021,32779.0,477.0,0
1/15/2021,33219.0,507.0,0
1/16/2021,33559.0,511.0,0
1/17/2021,33876.0,514.0,0
1/18/2021,34261.0,519.0,0
1/19/2021,34962.0,530.0,0
1/20/2021,35637.0,536.0,0
1/21/2021,36273.0,540.0,0
1/22/2021,36274.0,544.0,0
1/23/2021,36787.0,544.0,0
1/24/2021,37046.0,547.0,0
1/25/2021,37708.0,558.0,0
1/26/2021,38170.0,562.0,0
1/27/2021,38454.0,568.0,0
1/28/2021,38812.0,572.0,0
1/29/2021,39166.0,590.0,0
1/30/2021,39323.0,590.0,0
1/31/2021,39542.0,595.0,0
2/1/2021,39959.0,618.0,0
2/2/2021,40233.0,627.0,0
2/3/2021,40533.0,631.0,0
2/4/2021,40797.0,633.0,0
2/5/2021,41063.0,634.0,0
2/6/2021,41217.0,635.0,0
2/7/2021,41418.0,636.0,0
2/8/2021,41629.0,639.0,0
2/9/2021,41883.0,641.0,0
2/10/2021,42058.0,641.0,0
2/11/2021,42259.0,643.0,0
2/12/2021,42418.0,647.0,0
2/13/2021,42528.0,649.0,0
2/14/2021,42677.0,649.0,0
2/15/2021,42768.0,651.0,0
2/16/2021,42871.0,654.0,0
2/17/2021,43090.0,655.0,0
2/18/2021,43225.0,655.0,0
2/19/2021,43366.0,658.0,0
2/20/2021,43497.0,658.0,0
2/21/2021,43594.0,658.0,0
2/22/2021,43736.0,660.0,0
2/23/2021,43900.0,677.0,0
2/24/2021,44117.0,701.0,0
2/25/2021,44296.0,701.0,0
2/26/2021,44493.0,702.0,0
2/27/2021,44634.0,703.0,0
2/28/2021,44763.0,703.0,0
