Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,14.0,0.0,0
3/2/2020,27.0,1.0,0
3/3/2020,49.0,1.0,0
3/4/2020,73.0,1.0,0
3/5/2020,99.0,1.0,0
3/6/2020,141.0,1.0,0
3/7/2020,189.0,1.0,0
3/8/2020,252.0,1.0,0
3/9/2020,376.0,1.0,0
3/10/2020,533.0,1.0,0
3/11/2020,736.0,1.0,0
3/12/2020,1014.0,2.0,0
3/13/2020,1389.0,2.0,0
3/14/2020,1782.0,2.0,0
3/15/2020,2277.0,3.0,0
3/16/2020,3021.0,5.0,0
3/17/2020,3865.0,5.0,0
3/18/2020,4829.0,8.0,0
3/19/2020,5673.0,13.0,0
3/20/2020,6714.0,17.0,0
3/21/2020,7566.0,26.0,0
3/22/2020,8412.0,38.0,0
3/23/2020,9745.0,59.0,0
3/24/2020,10900.0,88.0,0
3/25/2020,12158.0,113.0,0
3/26/2020,13376.0,165.0,0
3/27/2020,14759.0,218.0,0
3/28/2020,15865.0,288.0,0
3/29/2020,16823.0,358.0,0
3/30/2020,18505.0,442.0,0
3/31/2020,19903.0,558.0,0
4/1/2020,21593.0,687.0,0
4/2/2020,22811.0,813.0,0
4/3/2020,24107.0,930.0,0
4/4/2020,25191.0,1048.0,0
4/5/2020,26115.0,1172.0,0
4/6/2020,27573.0,1314.0,0
4/7/2020,28889.0,1471.0,0
4/8/2020,30110.0,1624.0,0
4/9/2020,31222.0,1779.0,0
4/10/2020,32379.0,1944.0,0
4/11/2020,33282.0,2109.0,0
4/12/2020,34015.0,2279.0,0
4/13/2020,35180.0,2422.0,0
4/14/2020,36236.0,2565.0,0
4/15/2020,37291.0,2704.0,0
4/16/2020,38426.0,2874.0,0
4/17/2020,39445.0,3019.0,0
4/18/2020,40278.0,3143.0,0
4/19/2020,40894.0,3271.0,0
4/20/2020,42027.0,3384.0,0
4/21/2020,43429.0,3508.0,0
4/22/2020,44908.0,3643.0,0
4/23/2020,46192.0,3755.0,0
4/24/2020,47572.0,3870.0,0
4/25/2020,48265.0,3987.0,0
4/26/2020,48922.0,4094.0,0
4/27/2020,50183.0,4205.0,0
4/28/2020,51401.0,4310.0,0
4/29/2020,52859.0,4398.0,0
4/30/2020,54435.0,4502.0,0
5/1/2020,55606.0,4585.0,0
5/2/2020,56292.0,4646.0,0
5/3/2020,56793.0,4715.0,0
5/4/2020,58263.0,4800.0,0
5/5/2020,59707.0,4860.0,0
5/6/2020,61189.0,4917.0,0
5/7/2020,62445.0,5010.0,0
5/8/2020,65293.0,5071.0,0
5/9/2020,66474.0,5122.0,0
5/10/2020,66961.0,5169.0,0
5/11/2020,69581.0,5226.0,0
5/12/2020,72260.0,5277.0,0
5/13/2020,73848.0,5321.0,0
5/14/2020,77180.0,5367.0,0
5/15/2020,80792.0,5413.0,0
5/16/2020,81494.0,5444.0,0
5/17/2020,81946.0,5484.0,0
5/18/2020,84491.0,5517.0,0
5/19/2020,87181.0,5558.0,0
5/20/2020,88426.0,5603.0,0
5/21/2020,89671.0,5645.0,0
5/22/2020,91597.0,5676.0,0
5/23/2020,92087.0,5705.0,0
5/24/2020,92435.0,5737.0,0
5/25/2020,92766.0,5776.0,0
5/26/2020,93911.0,5806.0,0
5/27/2020,95094.0,5831.0,0
5/28/2020,96146.0,5859.0,0
5/29/2020,97200.0,5884.0,0
5/30/2020,97719.0,5913.0,0
5/31/2020,98121.0,5932.0,0
6/1/2020,99002.0,5959.0,0
6/2/2020,100065.0,5979.0,0
6/3/2020,100953.0,5995.0,0
6/4/2020,101813.0,6019.0,0
6/5/2020,102593.0,6031.0,0
6/6/2020,103014.0,6046.0,0
6/7/2020,103322.0,6066.0,0
6/8/2020,104253.0,6082.0,0
6/9/2020,105077.0,6095.0,0
6/10/2020,105896.0,6114.0,0
6/11/2020,106632.0,6125.0,0
6/12/2020,107439.0,6135.0,0
6/13/2020,107884.0,6146.0,0
6/14/2020,108185.0,6155.0,0
6/15/2020,109044.0,6169.0,0
6/16/2020,109874.0,6177.0,0
6/17/2020,110849.0,6188.0,0
6/18/2020,111653.0,6201.0,0
6/19/2020,112501.0,6212.0,0
6/20/2020,112981.0,6221.0,0
6/21/2020,113426.0,6231.0,0
6/22/2020,114614.0,6244.0,0
6/23/2020,116013.0,6255.0,0
6/24/2020,117413.0,6260.0,0
6/25/2020,118901.0,6269.0,0
6/26/2020,120280.0,6274.0,0
6/27/2020,121025.0,6286.0,0
6/28/2020,121627.0,6293.0,0
6/29/2020,123500.0,6303.0,0
6/30/2020,125203.0,6309.0,0
7/1/2020,126829.0,6316.0,0
7/2/2020,128230.0,6324.0,0
7/3/2020,129157.0,6333.0,0
7/4/2020,129691.0,6343.0,0
7/5/2020,130392.0,6349.0,0
7/6/2020,131995.0,6358.0,0
7/7/2020,133657.0,6368.0,0
7/8/2020,135277.0,6374.0,0
7/9/2020,136785.0,6382.0,0
7/10/2020,138248.0,6390.0,0
7/11/2020,139150.0,6399.0,0
7/12/2020,139913.0,6408.0,0
7/13/2020,141733.0,6412.0,0
7/14/2020,143429.0,6414.0,0
7/15/2020,145188.0,6420.0,0
7/16/2020,146849.0,6427.0,0
7/17/2020,148322.0,6432.0,0
7/18/2020,149210.0,6441.0,0
7/19/2020,149904.0,6444.0,0
7/20/2020,151653.0,6452.0,0
7/21/2020,153182.0,6458.0,0
7/22/2020,154774.0,6471.0,0
7/23/2020,156190.0,6476.0,0
7/24/2020,157561.0,6481.0,0
7/25/2020,158429.0,6486.0,0
7/26/2020,159087.0,6500.0,0
7/27/2020,160683.0,6512.0,0
7/28/2020,162204.0,6518.0,0
7/29/2020,163719.0,6524.0,0
7/30/2020,165160.0,6536.0,0
7/31/2020,166566.0,6545.0,0
8/1/2020,167533.0,6555.0,0
8/2/2020,168325.0,6565.0,0
8/3/2020,169994.0,6574.0,0
8/4/2020,171580.0,6580.0,0
8/5/2020,173081.0,6584.0,0
8/6/2020,174435.0,6589.0,0
8/7/2020,175821.0,6602.0,0
8/8/2020,176769.0,6612.0,0
8/9/2020,177576.0,6623.0,0
8/10/2020,179340.0,6626.0,0
8/11/2020,181046.0,6641.0,0
8/12/2020,182575.0,6651.0,0
8/13/2020,183987.0,6662.0,0
8/14/2020,185339.0,6672.0,0
8/15/2020,186229.0,6682.0,0
8/16/2020,186956.0,6690.0,0
8/17/2020,188577.0,6701.0,0
8/18/2020,190031.0,6711.0,0
8/19/2020,191483.0,6725.0,0
8/20/2020,192850.0,6736.0,0
8/21/2020,194208.0,6743.0,0
8/22/2020,195093.0,6749.0,0
8/23/2020,195914.0,6761.0,0
8/24/2020,197448.0,6770.0,0
8/25/2020,198855.0,6783.0,0
8/26/2020,200147.0,6793.0,0
8/27/2020,201379.0,6802.0,0
8/28/2020,202649.0,6813.0,0
8/29/2020,203619.0,6817.0,0
8/30/2020,204331.0,6824.0,0
8/31/2020,205744.0,6835.0,0
9/1/2020,207181.0,6848.0,0
9/2/2020,208606.0,6858.0,0
9/3/2020,209822.0,6869.0,0
9/4/2020,210933.0,6874.0,0
9/5/2020,211743.0,6882.0,0
9/6/2020,212410.0,6892.0,0
9/7/2020,213244.0,6900.0,0
9/8/2020,214830.0,6909.0,0
9/9/2020,216432.0,6914.0,0
9/10/2020,217700.0,6921.0,0
9/11/2020,219085.0,6929.0,0
9/12/2020,220033.0,6934.0,0
9/13/2020,220852.0,6942.0,0
9/14/2020,222404.0,6951.0,0
9/15/2020,223952.0,6961.0,0
9/16/2020,225374.0,6970.0,0
9/17/2020,226709.0,6984.0,0
9/18/2020,227993.0,6998.0,0
9/19/2020,228798.0,7006.0,0
9/20/2020,229701.0,7011.0,0
9/21/2020,231659.0,7018.0,0
9/22/2020,233427.0,7025.0,0
9/23/2020,235137.0,7039.0,0
9/24/2020,236359.0,7050.0,0
9/25/2020,237401.0,7063.0,0
9/26/2020,238263.0,7078.0,0
9/27/2020,239089.0,7090.0,0
9/28/2020,240333.0,7099.0,0
9/29/2020,241446.0,7116.0,0
9/30/2020,242540.0,7125.0,0
10/1/2020,243596.0,7141.0,0
10/2/2020,244667.0,7152.0,0
10/3/2020,245623.0,7177.0,0
10/4/2020,246509.0,7191.0,0
10/5/2020,248053.0,7204.0,0
10/6/2020,249560.0,7219.0,0
10/7/2020,251130.0,7232.0,0
10/8/2020,252717.0,7245.0,0
10/9/2020,254293.0,7263.0,0
10/10/2020,255618.0,7282.0,0
10/11/2020,256851.0,7290.0,0
10/12/2020,258848.0,7313.0,0
10/13/2020,260796.0,7334.0,0
10/14/2020,262806.0,7354.0,0
10/15/2020,264602.0,7371.0,0
10/16/2020,266398.0,7393.0,0
10/17/2020,267992.0,7419.0,0
10/18/2020,269496.0,7442.0,0
10/19/2020,272074.0,7464.0,0
10/20/2020,274649.0,7493.0,0
10/21/2020,277285.0,7516.0,0
10/22/2020,279992.0,7540.0,0
10/23/2020,282644.0,7570.0,0
10/24/2020,284955.0,7599.0,0
10/25/2020,287095.0,7622.0,0
10/26/2020,290951.0,7646.0,0
10/27/2020,294748.0,7669.0,0
10/28/2020,298633.0,7702.0,0
10/29/2020,302278.0,7726.0,0
10/30/2020,306101.0,7762.0,0
10/31/2020,309045.0,7797.0,0
11/1/2020,312283.0,7831.0,0
11/2/2020,318122.0,7868.0,0
11/3/2020,323780.0,7903.0,0
11/4/2020,329976.0,7949.0,0
11/5/2020,335991.0,8002.0,0
11/6/2020,341946.0,8062.0,0
11/7/2020,346611.0,8122.0,0
11/8/2020,350891.0,8177.0,0
11/9/2020,358857.0,8235.0,0
11/10/2020,367180.0,8304.0,0
11/11/2020,374210.0,8373.0,0
11/12/2020,381239.0,8433.0,0
11/13/2020,387873.0,8501.0,0
11/14/2020,392634.0,8564.0,0
11/15/2020,396531.0,8652.0,0
11/16/2020,404588.0,8721.0,0
11/17/2020,411610.0,8817.0,0
11/18/2020,418431.0,8914.0,0
11/19/2020,424735.0,9007.0,0
11/20/2020,431018.0,9092.0,0
11/21/2020,435355.0,9207.0,0
11/22/2020,438987.0,9303.0,0
11/23/2020,446708.0,9421.0,0
11/24/2020,453290.0,9532.0,0
11/25/2020,459430.0,9625.0,0
11/26/2020,461924.0,9715.0,0
11/27/2020,467197.0,9831.0,0
11/28/2020,471349.0,9938.0,0
11/29/2020,475061.0,10049.0,0
11/30/2020,482212.0,10174.0,0
12/1/2020,488716.0,10305.0,0
12/2/2020,494990.0,10420.0,0
12/3/2020,500334.0,10528.0,0
12/4/2020,505282.0,10665.0,0
12/5/2020,508862.0,10810.0,0
12/6/2020,511894.0,10936.0,0
12/7/2020,517434.0,11068.0,0
12/8/2020,521905.0,11229.0,0
12/9/2020,526372.0,11370.0,0
12/10/2020,530200.0,11486.0,0
12/11/2020,534021.0,11616.0,0
12/12/2020,536632.0,11754.0,0
12/13/2020,538939.0,11882.0,0
12/14/2020,542890.0,12008.0,0
12/15/2020,546513.0,12126.0,0
12/16/2020,549913.0,12249.0,0
12/17/2020,552843.0,12388.0,0
12/18/2020,555870.0,12513.0,0
12/19/2020,557977.0,12620.0,0
12/20/2020,559824.0,12738.0,0
12/21/2020,563086.0,12864.0,0
12/22/2020,565805.0,12957.0,0
12/23/2020,568634.0,13067.0,0
12/24/2020,570566.0,13166.0,0
12/25/2020,571919.0,13266.0,0
12/26/2020,574465.0,13365.0,0
12/27/2020,576755.0,13463.0,0
12/28/2020,580693.0,13563.0,0
12/29/2020,584027.0,13647.0,0
12/30/2020,587161.0,13738.0,0
12/31/2020,589728.0,13816.0,0
1/1/2021,591739.0,13916.0,0
1/2/2021,594292.0,13994.0,0
1/3/2021,596641.0,14077.0,0
1/4/2021,600622.0,14150.0,0
1/5/2021,604025.0,14225.0,0
1/6/2021,606972.0,14294.0,0
1/7/2021,609714.0,14382.0,0
1/8/2021,612293.0,14476.0,0
1/9/2021,614280.0,14546.0,0
1/10/2021,616064.0,14635.0,0
1/11/2021,618799.0,14709.0,0
1/12/2021,621080.0,14785.0,0
1/13/2021,623278.0,14847.0,0
1/14/2021,625496.0,14911.0,0
1/15/2021,627792.0,14977.0,0
1/16/2021,629339.0,15043.0,0
1/17/2021,630809.0,15110.0,0
1/18/2021,633020.0,15155.0,0
1/19/2021,635084.0,15224.0,0
1/20/2021,637140.0,15278.0,0
1/21/2021,638955.0,15343.0,0
1/22/2021,640814.0,15403.0,0
1/23/2021,642230.0,15455.0,0
1/24/2021,643425.0,15499.0,0
1/25/2021,645470.0,15547.0,0
1/26/2021,647078.0,15595.0,0
1/27/2021,648770.0,15640.0,0
1/28/2021,650190.0,15678.0,0
1/29/2021,651502.0,15730.0,0
1/30/2021,652662.0,15769.0,0
1/31/2021,653662.0,15824.0,0
2/1/2021,655301.0,15864.0,0
2/2/2021,656630.0,15901.0,0
2/3/2021,657920.0,15947.0,0
2/4/2021,659196.0,15995.0,0
2/5/2021,660407.0,16042.0,0
2/6/2021,661457.0,16086.0,0
2/7/2021,662403.0,16109.0,0
2/8/2021,664152.0,16138.0,0
2/9/2021,665985.0,16166.0,0
2/10/2021,667512.0,16199.0,0
2/11/2021,668842.0,16240.0,0
2/12/2021,670111.0,16274.0,0
2/13/2021,671056.0,16303.0,0
2/14/2021,671883.0,16335.0,0
2/15/2021,673310.0,16359.0,0
2/16/2021,674468.0,16383.0,0
2/17/2021,675908.0,16418.0,0
2/18/2021,677090.0,16446.0,0
2/19/2021,678136.0,16473.0,0
2/20/2021,679032.0,16493.0,0
2/21/2021,679941.0,16507.0,0
2/22/2021,681360.0,16534.0,0
2/23/2021,682707.0,16550.0,0
2/24/2021,684010.0,16566.0,0
2/25/2021,685190.0,16587.0,0
2/26/2021,686502.0,16603.0,0
2/27/2021,687523.0,16624.0,0
2/28/2021,688580.0,16644.0,0
3/1/2021,690394.0,16664.0,0
3/2/2021,691971.0,16683.0,0
