Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,6.0,0.0,0
3/5/2020,8.0,1.0,0
3/6/2020,20.0,2.0,0
3/7/2020,28.0,2.0,0
3/8/2020,39.0,4.0,0
3/9/2020,74.0,5.0,0
3/10/2020,99.0,6.0,0
3/11/2020,122.0,11.0,0
3/12/2020,157.0,13.0,0
3/13/2020,194.0,15.0,0
3/14/2020,235.0,23.0,0
3/15/2020,306.0,28.0,0
3/16/2020,402.0,37.0,0
3/17/2020,482.0,43.0,0
3/18/2020,594.0,53.0,0
3/19/2020,689.0,59.0,0
3/20/2020,814.0,70.0,0
3/21/2020,912.0,78.0,0
3/22/2020,1004.0,83.0,0
3/23/2020,1169.0,86.0,0
3/24/2020,1307.0,93.0,0
3/25/2020,1439.0,102.0,0
3/26/2020,1559.0,109.0,0
3/27/2020,1724.0,117.0,0
3/28/2020,1826.0,121.0,0
3/29/2020,1928.0,128.0,0
3/30/2020,2091.0,139.0,0
3/31/2020,2242.0,153.0,0
4/1/2020,2396.0,164.0,0
4/2/2020,2550.0,177.0,0
4/3/2020,2707.0,188.0,0
4/4/2020,2850.0,196.0,0
4/5/2020,2977.0,209.0,0
4/6/2020,3181.0,217.0,0
4/7/2020,3317.0,228.0,0
4/8/2020,3495.0,240.0,0
4/9/2020,3680.0,258.0,0
4/10/2020,3860.0,272.0,0
4/11/2020,4006.0,283.0,0
4/12/2020,4146.0,298.0,0
4/13/2020,4363.0,311.0,0
4/14/2020,4582.0,331.0,0
4/15/2020,4820.0,334.0,0
4/16/2020,5012.0,344.0,0
4/17/2020,5228.0,362.0,0
4/18/2020,5400.0,379.0,0
4/19/2020,5581.0,389.0,0
4/20/2020,5895.0,412.0,0
4/21/2020,6156.0,432.0,0
4/22/2020,6435.0,454.0,0
4/23/2020,6670.0,471.0,0
4/24/2020,6947.0,486.0,0
4/25/2020,7140.0,500.0,0
4/26/2020,7312.0,510.0,0
4/27/2020,7630.0,522.0,0
4/28/2020,7912.0,543.0,0
4/29/2020,8213.0,569.0,0
4/30/2020,8460.0,580.0,0
5/1/2020,8743.0,596.0,0
5/2/2020,8937.0,608.0,0
5/3/2020,9085.0,619.0,0
5/4/2020,9394.0,644.0,0
5/5/2020,9688.0,658.0,0
5/6/2020,10067.0,688.0,0
5/7/2020,10340.0,695.0,0
5/8/2020,10614.0,712.0,0
5/9/2020,10781.0,728.0,0
5/10/2020,10979.0,736.0,0
5/11/2020,11341.0,759.0,0
5/12/2020,11649.0,769.0,0
5/13/2020,11925.0,782.0,0
5/14/2020,12194.0,797.0,0
5/15/2020,12533.0,813.0,0
5/16/2020,12756.0,827.0,0
5/17/2020,12930.0,837.0,0
5/18/2020,13302.0,851.0,0
5/19/2020,13606.0,867.0,0
5/20/2020,13945.0,881.0,0
5/21/2020,14302.0,896.0,0
5/22/2020,14623.0,908.0,0
5/23/2020,14862.0,923.0,0
5/24/2020,15117.0,936.0,0
5/25/2020,15416.0,949.0,0
5/26/2020,15818.0,961.0,0
5/27/2020,16201.0,972.0,0
5/28/2020,16647.0,989.0,0
5/29/2020,16996.0,1002.0,0
5/30/2020,17224.0,1009.0,0
5/31/2020,17447.0,1020.0,0
6/1/2020,17823.0,1033.0,0
6/2/2020,18145.0,1046.0,0
6/3/2020,18479.0,1058.0,0
6/4/2020,18734.0,1066.0,0
6/5/2020,19112.0,1077.0,0
6/6/2020,19361.0,1089.0,0
6/7/2020,19585.0,1101.0,0
6/8/2020,20013.0,1115.0,0
6/9/2020,20461.0,1123.0,0
6/10/2020,20955.0,1135.0,0
6/11/2020,21415.0,1141.0,0
6/12/2020,21917.0,1148.0,0
6/13/2020,22274.0,1158.0,0
6/14/2020,22587.0,1162.0,0
6/15/2020,23142.0,1170.0,0
6/16/2020,23702.0,1182.0,0
6/17/2020,24223.0,1191.0,0
6/18/2020,24792.0,1202.0,0
6/19/2020,25349.0,1218.0,0
6/20/2020,25784.0,1230.0,0
6/21/2020,26150.0,1241.0,0
6/22/2020,26922.0,1264.0,0
6/23/2020,27739.0,1291.0,0
6/24/2020,28603.0,1311.0,0
6/25/2020,29418.0,1324.0,0
6/26/2020,30242.0,1345.0,0
6/27/2020,30744.0,1359.0,0
6/28/2020,31140.0,1369.0,0
6/29/2020,32029.0,1392.0,0
6/30/2020,32836.0,1411.0,0
7/1/2020,33700.0,1431.0,0
7/2/2020,34414.0,1451.0,0
7/3/2020,35125.0,1475.0,0
7/4/2020,35561.0,1496.0,0
7/5/2020,36084.0,1515.0,0
7/6/2020,37539.0,1544.0,0
7/7/2020,38664.0,1575.0,0
7/8/2020,39747.0,1603.0,0
7/9/2020,40927.0,1631.0,0
7/10/2020,41915.0,1658.0,0
7/11/2020,42524.0,1682.0,0
7/12/2020,43131.0,1704.0,0
7/13/2020,44502.0,1738.0,0
7/14/2020,45759.0,1766.0,0
7/15/2020,47115.0,1796.0,0
7/16/2020,48542.0,1836.0,0
7/17/2020,49758.0,1876.0,0
7/18/2020,50622.0,1898.0,0
7/19/2020,51305.0,1918.0,0
7/20/2020,52781.0,1957.0,0
7/21/2020,54174.0,1992.0,0
7/22/2020,55450.0,2019.0,0
7/23/2020,56587.0,2059.0,0
7/24/2020,57790.0,2076.0,0
7/25/2020,58377.0,2094.0,0
7/26/2020,58960.0,2123.0,0
7/27/2020,60157.0,2162.0,0
7/28/2020,61330.0,2182.0,0
7/29/2020,62534.0,2212.0,0
7/30/2020,63799.0,2242.0,0
7/31/2020,64780.0,2263.0,0
8/1/2020,65487.0,2292.0,0
8/2/2020,66008.0,2305.0,0
8/3/2020,67045.0,2343.0,0
8/4/2020,67980.0,2358.0,0
8/5/2020,68660.0,2375.0,0
8/6/2020,69611.0,2397.0,0
8/7/2020,70306.0,2422.0,0
8/8/2020,71009.0,2434.0,0
8/9/2020,71449.0,2447.0,0
8/10/2020,72321.0,2471.0,0
8/11/2020,73092.0,2500.0,0
8/12/2020,73809.0,2519.0,0
8/13/2020,74701.0,2552.0,0
8/14/2020,75461.0,2568.0,0
8/15/2020,75801.0,2577.0,0
8/16/2020,76109.0,2584.0,0
8/17/2020,77113.0,2609.0,0
8/18/2020,78019.0,2631.0,0
8/19/2020,78913.0,2658.0,0
8/20/2020,79690.0,2672.0,0
8/21/2020,80442.0,2699.0,0
8/22/2020,80850.0,2702.0,0
8/23/2020,81248.0,2713.0,0
8/24/2020,82129.0,2749.0,0
8/25/2020,82851.0,2773.0,0
8/26/2020,83675.0,2793.0,0
8/27/2020,84321.0,2816.0,0
8/28/2020,85037.0,2829.0,0
8/29/2020,85396.0,2841.0,0
8/30/2020,85749.0,2855.0,0
8/31/2020,86494.0,2871.0,0
9/1/2020,87178.0,2886.0,0
9/2/2020,87901.0,2902.0,0
9/3/2020,88461.0,2918.0,0
9/4/2020,88974.0,2932.0,0
9/5/2020,89372.0,2942.0,0
9/6/2020,89664.0,2952.0,0
9/7/2020,90031.0,2966.0,0
9/8/2020,90624.0,2986.0,0
9/9/2020,91190.0,3002.0,0
9/10/2020,91759.0,3020.0,0
9/11/2020,92210.0,3038.0,0
9/12/2020,92501.0,3048.0,0
9/13/2020,92769.0,3056.0,0
9/14/2020,93362.0,3070.0,0
9/15/2020,93922.0,3080.0,0
9/16/2020,94524.0,3106.0,0
9/17/2020,95043.0,3116.0,0
9/18/2020,95530.0,3128.0,0
9/19/2020,95863.0,3135.0,0
9/20/2020,96179.0,3137.0,0
9/21/2020,96739.0,3157.0,0
9/22/2020,97212.0,3169.0,0
9/23/2020,97783.0,3188.0,0
9/24/2020,98333.0,3190.0,0
9/25/2020,98967.0,3207.0,0
9/26/2020,99284.0,3210.0,0
9/27/2020,99632.0,3213.0,0
9/28/2020,100298.0,3230.0,0
9/29/2020,100887.0,3237.0,0
9/30/2020,101499.0,3250.0,0
10/1/2020,102156.0,3262.0,0
10/2/2020,102752.0,3274.0,0
10/3/2020,103176.0,3285.0,0
10/4/2020,103576.0,3295.0,0
10/5/2020,104462.0,3316.0,0
10/6/2020,105106.0,3330.0,0
10/7/2020,105711.0,3349.0,0
10/8/2020,106405.0,3361.0,0
10/9/2020,107142.0,3371.0,0
10/10/2020,107518.0,3383.0,0
10/11/2020,107834.0,3392.0,0
10/12/2020,108759.0,3410.0,0
10/13/2020,109621.0,3429.0,0
10/14/2020,110655.0,3448.0,0
10/15/2020,111636.0,3472.0,0
10/16/2020,112352.0,3485.0,0
10/17/2020,112753.0,3496.0,0
10/18/2020,113201.0,3509.0,0
10/19/2020,114144.0,3535.0,0
10/20/2020,114926.0,3544.0,0
10/21/2020,115803.0,3561.0,0
10/22/2020,116765.0,3580.0,0
10/23/2020,117607.0,3590.0,0
10/24/2020,118047.0,3597.0,0
10/25/2020,118511.0,3603.0,0
10/26/2020,119448.0,3620.0,0
10/27/2020,120264.0,3633.0,0
10/28/2020,121039.0,3651.0,0
10/29/2020,121716.0,3667.0,0
10/30/2020,122375.0,3675.0,0
10/31/2020,122803.0,3686.0,0
11/1/2020,123275.0,3697.0,0
11/2/2020,124177.0,3719.0,0
11/3/2020,125032.0,3737.0,0
11/4/2020,126202.0,3765.0,0
11/5/2020,127149.0,3786.0,0
11/6/2020,128389.0,3798.0,0
11/7/2020,129157.0,3817.0,0
11/8/2020,129748.0,3829.0,0
11/9/2020,131169.0,3863.0,0
11/10/2020,132609.0,3882.0,0
11/11/2020,133949.0,3899.0,0
11/12/2020,135316.0,3925.0,0
11/13/2020,136696.0,3940.0,0
11/14/2020,137550.0,3958.0,0
11/15/2020,138234.0,3976.0,0
11/16/2020,139739.0,4006.0,0
11/17/2020,140935.0,4029.0,0
11/18/2020,142161.0,4054.0,0
11/19/2020,143587.0,4091.0,0
11/20/2020,145039.0,4118.0,0
11/21/2020,145818.0,4135.0,0
11/22/2020,146503.0,4147.0,0
11/23/2020,147604.0,4178.0,0
11/24/2020,149190.0,4219.0,0
11/25/2020,150623.0,4246.0,0
11/26/2020,151358.0,4269.0,0
11/27/2020,153381.0,4306.0,0
11/28/2020,155137.0,4334.0,0
11/29/2020,156487.0,4360.0,0
11/30/2020,158852.0,4405.0,0
12/1/2020,161007.0,4452.0,0
12/2/2020,162740.0,4482.0,0
12/3/2020,164660.0,4525.0,0
12/4/2020,166574.0,4558.0,0
12/5/2020,168166.0,4588.0,0
12/6/2020,169436.0,4614.0,0
12/7/2020,171431.0,4663.0,0
12/8/2020,173907.0,4705.0,0
12/9/2020,175946.0,4742.0,0
12/10/2020,178054.0,4779.0,0
12/11/2020,180770.0,4833.0,0
12/12/2020,182525.0,4862.0,0
12/13/2020,183972.0,4887.0,0
12/14/2020,186621.0,4938.0,0
12/15/2020,188846.0,4982.0,0
12/16/2020,191002.0,5013.0,0
12/17/2020,193085.0,5049.0,0
12/18/2020,195239.0,5084.0,0
12/19/2020,197211.0,5116.0,0
12/20/2020,198310.0,5141.0,0
12/21/2020,200470.0,5193.0,0
12/22/2020,202693.0,5230.0,0
12/23/2020,205159.0,5266.0,0
12/24/2020,206712.0,5299.0,0
12/25/2020,207703.0,5325.0,0
12/26/2020,209522.0,5358.0,0
12/27/2020,211354.0,5409.0,0
12/28/2020,213366.0,5472.0,0
12/29/2020,216131.0,5521.0,0
12/30/2020,219362.0,5593.0,0
12/31/2020,221928.0,5646.0,0
1/1/2021,223753.0,5674.0,0
1/2/2021,225642.0,5721.0,0
1/3/2021,226936.0,5756.0,0
1/4/2021,228774.0,5808.0,0
1/5/2021,231690.0,5853.0,0
1/6/2021,234702.0,5898.0,0
1/7/2021,236688.0,5926.0,0
1/8/2021,240234.0,5989.0,0
1/9/2021,241932.0,6010.0,0
1/10/2021,243061.0,6043.0,0
1/11/2021,244854.0,6085.0,0
1/12/2021,246775.0,6127.0,0
1/13/2021,248655.0,6164.0,0
1/14/2021,250657.0,6211.0,0
1/15/2021,253685.0,6251.0,0
1/16/2021,255313.0,6291.0,0
1/17/2021,256535.0,6316.0,0
1/18/2021,257766.0,6350.0,0
1/19/2021,259733.0,6384.0,0
1/20/2021,261557.0,6409.0,0
1/21/2021,263617.0,6443.0,0
1/22/2021,265787.0,6483.0,0
1/23/2021,266907.0,6500.0,0
1/24/2021,267936.0,6514.0,0
1/25/2021,269600.0,6545.0,0
1/26/2021,271266.0,6594.0,0
1/27/2021,273151.0,6618.0,0
1/28/2021,274927.0,6647.0,0
1/29/2021,276506.0,6666.0,0
1/30/2021,277283.0,6676.0,0
1/31/2021,277901.0,6694.0,0
2/1/2021,279123.0,6717.0,0
2/2/2021,280182.0,6730.0,0
2/3/2021,281215.0,6747.0,0
2/4/2021,282356.0,6766.0,0
2/5/2021,283306.0,6782.0,0
2/6/2021,283876.0,6791.0,0
2/7/2021,284310.0,6798.0,0
2/8/2021,285213.0,6818.0,0
2/9/2021,285832.0,6826.0,0
2/10/2021,286654.0,6838.0,0
2/11/2021,287265.0,6850.0,0
2/12/2021,288266.0,6869.0,0
2/13/2021,289019.0,6877.0,0
2/14/2021,289749.0,6889.0,0
2/15/2021,290556.0,6909.0,0
2/16/2021,290923.0,6916.0,0
2/17/2021,291414.0,6928.0,0
2/18/2021,291828.0,6939.0,0
2/19/2021,292363.0,6948.0,0
2/20/2021,292717.0,6952.0,0
2/21/2021,293020.0,6959.0,0
2/22/2021,293769.0,6977.0,0
2/23/2021,294386.0,6980.0,0
2/24/2021,294974.0,6990.0,0
2/25/2021,295513.0,7009.0,0
2/26/2021,296028.0,7021.0,0
2/27/2021,296291.0,7022.0,0
2/28/2021,296520.0,7023.0,0
3/1/2021,297145.0,7041.0,0
3/2/2021,297487.0,7048.0,0
3/3/2021,297963.0,7057.0,0
3/4/2021,298339.0,7062.0,0
3/5/2021,298745.0,7069.0,0
