Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,1.0,0.0,0
3/3/2020,2.0,0.0,0
3/4/2020,2.0,0.0,0
3/5/2020,2.0,0.0,0
3/6/2020,2.0,0.0,0
3/7/2020,2.0,0.0,0
3/8/2020,4.0,0.0,0
3/9/2020,4.0,0.0,0
3/10/2020,5.0,0.0,0
3/11/2020,5.0,0.0,0
3/12/2020,6.0,0.0,0
3/13/2020,6.0,0.0,0
3/14/2020,6.0,0.0,0
3/15/2020,13.0,0.0,0
3/16/2020,17.0,0.0,0
3/17/2020,26.0,0.0,0
3/18/2020,39.0,0.0,0
3/19/2020,44.0,0.0,0
3/20/2020,55.0,0.0,0
3/21/2020,65.0,0.0,0
3/22/2020,78.0,0.0,0
3/23/2020,101.0,1.0,0
3/24/2020,108.0,1.0,0
3/25/2020,137.0,1.0,0
3/26/2020,158.0,1.0,0
3/27/2020,187.0,2.0,0
3/28/2020,214.0,2.0,0
3/29/2020,258.0,3.0,0
3/30/2020,314.0,3.0,0
3/31/2020,367.0,3.0,0
4/1/2020,415.0,4.0,0
4/2/2020,479.0,5.0,0
4/3/2020,540.0,7.0,0
4/4/2020,621.0,9.0,0
4/5/2020,669.0,9.0,0
4/6/2020,715.0,9.0,0
4/7/2020,747.0,13.0,0
4/8/2020,788.0,18.0,0
4/9/2020,819.0,21.0,0
4/10/2020,885.0,22.0,0
4/11/2020,929.0,23.0,0
4/12/2020,985.0,23.0,0
4/13/2020,1020.0,23.0,0
4/14/2020,1091.0,27.0,0
4/15/2020,1139.0,32.0,0
4/16/2020,1211.0,34.0,0
4/17/2020,1287.0,37.0,0
4/18/2020,1342.0,38.0,0
4/19/2020,1392.0,41.0,0
4/20/2020,1447.0,42.0,0
4/21/2020,1491.0,42.0,0
4/22/2020,1588.0,48.0,0
4/23/2020,1670.0,51.0,0
4/24/2020,1720.0,53.0,0
4/25/2020,1787.0,60.0,0
4/26/2020,1864.0,60.0,0
4/27/2020,1938.0,60.0,0
4/28/2020,2010.0,60.0,0
4/29/2020,2054.0,66.0,0
4/30/2020,2146.0,72.0,0
5/1/2020,2310.0,81.0,0
5/2/2020,2429.0,84.0,0
5/3/2020,2518.0,86.0,0
5/4/2020,2588.0,86.0,0
5/5/2020,2636.0,92.0,0
5/6/2020,2740.0,111.0,0
5/7/2020,2843.0,114.0,0
5/8/2020,2947.0,121.0,0
5/9/2020,3011.0,131.0,0
5/10/2020,3071.0,133.0,0
5/11/2020,3160.0,133.0,0
5/12/2020,3239.0,142.0,0
5/13/2020,3299.0,150.0,0
5/14/2020,3382.0,151.0,0
5/15/2020,3464.0,159.0,0
5/16/2020,3556.0,171.0,0
5/17/2020,3596.0,172.0,0
5/18/2020,3652.0,172.0,0
5/19/2020,3721.0,182.0,0
5/20/2020,3868.0,190.0,0
5/21/2020,3935.0,199.0,0
5/22/2020,4014.0,204.0,0
5/23/2020,4089.0,208.0,0
5/24/2020,4149.0,209.0,0
5/25/2020,4197.0,210.0,0
5/26/2020,4231.0,214.0,0
5/27/2020,4286.0,223.0,0
5/28/2020,4386.0,232.0,0
5/29/2020,4492.0,238.0,0
5/30/2020,4545.0,242.0,0
5/31/2020,4651.0,245.0,0
6/1/2020,4685.0,245.0,0
6/2/2020,4749.0,256.0,0
6/3/2020,4795.0,265.0,0
6/4/2020,4876.0,273.0,0
6/5/2020,4953.0,278.0,0
6/6/2020,5019.0,283.0,0
6/7/2020,5043.0,286.0,0
6/8/2020,5079.0,286.0,0
6/9/2020,5132.0,294.0,0
6/10/2020,5178.0,301.0,0
6/11/2020,5209.0,308.0,0
6/12/2020,5251.0,315.0,0
6/13/2020,5299.0,318.0,0
6/14/2020,5318.0,320.0,0
6/15/2020,5345.0,320.0,0
6/16/2020,5364.0,326.0,0
6/17/2020,5436.0,330.0,0
6/18/2020,5450.0,331.0,0
6/19/2020,5450.0,331.0,0
6/20/2020,5518.0,339.0,0
6/21/2020,5544.0,339.0,0
6/22/2020,5558.0,339.0,0
6/23/2020,5571.0,343.0,0
6/24/2020,5598.0,347.0,0
6/25/2020,5638.0,357.0,0
6/26/2020,5638.0,357.0,0
6/27/2020,5671.0,365.0,0
6/28/2020,5747.0,367.0,0
6/29/2020,5760.0,367.0,0
6/30/2020,5782.0,371.0,0
7/1/2020,5802.0,373.0,0
7/2/2020,5822.0,375.0,0
7/3/2020,5822.0,375.0,0
7/4/2020,5857.0,376.0,0
7/5/2020,5897.0,381.0,0
7/6/2020,5914.0,382.0,0
7/7/2020,5932.0,384.0,0
7/8/2020,5952.0,386.0,0
7/9/2020,5973.0,387.0,0
7/10/2020,5991.0,390.0,0
7/11/2020,6024.0,391.0,0
7/12/2020,6054.0,391.0,0
7/13/2020,6068.0,391.0,0
7/14/2020,6091.0,392.0,0
7/15/2020,6113.0,394.0,0
7/16/2020,6139.0,395.0,0
7/17/2020,6165.0,395.0,0
7/18/2020,6188.0,396.0,0
7/19/2020,6203.0,398.0,0
7/20/2020,6249.0,398.0,0
7/21/2020,6262.0,400.0,0
7/22/2020,6295.0,402.0,0
7/23/2020,6318.0,405.0,0
7/24/2020,6375.0,407.0,0
7/25/2020,6415.0,409.0,0
7/26/2020,6436.0,409.0,0
7/27/2020,6441.0,409.0,0
7/28/2020,6500.0,409.0,0
7/29/2020,6513.0,411.0,0
7/30/2020,6544.0,415.0,0
7/31/2020,6583.0,415.0,0
8/1/2020,6613.0,416.0,0
8/2/2020,6634.0,417.0,0
8/3/2020,6660.0,417.0,0
8/4/2020,6693.0,418.0,0
8/5/2020,6719.0,418.0,0
8/6/2020,6742.0,419.0,0
8/7/2020,6779.0,419.0,0
8/8/2020,6818.0,419.0,0
8/9/2020,6831.0,419.0,0
8/10/2020,6840.0,419.0,0
8/11/2020,6861.0,419.0,0
8/12/2020,6887.0,420.0,0
8/13/2020,6921.0,422.0,0
8/14/2020,6964.0,423.0,0
8/15/2020,6980.0,423.0,0
8/16/2020,6988.0,423.0,0
8/17/2020,7004.0,423.0,0
8/18/2020,7017.0,424.0,0
8/19/2020,7036.0,427.0,0
8/20/2020,7050.0,428.0,0
8/21/2020,7071.0,428.0,0
8/22/2020,7092.0,429.0,0
8/23/2020,7107.0,429.0,0
8/24/2020,7134.0,429.0,0
8/25/2020,7150.0,429.0,0
8/26/2020,7159.0,430.0,0
8/27/2020,7194.0,431.0,0
8/28/2020,7216.0,432.0,0
8/29/2020,7246.0,432.0,0
8/30/2020,7254.0,432.0,0
8/31/2020,7275.0,432.0,0
9/1/2020,7297.0,432.0,0
9/2/2020,7309.0,432.0,0
9/3/2020,7347.0,432.0,0
9/4/2020,7368.0,432.0,0
9/5/2020,7424.0,432.0,0
9/6/2020,7447.0,433.0,0
9/7/2020,7476.0,433.0,0
9/8/2020,7494.0,433.0,0
9/9/2020,7517.0,433.0,0
9/10/2020,7573.0,434.0,0
9/11/2020,7620.0,434.0,0
9/12/2020,7652.0,435.0,0
9/13/2020,7696.0,436.0,0
9/14/2020,7714.0,436.0,0
9/15/2020,7748.0,438.0,0
9/16/2020,7780.0,438.0,0
9/17/2020,7814.0,438.0,0
9/18/2020,7861.0,438.0,0
9/19/2020,7920.0,438.0,0
9/20/2020,7947.0,438.0,0
9/21/2020,7952.0,438.0,0
9/22/2020,7990.0,438.0,0
9/23/2020,8007.0,438.0,0
9/24/2020,8044.0,438.0,0
9/25/2020,8085.0,438.0,0
9/26/2020,8121.0,439.0,0
9/27/2020,8172.0,439.0,0
9/28/2020,8208.0,439.0,0
9/29/2020,8233.0,439.0,0
9/30/2020,8266.0,439.0,0
10/1/2020,8317.0,441.0,0
10/2/2020,8534.0,442.0,0
10/3/2020,8597.0,442.0,0
10/4/2020,8645.0,443.0,0
10/5/2020,8680.0,444.0,0
10/6/2020,8731.0,446.0,0
10/7/2020,8800.0,448.0,0
10/8/2020,8878.0,448.0,0
10/9/2020,8970.0,450.0,0
10/10/2020,9090.0,455.0,0
10/11/2020,9143.0,456.0,0
10/12/2020,9208.0,456.0,0
10/13/2020,9279.0,456.0,0
10/14/2020,9349.0,458.0,0
10/15/2020,9426.0,463.0,0
10/16/2020,9514.0,465.0,0
10/17/2020,9624.0,466.0,0
10/18/2020,9694.0,467.0,0
10/19/2020,9746.0,468.0,0
10/20/2020,9828.0,468.0,0
10/21/2020,9917.0,469.0,0
10/22/2020,9994.0,470.0,0
10/23/2020,10112.0,471.0,0
10/24/2020,10238.0,473.0,0
10/25/2020,10328.0,473.0,0
10/26/2020,10397.0,475.0,0
10/27/2020,10530.0,475.0,0
10/28/2020,10641.0,478.0,0
10/29/2020,10768.0,482.0,0
10/30/2020,10884.0,482.0,0
10/31/2020,11084.0,483.0,0
11/1/2020,11214.0,483.0,0
11/2/2020,11320.0,483.0,0
11/3/2020,11448.0,483.0,0
11/4/2020,11563.0,484.0,0
11/5/2020,11808.0,486.0,0
11/6/2020,12012.0,488.0,0
11/7/2020,12241.0,489.0,0
11/8/2020,12488.0,489.0,0
11/9/2020,12699.0,489.0,0
11/10/2020,12919.0,489.0,0
11/11/2020,13148.0,492.0,0
11/12/2020,13470.0,495.0,0
11/13/2020,13929.0,498.0,0
11/14/2020,14311.0,499.0,0
11/15/2020,14671.0,499.0,0
11/16/2020,15029.0,500.0,0
11/17/2020,15303.0,502.0,0
11/18/2020,15749.0,504.0,0
11/19/2020,16277.0,506.0,0
11/20/2020,16797.0,507.0,0
11/21/2020,17281.0,508.0,0
11/22/2020,17598.0,512.0,0
11/23/2020,18042.0,512.0,0
11/24/2020,18382.0,513.0,0
11/25/2020,18776.0,514.0,0
11/26/2020,18776.0,514.0,0
11/27/2020,19313.0,517.0,0
11/28/2020,20002.0,523.0,0
11/29/2020,20480.0,526.0,0
11/30/2020,20994.0,526.0,0
12/1/2020,21766.0,528.0,0
12/2/2020,22332.0,537.0,0
12/3/2020,22925.0,544.0,0
12/4/2020,23690.0,552.0,0
12/5/2020,24138.0,559.0,0
12/6/2020,24771.0,564.0,0
12/7/2020,25816.0,566.0,0
12/8/2020,26623.0,566.0,0
12/9/2020,27592.0,570.0,0
12/10/2020,28272.0,584.0,0
12/11/2020,29460.0,590.0,0
12/12/2020,30244.0,600.0,0
12/13/2020,30956.0,603.0,0
12/14/2020,31875.0,604.0,0
12/15/2020,32545.0,604.0,0
12/16/2020,33433.0,625.0,0
12/17/2020,34264.0,629.0,0
12/18/2020,34960.0,638.0,0
12/19/2020,35609.0,650.0,0
12/20/2020,36542.0,656.0,0
12/21/2020,37388.0,656.0,0
12/22/2020,38008.0,656.0,0
12/23/2020,38512.0,677.0,0
12/24/2020,38902.0,690.0,0
12/25/2020,38902.0,690.0,0
12/26/2020,39933.0,701.0,0
12/27/2020,40809.0,708.0,0
12/28/2020,41670.0,715.0,0
12/29/2020,42697.0,735.0,0
12/30/2020,43242.0,741.0,0
12/31/2020,44028.0,758.0,0
1/1/2021,44028.0,758.0,0
1/2/2021,45184.0,769.0,0
1/3/2021,46450.0,780.0,0
1/4/2021,47328.0,781.0,0
1/5/2021,47992.0,792.0,0
1/6/2021,48838.0,816.0,0
1/7/2021,49261.0,827.0,0
1/8/2021,50152.0,846.0,0
1/9/2021,50871.0,862.0,0
1/10/2021,51600.0,869.0,0
1/11/2021,52307.0,869.0,0
1/12/2021,53148.0,878.0,0
1/13/2021,54125.0,885.0,0
1/14/2021,54778.0,897.0,0
1/15/2021,55500.0,908.0,0
1/16/2021,55945.0,927.0,0
1/17/2021,56864.0,933.0,0
1/18/2021,57864.0,933.0,0
1/19/2021,58709.0,938.0,0
1/20/2021,59437.0,950.0,0
1/21/2021,60294.0,962.0,0
1/22/2021,60951.0,971.0,0
1/23/2021,61576.0,981.0,0
1/24/2021,62337.0,987.0,0
1/25/2021,62768.0,990.0,0
1/26/2021,63172.0,994.0,0
1/27/2021,63562.0,1006.0,0
1/28/2021,64258.0,1022.0,0
1/29/2021,64838.0,1036.0,0
1/30/2021,65362.0,1042.0,0
1/31/2021,65695.0,1057.0,0
2/1/2021,66058.0,1059.0,0
2/2/2021,66384.0,1066.0,0
2/3/2021,66721.0,1076.0,0
2/4/2021,67117.0,1085.0,0
2/5/2021,67595.0,1091.0,0
2/6/2021,68061.0,1098.0,0
2/7/2021,68379.0,1104.0,0
2/8/2021,68499.0,1106.0,0
2/9/2021,68918.0,1109.0,0
2/10/2021,69247.0,1116.0,0
2/11/2021,69612.0,1117.0,0
2/12/2021,70072.0,1126.0,0
2/13/2021,70505.0,1130.0,0
2/14/2021,70785.0,1133.0,0
2/15/2021,71017.0,1135.0,0
2/16/2021,71215.0,1136.0,0
2/17/2021,71964.0,1148.0,0
2/18/2021,72398.0,1150.0,0
2/19/2021,72767.0,1152.0,0
2/20/2021,73161.0,1153.0,0
2/21/2021,73413.0,1154.0,0
2/22/2021,73665.0,1154.0,0
2/23/2021,73923.0,1155.0,0
2/24/2021,74258.0,1157.0,0
2/25/2021,74568.0,1163.0,0
