Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,2.0,0.0,0
3/6/2020,4.0,0.0,0
3/7/2020,6.0,0.0,0
3/8/2020,6.0,0.0,0
3/9/2020,8.0,0.0,0
3/10/2020,15.0,1.0,0
3/11/2020,23.0,1.0,0
3/12/2020,29.0,1.0,0
3/13/2020,30.0,1.0,0
3/14/2020,44.0,1.0,0
3/15/2020,98.0,2.0,0
3/16/2020,178.0,2.0,0
3/17/2020,267.0,3.0,0
3/18/2020,427.0,5.0,0
3/19/2020,742.0,9.0,0
3/20/2020,890.0,11.0,0
3/21/2020,1327.0,16.0,0
3/22/2020,1914.0,20.0,0
3/23/2020,2844.0,27.0,0
3/24/2020,3675.0,44.0,0
3/25/2020,4402.0,62.0,0
3/26/2020,6876.0,81.0,0
3/27/2020,8825.0,108.0,0
3/28/2020,11124.0,140.0,0
3/29/2020,13386.0,161.0,0
3/30/2020,16636.0,198.0,0
3/31/2020,18696.0,267.0,0
4/1/2020,22255.0,355.0,0
4/2/2020,25590.0,537.0,0
4/3/2020,29895.0,646.0,0
4/4/2020,34124.0,846.0,0
4/5/2020,37505.0,917.0,0
4/6/2020,41090.0,1003.0,0
4/7/2020,44416.0,1232.0,0
4/8/2020,47437.0,1504.0,0
4/9/2020,51027.0,1700.0,0
4/10/2020,54588.0,1932.0,0
4/11/2020,58151.0,2187.0,0
4/12/2020,61850.0,2350.0,0
4/13/2020,64584.0,2443.0,0
4/14/2020,68824.0,2805.0,0
4/15/2020,71030.0,3156.0,0
4/16/2020,75317.0,3518.0,0
4/17/2020,78467.0,3840.0,0
4/18/2020,81436.0,4070.0,0
4/19/2020,85301.0,4202.0,0
4/20/2020,88806.0,4377.0,0
4/21/2020,92387.0,4753.0,0
4/22/2020,95865.0,5063.0,0
4/23/2020,99989.0,5368.0,0
4/24/2020,102196.0,5617.0,0
4/25/2020,105523.0,5863.0,0
4/26/2020,109038.0,5938.0,0
4/27/2020,111188.0,6044.0,0
4/28/2020,113857.0,6442.0,0
4/29/2020,116265.0,6770.0,0
4/30/2020,118653.0,7228.0,0
5/1/2020,121205.0,7538.0,0
5/2/2020,123736.0,7742.0,0
5/3/2020,126764.0,7871.0,0
5/4/2020,128297.0,7910.0,0
5/5/2020,130631.0,8244.0,0
5/6/2020,131932.0,8549.0,0
5/7/2020,133685.0,8801.0,0
5/8/2020,135519.0,8952.0,0
5/9/2020,137160.0,9116.0,0
5/10/2020,138609.0,9255.0,0
5/11/2020,140037.0,9310.0,0
5/12/2020,140851.0,9508.0,0
5/13/2020,141681.0,9702.0,0
5/14/2020,142843.0,9946.0,0
5/15/2020,144057.0,10138.0,0
5/16/2020,145247.0,10249.0,0
5/17/2020,146499.0,10356.0,0
5/18/2020,148219.0,10435.0,0
5/19/2020,149212.0,10586.0,0
5/20/2020,150625.0,10747.0,0
5/21/2020,151716.0,10843.0,0
5/22/2020,152989.0,10985.0,0
5/23/2020,153379.0,11081.0,0
5/24/2020,154434.0,11133.0,0
5/25/2020,155376.0,11144.0,0
5/26/2020,156064.0,11191.0,0
5/27/2020,156945.0,11339.0,0
5/28/2020,157523.0,11401.0,0
5/29/2020,159196.0,11531.0,0
5/30/2020,159969.0,11634.0,0
5/31/2020,160807.0,11698.0,0
6/1/2020,161293.0,11721.0,0
6/2/2020,161951.0,11770.0,0
6/3/2020,162492.0,11880.0,0
6/4/2020,162970.0,11970.0,0
6/5/2020,163795.0,12049.0,0
6/6/2020,164361.0,12106.0,0
6/7/2020,164640.0,12176.0,0
6/8/2020,164988.0,12214.0,0
6/9/2020,165304.0,12303.0,0
6/10/2020,165870.0,12377.0,0
6/11/2020,166365.0,12443.0,0
6/12/2020,166732.0,12489.0,0
6/13/2020,167186.0,12589.0,0
6/14/2020,167472.0,12625.0,0
6/15/2020,167716.0,12676.0,0
6/16/2020,168069.0,12727.0,0
6/17/2020,168370.0,12769.0,0
6/18/2020,168795.0,12800.0,0
6/19/2020,169213.0,12835.0,0
6/20/2020,169568.0,12857.0,0
6/21/2020,169889.0,12870.0,0
6/22/2020,170194.0,12895.0,0
6/23/2020,170232.0,12949.0,0
6/24/2020,170571.0,12995.0,0
6/25/2020,171064.0,14872.0,0
6/26/2020,171476.0,14914.0,0
6/27/2020,171787.0,14948.0,0
6/28/2020,172112.0,14975.0,0
6/29/2020,172245.0,14992.0,0
6/30/2020,172678.0,15035.0,0
7/1/2020,172979.0,15080.0,0
7/2/2020,173456.0,15107.0,0
7/3/2020,173874.0,15164.0,0
7/4/2020,174178.0,15189.0,0
7/5/2020,174570.0,15211.0,0
7/6/2020,174815.0,15229.0,0
7/7/2020,175137.0,15281.0,0
7/8/2020,175339.0,15423.0,0
7/9/2020,175621.0,15448.0,0
7/10/2020,176015.0,15479.0,0
7/11/2020,176385.0,15525.0,0
7/12/2020,176758.0,15541.0,0
7/13/2020,177044.0,15560.0,0
7/14/2020,177488.0,15582.0,0
7/15/2020,177898.0,15634.0,0
7/16/2020,178169.0,15665.0,0
7/17/2020,178264.0,15684.0,0
7/18/2020,178551.0,15672.0,0
7/19/2020,178541.0,15706.0,0
7/20/2020,178782.0,15715.0,0
7/21/2020,179129.0,15737.0,0
7/22/2020,179574.0,15707.0,0
7/23/2020,179860.0,15730.0,0
7/24/2020,180359.0,15765.0,0
7/25/2020,180906.0,15776.0,0
7/26/2020,181440.0,15787.0,0
7/27/2020,181933.0,15804.0,0
7/28/2020,182471.0,15825.0,0
7/29/2020,182977.0,15798.0,0
7/30/2020,183217.0,15809.0,0
7/31/2020,183964.0,15819.0,0
8/1/2020,184369.0,15830.0,0
8/2/2020,184719.0,15836.0,0
8/3/2020,185030.0,15846.0,0
8/4/2020,185421.0,15857.0,0
8/5/2020,185824.0,15842.0,0
8/6/2020,186241.0,15849.0,0
8/7/2020,186646.0,15860.0,0
8/8/2020,187037.0,15869.0,0
8/9/2020,187401.0,15874.0,0
8/10/2020,187705.0,15878.0,0
8/11/2020,188179.0,15890.0,0
8/12/2020,188697.0,15885.0,0
8/13/2020,189389.0,15893.0,0
8/14/2020,190004.0,15903.0,0
8/15/2020,190041.0,15903.0,0
8/16/2020,190357.0,15903.0,0
8/17/2020,190717.0,15916.0,0
8/18/2020,191099.0,15925.0,0
8/19/2020,191470.0,15926.0,0
8/20/2020,191605.0,15932.0,0
8/21/2020,191935.0,15941.0,0
8/22/2020,192380.0,15943.0,0
8/23/2020,192670.0,15946.0,0
8/24/2020,192948.0,15949.0,0
8/25/2020,193295.0,15953.0,0
8/26/2020,193632.0,15914.0,0
8/27/2020,193981.0,15921.0,0
8/28/2020,194384.0,15930.0,0
8/29/2020,194756.0,15933.0,0
8/30/2020,195070.0,15937.0,0
8/31/2020,195470.0,15945.0,0
9/1/2020,195843.0,15950.0,0
9/2/2020,196189.0,15964.0,0
9/3/2020,196611.0,15971.0,0
9/4/2020,197119.0,15978.0,0
9/5/2020,197486.0,15985.0,0
9/6/2020,197825.0,15989.0,0
9/7/2020,198189.0,15991.0,0
9/8/2020,198535.0,15996.0,0
9/9/2020,198924.0,16009.0,0
9/10/2020,199399.0,16014.0,0
9/11/2020,199929.0,16023.0,0
9/12/2020,200405.0,16027.0,0
9/13/2020,200736.0,16031.0,0
9/14/2020,201124.0,16034.0,0
9/15/2020,201616.0,16043.0,0
9/16/2020,202070.0,16054.0,0
9/17/2020,202701.0,16057.0,0
9/18/2020,203239.0,16061.0,0
9/19/2020,203737.0,16064.0,0
9/20/2020,204234.0,16067.0,0
9/21/2020,204711.0,16069.0,0
9/22/2020,205217.0,16076.0,0
9/23/2020,205707.0,16082.0,0
9/24/2020,206348.0,16091.0,0
9/25/2020,206974.0,16097.0,0
9/26/2020,207790.0,16103.0,0
9/27/2020,208549.0,16106.0,0
9/28/2020,209206.0,16107.0,0
9/29/2020,209774.0,16297.0,0
9/30/2020,210588.0,16122.0,0
10/1/2020,211299.0,16127.0,0
10/2/2020,212134.0,16131.0,0
10/3/2020,213157.0,16135.0,0
10/4/2020,213851.0,16136.0,0
10/5/2020,214455.0,16138.0,0
10/6/2020,215195.0,16147.0,0
10/7/2020,215819.0,16152.0,0
10/8/2020,217236.0,16161.0,0
10/9/2020,218227.0,16164.0,0
10/10/2020,219187.0,16171.0,0
10/11/2020,220023.0,16174.0,0
10/12/2020,220650.0,16175.0,0
10/13/2020,221841.0,16182.0,0
10/14/2020,222986.0,16191.0,0
10/15/2020,224145.0,16197.0,0
10/16/2020,225188.0,16202.0,0
10/17/2020,226276.0,16204.0,0
10/18/2020,227731.0,16211.0,0
10/19/2020,229169.0,16214.0,0
10/20/2020,230432.0,16227.0,0
10/21/2020,231746.0,16245.0,0
10/22/2020,233181.0,16263.0,0
10/23/2020,234523.0,16273.0,0
10/24/2020,236711.0,16281.0,0
10/25/2020,238119.0,16285.0,0
10/26/2020,239767.0,16292.0,0
10/27/2020,241761.0,16306.0,0
10/28/2020,243852.0,16324.0,0
10/29/2020,245823.0,16332.0,0
10/30/2020,248186.0,16339.0,0
10/31/2020,249931.0,16350.0,0
11/1/2020,252102.0,16354.0,0
11/2/2020,254047.0,16357.0,0
11/3/2020,256479.0,16371.0,0
11/4/2020,259525.0,16391.0,0
11/5/2020,262100.0,16403.0,0
11/6/2020,264860.0,16416.0,0
11/7/2020,268543.0,16425.0,0
11/8/2020,271049.0,16429.0,0
11/9/2020,273766.0,16440.0,0
11/10/2020,278213.0,16461.0,0
11/11/2020,282023.0,16476.0,0
11/12/2020,286140.0,16495.0,0
11/13/2020,290156.0,16522.0,0
11/14/2020,295012.0,16548.0,0
11/15/2020,300067.0,16566.0,0
11/16/2020,302992.0,16580.0,0
11/17/2020,307741.0,16618.0,0
11/18/2020,312477.0,16655.0,0
11/19/2020,317357.0,16689.0,0
11/20/2020,321570.0,16712.0,0
11/21/2020,326714.0,16746.0,0
11/22/2020,331141.0,16761.0,0
11/23/2020,335416.0,16772.0,0
11/24/2020,340403.0,16819.0,0
11/25/2020,345133.0,16886.0,0
11/26/2020,350010.0,16925.0,0
11/27/2020,354832.0,16942.0,0
11/28/2020,358572.0,16965.0,0
11/29/2020,363759.0,16978.0,0
11/30/2020,367783.0,16993.0,0
12/1/2020,373246.0,17083.0,0
12/2/2020,378307.0,17145.0,0
12/3/2020,383870.0,17209.0,0
12/4/2020,390256.0,17255.0,0
12/5/2020,396180.0,17306.0,0
12/6/2020,402782.0,17321.0,0
12/7/2020,407202.0,17336.0,0
12/8/2020,413368.0,17426.0,0
12/9/2020,418479.0,17542.0,0
12/10/2020,424282.0,17608.0,0
12/11/2020,428581.0,17662.0,0
12/12/2020,435376.0,17732.0,0
12/13/2020,440069.0,17751.0,0
12/14/2020,445605.0,17775.0,0
12/15/2020,450212.0,17872.0,0
12/16/2020,456529.0,18003.0,0
12/17/2020,461335.0,18080.0,0
12/18/2020,465901.0,18124.0,0
12/19/2020,470652.0,18173.0,0
12/20/2020,476340.0,18194.0,0
12/21/2020,480216.0,18223.0,0
12/22/2020,485445.0,18326.0,0
12/23/2020,490882.0,18466.0,0
12/24/2020,496140.0,18544.0,0
12/25/2020,501543.0,18595.0,0
12/26/2020,506145.0,18613.0,0
12/27/2020,509099.0,18630.0,0
12/28/2020,512683.0,18651.0,0
12/29/2020,516972.0,18777.0,0
12/30/2020,522259.0,18952.0,0
12/31/2020,527784.0,19042.0,0
1/1/2021,533587.0,19160.0,0
1/2/2021,539546.0,19187.0,0
1/3/2021,543595.0,19208.0,0
1/4/2021,546091.0,19244.0,0
1/5/2021,551419.0,19382.0,0
1/6/2021,557267.0,19523.0,0
1/7/2021,564806.0,19646.0,0
1/8/2021,570575.0,19756.0,0
1/9/2021,579182.0,19854.0,0
1/10/2021,584828.0,19886.0,0
1/11/2021,590162.0,19932.0,0
1/12/2021,594749.0,20039.0,0
1/13/2021,602629.0,20161.0,0
1/14/2021,609721.0,20253.0,0
1/15/2021,616032.0,20320.0,0
1/16/2021,622089.0,20414.0,0
1/17/2021,627221.0,20439.0,0
1/18/2021,631074.0,20458.0,0
1/19/2021,635702.0,20512.0,0
1/20/2021,641140.0,20664.0,0
1/21/2021,646189.0,20760.0,0
1/22/2021,650389.0,20875.0,0
1/23/2021,657536.0,20934.0,0
1/24/2021,662808.0,20951.0,0
1/25/2021,666951.0,20972.0,0
1/26/2021,671727.0,21105.0,0
1/27/2021,676537.0,21220.0,0
1/28/2021,681283.0,21301.0,0
1/29/2021,687269.0,21383.0,0
1/30/2021,692543.0,21491.0,0
1/31/2021,696829.0,21484.0,0
2/1/2021,700346.0,21513.0,0
2/2/2021,703496.0,21584.0,0
2/3/2021,705807.0,21693.0,0
2/4/2021,709096.0,21793.0,0
2/5/2021,713324.0,21886.0,0
2/6/2021,717835.0,21964.0,0
2/7/2021,722167.0,21989.0,0
2/8/2021,724728.0,22011.0,0
2/9/2021,728304.0,22103.0,0
2/10/2021,732674.0,22250.0,0
2/11/2021,736330.0,22329.0,0
2/12/2021,740062.0,22393.0,0
2/13/2021,743819.0,22440.0,0
2/14/2021,745987.0,22454.0,0
2/15/2021,747432.0,22466.0,0
2/16/2021,751065.0,22497.0,0
2/17/2021,755174.0,22632.0,0
2/18/2021,758451.0,22721.0,0
2/19/2021,761498.0,22784.0,0
2/20/2021,764374.0,22834.0,0
2/21/2021,766405.0,22858.0,0
2/22/2021,769109.0,22874.0,0
2/23/2021,772267.0,22978.0,0
2/24/2021,775386.0,23077.0,0
2/25/2021,778963.0,23147.0,0
2/26/2021,782833.0,23192.0,0
2/27/2021,786967.0,23238.0,0
2/28/2021,789356.0,23252.0,0
3/1/2021,792496.0,23273.0,0
3/2/2021,795785.0,23321.0,0
