Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,0.0,0.0,0
3/9/2020,0.0,0.0,0
3/10/2020,0.0,0.0,0
3/11/2020,3.0,0.0,0
3/12/2020,5.0,0.0,0
3/13/2020,5.0,0.0,0
3/14/2020,7.0,0.0,0
3/15/2020,17.0,0.0,0
3/16/2020,21.0,0.0,0
3/17/2020,23.0,0.0,0
3/18/2020,28.0,0.0,0
3/19/2020,35.0,0.0,0
3/20/2020,43.0,0.0,0
3/21/2020,57.0,0.0,0
3/22/2020,65.0,0.0,0
3/23/2020,83.0,1.0,0
3/24/2020,100.0,1.0,0
3/25/2020,112.0,1.0,0
3/26/2020,136.0,1.0,0
3/27/2020,191.0,1.0,0
3/28/2020,208.0,2.0,0
3/29/2020,237.0,3.0,0
3/30/2020,281.0,5.0,0
3/31/2020,315.0,6.0,0
4/1/2020,363.0,8.0,0
4/2/2020,403.0,9.0,0
4/3/2020,495.0,11.0,0
4/4/2020,543.0,13.0,0
4/5/2020,624.0,14.0,0
4/6/2020,686.0,17.0,0
4/7/2020,794.0,18.0,0
4/8/2020,865.0,22.0,0
4/9/2020,989.0,24.0,0
4/10/2020,1091.0,28.0,0
4/11/2020,1174.0,34.0,0
4/12/2020,1245.0,35.0,0
4/13/2020,1345.0,41.0,0
4/14/2020,1407.0,44.0,0
4/15/2020,1484.0,52.0,0
4/16/2020,1597.0,59.0,0
4/17/2020,1711.0,64.0,0
4/18/2020,1798.0,69.0,0
4/19/2020,1845.0,70.0,0
4/20/2020,1971.0,76.0,0
4/21/2020,2072.0,85.0,0
4/22/2020,2210.0,94.0,0
4/23/2020,2379.0,102.0,0
4/24/2020,2521.0,108.0,0
4/25/2020,2660.0,114.0,0
4/26/2020,2726.0,126.0,0
4/27/2020,2823.0,136.0,0
4/28/2020,2974.0,146.0,0
4/29/2020,3213.0,152.0,0
4/30/2020,3411.0,162.0,0
5/1/2020,3513.0,172.0,0
5/2/2020,3732.0,187.0,0
5/3/2020,3850.0,196.0,0
5/4/2020,4031.0,201.0,0
5/5/2020,4138.0,210.0,0
5/6/2020,4291.0,219.0,0
5/7/2020,4493.0,231.0,0
5/8/2020,4673.0,243.0,0
5/9/2020,4778.0,251.0,0
5/10/2020,4863.0,260.0,0
5/11/2020,5069.0,273.0,0
5/12/2020,5212.0,283.0,0
5/13/2020,5364.0,294.0,0
5/14/2020,5503.0,303.0,0
5/15/2020,5662.0,309.0,0
5/16/2020,5847.0,316.0,0
5/17/2020,5938.0,321.0,0
5/18/2020,6096.0,323.0,0
5/19/2020,6192.0,326.0,0
5/20/2020,6317.0,332.0,0
5/21/2020,6472.0,342.0,0
5/22/2020,6625.0,352.0,0
5/23/2020,6795.0,360.0,0
5/24/2020,6943.0,363.0,0
5/25/2020,7026.0,370.0,0
5/26/2020,7130.0,377.0,0
5/27/2020,7252.0,384.0,0
5/28/2020,7364.0,394.0,0
5/29/2020,7493.0,404.0,0
5/30/2020,7624.0,408.0,0
5/31/2020,7689.0,414.0,0
6/1/2020,7800.0,419.0,0
6/2/2020,8024.0,425.0,0
6/3/2020,8140.0,429.0,0
6/4/2020,8353.0,432.0,0
6/5/2020,8672.0,437.0,0
6/6/2020,8800.0,443.0,0
6/7/2020,8940.0,444.0,0
6/8/2020,9062.0,449.0,0
6/9/2020,9105.0,453.0,0
6/10/2020,9250.0,458.0,0
6/11/2020,9367.0,463.0,0
6/12/2020,9526.0,470.0,0
6/13/2020,9621.0,476.0,0
6/14/2020,9723.0,479.0,0
6/15/2020,9845.0,481.0,0
6/16/2020,9933.0,489.0,0
6/17/2020,10065.0,491.0,0
6/18/2020,10153.0,498.0,0
6/19/2020,10260.0,502.0,0
6/20/2020,10430.0,510.0,0
6/21/2020,10565.0,511.0,0
6/22/2020,10694.0,515.0,0
6/23/2020,10838.0,518.0,0
6/24/2020,10990.0,522.0,0
6/25/2020,11192.0,526.0,0
6/26/2020,11408.0,528.0,0
6/27/2020,11619.0,530.0,0
6/28/2020,11809.0,531.0,0
6/29/2020,11982.0,534.0,0
6/30/2020,12147.0,537.0,0
7/1/2020,12276.0,540.0,0
7/2/2020,12520.0,545.0,0
7/3/2020,12776.0,549.0,0
7/4/2020,13063.0,553.0,0
7/5/2020,13256.0,554.0,0
7/6/2020,13507.0,559.0,0
7/7/2020,13727.0,564.0,0
7/8/2020,14017.0,570.0,0
7/9/2020,14251.0,574.0,0
7/10/2020,14549.0,579.0,0
7/11/2020,14773.0,579.0,0
7/12/2020,15028.0,583.0,0
7/13/2020,15291.0,585.0,0
7/14/2020,15514.0,587.0,0
7/15/2020,15841.0,596.0,0
7/16/2020,16138.0,600.0,0
7/17/2020,16456.0,605.0,0
7/18/2020,16736.0,607.0,0
7/19/2020,16971.0,618.0,0
7/20/2020,17215.0,628.0,0
7/21/2020,17517.0,633.0,0
7/22/2020,17828.0,638.0,0
7/23/2020,18163.0,646.0,0
7/24/2020,18475.0,651.0,0
7/25/2020,18788.0,655.0,0
7/26/2020,19042.0,659.0,0
7/27/2020,19502.0,671.0,0
7/28/2020,19791.0,679.0,0
7/29/2020,20136.0,685.0,0
7/30/2020,20388.0,692.0,0
7/31/2020,20600.0,702.0,0
8/1/2020,20796.0,708.0,0
8/2/2020,21016.0,711.0,0
8/3/2020,21130.0,718.0,0
8/4/2020,21340.0,723.0,0
8/5/2020,21566.0,727.0,0
8/6/2020,21773.0,732.0,0
8/7/2020,21965.0,737.0,0
8/8/2020,22115.0,740.0,0
8/9/2020,22315.0,743.0,0
8/10/2020,22444.0,747.0,0
8/11/2020,22643.0,749.0,0
8/12/2020,22816.0,752.0,0
8/13/2020,22987.0,759.0,0
8/14/2020,23160.0,765.0,0
8/15/2020,23302.0,768.0,0
8/16/2020,23408.0,773.0,0
8/17/2020,23500.0,776.0,0
8/18/2020,23579.0,778.0,0
8/19/2020,23749.0,783.0,0
8/20/2020,23951.0,787.0,0
8/21/2020,24095.0,790.0,0
8/22/2020,24302.0,793.0,0
8/23/2020,24396.0,795.0,0
8/24/2020,24469.0,798.0,0
8/25/2020,24535.0,801.0,0
8/26/2020,24732.0,806.0,0
8/27/2020,24920.0,809.0,0
8/28/2020,25042.0,813.0,0
8/29/2020,25178.0,817.0,0
8/30/2020,25283.0,818.0,0
8/31/2020,25352.0,818.0,0
9/1/2020,25460.0,821.0,0
9/2/2020,25612.0,821.0,0
9/3/2020,25812.0,824.0,0
9/4/2020,25902.0,828.0,0
9/5/2020,26048.0,832.0,0
9/6/2020,26107.0,834.0,0
9/7/2020,26144.0,834.0,0
9/8/2020,26181.0,835.0,0
9/9/2020,26268.0,837.0,0
9/10/2020,26429.0,837.0,0
9/11/2020,26563.0,838.0,0
9/12/2020,26661.0,842.0,0
9/13/2020,26761.0,843.0,0
9/14/2020,26842.0,847.0,0
9/15/2020,26923.0,848.0,0
9/16/2020,27041.0,849.0,0
9/17/2020,27199.0,850.0,0
9/18/2020,27350.0,851.0,0
9/19/2020,27512.0,855.0,0
9/20/2020,27579.0,857.0,0
9/21/2020,27683.0,857.0,0
9/22/2020,27790.0,859.0,0
9/23/2020,27987.0,859.0,0
9/24/2020,28224.0,861.0,0
9/25/2020,28487.0,865.0,0
9/26/2020,28692.0,868.0,0
9/27/2020,28844.0,871.0,0
9/28/2020,28985.0,874.0,0
9/29/2020,29157.0,875.0,0
9/30/2020,29435.0,881.0,0
10/1/2020,29661.0,884.0,0
10/2/2020,30000.0,885.0,0
10/3/2020,30296.0,887.0,0
10/4/2020,30477.0,889.0,0
10/5/2020,30632.0,892.0,0
10/6/2020,30947.0,897.0,0
10/7/2020,31372.0,900.0,0
10/8/2020,31756.0,902.0,0
10/9/2020,32241.0,905.0,0
10/10/2020,32722.0,909.0,0
10/11/2020,32983.0,911.0,0
10/12/2020,33362.0,913.0,0
10/13/2020,33713.0,915.0,0
10/14/2020,34290.0,918.0,0
10/15/2020,34958.0,926.0,0
10/16/2020,35770.0,928.0,0
10/17/2020,36343.0,932.0,0
10/18/2020,36788.0,937.0,0
10/19/2020,37302.0,942.0,0
10/20/2020,37896.0,951.0,0
10/21/2020,38715.0,961.0,0
10/22/2020,39377.0,969.0,0
10/23/2020,40168.0,980.0,0
10/24/2020,41040.0,992.0,0
10/25/2020,41863.0,1002.0,0
10/26/2020,42586.0,1008.0,0
10/27/2020,43169.0,1012.0,0
10/28/2020,43826.0,1024.0,0
10/29/2020,44904.0,1048.0,0
10/30/2020,45909.0,1061.0,0
10/31/2020,46490.0,1077.0,0
11/1/2020,47232.0,1093.0,0
11/2/2020,48104.0,1115.0,0
11/3/2020,49240.0,1145.0,0
11/4/2020,50251.0,1171.0,0
11/5/2020,51110.0,1185.0,0
11/6/2020,52394.0,1206.0,0
11/7/2020,53671.0,1226.0,0
11/8/2020,54881.0,1254.0,0
11/9/2020,56289.0,1286.0,0
11/10/2020,57547.0,1310.0,0
11/11/2020,59034.0,1335.0,0
11/12/2020,60776.0,1362.0,0
11/13/2020,62006.0,1398.0,0
11/14/2020,63171.0,1427.0,0
11/15/2020,64201.0,1465.0,0
11/16/2020,65454.0,1491.0,0
11/17/2020,67559.0,1529.0,0
11/18/2020,70451.0,1557.0,0
11/19/2020,74116.0,1581.0,0
11/20/2020,77098.0,1609.0,0
11/21/2020,79440.0,1637.0,0
11/22/2020,81896.0,1673.0,0
11/23/2020,84148.0,1708.0,0
11/24/2020,86247.0,1747.0,0
11/25/2020,88102.0,1775.0,0
11/26/2020,89796.0,1803.0,0
11/27/2020,91852.0,1830.0,0
11/28/2020,93982.0,1861.0,0
11/29/2020,95417.0,1894.0,0
11/30/2020,97095.0,1940.0,0
12/1/2020,99419.0,1973.0,0
12/2/2020,100963.0,2020.0,0
12/3/2020,102862.0,2058.0,0
12/4/2020,104935.0,2091.0,0
12/5/2020,106856.0,2129.0,0
12/6/2020,108088.0,2168.0,0
12/7/2020,109947.0,2205.0,0
12/8/2020,109947.0,2257.0,0
12/9/2020,112950.0,2307.0,0
12/10/2020,114731.0,2349.0,0
12/11/2020,116565.0,2395.0,0
12/12/2020,118358.0,2437.0,0
12/13/2020,119800.0,2480.0,0
12/14/2020,121299.0,2521.0,0
12/15/2020,122557.0,2546.0,0
12/16/2020,124357.0,2587.0,0
12/17/2020,126045.0,2614.0,0
12/18/2020,127500.0,2652.0,0
12/19/2020,128930.0,2676.0,0
12/20/2020,129993.0,2709.0,0
12/21/2020,130808.0,2744.0,0
12/22/2020,132075.0,2776.0,0
12/23/2020,133242.0,2802.0,0
12/24/2020,135166.0,2821.0,0
12/25/2020,136622.0,2852.0,0
12/26/2020,137226.0,2882.0,0
12/27/2020,137968.0,2905.0,0
12/28/2020,138659.0,2936.0,0
12/29/2020,139875.0,2963.0,0
12/30/2020,141186.0,2997.0,0
12/31/2020,142864.0,3027.0,0
1/1/2021,144142.0,3056.0,0
1/2/2021,145379.0,3079.0,0
1/3/2021,146394.0,3108.0,0
1/4/2021,147315.0,3146.0,0
1/5/2021,148499.0,3161.0,0
1/6/2021,149984.0,3187.0,0
1/7/2021,151819.0,3209.0,0
1/8/2021,153456.0,3236.0,0
1/9/2021,154954.0,3265.0,0
1/10/2021,156157.0,3293.0,0
1/11/2021,157087.0,3314.0,0
1/12/2021,157974.0,3340.0,0
1/13/2021,159119.0,3378.0,0
1/14/2021,160543.0,3403.0,0
1/15/2021,161805.0,3421.0,0
1/16/2021,162893.0,3449.0,0
1/17/2021,163637.0,3466.0,0
1/18/2021,164263.0,3487.0,0
1/19/2021,164954.0,3511.0,0
1/20/2021,165835.0,3531.0,0
1/21/2021,166823.0,3560.0,0
1/22/2021,167731.0,3581.0,0
1/23/2021,168579.0,3596.0,0
1/24/2021,169205.0,3619.0,0
1/25/2021,169696.0,3638.0,0
1/26/2021,170296.0,3656.0,0
1/27/2021,171047.0,3669.0,0
1/28/2021,171719.0,3679.0,0
1/29/2021,172798.0,3691.0,0
1/30/2021,173539.0,3705.0,0
1/31/2021,174064.0,3730.0,0
2/1/2021,174550.0,3747.0,0
2/2/2021,174982.0,3765.0,0
2/3/2021,175652.0,3777.0,0
2/4/2021,176211.0,3788.0,0
2/5/2021,176793.0,3802.0,0
2/6/2021,177214.0,3819.0,0
2/7/2021,177556.0,3829.0,0
2/8/2021,177867.0,3845.0,0
2/9/2021,178280.0,3858.0,0
2/10/2021,178790.0,3869.0,0
2/11/2021,179323.0,3879.0,0
2/12/2021,179724.0,3889.0,0
2/13/2021,180289.0,3900.0,0
2/14/2021,180571.0,3910.0,0
2/15/2021,180761.0,3922.0,0
2/16/2021,181060.0,3931.0,0
2/17/2021,181332.0,3942.0,0
2/18/2021,181739.0,3953.0,0
2/19/2021,182050.0,3966.0,0
2/20/2021,182475.0,3977.0,0
2/21/2021,182789.0,3984.0,0
2/22/2021,183023.0,3992.0,0
2/23/2021,183335.0,4000.0,0
2/24/2021,183781.0,4004.0,0
2/25/2021,184080.0,4012.0,0
2/26/2021,184736.0,4020.0,0
2/27/2021,184888.0,4027.0,0
2/28/2021,185132.0,4033.0,0
3/1/2021,185297.0,4043.0,0
3/2/2021,185542.0,4048.0,0
3/3/2021,185898.0,4057.0,0
3/4/2021,186156.0,4065.0,0
3/5/2021,186460.0,4068.0,0
3/6/2021,186742.0,4076.0,0
3/7/2021,186922.0,4088.0,0
3/8/2021,187040.0,4094.0,0
3/9/2021,187238.0,4099.0,0
3/10/2021,187487.0,4101.0,0
3/11/2021,187720.0,4105.0,0
3/12/2021,187984.0,4108.0,0
3/13/2021,188167.0,4113.0,0
3/14/2021,188311.0,4115.0,0
