Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,1.0,0.0,0
3/3/2020,1.0,0.0,0
3/4/2020,1.0,1.0,0
3/5/2020,2.0,1.0,0
3/6/2020,7.0,1.0,0
3/7/2020,10.0,1.0,0
3/8/2020,18.0,1.0,0
3/9/2020,25.0,1.0,0
3/10/2020,46.0,1.0,0
3/11/2020,103.0,1.0,0
3/12/2020,172.0,1.0,0
3/13/2020,327.0,2.0,0
3/14/2020,682.0,3.0,0
3/15/2020,1301.0,3.0,0
3/16/2020,1944.0,7.0,0
3/17/2020,2979.0,12.0,0
3/18/2020,5101.0,21.0,0
3/19/2020,7556.0,32.0,0
3/20/2020,10532.0,56.0,0
3/21/2020,14243.0,83.0,0
3/22/2020,18253.0,133.0,0
3/23/2020,20897.0,183.0,0
3/24/2020,23481.0,235.0,0
3/25/2020,27065.0,330.0,0
3/26/2020,31577.0,438.0,0
3/27/2020,36469.0,580.0,0
3/28/2020,41557.0,808.0,0
3/29/2020,46715.0,1067.0,0
3/30/2020,50246.0,1391.0,0
3/31/2020,53869.0,1744.0,0
4/1/2020,60084.0,2155.0,0
4/2/2020,65628.0,2625.0,0
4/3/2020,71178.0,3174.0,0
4/4/2020,77094.0,3840.0,0
4/5/2020,82929.0,4504.0,0
4/6/2020,86981.0,5202.0,0
4/7/2020,90935.0,5954.0,0
4/8/2020,97513.0,6755.0,0
4/9/2020,103771.0,7569.0,0
4/10/2020,109547.0,8336.0,0
4/11/2020,114812.0,9088.0,0
4/12/2020,119503.0,9808.0,0
4/13/2020,123407.0,10521.0,0
4/14/2020,126469.0,11267.0,0
4/15/2020,129965.0,12022.0,0
4/16/2020,134250.0,12670.0,0
4/17/2020,138230.0,13228.0,0
4/18/2020,141897.0,13777.0,0
4/19/2020,145573.0,14253.0,0
4/20/2020,147860.0,14758.0,0
4/21/2020,150293.0,15245.0,0
4/22/2020,154179.0,15702.0,0
4/23/2020,157334.0,16117.0,0
4/24/2020,160863.0,16510.0,0
4/25/2020,163783.0,16919.0,0
4/26/2020,166375.0,17290.0,0
4/27/2020,168023.0,17608.0,0
4/28/2020,169077.0,17904.0,0
4/29/2020,171412.0,18219.0,0
4/30/2020,174169.0,18478.0,0
5/1/2020,176544.0,18750.0,0
5/2/2020,178594.0,19002.0,0
5/3/2020,180518.0,19249.0,0
5/4/2020,181609.0,19472.0,0
5/5/2020,182424.0,19677.0,0
5/6/2020,184008.0,19869.0,0
5/7/2020,185537.0,20036.0,0
5/8/2020,186963.0,20215.0,0
5/9/2020,188219.0,20375.0,0
5/10/2020,189320.0,20527.0,0
5/11/2020,189986.0,20635.0,0
5/12/2020,190455.0,20750.0,0
5/13/2020,191700.0,20868.0,0
5/14/2020,192997.0,20970.0,0
5/15/2020,194339.0,21061.0,0
5/16/2020,195465.0,21147.0,0
5/17/2020,196349.0,21244.0,0
5/18/2020,196852.0,21345.0,0
5/19/2020,197222.0,21432.0,0
5/20/2020,198125.0,21499.0,0
5/21/2020,199137.0,21563.0,0
5/22/2020,200219.0,21648.0,0
5/23/2020,201295.0,21700.0,0
5/24/2020,202343.0,21777.0,0
5/25/2020,202802.0,21840.0,0
5/26/2020,203273.0,21892.0,0
5/27/2020,203743.0,21944.0,0
5/28/2020,204803.0,21987.0,0
5/29/2020,205551.0,22038.0,0
5/30/2020,206202.0,22080.0,0
5/31/2020,206857.0,22131.0,0
6/1/2020,207210.0,22188.0,0
6/2/2020,207448.0,22230.0,0
6/3/2020,208145.0,22270.0,0
6/4/2020,208725.0,22313.0,0
6/5/2020,209243.0,22359.0,0
6/6/2020,209777.0,22397.0,0
6/7/2020,210194.0,22428.0,0
6/8/2020,210448.0,22464.0,0
6/9/2020,210658.0,22493.0,0
6/10/2020,211131.0,22539.0,0
6/11/2020,211561.0,22573.0,0
6/12/2020,211945.0,22611.0,0
6/13/2020,212328.0,22637.0,0
6/14/2020,212755.0,22663.0,0
6/15/2020,212964.0,22680.0,0
6/16/2020,213158.0,22703.0,0
6/17/2020,213557.0,22723.0,0
6/18/2020,213994.0,22742.0,0
6/19/2020,214364.0,22763.0,0
6/20/2020,214750.0,22782.0,0
6/21/2020,215135.0,22797.0,0
6/22/2020,215354.0,22815.0,0
6/23/2020,215538.0,22838.0,0
6/24/2020,215955.0,22855.0,0
6/25/2020,216350.0,22875.0,0
6/26/2020,216745.0,22892.0,0
6/27/2020,217054.0,22908.0,0
6/28/2020,217387.0,22926.0,0
6/29/2020,217605.0,22942.0,0
6/30/2020,217823.0,22954.0,0
7/1/2020,218279.0,22973.0,0
7/2/2020,218736.0,22984.0,0
7/3/2020,219153.0,22994.0,0
7/4/2020,219583.0,23013.0,0
7/5/2020,219832.0,23025.0,0
7/6/2020,219963.0,23031.0,0
7/7/2020,220127.0,23040.0,0
7/8/2020,220585.0,23050.0,0
7/9/2020,221070.0,23057.0,0
7/10/2020,221523.0,23074.0,0
7/11/2020,221934.0,23080.0,0
7/12/2020,222261.0,23085.0,0
7/13/2020,222537.0,23094.0,0
7/14/2020,222774.0,23101.0,0
7/15/2020,223278.0,23117.0,0
7/16/2020,223696.0,23127.0,0
7/17/2020,224157.0,23142.0,0
7/18/2020,224592.0,23149.0,0
7/19/2020,225028.0,23161.0,0
7/20/2020,225264.0,23172.0,0
7/21/2020,225466.0,23182.0,0
7/22/2020,225898.0,23193.0,0
7/23/2020,226253.0,23199.0,0
7/24/2020,226602.0,23207.0,0
7/25/2020,226924.0,23216.0,0
7/26/2020,227240.0,23221.0,0
7/27/2020,227408.0,23233.0,0
7/28/2020,227565.0,23241.0,0
7/29/2020,227897.0,23245.0,0
7/30/2020,228230.0,23258.0,0
7/31/2020,228542.0,23263.0,0
8/1/2020,228827.0,23268.0,0
8/2/2020,229113.0,23272.0,0
8/3/2020,229314.0,23280.0,0
8/4/2020,229461.0,23282.0,0
8/5/2020,229834.0,23285.0,0
8/6/2020,230040.0,23291.0,0
8/7/2020,230359.0,23298.0,0
8/8/2020,230667.0,23304.0,0
8/9/2020,230947.0,23306.0,0
8/10/2020,231133.0,23310.0,0
8/11/2020,231283.0,23313.0,0
8/12/2020,231625.0,23319.0,0
8/13/2020,231916.0,23324.0,0
8/14/2020,232254.0,23326.0,0
8/15/2020,232565.0,23332.0,0
8/16/2020,232863.0,23336.0,0
8/17/2020,233029.0,23342.0,0
8/18/2020,233188.0,23347.0,0
8/19/2020,233546.0,23352.0,0
8/20/2020,233856.0,23353.0,0
8/21/2020,234152.0,23354.0,0
8/22/2020,234400.0,23360.0,0
8/23/2020,234679.0,23365.0,0
8/24/2020,234836.0,23371.0,0
8/25/2020,235006.0,23374.0,0
8/26/2020,235326.0,23382.0,0
8/27/2020,235628.0,23387.0,0
8/28/2020,235965.0,23394.0,0
8/29/2020,236260.0,23395.0,0
8/30/2020,236557.0,23401.0,0
8/31/2020,236710.0,23405.0,0
9/1/2020,236917.0,23412.0,0
9/2/2020,237248.0,23413.0,0
9/3/2020,237577.0,23416.0,0
9/4/2020,237873.0,23421.0,0
9/5/2020,238175.0,23427.0,0
9/6/2020,238424.0,23432.0,0
9/7/2020,238591.0,23435.0,0
9/8/2020,238822.0,23442.0,0
9/9/2020,239063.0,23443.0,0
9/10/2020,239481.0,23445.0,0
9/11/2020,239865.0,23447.0,0
9/12/2020,240216.0,23451.0,0
9/13/2020,240560.0,23457.0,0
9/14/2020,240787.0,23461.0,0
9/15/2020,241068.0,23464.0,0
9/16/2020,241529.0,23469.0,0
9/17/2020,241916.0,23473.0,0
9/18/2020,242321.0,23479.0,0
9/19/2020,242709.0,23484.0,0
9/20/2020,243031.0,23488.0,0
9/21/2020,243212.0,23493.0,0
9/22/2020,243396.0,23498.0,0
9/23/2020,243962.0,23501.0,0
9/24/2020,244423.0,23505.0,0
9/25/2020,245018.0,23509.0,0
9/26/2020,245567.0,23513.0,0
9/27/2020,246080.0,23517.0,0
9/28/2020,246393.0,23522.0,0
9/29/2020,246823.0,23526.0,0
9/30/2020,247299.0,23530.0,0
10/1/2020,248056.0,23537.0,0
10/2/2020,248723.0,23546.0,0
10/3/2020,249416.0,23552.0,0
10/4/2020,250096.0,23555.0,0
10/5/2020,250415.0,23561.0,0
10/6/2020,250815.0,23568.0,0
10/7/2020,251694.0,23568.0,0
10/8/2020,252336.0,23572.0,0
10/9/2020,252962.0,23576.0,0
10/10/2020,253561.0,23583.0,0
10/11/2020,254177.0,23585.0,0
10/12/2020,254533.0,23589.0,0
10/13/2020,254864.0,23596.0,0
10/14/2020,255448.0,23604.0,0
10/15/2020,256148.0,23608.0,0
10/16/2020,256868.0,23617.0,0
10/17/2020,257601.0,23626.0,0
10/18/2020,258232.0,23634.0,0
10/19/2020,258705.0,23640.0,0
10/20/2020,259233.0,23644.0,0
10/21/2020,260027.0,23652.0,0
10/22/2020,260789.0,23657.0,0
10/23/2020,261608.0,23662.0,0
10/24/2020,262546.0,23665.0,0
10/25/2020,263321.0,23670.0,0
10/26/2020,263841.0,23673.0,0
10/27/2020,264354.0,23682.0,0
10/28/2020,265267.0,23687.0,0
10/29/2020,266238.0,23695.0,0
10/30/2020,267245.0,23700.0,0
10/31/2020,268091.0,23704.0,0
11/1/2020,268965.0,23714.0,0
11/2/2020,269509.0,23718.0,0
11/3/2020,270244.0,23730.0,0
11/4/2020,271526.0,23740.0,0
11/5/2020,272729.0,23755.0,0
11/6/2020,274216.0,23764.0,0
11/7/2020,275752.0,23774.0,0
11/8/2020,277209.0,23785.0,0
11/9/2020,278408.0,23798.0,0
11/10/2020,279567.0,23806.0,0
11/11/2020,281652.0,23812.0,0
11/12/2020,283748.0,23820.0,0
11/13/2020,285756.0,23829.0,0
11/14/2020,287760.0,23845.0,0
11/15/2020,289767.0,23851.0,0
11/16/2020,291221.0,23862.0,0
11/17/2020,292538.0,23876.0,0
11/18/2020,294897.0,23886.0,0
11/19/2020,297173.0,23896.0,0
11/20/2020,299457.0,23908.0,0
11/21/2020,301833.0,23918.0,0
11/22/2020,304110.0,23927.0,0
11/23/2020,305754.0,23938.0,0
11/24/2020,307314.0,23948.0,0
11/25/2020,310208.0,23963.0,0
11/26/2020,312884.0,23981.0,0
11/27/2020,315890.0,23994.0,0
11/28/2020,317076.0,24002.0,0
11/29/2020,320139.0,24018.0,0
11/30/2020,322509.0,24033.0,0
12/1/2020,324863.0,24048.0,0
12/2/2020,328454.0,24068.0,0
12/3/2020,332583.0,24090.0,0
12/4/2020,336414.0,24117.0,0
12/5/2020,340196.0,24137.0,0
12/6/2020,343764.0,24163.0,0
12/7/2020,346297.0,24187.0,0
12/8/2020,348711.0,24208.0,0
12/9/2020,353027.0,24228.0,0
12/10/2020,357000.0,24251.0,0
12/11/2020,361074.0,24280.0,0
12/12/2020,365129.0,24308.0,0
12/13/2020,369000.0,24339.0,0
12/14/2020,371785.0,24374.0,0
12/15/2020,374861.0,24405.0,0
12/16/2020,379520.0,24435.0,0
12/17/2020,384134.0,24469.0,0
12/18/2020,387703.0,24509.0,0
12/19/2020,390403.0,24547.0,0
12/20/2020,394670.0,24587.0,0
12/21/2020,397919.0,24621.0,0
12/22/2020,400984.0,24654.0,0
12/23/2020,406375.0,24698.0,0
12/24/2020,411429.0,24753.0,0
12/25/2020,416208.0,24795.0,0
12/26/2020,419864.0,24836.0,0
12/27/2020,421513.0,24877.0,0
12/28/2020,425863.0,24915.0,0
12/29/2020,429672.0,24961.0,0
12/30/2020,436254.0,25007.0,0
12/31/2020,442472.0,25061.0,0
1/1/2021,448506.0,25107.0,0
1/2/2021,452671.0,25149.0,0
1/3/2021,454786.0,25190.0,0
1/4/2021,460051.0,25248.0,0
1/5/2021,464492.0,25290.0,0
1/6/2021,472480.0,25354.0,0
1/7/2021,479975.0,25425.0,0
1/8/2021,486905.0,25489.0,0
1/9/2021,493488.0,25543.0,0
1/10/2021,499879.0,25607.0,0
1/11/2021,504475.0,25682.0,0
1/12/2021,508662.0,25738.0,0
1/13/2021,515913.0,25799.0,0
1/14/2021,522320.0,25878.0,0
1/15/2021,528714.0,25947.0,0
1/16/2021,535109.0,26017.0,0
1/17/2021,541009.0,26086.0,0
1/18/2021,545407.0,26155.0,0
1/19/2021,549352.0,26212.0,0
1/20/2021,555310.0,26291.0,0
1/21/2021,561787.0,26377.0,0
1/22/2021,567982.0,26456.0,0
1/23/2021,574157.0,26523.0,0
1/24/2021,580099.0,26609.0,0
1/25/2021,584424.0,26694.0,0
1/26/2021,588260.0,26766.0,0
1/27/2021,595353.0,26836.0,0
1/28/2021,601298.0,26918.0,0
1/29/2021,607306.0,27012.0,0
1/30/2021,613156.0,27102.0,0
1/31/2021,617852.0,27192.0,0
2/1/2021,621542.0,27275.0,0
2/2/2021,625387.0,27350.0,0
2/3/2021,626920.0,27415.0,0
2/4/2021,630125.0,27497.0,0
2/5/2021,636356.0,27575.0,0
2/6/2021,642344.0,27673.0,0
2/7/2021,647630.0,27757.0,0
2/8/2021,651584.0,27840.0,0
2/9/2021,653967.0,27922.0,0
2/10/2021,659574.0,28008.0,0
2/11/2021,664336.0,28080.0,0
2/12/2021,669111.0,28160.0,0
2/13/2021,673456.0,28258.0,0
2/14/2021,677629.0,28342.0,0
2/15/2021,680657.0,28428.0,0
2/16/2021,683354.0,28509.0,0
2/17/2021,686911.0,28596.0,0
2/18/2021,691598.0,28683.0,0
2/19/2021,696073.0,28768.0,0
2/20/2021,698926.0,28825.0,0
2/21/2021,702944.0,28884.0,0
2/22/2021,706373.0,28956.0,0
2/23/2021,709241.0,29017.0,0
2/24/2021,713840.0,29091.0,0
2/25/2021,718377.0,29169.0,0
2/26/2021,722841.0,29251.0,0
2/27/2021,727306.0,29332.0,0
2/28/2021,731533.0,29406.0,0
3/1/2021,734342.0,29473.0,0
3/2/2021,737266.0,29545.0,0
