Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,0.0,0.0,0
3/9/2020,0.0,0.0,0
3/10/2020,2.0,0.0,0
3/11/2020,2.0,0.0,0
3/12/2020,2.0,0.0,0
3/13/2020,2.0,0.0,0
3/14/2020,5.0,0.0,0
3/15/2020,8.0,0.0,0
3/16/2020,8.0,0.0,0
3/17/2020,17.0,0.0,0
3/18/2020,24.0,1.0,0
3/19/2020,30.0,1.0,0
3/20/2020,35.0,2.0,0
3/21/2020,49.0,2.0,0
3/22/2020,61.0,4.0,0
3/23/2020,71.0,5.0,0
3/24/2020,105.0,7.0,0
3/25/2020,153.0,8.0,0
3/26/2020,196.0,8.0,0
3/27/2020,256.0,11.0,0
3/28/2020,306.0,13.0,0
3/29/2020,330.0,16.0,0
3/30/2020,342.0,19.0,0
3/31/2020,430.0,22.0,0
4/1/2020,488.0,23.0,0
4/2/2020,563.0,25.0,0
4/3/2020,615.0,25.0,0
4/4/2020,665.0,30.0,0
4/5/2020,680.0,34.0,0
4/6/2020,683.0,36.0,0
4/7/2020,732.0,39.0,0
4/8/2020,765.0,42.0,0
4/9/2020,792.0,45.0,0
4/10/2020,826.0,49.0,0
4/11/2020,829.0,55.0,0
4/12/2020,841.0,58.0,0
4/13/2020,845.0,58.0,0
4/14/2020,872.0,64.0,0
4/15/2020,895.0,67.0,0
4/16/2020,927.0,71.0,0
4/17/2020,953.0,75.0,0
4/18/2020,974.0,77.0,0
4/19/2020,983.0,79.0,0
4/20/2020,985.0,82.0,0
4/21/2020,1005.0,83.0,0
4/22/2020,1026.0,88.0,0
4/23/2020,1053.0,92.0,0
4/24/2020,1070.0,94.0,0
4/25/2020,1087.0,97.0,0
4/26/2020,1088.0,98.0,0
4/27/2020,1091.0,103.0,0
4/28/2020,1107.0,103.0,0
4/29/2020,1124.0,105.0,0
4/30/2020,1143.0,105.0,0
5/1/2020,1164.0,106.0,0
5/2/2020,1175.0,109.0,0
5/3/2020,1181.0,113.0,0
5/4/2020,1184.0,115.0,0
5/5/2020,1189.0,118.0,0
5/6/2020,1212.0,120.0,0
5/7/2020,1231.0,121.0,0
5/8/2020,1247.0,123.0,0
5/9/2020,1272.0,123.0,0
5/10/2020,1276.0,123.0,0
5/11/2020,1276.0,125.0,0
5/12/2020,1291.0,125.0,0
5/13/2020,1305.0,125.0,0
5/14/2020,1315.0,126.0,0
5/15/2020,1324.0,126.0,0
5/16/2020,1335.0,127.0,0
5/17/2020,1337.0,128.0,0
5/18/2020,1339.0,129.0,0
5/19/2020,1347.0,130.0,0
5/20/2020,1356.0,132.0,0
5/21/2020,1369.0,134.0,0
5/22/2020,1375.0,135.0,0
5/23/2020,1386.0,136.0,0
5/24/2020,1389.0,137.0,0
5/25/2020,1391.0,137.0,0
5/26/2020,1396.0,137.0,0
5/27/2020,1402.0,138.0,0
5/28/2020,1411.0,140.0,0
5/29/2020,1431.0,141.0,0
5/30/2020,1459.0,141.0,0
5/31/2020,1461.0,143.0,0
6/1/2020,1462.0,144.0,0
6/2/2020,1488.0,146.0,0
6/3/2020,1505.0,146.0,0
6/4/2020,1514.0,146.0,0
6/5/2020,1525.0,148.0,0
6/6/2020,1535.0,148.0,0
6/7/2020,1541.0,149.0,0
6/8/2020,1543.0,150.0,0
6/9/2020,1555.0,152.0,0
6/10/2020,1567.0,152.0,0
6/11/2020,1581.0,152.0,0
6/12/2020,1593.0,153.0,0
6/13/2020,1610.0,153.0,0
6/14/2020,1621.0,153.0,0
6/15/2020,1628.0,153.0,0
6/16/2020,1645.0,154.0,0
6/17/2020,1666.0,154.0,0
6/18/2020,1681.0,154.0,0
6/19/2020,1702.0,155.0,0
6/20/2020,1717.0,155.0,0
6/21/2020,1721.0,156.0,0
6/22/2020,1722.0,156.0,0
6/23/2020,1748.0,156.0,0
6/24/2020,1792.0,156.0,0
6/25/2020,1823.0,156.0,0
6/26/2020,1872.0,156.0,0
6/27/2020,1917.0,157.0,0
6/28/2020,1932.0,158.0,0
6/29/2020,1935.0,158.0,0
6/30/2020,2020.0,159.0,0
7/1/2020,2109.0,160.0,0
7/2/2020,2189.0,160.0,0
7/3/2020,2308.0,161.0,0
7/4/2020,2452.0,162.0,0
7/5/2020,2466.0,163.0,0
7/6/2020,2481.0,164.0,0
7/7/2020,2676.0,168.0,0
7/8/2020,2920.0,171.0,0
7/9/2020,3132.0,173.0,0
7/10/2020,3372.0,173.0,0
7/11/2020,3696.0,175.0,0
7/12/2020,3827.0,177.0,0
7/13/2020,3875.0,179.0,0
7/14/2020,4329.0,183.0,0
7/15/2020,4697.0,184.0,0
7/16/2020,5119.0,185.0,0
7/17/2020,5457.0,189.0,0
7/18/2020,5744.0,191.0,0
7/19/2020,5841.0,193.0,0
7/20/2020,5905.0,195.0,0
7/21/2020,6227.0,201.0,0
7/22/2020,6524.0,204.0,0
7/23/2020,6829.0,208.0,0
7/24/2020,7133.0,211.0,0
7/25/2020,7406.0,217.0,0
7/26/2020,7479.0,222.0,0
7/27/2020,7535.0,224.0,0
7/28/2020,7845.0,232.0,0
7/29/2020,8138.0,244.0,0
7/30/2020,8391.0,250.0,0
7/31/2020,8481.0,257.0,0
8/1/2020,8846.0,263.0,0
8/2/2020,8967.0,266.0,0
8/3/2020,9010.0,277.0,0
8/4/2020,9424.0,284.0,0
8/5/2020,9898.0,292.0,0
8/6/2020,10289.0,298.0,0
8/7/2020,10669.0,305.0,0
8/8/2020,11124.0,307.0,0
8/9/2020,11290.0,311.0,0
8/10/2020,11329.0,322.0,0
8/11/2020,11751.0,335.0,0
8/12/2020,12182.0,345.0,0
8/13/2020,12624.0,355.0,0
8/14/2020,13005.0,364.0,0
8/15/2020,13434.0,376.0,0
8/16/2020,13621.0,384.0,0
8/17/2020,13648.0,391.0,0
8/18/2020,14057.0,402.0,0
8/19/2020,14380.0,409.0,0
8/20/2020,14809.0,416.0,0
8/21/2020,15129.0,422.0,0
8/22/2020,15410.0,428.0,0
8/23/2020,15440.0,433.0,0
8/24/2020,15479.0,438.0,0
8/25/2020,15801.0,442.0,0
8/26/2020,16089.0,447.0,0
8/27/2020,16305.0,454.0,0
8/28/2020,16518.0,458.0,0
8/29/2020,16722.0,460.0,0
8/30/2020,16811.0,462.0,0
8/31/2020,16836.0,466.0,0
9/1/2020,17090.0,474.0,0
9/2/2020,17359.0,485.0,0
9/3/2020,17636.0,489.0,0
9/4/2020,17949.0,497.0,0
9/5/2020,18212.0,503.0,0
9/6/2020,18313.0,515.0,0
9/7/2020,18347.0,524.0,0
9/8/2020,18453.0,532.0,0
9/9/2020,18834.0,545.0,0
9/10/2020,19284.0,556.0,0
9/11/2020,19902.0,566.0,0
9/12/2020,20458.0,579.0,0
9/13/2020,20609.0,588.0,0
9/14/2020,20643.0,599.0,0
9/15/2020,21126.0,610.0,0
9/16/2020,21538.0,617.0,0
9/17/2020,22234.0,623.0,0
9/18/2020,22767.0,627.0,0
9/19/2020,23201.0,632.0,0
9/20/2020,23337.0,635.0,0
9/21/2020,23370.0,643.0,0
9/22/2020,23736.0,650.0,0
9/23/2020,24105.0,653.0,0
9/24/2020,24435.0,664.0,0
9/25/2020,24776.0,670.0,0
9/26/2020,25086.0,677.0,0
9/27/2020,25214.0,681.0,0
9/28/2020,25240.0,691.0,0
9/29/2020,25569.0,697.0,0
9/30/2020,25905.0,708.0,0
10/1/2020,26225.0,715.0,0
10/2/2020,26567.0,723.0,0
10/3/2020,26908.0,725.0,0
10/4/2020,27049.0,731.0,0
10/5/2020,27085.0,735.0,0
10/6/2020,27487.0,740.0,0
10/7/2020,27901.0,751.0,0
10/8/2020,28354.0,758.0,0
10/9/2020,28853.0,761.0,0
10/10/2020,29299.0,765.0,0
10/11/2020,29502.0,773.0,0
10/12/2020,29529.0,780.0,0
10/13/2020,29823.0,788.0,0
10/14/2020,30321.0,794.0,0
10/15/2020,30878.0,800.0,0
10/16/2020,31339.0,806.0,0
10/17/2020,31862.0,812.0,0
10/18/2020,32112.0,813.0,0
10/19/2020,32157.0,816.0,0
10/20/2020,32698.0,823.0,0
10/21/2020,33243.0,827.0,0
10/22/2020,33815.0,837.0,0
10/23/2020,34455.0,840.0,0
10/24/2020,35064.0,844.0,0
10/25/2020,35385.0,850.0,0
10/26/2020,35437.0,853.0,0
10/27/2020,36150.0,858.0,0
10/28/2020,36812.0,860.0,0
10/29/2020,37544.0,868.0,0
10/30/2020,38215.0,877.0,0
10/31/2020,38984.0,883.0,0
11/1/2020,39310.0,891.0,0
11/2/2020,39384.0,896.0,0
11/3/2020,40182.0,899.0,0
11/4/2020,40293.0,911.0,0
11/5/2020,41262.0,922.0,0
11/6/2020,42303.0,932.0,0
11/7/2020,43261.0,941.0,0
11/8/2020,43692.0,945.0,0
11/9/2020,43868.0,957.0,0
11/10/2020,44944.0,967.0,0
11/11/2020,45962.0,974.0,0
11/12/2020,46744.0,981.0,0
11/13/2020,47739.0,993.0,0
11/14/2020,48728.0,1003.0,0
11/15/2020,49251.0,1018.0,0
11/16/2020,49431.0,1037.0,0
11/17/2020,50678.0,1051.0,0
11/18/2020,51894.0,1059.0,0
11/19/2020,53139.0,1071.0,0
11/20/2020,54007.0,1076.0,0
11/21/2020,55081.0,1093.0,0
11/22/2020,55555.0,1100.0,0
11/23/2020,55680.0,1116.0,0
11/24/2020,57017.0,1132.0,0
11/25/2020,58256.0,1149.0,0
11/26/2020,59147.0,1164.0,0
11/27/2020,59241.0,1180.0,0
11/28/2020,59700.0,1200.0,0
11/29/2020,60122.0,1208.0,0
11/30/2020,60235.0,1222.0,0
12/1/2020,61453.0,1237.0,0
12/2/2020,62634.0,1257.0,0
12/3/2020,63853.0,1269.0,0
12/4/2020,64993.0,1283.0,0
12/5/2020,66075.0,1296.0,0
12/6/2020,66567.0,1312.0,0
12/7/2020,66799.0,1330.0,0
12/8/2020,67883.0,1348.0,0
12/9/2020,68882.0,1368.0,0
12/10/2020,69812.0,1381.0,0
12/11/2020,70879.0,1393.0,0
12/12/2020,71802.0,1412.0,0
12/13/2020,72241.0,1429.0,0
12/14/2020,72437.0,1446.0,0
12/15/2020,73407.0,1464.0,0
12/16/2020,74294.0,1479.0,0
12/17/2020,75106.0,1494.0,0
12/18/2020,75858.0,1506.0,0
12/19/2020,76617.0,1526.0,0
12/20/2020,76939.0,1537.0,0
12/21/2020,77043.0,1550.0,0
12/22/2020,77832.0,1562.0,0
12/23/2020,78533.0,1576.0,0
12/24/2020,79126.0,1587.0,0
12/25/2020,79421.0,1601.0,0
12/26/2020,79467.0,1613.0,0
12/27/2020,79663.0,1629.0,0
12/28/2020,79747.0,1648.0,0
12/29/2020,80557.0,1653.0,0
12/30/2020,81359.0,1665.0,0
12/31/2020,82024.0,1675.0,0
1/1/2021,82442.0,1682.0,0
1/2/2021,82489.0,1690.0,0
1/3/2021,82683.0,1697.0,0
1/4/2021,82751.0,1705.0,0
1/5/2021,83533.0,1710.0,0
1/6/2021,84199.0,1726.0,0
1/7/2021,84268.0,1740.0,0
1/8/2021,85088.0,1756.0,0
1/9/2021,85820.0,1766.0,0
1/10/2021,86103.0,1778.0,0
1/11/2021,86183.0,1784.0,0
1/12/2021,87008.0,1791.0,0
1/13/2021,87658.0,1803.0,0
1/14/2021,88358.0,1815.0,0
1/15/2021,88978.0,1819.0,0
1/16/2021,89627.0,1828.0,0
1/17/2021,89925.0,1836.0,0
1/18/2021,89981.0,1847.0,0
1/19/2021,90457.0,1854.0,0
1/20/2021,91074.0,1859.0,0
1/21/2021,91630.0,1867.0,0
1/22/2021,92156.0,1872.0,0
1/23/2021,92640.0,1876.0,0
1/24/2021,92826.0,1882.0,0
1/25/2021,92867.0,1886.0,0
1/26/2021,93421.0,1893.0,0
1/27/2021,93861.0,1901.0,0
1/28/2021,94267.0,1910.0,0
1/29/2021,94619.0,1920.0,0
1/30/2021,94957.0,1928.0,0
1/31/2021,95119.0,1935.0,0
2/1/2021,95158.0,1938.0,0
2/2/2021,95561.0,1945.0,0
2/3/2021,95924.0,1952.0,0
2/4/2021,96222.0,1961.0,0
2/5/2021,96533.0,1966.0,0
2/6/2021,96886.0,1972.0,0
2/7/2021,97027.0,1979.0,0
2/8/2021,97064.0,1981.0,0
2/9/2021,97400.0,1985.0,0
2/10/2021,97680.0,1990.0,0
2/11/2021,97987.0,1998.0,0
2/12/2021,98238.0,2002.0,0
2/13/2021,98477.0,2008.0,0
2/14/2021,98571.0,2010.0,0
2/15/2021,98595.0,2019.0,0
2/16/2021,98749.0,2021.0,0
2/17/2021,99064.0,2025.0,0
2/18/2021,99330.0,2029.0,0
2/19/2021,99509.0,2034.0,0
2/20/2021,99737.0,2037.0,0
2/21/2021,99842.0,2039.0,0
2/22/2021,99871.0,2043.0,0
