Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,1.0,0.0,0
3/3/2020,1.0,0.0,0
3/4/2020,1.0,0.0,0
3/5/2020,2.0,0.0,0
3/6/2020,2.0,0.0,0
3/7/2020,2.0,0.0,0
3/8/2020,2.0,0.0,0
3/9/2020,3.0,0.0,0
3/10/2020,4.0,0.0,0
3/11/2020,6.0,0.0,0
3/12/2020,14.0,0.0,0
3/13/2020,20.0,0.0,0
3/14/2020,20.0,0.0,0
3/15/2020,20.0,0.0,0
3/16/2020,21.0,0.0,0
3/17/2020,24.0,0.0,0
3/18/2020,38.0,0.0,0
3/19/2020,48.0,0.0,0
3/20/2020,65.0,1.0,0
3/21/2020,79.0,1.0,0
3/22/2020,92.0,1.0,0
3/23/2020,117.0,1.0,0
3/24/2020,133.0,1.0,0
3/25/2020,152.0,1.0,0
3/26/2020,184.0,1.0,0
3/27/2020,223.0,1.0,0
3/28/2020,259.0,3.0,0
3/29/2020,325.0,4.0,0
3/30/2020,429.0,6.0,0
3/31/2020,509.0,9.0,0
4/1/2020,578.0,11.0,0
4/2/2020,681.0,12.0,0
4/3/2020,746.0,16.0,0
4/4/2020,844.0,19.0,0
4/5/2020,979.0,28.0,0
4/6/2020,1164.0,30.0,0
4/7/2020,1379.0,37.0,0
4/8/2020,1638.0,42.0,0
4/9/2020,1912.0,52.0,0
4/10/2020,2198.0,59.0,0
4/11/2020,2590.0,70.0,0
4/12/2020,2870.0,82.0,0
4/13/2020,3159.0,91.0,0
4/14/2020,3343.0,100.0,0
4/15/2020,3611.0,108.0,0
4/16/2020,3928.0,125.0,0
4/17/2020,4312.0,139.0,0
4/18/2020,4596.0,160.0,0
4/19/2020,4881.0,175.0,0
4/20/2020,5221.0,186.0,0
4/21/2020,5599.0,196.0,0
4/22/2020,5978.0,214.0,0
4/23/2020,6368.0,232.0,0
4/24/2020,6792.0,247.0,0
4/25/2020,7200.0,262.0,0
4/26/2020,7498.0,276.0,0
4/27/2020,7783.0,290.0,0
4/28/2020,7987.0,300.0,0
4/29/2020,8334.0,322.0,0
4/30/2020,8690.0,340.0,0
5/1/2020,9036.0,364.0,0
5/2/2020,9330.0,378.0,0
5/3/2020,9521.0,402.0,0
5/4/2020,9698.0,423.0,0
5/5/2020,9974.0,441.0,0
5/6/2020,10276.0,457.0,0
5/7/2020,10599.0,478.0,0
5/8/2020,10868.0,499.0,0
5/9/2020,11098.0,521.0,0
5/10/2020,11384.0,536.0,0
5/11/2020,11573.0,550.0,0
5/12/2020,11748.0,565.0,0
5/13/2020,11969.0,587.0,0
5/14/2020,12165.0,600.0,0
5/15/2020,12394.0,616.0,0
5/16/2020,12627.0,630.0,0
5/17/2020,12870.0,645.0,0
5/18/2020,12992.0,655.0,0
5/19/2020,13129.0,673.0,0
5/20/2020,13340.0,684.0,0
5/21/2020,13522.0,706.0,0
5/22/2020,13687.0,726.0,0
5/23/2020,13889.0,737.0,0
5/24/2020,13995.0,750.0,0
5/25/2020,14079.0,758.0,0
5/26/2020,14153.0,768.0,0
5/27/2020,14306.0,783.0,0
5/28/2020,14435.0,793.0,0
5/29/2020,14561.0,801.0,0
5/30/2020,14734.0,813.0,0
5/31/2020,14843.0,825.0,0
6/1/2020,14918.0,828.0,0
6/2/2020,15012.0,833.0,0
6/3/2020,15109.0,843.0,0
6/4/2020,15208.0,854.0,0
6/5/2020,15315.0,866.0,0
6/6/2020,15413.0,877.0,0
6/7/2020,15479.0,883.0,0
6/8/2020,15528.0,887.0,0
6/9/2020,15573.0,891.0,0
6/10/2020,15638.0,892.0,0
6/11/2020,15739.0,896.0,0
6/12/2020,15826.0,902.0,0
6/13/2020,15904.0,904.0,0
6/14/2020,15952.0,907.0,0
6/15/2020,15984.0,910.0,0
6/16/2020,16059.0,915.0,0
6/17/2020,16110.0,923.0,0
6/18/2020,16161.0,929.0,0
6/19/2020,16230.0,936.0,0
6/20/2020,16288.0,939.0,0
6/21/2020,16323.0,943.0,0
6/22/2020,16353.0,945.0,0
6/23/2020,16412.0,947.0,0
6/24/2020,16490.0,954.0,0
6/25/2020,16536.0,959.0,0
6/26/2020,16584.0,960.0,0
6/27/2020,16645.0,961.0,0
6/28/2020,16682.0,966.0,0
6/29/2020,16698.0,972.0,0
6/30/2020,16740.0,973.0,0
7/1/2020,16778.0,978.0,0
7/2/2020,16849.0,979.0,0
7/3/2020,16910.0,982.0,0
7/4/2020,16937.0,985.0,0
7/5/2020,16969.0,987.0,0
7/6/2020,16994.0,989.0,0
7/7/2020,17042.0,993.0,0
7/8/2020,17092.0,995.0,0
7/9/2020,17157.0,995.0,0
7/10/2020,17205.0,995.0,0
7/11/2020,17270.0,998.0,0
7/12/2020,17303.0,1001.0,0
7/13/2020,17343.0,1004.0,0
7/14/2020,17410.0,1005.0,0
7/15/2020,17460.0,1006.0,0
7/16/2020,17555.0,1006.0,0
7/17/2020,17640.0,1007.0,0
7/18/2020,17738.0,1009.0,0
7/19/2020,17813.0,1013.0,0
7/20/2020,17874.0,1015.0,0
7/21/2020,17938.0,1017.0,0
7/22/2020,18029.0,1018.0,0
7/23/2020,18115.0,1019.0,0
7/24/2020,18223.0,1019.0,0
7/25/2020,18342.0,1019.0,0
7/26/2020,18447.0,1022.0,0
7/27/2020,18501.0,1023.0,0
7/28/2020,18635.0,1024.0,0
7/29/2020,18729.0,1025.0,0
7/30/2020,18881.0,1025.0,0
7/31/2020,18975.0,1026.0,0
8/1/2020,19061.0,1027.0,0
8/2/2020,19144.0,1028.0,0
8/3/2020,19197.0,1030.0,0
8/4/2020,19338.0,1031.0,0
8/5/2020,19439.0,1033.0,0
8/6/2020,19555.0,1035.0,0
8/7/2020,19667.0,1035.0,0
8/8/2020,19759.0,1037.0,0
8/9/2020,19848.0,1038.0,0
8/10/2020,19883.0,1038.0,0
8/11/2020,19995.0,1039.0,0
8/12/2020,20088.0,1042.0,0
8/13/2020,20189.0,1043.0,0
8/14/2020,20277.0,1043.0,0
8/15/2020,20368.0,1046.0,0
8/16/2020,20466.0,1046.0,0
8/17/2020,20533.0,1053.0,0
8/18/2020,20616.0,1055.0,0
8/19/2020,20701.0,1060.0,0
8/20/2020,20788.0,1060.0,0
8/21/2020,20945.0,1063.0,0
8/22/2020,21088.0,1065.0,0
8/23/2020,21183.0,1066.0,0
8/24/2020,21237.0,1067.0,0
8/25/2020,21319.0,1068.0,0
8/26/2020,21410.0,1069.0,0
8/27/2020,21534.0,1070.0,0
8/28/2020,21609.0,1072.0,0
8/29/2020,21677.0,1074.0,0
8/30/2020,21736.0,1076.0,0
8/31/2020,21780.0,1078.0,0
9/1/2020,21866.0,1079.0,0
9/2/2020,21935.0,1081.0,0
9/3/2020,22031.0,1083.0,0
9/4/2020,22114.0,1086.0,0
9/5/2020,22193.0,1087.0,0
9/6/2020,22230.0,1088.0,0
9/7/2020,22292.0,1089.0,0
9/8/2020,22319.0,1090.0,0
9/9/2020,22391.0,1092.0,0
9/10/2020,22496.0,1093.0,0
9/11/2020,22607.0,1094.0,0
9/12/2020,22710.0,1094.0,0
9/13/2020,22808.0,1097.0,0
9/14/2020,22864.0,1097.0,0
9/15/2020,22956.0,1099.0,0
9/16/2020,23080.0,1101.0,0
9/17/2020,23200.0,1106.0,0
9/18/2020,23346.0,1106.0,0
9/19/2020,23484.0,1108.0,0
9/20/2020,23597.0,1112.0,0
9/21/2020,23640.0,1116.0,0
9/22/2020,23738.0,1118.0,0
9/23/2020,23865.0,1119.0,0
9/24/2020,23985.0,1119.0,0
9/25/2020,24110.0,1120.0,0
9/26/2020,24252.0,1121.0,0
9/27/2020,24381.0,1122.0,0
9/28/2020,24417.0,1122.0,0
9/29/2020,24558.0,1124.0,0
9/30/2020,24741.0,1125.0,0
10/1/2020,24927.0,1126.0,0
10/2/2020,25092.0,1128.0,0
10/3/2020,25276.0,1130.0,0
10/4/2020,25416.0,1132.0,0
10/5/2020,25494.0,1134.0,0
10/6/2020,25663.0,1138.0,0
10/7/2020,25843.0,1138.0,0
10/8/2020,26090.0,1140.0,0
10/9/2020,26359.0,1144.0,0
10/10/2020,26557.0,1147.0,0
10/11/2020,26740.0,1149.0,0
10/12/2020,26831.0,1155.0,0
10/13/2020,27002.0,1160.0,0
10/14/2020,27225.0,1167.0,0
10/15/2020,27521.0,1169.0,0
10/16/2020,27765.0,1171.0,0
10/17/2020,28056.0,1173.0,0
10/18/2020,28354.0,1175.0,0
10/19/2020,28480.0,1177.0,0
10/20/2020,28793.0,1178.0,0
10/21/2020,29171.0,1182.0,0
10/22/2020,29646.0,1185.0,0
10/23/2020,30168.0,1188.0,0
10/24/2020,30623.0,1191.0,0
10/25/2020,30957.0,1192.0,0
10/26/2020,31148.0,1194.0,0
10/27/2020,31530.0,1197.0,0
10/28/2020,32004.0,1202.0,0
10/29/2020,32427.0,1205.0,0
10/30/2020,32938.0,1209.0,0
10/31/2020,33419.0,1214.0,0
11/1/2020,33898.0,1217.0,0
11/2/2020,34177.0,1221.0,0
11/3/2020,34608.0,1227.0,0
11/4/2020,35164.0,1228.0,0
11/5/2020,35799.0,1232.0,0
11/6/2020,36479.0,1236.0,0
11/7/2020,37182.0,1241.0,0
11/8/2020,37766.0,1242.0,0
11/9/2020,38060.0,1249.0,0
11/10/2020,38826.0,1253.0,0
11/11/2020,39820.0,1259.0,0
11/12/2020,40856.0,1268.0,0
11/13/2020,41648.0,1273.0,0
11/14/2020,42730.0,1275.0,0
11/15/2020,43495.0,1285.0,0
11/16/2020,44002.0,1293.0,0
11/17/2020,44668.0,1299.0,0
11/18/2020,46070.0,1304.0,0
11/19/2020,47081.0,1311.0,0
11/20/2020,48116.0,1317.0,0
11/21/2020,49400.0,1324.0,0
11/22/2020,50140.0,1334.0,0
11/23/2020,50597.0,1346.0,0
11/24/2020,51502.0,1358.0,0
11/25/2020,52451.0,1370.0,0
11/26/2020,53657.0,1377.0,0
11/27/2020,54072.0,1389.0,0
11/28/2020,55053.0,1398.0,0
11/29/2020,56134.0,1402.0,0
11/30/2020,56890.0,1412.0,0
12/1/2020,58067.0,1419.0,0
12/2/2020,59516.0,1432.0,0
12/3/2020,60986.0,1446.0,0
12/4/2020,62598.0,1458.0,0
12/5/2020,64096.0,1470.0,0
12/6/2020,65194.0,1487.0,0
12/7/2020,66156.0,1502.0,0
12/8/2020,67423.0,1526.0,0
12/9/2020,68778.0,1547.0,0
12/10/2020,70173.0,1562.0,0
12/11/2020,71369.0,1587.0,0
12/12/2020,72629.0,1607.0,0
12/13/2020,73573.0,1626.0,0
12/14/2020,74102.0,1656.0,0
12/15/2020,75235.0,1671.0,0
12/16/2020,76277.0,1687.0,0
12/17/2020,77413.0,1706.0,0
12/18/2020,77807.0,1723.0,0
12/19/2020,78731.0,1738.0,0
12/20/2020,79809.0,1758.0,0
12/21/2020,80247.0,1772.0,0
12/22/2020,81184.0,1783.0,0
12/23/2020,82104.0,1801.0,0
12/24/2020,83051.0,1811.0,0
12/25/2020,83940.0,1827.0,0
12/26/2020,84190.0,1848.0,0
12/27/2020,84985.0,1859.0,0
12/28/2020,85691.0,1872.0,0
12/29/2020,86981.0,1886.0,0
12/30/2020,88192.0,1903.0,0
12/31/2020,89570.0,1915.0,0
1/1/2021,90457.0,1934.0,0
1/2/2021,91232.0,1948.0,0
1/3/2021,92112.0,1962.0,0
1/4/2021,92757.0,1979.0,0
1/5/2021,93914.0,1998.0,0
1/6/2021,95492.0,2011.0,0
1/7/2021,96709.0,2030.0,0
1/8/2021,97889.0,2041.0,0
1/9/2021,99077.0,2054.0,0
1/10/2021,100170.0,2069.0,0
1/11/2021,100824.0,2084.0,0
1/12/2021,101755.0,2106.0,0
1/13/2021,102735.0,2121.0,0
1/14/2021,103588.0,2132.0,0
1/15/2021,104600.0,2142.0,0
1/16/2021,105513.0,2158.0,0
1/17/2021,106261.0,2173.0,0
1/18/2021,106769.0,2181.0,0
1/19/2021,107262.0,2200.0,0
1/20/2021,108124.0,2213.0,0
1/21/2021,109024.0,2238.0,0
1/22/2021,110024.0,2248.0,0
1/23/2021,110767.0,2263.0,0
1/24/2021,111478.0,2271.0,0
1/25/2021,111808.0,2287.0,0
1/26/2021,112487.0,2301.0,0
1/27/2021,113143.0,2313.0,0
1/28/2021,113868.0,2320.0,0
1/29/2021,114494.0,2335.0,0
1/30/2021,115086.0,2342.0,0
1/31/2021,115660.0,2350.0,0
2/1/2021,115970.0,2358.0,0
2/2/2021,116166.0,2369.0,0
2/3/2021,116694.0,2383.0,0
2/4/2021,117359.0,2397.0,0
2/5/2021,117963.0,2405.0,0
2/6/2021,118466.0,2411.0,0
2/7/2021,118814.0,2420.0,0
2/8/2021,118992.0,2433.0,0
2/9/2021,119355.0,2441.0,0
2/10/2021,119850.0,2448.0,0
2/11/2021,120303.0,2459.0,0
2/12/2021,120702.0,2470.0,0
2/13/2021,121085.0,2475.0,0
2/14/2021,121405.0,2485.0,0
