Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,0.0,0.0,0
3/9/2020,0.0,0.0,0
3/10/2020,5.0,0.0,0
3/11/2020,8.0,1.0,0
3/12/2020,8.0,1.0,0
3/13/2020,9.0,1.0,0
3/14/2020,9.0,1.0,0
3/15/2020,9.0,1.0,0
3/16/2020,10.0,1.0,0
3/17/2020,11.0,1.0,0
3/18/2020,11.0,1.0,0
3/19/2020,14.0,1.0,0
3/20/2020,14.0,1.0,0
3/21/2020,14.0,1.0,0
3/22/2020,21.0,1.0,0
3/23/2020,28.0,1.0,0
3/24/2020,30.0,1.0,0
3/25/2020,41.0,1.0,0
3/26/2020,46.0,1.0,0
3/27/2020,58.0,1.0,0
3/28/2020,68.0,1.0,0
3/29/2020,90.0,1.0,0
3/30/2020,101.0,1.0,0
3/31/2020,108.0,1.0,0
4/1/2020,129.0,2.0,0
4/2/2020,165.0,2.0,0
4/3/2020,187.0,2.0,0
4/4/2020,212.0,2.0,0
4/5/2020,240.0,2.0,0
4/6/2020,288.0,4.0,0
4/7/2020,320.0,6.0,0
4/8/2020,393.0,6.0,0
4/9/2020,447.0,6.0,0
4/10/2020,536.0,6.0,0
4/11/2020,626.0,6.0,0
4/12/2020,730.0,6.0,0
4/13/2020,868.0,6.0,0
4/14/2020,1168.0,6.0,0
4/15/2020,1168.0,6.0,0
4/16/2020,1311.0,7.0,0
4/17/2020,1411.0,7.0,0
4/18/2020,1542.0,7.0,0
4/19/2020,1635.0,7.0,0
4/20/2020,1685.0,7.0,0
4/21/2020,1754.0,8.0,0
4/22/2020,1858.0,9.0,0
4/23/2020,1956.0,9.0,0
4/24/2020,2040.0,10.0,0
4/25/2020,2147.0,10.0,0
4/26/2020,2212.0,11.0,0
4/27/2020,2245.0,11.0,0
4/28/2020,2313.0,11.0,0
4/29/2020,2373.0,13.0,0
4/30/2020,2449.0,17.0,0
5/1/2020,2525.0,21.0,0
5/2/2020,2588.0,21.0,0
5/3/2020,2631.0,21.0,0
5/4/2020,2668.0,21.0,0
5/5/2020,2721.0,24.0,0
5/6/2020,2779.0,29.0,0
5/7/2020,2905.0,31.0,0
5/8/2020,3144.0,31.0,0
5/9/2020,3393.0,34.0,0
5/10/2020,3517.0,34.0,0
5/11/2020,3614.0,34.0,0
5/12/2020,3663.0,39.0,0
5/13/2020,3732.0,39.0,0
5/14/2020,3792.0,43.0,0
5/15/2020,3887.0,44.0,0
5/16/2020,3959.0,44.0,0
5/17/2020,3987.0,44.0,0
5/18/2020,4027.0,44.0,0
5/19/2020,4085.0,46.0,0
5/20/2020,4177.0,46.0,0
5/21/2020,4250.0,48.0,0
5/22/2020,4356.0,50.0,0
5/23/2020,4468.0,50.0,0
5/24/2020,4563.0,50.0,0
5/25/2020,4586.0,50.0,0
5/26/2020,4653.0,50.0,0
5/27/2020,4710.0,54.0,0
5/28/2020,4793.0,54.0,0
5/29/2020,4866.0,59.0,0
5/30/2020,4960.0,62.0,0
5/31/2020,4993.0,62.0,0
6/1/2020,5034.0,62.0,0
6/2/2020,5067.0,62.0,0
6/3/2020,5162.0,62.0,0
6/4/2020,5247.0,64.0,0
6/5/2020,5277.0,65.0,0
6/6/2020,5367.0,65.0,0
6/7/2020,5438.0,65.0,0
6/8/2020,5471.0,65.0,0
6/9/2020,5523.0,68.0,0
6/10/2020,5604.0,69.0,0
6/11/2020,5665.0,73.0,0
6/12/2020,5742.0,74.0,0
6/13/2020,5833.0,75.0,0
6/14/2020,5898.0,75.0,0
6/15/2020,5928.0,75.0,0
6/16/2020,5966.0,77.0,0
6/17/2020,6050.0,78.0,0
6/18/2020,6109.0,78.0,0
6/19/2020,6158.0,81.0,0
6/20/2020,6225.0,81.0,0
6/21/2020,6297.0,81.0,0
6/22/2020,6326.0,81.0,0
6/23/2020,6353.0,83.0,0
6/24/2020,6419.0,84.0,0
6/25/2020,6479.0,87.0,0
6/26/2020,6535.0,88.0,0
6/27/2020,6626.0,91.0,0
6/28/2020,6681.0,91.0,0
6/29/2020,6716.0,91.0,0
6/30/2020,6764.0,91.0,0
7/1/2020,6826.0,93.0,0
7/2/2020,6893.0,97.0,0
7/3/2020,6978.0,97.0,0
7/4/2020,7028.0,97.0,0
7/5/2020,7063.0,97.0,0
7/6/2020,7105.0,97.0,0
7/7/2020,7163.0,98.0,0
7/8/2020,7242.0,98.0,0
7/9/2020,7336.0,101.0,0
7/10/2020,7401.0,107.0,0
7/11/2020,7454.0,109.0,0
7/12/2020,7499.0,109.0,0
7/13/2020,7524.0,109.0,0
7/14/2020,7572.0,109.0,0
7/15/2020,7652.0,111.0,0
7/16/2020,7694.0,115.0,0
7/17/2020,7789.0,116.0,0
7/18/2020,7862.0,116.0,0
7/19/2020,7906.0,118.0,0
7/20/2020,7943.0,118.0,0
7/21/2020,8019.0,118.0,0
7/22/2020,8077.0,119.0,0
7/23/2020,8143.0,121.0,0
7/24/2020,8200.0,122.0,0
7/25/2020,8305.0,122.0,0
7/26/2020,8395.0,123.0,0
7/27/2020,8444.0,123.0,0
7/28/2020,8492.0,123.0,0
7/29/2020,8641.0,129.0,0
7/30/2020,8685.0,129.0,0
7/31/2020,8764.0,130.0,0
8/1/2020,8867.0,134.0,0
8/2/2020,8955.0,135.0,0
8/3/2020,9020.0,135.0,0
8/4/2020,9079.0,136.0,0
8/5/2020,9168.0,137.0,0
8/6/2020,9273.0,141.0,0
8/7/2020,9371.0,144.0,0
8/8/2020,9477.0,146.0,0
8/9/2020,9605.0,146.0,0
8/10/2020,9663.0,146.0,0
8/11/2020,9713.0,146.0,0
8/12/2020,9815.0,147.0,0
8/13/2020,9897.0,148.0,0
8/14/2020,10024.0,150.0,0
8/15/2020,10118.0,152.0,0
8/16/2020,10274.0,153.0,0
8/17/2020,10360.0,153.0,0
8/18/2020,10443.0,154.0,0
8/19/2020,10566.0,155.0,0
8/20/2020,10691.0,157.0,0
8/21/2020,10884.0,159.0,0
8/22/2020,11135.0,160.0,0
8/23/2020,11276.0,161.0,0
8/24/2020,11425.0,161.0,0
8/25/2020,11505.0,161.0,0
8/26/2020,11571.0,162.0,0
8/27/2020,12194.0,162.0,0
8/28/2020,12517.0,165.0,0
8/29/2020,12942.0,167.0,0
8/30/2020,13322.0,167.0,0
8/31/2020,13509.0,167.0,0
9/1/2020,13749.0,167.0,0
9/2/2020,14003.0,169.0,0
9/3/2020,14337.0,169.0,0
9/4/2020,14596.0,170.0,0
9/5/2020,14889.0,173.0,0
9/6/2020,15109.0,173.0,0
9/7/2020,15300.0,173.0,0
9/8/2020,15403.0,173.0,0
9/9/2020,15571.0,173.0,0
9/10/2020,15834.0,177.0,0
9/11/2020,16117.0,177.0,0
9/12/2020,16437.0,183.0,0
9/13/2020,16638.0,184.0,0
9/14/2020,16801.0,184.0,0
9/15/2020,16994.0,184.0,0
9/16/2020,17291.0,192.0,0
9/17/2020,17686.0,193.0,0
9/18/2020,18075.0,198.0,0
9/19/2020,18444.0,200.0,0
9/20/2020,18696.0,202.0,0
9/21/2020,18869.0,202.0,0
9/22/2020,19189.0,202.0,0
9/23/2020,19634.0,202.0,0
9/24/2020,20097.0,210.0,0
9/25/2020,20554.0,216.0,0
9/26/2020,21133.0,218.0,0
9/27/2020,21541.0,218.0,0
9/28/2020,21738.0,218.0,0
9/29/2020,21997.0,223.0,0
9/30/2020,22389.0,223.0,0
10/1/2020,23136.0,236.0,0
10/2/2020,23522.0,237.0,0
10/3/2020,23986.0,248.0,0
10/4/2020,24418.0,248.0,0
10/5/2020,24598.0,248.0,0
10/6/2020,24876.0,248.0,0
10/7/2020,25906.0,260.0,0
10/8/2020,26441.0,274.0,0
10/9/2020,27215.0,279.0,0
10/10/2020,27947.0,286.0,0
10/11/2020,28564.0,286.0,0
10/12/2020,28925.0,288.0,0
10/13/2020,29339.0,293.0,0
10/14/2020,30215.0,296.0,0
10/15/2020,31012.0,304.0,0
10/16/2020,31805.0,307.0,0
10/17/2020,32611.0,315.0,0
10/18/2020,33269.0,323.0,0
10/19/2020,33836.0,323.0,0
10/20/2020,34457.0,330.0,0
10/21/2020,35044.0,333.0,0
10/22/2020,36017.0,347.0,0
10/23/2020,37202.0,356.0,0
10/24/2020,38141.0,366.0,0
10/25/2020,39203.0,375.0,0
10/26/2020,39741.0,375.0,0
10/27/2020,40730.0,375.0,0
10/28/2020,42000.0,384.0,0
10/29/2020,43000.0,403.0,0
10/30/2020,44559.0,415.0,0
10/31/2020,45992.0,425.0,0
11/1/2020,47324.0,437.0,0
11/2/2020,47850.0,438.0,0
11/3/2020,48854.0,446.0,0
11/4/2020,49791.0,460.0,0
11/5/2020,51151.0,482.0,0
11/6/2020,52639.0,510.0,0
11/7/2020,53976.0,523.0,0
11/8/2020,55404.0,536.0,0
11/9/2020,56311.0,537.0,0
11/10/2020,57334.0,540.0,0
11/11/2020,58696.0,567.0,0
11/12/2020,60716.0,567.0,0
11/13/2020,62327.0,568.0,0
11/14/2020,64182.0,621.0,0
11/15/2020,65381.0,644.0,0
11/16/2020,66278.0,644.0,0
11/17/2020,67284.0,644.0,0
11/18/2020,68671.0,674.0,0
11/19/2020,69742.0,705.0,0
11/20/2020,71070.0,741.0,0
11/21/2020,72214.0,777.0,0
11/22/2020,73065.0,819.0,0
11/23/2020,73848.0,819.0,0
11/24/2020,74858.0,821.0,0
11/25/2020,76142.0,849.0,0
11/26/2020,76142.0,849.0,0
11/27/2020,78280.0,888.0,0
11/28/2020,79099.0,942.0,0
11/29/2020,79900.0,943.0,0
11/30/2020,80464.0,946.0,0
12/1/2020,80912.0,948.0,0
12/2/2020,82203.0,995.0,0
12/3/2020,83348.0,1033.0,0
12/4/2020,84398.0,1064.0,0
12/5/2020,85304.0,1091.0,0
12/6/2020,85991.0,1110.0,0
12/7/2020,86500.0,1110.0,0
12/8/2020,87038.0,1111.0,0
12/9/2020,88023.0,1147.0,0
12/10/2020,88727.0,1177.0,0
12/11/2020,89672.0,1210.0,0
12/12/2020,90407.0,1243.0,0
12/13/2020,91038.0,1259.0,0
12/14/2020,91354.0,1259.0,0
12/15/2020,91699.0,1261.0,0
12/16/2020,92603.0,1300.0,0
12/17/2020,93197.0,1301.0,0
12/18/2020,93772.0,1329.0,0
12/19/2020,94336.0,1350.0,0
12/20/2020,94727.0,1361.0,0
12/21/2020,95074.0,1381.0,0
12/22/2020,95509.0,1381.0,0
12/23/2020,96040.0,1389.0,0
12/24/2020,96546.0,1430.0,0
12/25/2020,96546.0,1430.0,0
12/26/2020,96963.0,1446.0,0
12/27/2020,97390.0,1446.0,0
12/28/2020,97657.0,1446.0,0
12/29/2020,98158.0,1446.0,0
12/30/2020,98720.0,1464.0,0
12/31/2020,99164.0,1488.0,0
1/1/2021,99164.0,1488.0,0
1/2/2021,99829.0,1501.0,0
1/3/2021,100532.0,1513.0,0
1/4/2021,100643.0,1513.0,0
1/5/2021,101076.0,1513.0,0
1/6/2021,101684.0,1519.0,0
1/7/2021,102132.0,1544.0,0
1/8/2021,102580.0,1556.0,0
1/9/2021,102901.0,1570.0,0
1/10/2021,103318.0,1585.0,0
1/11/2021,103499.0,1585.0,0
1/12/2021,103743.0,1585.0,0
1/13/2021,104195.0,1604.0,0
1/14/2021,104512.0,1614.0,0
1/15/2021,104937.0,1629.0,0
1/16/2021,105278.0,1633.0,0
1/17/2021,105544.0,1656.0,0
1/18/2021,105659.0,1667.0,0
1/19/2021,105786.0,1667.0,0
1/20/2021,106063.0,1667.0,0
1/21/2021,106400.0,1673.0,0
1/22/2021,106716.0,1684.0,0
1/23/2021,106963.0,1696.0,0
1/24/2021,107148.0,1705.0,0
1/25/2021,107180.0,1705.0,0
1/26/2021,107380.0,1705.0,0
1/27/2021,107608.0,1739.0,0
1/28/2021,107795.0,1763.0,0
1/29/2021,107955.0,1768.0,0
1/30/2021,108070.0,1775.0,0
1/31/2021,108250.0,1778.0,0
2/1/2021,108315.0,1778.0,0
2/2/2021,108431.0,1779.0,0
2/3/2021,108639.0,1782.0,0
2/4/2021,108813.0,1788.0,0
2/5/2021,108944.0,1798.0,0
2/6/2021,109132.0,1804.0,0
2/7/2021,109229.0,1809.0,0
2/8/2021,109283.0,1809.0,0
2/9/2021,109405.0,1809.0,0
2/10/2021,109580.0,1815.0,0
2/11/2021,109859.0,1829.0,0
2/12/2021,110068.0,1831.0,0
2/13/2021,110205.0,1838.0,0
2/14/2021,110315.0,1844.0,0
2/15/2021,110376.0,1844.0,0
2/16/2021,110593.0,1844.0,0
2/17/2021,110685.0,1844.0,0
2/18/2021,110871.0,1847.0,0
2/19/2021,111018.0,1853.0,0
2/20/2021,111165.0,1859.0,0
2/21/2021,111304.0,1863.0,0
2/22/2021,111334.0,1863.0,0
2/23/2021,111546.0,1863.0,0
2/24/2021,111808.0,1864.0,0
2/25/2021,111964.0,1872.0,0
2/26/2021,112107.0,1879.0,0
2/27/2021,112293.0,1886.0,0
2/28/2021,112427.0,1888.0,0
3/1/2021,112470.0,1888.0,0
3/2/2021,112652.0,1888.0,0
3/3/2021,112833.0,1893.0,0
3/4/2021,113065.0,1896.0,0
3/5/2021,113229.0,1896.0,0
3/6/2021,113378.0,1898.0,0
3/7/2021,113589.0,1900.0,0
3/8/2021,113596.0,1901.0,0
3/9/2021,113753.0,1901.0,0
3/10/2021,113962.0,1904.0,0
3/11/2021,114163.0,1905.0,0
3/12/2021,114347.0,1907.0,0
3/13/2021,114493.0,1909.0,0
3/14/2021,114623.0,1912.0,0
3/15/2021,114649.0,1912.0,0
3/16/2021,114791.0,1912.0,0
