Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,1.0,0.0,0
3/5/2020,1.0,0.0,0
3/6/2020,2.0,0.0,0
3/7/2020,4.0,0.0,0
3/8/2020,5.0,0.0,0
3/9/2020,5.0,0.0,0
3/10/2020,10.0,0.0,0
3/11/2020,12.0,0.0,0
3/12/2020,30.0,0.0,0
3/13/2020,47.0,0.0,0
3/14/2020,78.0,0.0,0
3/15/2020,111.0,0.0,0
3/16/2020,144.0,0.0,0
3/17/2020,234.0,0.0,0
3/18/2020,378.0,0.0,0
3/19/2020,553.0,0.0,0
3/20/2020,763.0,0.0,0
3/21/2020,1014.0,1.0,0
3/22/2020,1139.0,3.0,0
3/23/2020,1246.0,4.0,0
3/24/2020,1530.0,4.0,0
3/25/2020,1757.0,5.0,0
3/26/2020,2002.0,6.0,0
3/27/2020,2269.0,10.0,0
3/28/2020,2523.0,12.0,0
3/29/2020,2749.0,16.0,0
3/30/2020,2879.0,22.0,0
3/31/2020,3232.0,28.0,0
4/1/2020,3515.0,36.0,0
4/2/2020,3787.0,44.0,0
4/3/2020,4026.0,50.0,0
4/4/2020,4284.0,66.0,0
4/5/2020,4428.0,70.0,0
4/6/2020,4518.0,80.0,0
4/7/2020,4811.0,87.0,0
4/8/2020,5011.0,94.0,0
4/9/2020,5242.0,110.0,0
4/10/2020,5414.0,115.0,0
4/11/2020,5612.0,117.0,0
4/12/2020,5743.0,124.0,0
4/13/2020,5809.0,132.0,0
4/14/2020,6160.0,140.0,0
4/15/2020,6397.0,150.0,0
4/16/2020,6698.0,156.0,0
4/17/2020,6927.0,162.0,0
4/18/2020,7228.0,165.0,0
4/19/2020,7563.0,167.0,0
4/20/2020,7762.0,170.0,0
4/21/2020,8442.0,174.0,0
4/22/2020,8796.0,179.0,0
4/23/2020,9191.0,182.0,0
4/24/2020,9537.0,192.0,0
4/25/2020,9982.0,197.0,0
4/26/2020,10190.0,203.0,0
4/27/2020,10303.0,207.0,0
4/28/2020,10720.0,212.0,0
4/29/2020,11783.0,218.0,0
4/30/2020,12683.0,223.0,0
5/1/2020,13045.0,228.0,0
5/2/2020,13428.0,233.0,0
5/3/2020,13590.0,238.0,0
5/4/2020,13704.0,247.0,0
5/5/2020,14063.0,253.0,0
5/6/2020,14523.0,263.0,0
5/7/2020,15187.0,266.0,0
5/8/2020,15871.0,274.0,0
5/9/2020,16182.0,280.0,0
5/10/2020,16273.0,288.0,0
5/11/2020,16340.0,292.0,0
5/12/2020,16728.0,296.0,0
5/13/2020,17101.0,304.0,0
5/14/2020,17501.0,315.0,0
5/15/2020,17885.0,330.0,0
5/16/2020,18232.0,338.0,0
5/17/2020,18447.0,344.0,0
5/18/2020,18550.0,351.0,0
5/19/2020,19262.0,355.0,0
5/20/2020,19729.0,357.0,0
5/21/2020,20291.0,362.0,0
5/22/2020,20818.0,370.0,0
5/23/2020,21269.0,373.0,0
5/24/2020,21469.0,379.0,0
5/25/2020,21620.0,389.0,0
5/26/2020,21778.0,395.0,0
5/27/2020,22591.0,399.0,0
5/28/2020,23250.0,406.0,0
5/29/2020,24030.0,410.0,0
5/30/2020,24681.0,417.0,0
5/31/2020,24952.0,427.0,0
6/1/2020,25121.0,432.0,0
6/2/2020,25810.0,438.0,0
6/3/2020,26334.0,445.0,0
6/4/2020,26998.0,453.0,0
6/5/2020,27680.0,456.0,0
6/6/2020,28176.0,462.0,0
6/7/2020,28497.0,472.0,0
6/8/2020,28733.0,477.0,0
6/9/2020,29572.0,482.0,0
6/10/2020,30280.0,486.0,0
6/11/2020,31017.0,487.0,0
6/12/2020,31670.0,492.0,0
6/13/2020,32377.0,496.0,0
6/14/2020,32784.0,503.0,0
6/15/2020,33013.0,512.0,0
6/16/2020,34040.0,527.0,0
6/17/2020,34883.0,533.0,0
6/18/2020,35876.0,543.0,0
6/19/2020,36792.0,548.0,0
6/20/2020,37908.0,557.0,0
6/21/2020,38423.0,563.0,0
6/22/2020,38844.0,573.0,0
6/23/2020,40341.0,579.0,0
6/24/2020,41717.0,584.0,0
6/25/2020,43349.0,591.0,0
6/26/2020,44806.0,600.0,0
6/27/2020,46369.0,614.0,0
6/28/2020,47141.0,622.0,0
6/29/2020,47764.0,630.0,0
6/30/2020,49823.0,638.0,0
7/1/2020,51781.0,650.0,0
7/2/2020,53803.0,664.0,0
7/3/2020,55756.0,673.0,0
7/4/2020,56957.0,685.0,0
7/5/2020,57529.0,701.0,0
7/6/2020,58482.0,720.0,0
7/7/2020,61626.0,731.0,0
7/8/2020,64407.0,749.0,0
7/9/2020,67126.0,761.0,0
7/10/2020,69477.0,778.0,0
7/11/2020,71832.0,795.0,0
7/12/2020,72973.0,808.0,0
7/13/2020,73817.0,825.0,0
7/14/2020,76797.0,844.0,0
7/15/2020,79400.0,855.0,0
7/16/2020,81860.0,872.0,0
7/17/2020,84107.0,890.0,0
7/18/2020,86077.0,906.0,0
7/19/2020,87076.0,923.0,0
7/20/2020,87834.0,939.0,0
7/21/2020,90680.0,959.0,0
7/22/2020,93039.0,976.0,0
7/23/2020,95201.0,1006.0,0
7/24/2020,97109.0,1033.0,0
7/25/2020,98940.0,1061.0,0
7/26/2020,99683.0,1081.0,0
7/27/2020,100293.0,1102.0,0
7/28/2020,102971.0,1119.0,0
7/29/2020,105118.0,1140.0,0
7/30/2020,107244.0,1172.0,0
7/31/2020,109434.0,1201.0,0
8/1/2020,111367.0,1228.0,0
8/2/2020,112126.0,1251.0,0
8/3/2020,112832.0,1288.0,0
8/4/2020,115412.0,1313.0,0
8/5/2020,117623.0,1333.0,0
8/6/2020,119523.0,1350.0,0
8/7/2020,121368.0,1375.0,0
8/8/2020,123203.0,1400.0,0
8/9/2020,123994.0,1421.0,0
8/10/2020,124626.0,1435.0,0
8/11/2020,127052.0,1464.0,0
8/12/2020,128826.0,1490.0,0
8/13/2020,130617.0,1515.0,0
8/14/2020,131957.0,1538.0,0
8/15/2020,133634.0,1560.0,0
8/16/2020,134492.0,1588.0,0
8/17/2020,135032.0,1618.0,0
8/18/2020,136892.0,1637.0,0
8/19/2020,138799.0,1653.0,0
8/20/2020,140411.0,1675.0,0
8/21/2020,142070.0,1695.0,0
8/22/2020,143456.0,1715.0,0
8/23/2020,144315.0,1732.0,0
8/24/2020,144875.0,1756.0,0
8/25/2020,146973.0,1790.0,0
8/26/2020,148727.0,1814.0,0
8/27/2020,150314.0,1844.0,0
8/28/2020,151879.0,1869.0,0
8/29/2020,154245.0,1892.0,0
8/30/2020,154891.0,1917.0,0
8/31/2020,155461.0,1932.0,0
9/1/2020,157451.0,1956.0,0
9/2/2020,159165.0,1978.0,0
9/3/2020,160745.0,2001.0,0
9/4/2020,162342.0,2023.0,0
9/5/2020,164301.0,2044.0,0
9/6/2020,164828.0,2065.0,0
9/7/2020,165377.0,2100.0,0
9/8/2020,166022.0,2117.0,0
9/9/2020,168268.0,2142.0,0
9/10/2020,169844.0,2164.0,0
9/11/2020,171539.0,2187.0,0
9/12/2020,173139.0,2215.0,0
9/13/2020,173802.0,2250.0,0
9/14/2020,174335.0,2264.0,0
9/15/2020,176690.0,2291.0,0
9/16/2020,178249.0,2308.0,0
9/17/2020,179796.0,2329.0,0
9/18/2020,181335.0,2355.0,0
9/19/2020,182894.0,2383.0,0
9/20/2020,183505.0,2401.0,0
9/21/2020,184034.0,2427.0,0
9/22/2020,186217.0,2447.0,0
9/23/2020,187772.0,2467.0,0
9/24/2020,189325.0,2495.0,0
9/25/2020,190983.0,2515.0,0
9/26/2020,192367.0,2538.0,0
9/27/2020,192965.0,2561.0,0
9/28/2020,193646.0,2585.0,0
9/29/2020,196121.0,2611.0,0
9/30/2020,197770.0,2625.0,0
10/1/2020,199491.0,2651.0,0
10/2/2020,201157.0,2672.0,0
10/3/2020,203002.0,2694.0,0
10/4/2020,203853.0,2712.0,0
10/5/2020,204646.0,2741.0,0
10/6/2020,207390.0,2766.0,0
10/7/2020,209524.0,2793.0,0
10/8/2020,211780.0,2821.0,0
10/9/2020,213904.0,2847.0,0
10/10/2020,216073.0,2873.0,0
10/11/2020,217083.0,2902.0,0
10/12/2020,217935.0,2930.0,0
10/13/2020,221453.0,2966.0,0
10/14/2020,224073.0,3002.0,0
10/15/2020,226539.0,3039.0,0
10/16/2020,229165.0,3080.0,0
10/17/2020,231514.0,3109.0,0
10/18/2020,232601.0,3136.0,0
10/19/2020,233645.0,3157.0,0
10/20/2020,237362.0,3190.0,0
10/21/2020,240229.0,3227.0,0
10/22/2020,243177.0,3265.0,0
10/23/2020,246145.0,3293.0,0
10/24/2020,248962.0,3326.0,0
10/25/2020,250223.0,3371.0,0
10/26/2020,251430.0,3413.0,0
10/27/2020,255556.0,3444.0,0
10/28/2020,258833.0,3490.0,0
10/29/2020,262033.0,3527.0,0
10/30/2020,265227.0,3565.0,0
10/31/2020,268329.0,3605.0,0
11/1/2020,269821.0,3634.0,0
11/2/2020,271158.0,3666.0,0
11/3/2020,276141.0,3704.0,0
11/4/2020,279692.0,3749.0,0
11/5/2020,283872.0,3799.0,0
11/6/2020,288279.0,3839.0,0
11/7/2020,292404.0,3886.0,0
11/8/2020,294524.0,3919.0,0
11/9/2020,296519.0,3959.0,0
11/10/2020,303749.0,4001.0,0
11/11/2020,309301.0,4050.0,0
11/12/2020,313411.0,4099.0,0
11/13/2020,319456.0,4136.0,0
11/14/2020,324503.0,4179.0,0
11/15/2020,326948.0,4240.0,0
11/16/2020,329208.0,4288.0,0
11/17/2020,336910.0,4340.0,0
11/18/2020,342799.0,4408.0,0
11/19/2020,348349.0,4451.0,0
11/20/2020,352505.0,4508.0,0
11/21/2020,358469.0,4575.0,0
11/22/2020,361102.0,4649.0,0
11/23/2020,363478.0,4709.0,0
11/24/2020,372387.0,4777.0,0
11/25/2020,378347.0,4843.0,0
11/26/2020,384239.0,4908.0,0
11/27/2020,384862.0,4955.0,0
11/28/2020,389015.0,5035.0,0
11/29/2020,392496.0,5097.0,0
11/30/2020,395469.0,5154.0,0
12/1/2020,406634.0,5234.0,0
12/2/2020,414097.0,5302.0,0
12/3/2020,421314.0,5369.0,0
12/4/2020,428395.0,5441.0,0
12/5/2020,434814.0,5524.0,0
12/6/2020,438129.0,5602.0,0
12/7/2020,441159.0,5688.0,0
12/8/2020,451578.0,5760.0,0
12/9/2020,459447.0,5839.0,0
12/10/2020,466981.0,5901.0,0
12/11/2020,474395.0,5976.0,0
12/12/2020,481773.0,6044.0,0
12/13/2020,485243.0,6124.0,0
12/14/2020,488479.0,6210.0,0
12/15/2020,499554.0,6285.0,0
12/16/2020,507767.0,6351.0,0
12/17/2020,515385.0,6435.0,0
12/18/2020,522997.0,6526.0,0
12/19/2020,530353.0,6623.0,0
12/20/2020,534080.0,6716.0,0
12/21/2020,537482.0,6817.0,0
12/22/2020,546580.0,6920.0,0
12/23/2020,556041.0,7028.0,0
12/24/2020,563019.0,7126.0,0
12/25/2020,566744.0,7233.0,0
12/26/2020,567292.0,7313.0,0
12/27/2020,571969.0,7404.0,0
12/28/2020,575681.0,7491.0,0
12/29/2020,586638.0,7581.0,0
12/30/2020,597819.0,7679.0,0
12/31/2020,605984.0,7777.0,0
1/1/2021,612149.0,7876.0,0
1/2/2021,614254.0,7974.0,0
1/3/2021,619434.0,8060.0,0
1/4/2021,623261.0,8163.0,0
1/5/2021,633567.0,8270.0,0
1/6/2021,643053.0,8385.0,0
1/7/2021,649190.0,8500.0,0
1/8/2021,656010.0,8591.0,0
1/9/2021,661182.0,8710.0,0
1/10/2021,664061.0,8799.0,0
1/11/2021,666514.0,8907.0,0
1/12/2021,672211.0,9009.0,0
1/13/2021,677834.0,9107.0,0
1/14/2021,681996.0,9184.0,0
1/15/2021,686840.0,9291.0,0
1/16/2021,690640.0,9381.0,0
1/17/2021,692782.0,9471.0,0
1/18/2021,694607.0,9561.0,0
1/19/2021,698431.0,9641.0,0
1/20/2021,703271.0,9740.0,0
1/21/2021,706646.0,9826.0,0
1/22/2021,710396.0,9933.0,0
1/23/2021,713462.0,10007.0,0
1/24/2021,715247.0,10080.0,0
1/25/2021,716882.0,10164.0,0
1/26/2021,720774.0,10240.0,0
1/27/2021,724480.0,10322.0,0
1/28/2021,727048.0,10384.0,0
1/29/2021,729943.0,10454.0,0
1/30/2021,732301.0,10509.0,0
1/31/2021,733758.0,10559.0,0
2/1/2021,735087.0,10607.0,0
2/2/2021,738136.0,10658.0,0
2/3/2021,740888.0,10701.0,0
2/4/2021,743216.0,10741.0,0
2/5/2021,745562.0,10790.0,0
2/6/2021,747636.0,10839.0,0
2/7/2021,748911.0,10897.0,0
2/8/2021,749965.0,10924.0,0
2/9/2021,752645.0,10960.0,0
2/10/2021,755142.0,11000.0,0
2/11/2021,757075.0,11037.0,0
2/12/2021,758900.0,11071.0,0
2/13/2021,760561.0,11098.0,0
2/14/2021,761530.0,11131.0,0
