Dates,Infected,Deaths,Recovered
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,2.0,0.0,0
3/9/2020,5.0,0.0,0
3/10/2020,8.0,0.0,0
3/11/2020,15.0,0.0,0
3/12/2020,29.0,0.0,0
3/13/2020,29.0,0.0,0
3/14/2020,29.0,0.0,0
3/15/2020,51.0,1.0,0
3/16/2020,67.0,2.0,0
3/17/2020,68.0,2.0,0
3/18/2020,94.0,2.0,0
3/19/2020,114.0,2.0,0
3/20/2020,114.0,2.0,0
3/21/2020,152.0,2.0,0
3/22/2020,254.0,6.0,0
3/23/2020,290.0,6.0,0
3/24/2020,391.0,9.0,0
3/25/2020,460.0,13.0,0
3/26/2020,604.0,14.0,0
3/27/2020,604.0,14.0,0
3/28/2020,739.0,17.0,0
3/29/2020,1020.0,25.0,0
3/30/2020,1020.0,27.0,0
3/31/2020,1484.0,34.0,0
4/1/2020,1706.0,41.0,0
4/2/2020,2012.0,46.0,0
4/3/2020,2012.0,46.0,0
4/4/2020,2407.0,52.0,0
4/5/2020,2878.0,54.0,0
4/6/2020,3333.0,63.0,0
4/7/2020,3645.0,75.0,0
4/8/2020,4042.0,109.0,0
4/9/2020,4509.0,121.0,0
4/10/2020,4509.0,121.0,0
4/11/2020,5077.0,130.0,0
4/12/2020,5747.0,149.0,0
4/13/2020,6171.0,154.0,0
4/14/2020,6500.0,195.0,0
4/15/2020,6889.0,208.0,0
4/16/2020,7491.0,231.0,0
4/17/2020,8053.0,231.0,0
4/18/2020,8053.0,258.0,0
4/19/2020,8990.0,300.0,0
4/20/2020,9630.0,324.0,0
4/21/2020,9630.0,324.0,0
4/22/2020,10998.0,372.0,0
4/23/2020,11594.0,410.0,0
4/24/2020,12366.0,436.0,0
4/25/2020,12366.0,436.0,0
4/26/2020,13535.0,458.0,0
4/27/2020,14339.0,492.0,0
4/28/2020,14961.0,522.0,0
4/29/2020,15846.0,552.0,0
4/30/2020,16901.0,581.0,0
5/1/2020,16901.0,581.0,0
5/2/2020,17731.0,616.0,0
5/3/2020,19492.0,684.0,0
5/4/2020,19492.0,684.0,0
5/5/2020,20256.0,713.0,0
5/6/2020,20256.0,713.0,0
5/7/2020,22342.0,812.0,0
5/8/2020,22342.0,812.0,0
5/9/2020,23196.0,827.0,0
5/10/2020,25070.0,850.0,0
5/11/2020,25800.0,891.0,0
5/12/2020,26746.0,927.0,0
5/13/2020,27813.0,955.0,0
5/14/2020,28672.0,977.0,0
5/15/2020,29683.0,1002.0,0
5/16/2020,30388.0,1009.0,0
5/17/2020,31140.0,1014.0,0
5/18/2020,32145.0,1041.0,0
5/19/2020,32908.0,1074.0,0
5/20/2020,34137.0,1099.0,0
5/21/2020,34950.0,1136.0,0
5/22/2020,35749.0,1159.0,0
5/23/2020,36244.0,1171.0,0
5/24/2020,37727.0,1208.0,0
5/25/2020,39342.0,1236.0,0
5/26/2020,40249.0,1281.0,0
5/27/2020,41401.0,1338.0,0
5/28/2020,42533.0,1358.0,0
5/29/2020,43611.0,1370.0,0
5/30/2020,44607.0,1375.0,0
5/31/2020,45398.0,1392.0,0
6/1/2020,46239.0,1407.0,0
6/2/2020,46905.0,1428.0,0
6/3/2020,47856.0,1445.0,0
6/4/2020,48532.0,1453.0,0
6/5/2020,49397.0,1460.0,0
6/6/2020,50681.0,1472.0,0
6/7/2020,51251.0,1477.0,0
6/8/2020,51738.0,1496.0,0
6/9/2020,52177.0,1514.0,0
6/10/2020,52647.0,1520.0,0
6/11/2020,53211.0,1534.0,0
6/12/2020,53869.0,1541.0,0
6/13/2020,54506.0,1546.0,0
6/14/2020,54886.0,1552.0,0
6/15/2020,55331.0,1570.0,0
6/16/2020,55775.0,1583.0,0
6/17/2020,56238.0,1586.0,0
6/18/2020,56793.0,1602.0,0
6/19/2020,57443.0,1607.0,0
6/20/2020,57994.0,1611.0,0
6/21/2020,58465.0,1620.0,0
6/22/2020,58994.0,1645.0,0
6/23/2020,59514.0,1661.0,0
6/24/2020,59946.0,1675.0,0
6/25/2020,60570.0,1700.0,0
6/26/2020,61247.0,1724.0,0
6/27/2020,61736.0,1732.0,0
6/28/2020,62189.0,1740.0,0
6/29/2020,62787.0,1763.0,0
6/30/2020,62787.0,1763.0,0
7/1/2020,63203.0,1786.0,0
7/2/2020,63735.0,1816.0,0
7/3/2020,64393.0,1845.0,0
7/4/2020,65748.0,1853.0,0
7/5/2020,66102.0,1853.0,0
7/6/2020,66740.0,1881.0,0
7/7/2020,67375.0,1905.0,0
7/8/2020,67988.0,1937.0,0
7/9/2020,68931.0,1958.0,0
7/10/2020,69782.0,1962.0,0
7/11/2020,70670.0,1966.0,0
7/12/2020,71642.0,1968.0,0
7/13/2020,72443.0,1977.0,0
7/14/2020,73527.0,1992.0,0
7/15/2020,74431.0,2007.0,0
7/16/2020,75433.0,2013.0,0
7/17/2020,76373.0,2025.0,0
7/18/2020,77430.0,2027.0,0
7/19/2020,78375.0,2031.0,0
7/20/2020,79371.0,2048.0,0
7/21/2020,80393.0,2051.0,0
7/22/2020,81237.0,2054.0,0
7/23/2020,82364.0,2067.0,0
7/24/2020,83609.0,2075.0,0
7/25/2020,84567.0,2078.0,0
7/26/2020,86072.0,2082.0,0
7/27/2020,86994.0,2095.0,0
7/28/2020,87993.0,2125.0,0
7/29/2020,88904.0,2141.0,0
7/30/2020,89888.0,2174.0,0
7/31/2020,90801.0,2215.0,0
8/1/2020,91782.0,2218.0,0
8/2/2020,93106.0,2218.0,0
8/3/2020,94251.0,2244.0,0
8/4/2020,95049.0,2274.0,0
8/5/2020,95867.0,2299.0,0
8/6/2020,97882.0,2317.0,0
8/7/2020,99189.0,2322.0,0
8/8/2020,100086.0,2326.0,0
8/9/2020,100750.0,2327.0,0
8/10/2020,101746.0,2344.0,0
8/11/2020,102521.0,2352.0,0
8/12/2020,103623.0,2364.0,0
8/13/2020,104838.0,2370.0,0
8/14/2020,105753.0,2381.0,0
8/15/2020,106691.0,2382.0,0
8/16/2020,107421.0,2385.0,0
8/17/2020,108283.0,2397.0,0
8/18/2020,109019.0,2410.0,0
8/19/2020,109882.0,2427.0,0
8/20/2020,110860.0,2436.0,0
8/21/2020,112072.0,2443.0,0
8/22/2020,112072.0,2443.0,0
8/23/2020,113630.0,2471.0,0
8/24/2020,114636.0,2495.0,0
8/25/2020,115458.0,2515.0,0
8/26/2020,116579.0,2527.0,0
8/27/2020,117592.0,2550.0,0
8/28/2020,118809.0,2568.0,0
8/29/2020,119747.0,2569.0,0
8/30/2020,120594.0,2580.0,0
8/31/2020,121615.0,2612.0,0
9/1/2020,122542.0,2641.0,0
9/2/2020,123668.0,2652.0,0
9/3/2020,124779.0,2662.0,0
9/4/2020,125727.0,2677.0,0
9/5/2020,126926.0,2678.0,0
9/6/2020,127571.0,2684.0,0
9/7/2020,128407.0,2686.0,0
9/8/2020,129289.0,2697.0,0
9/9/2020,130529.0,2708.0,0
9/10/2020,131644.0,2711.0,0
9/11/2020,132940.0,2722.0,0
9/12/2020,133814.0,2724.0,0
9/13/2020,134571.0,2743.0,0
9/14/2020,135514.0,2839.0,0
9/15/2020,136359.0,2884.0,0
9/16/2020,137460.0,2920.0,0
9/17/2020,138702.0,2949.0,0
9/18/2020,139655.0,2990.0,0
9/19/2020,140512.0,3015.0,0
9/20/2020,141138.0,3021.0,0
9/21/2020,142010.0,3060.0,0
9/22/2020,142590.0,3089.0,0
9/23/2020,143492.0,3113.0,0
9/24/2020,144433.0,3136.0,0
9/25/2020,145408.0,3144.0,0
9/26/2020,146144.0,3159.0,0
9/27/2020,146593.0,3172.0,0
9/28/2020,147516.0,3187.0,0
9/29/2020,148272.0,3208.0,0
9/30/2020,148721.0,3228.0,0
10/1/2020,149687.0,3250.0,0
10/2/2020,150803.0,3270.0,0
10/3/2020,151870.0,3273.0,0
10/4/2020,152557.0,3276.0,0
10/5/2020,153182.0,3291.0,0
10/6/2020,153691.0,3303.0,0
10/7/2020,155535.0,3328.0,0
10/8/2020,156649.0,3344.0,0
10/9/2020,157905.0,3354.0,0
10/10/2020,158716.0,3358.0,0
10/11/2020,159570.0,3361.0,0
10/12/2020,160805.0,3372.0,0
10/13/2020,161610.0,3381.0,0
10/14/2020,162941.0,3388.0,0
10/15/2020,164124.0,3408.0,0
10/16/2020,165238.0,3422.0,0
10/17/2020,166138.0,3433.0,0
10/18/2020,166828.0,3457.0,0
10/19/2020,167754.0,3485.0,0
10/20/2020,168772.0,3515.0,0
10/21/2020,170104.0,3524.0,0
10/22/2020,171284.0,3539.0,0
10/23/2020,172372.0,3578.0,0
10/24/2020,173371.0,3579.0,0
10/25/2020,174275.0,3581.0,0
10/26/2020,175409.0,3600.0,0
10/27/2020,176754.0,3616.0,0
10/28/2020,178183.0,3636.0,0
10/29/2020,179639.0,3643.0,0
10/30/2020,181191.0,3654.0,0
10/31/2020,182393.0,3655.0,0
11/1/2020,183419.0,3658.0,0
11/2/2020,184680.0,3666.0,0
11/3/2020,185837.0,3677.0,0
11/4/2020,187203.0,3688.0,0
11/5/2020,188771.0,3682.0,0
11/6/2020,190874.0,3704.0,0
11/7/2020,192176.0,3707.0,0
11/8/2020,193478.0,3713.0,0
11/9/2020,194913.0,3726.0,0
11/10/2020,196507.0,3741.0,0
11/11/2020,198028.0,3758.0,0
11/12/2020,199263.0,3785.0,0
11/13/2020,200800.0,3799.0,0
11/14/2020,201961.0,3800.0,0
11/15/2020,204638.0,3805.0,0
11/16/2020,206763.0,3835.0,0
11/17/2020,208834.0,3860.0,0
11/18/2020,210788.0,3896.0,0
11/19/2020,213332.0,3912.0,0
11/20/2020,215680.0,3938.0,0
11/21/2020,217797.0,3938.0,0
11/22/2020,221039.0,3942.0,0
11/23/2020,223583.0,3979.0,0
11/24/2020,226301.0,4008.0,0
11/25/2020,228901.0,4029.0,0
11/26/2020,230445.0,4044.0,0
11/27/2020,233618.0,4054.0,0
11/28/2020,235943.0,4058.0,0
11/29/2020,237836.0,4062.0,0
11/30/2020,240064.0,4093.0,0
12/1/2020,242481.0,4113.0,0
12/2/2020,244503.0,4147.0,0
12/3/2020,247380.0,4160.0,0
12/4/2020,251173.0,4197.0,0
12/5/2020,255053.0,4200.0,0
12/6/2020,258870.0,4208.0,0
12/7/2020,262730.0,4260.0,0
12/8/2020,267129.0,4281.0,0
12/9/2020,271043.0,4335.0,0
12/10/2020,274438.0,4370.0,0
12/11/2020,278615.0,4409.0,0
12/12/2020,281909.0,4411.0,0
12/13/2020,285149.0,4414.0,0
12/14/2020,288309.0,4470.0,0
12/15/2020,292240.0,4508.0,0
12/16/2020,296093.0,4553.0,0
12/17/2020,299389.0,4599.0,0
12/18/2020,302972.0,4643.0,0
12/19/2020,306848.0,4650.0,0
12/20/2020,310889.0,4654.0,0
12/21/2020,314482.0,4705.0,0
12/22/2020,319133.0,4760.0,0
12/23/2020,323915.0,4791.0,0
12/24/2020,327993.0,4820.0,0
12/25/2020,329577.0,4840.0,0
12/26/2020,333576.0,4854.0,0
12/27/2020,336175.0,4861.0,0
12/28/2020,340297.0,4920.0,0
12/29/2020,344345.0,4984.0,0
12/30/2020,349584.0,5032.0,0
12/31/2020,354767.0,5081.0,0
1/1/2021,358755.0,5117.0,0
1/2/2021,363765.0,5124.0,0
1/3/2021,367536.0,5132.0,0
1/4/2021,371913.0,5191.0,0
1/5/2021,377300.0,5226.0,0
1/6/2021,382679.0,5275.0,0
1/7/2021,387917.0,5312.0,0
1/8/2021,393715.0,5381.0,0
1/9/2021,398856.0,5383.0,0
1/10/2021,403386.0,5393.0,0
1/11/2021,407947.0,5477.0,0
1/12/2021,412545.0,5552.0,0
1/13/2021,417839.0,5626.0,0
1/14/2021,422634.0,5656.0,0
1/15/2021,429391.0,5706.0,0
1/16/2021,439305.0,5729.0,0
1/17/2021,446550.0,5739.0,0
1/18/2021,451076.0,5798.0,0
1/19/2021,455591.0,5861.0,0
1/20/2021,459604.0,5940.0,0
1/21/2021,463751.0,6002.0,0
1/22/2021,468655.0,6079.0,0
1/23/2021,472447.0,6078.0,0
1/24/2021,478619.0,6081.0,0
1/25/2021,483326.0,6174.0,0
1/26/2021,488553.0,6228.0,0
1/27/2021,493674.0,6308.0,0
1/28/2021,497912.0,6379.0,0
1/29/2021,502221.0,6449.0,0
1/30/2021,504779.0,6464.0,0
1/31/2021,507640.0,6474.0,0
2/1/2021,510380.0,6517.0,0
2/2/2021,513339.0,6575.0,0
2/3/2021,516398.0,6650.0,0
2/4/2021,521467.0,6732.0,0
2/5/2021,526177.0,6774.0,0
2/6/2021,529125.0,6778.0,0
2/7/2021,530825.0,6820.0,0
2/8/2021,534116.0,6898.0,0
2/9/2021,537319.0,6932.0,0
2/10/2021,541018.0,6958.0,0
2/11/2021,544209.0,6966.0,0
2/12/2021,547424.0,6996.0,0
2/13/2021,549999.0,7012.0,0
2/14/2021,551538.0,7016.0,0
2/15/2021,553308.0,7037.0,0
2/16/2021,555592.0,7075.0,0
2/17/2021,557896.0,7090.0,0
2/18/2021,559930.0,7098.0,0
2/19/2021,561812.0,7197.0,0
2/20/2021,564115.0,7331.0,0
2/21/2021,565270.0,7486.0,0
2/22/2021,567039.0,7658.0,0
2/23/2021,568946.0,7807.0,0
2/24/2021,570982.0,7963.0,0
2/25/2021,572639.0,8197.0,0
2/26/2021,574314.0,8382.0,0
2/27/2021,576050.0,8552.0,0
2/28/2021,577174.0,8783.0,0
3/1/2021,578559.0,8943.0,0
3/2/2021,580108.0,9326.0,0
3/3/2021,581408.0,9357.0,0
3/4/2021,583060.0,9428.0,0
3/5/2021,584537.0,9519.0,0
