Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,0.0,0.0,0
3/9/2020,0.0,0.0,0
3/10/2020,0.0,0.0,0
3/11/2020,0.0,0.0,0
3/12/2020,0.0,0.0,0
3/13/2020,0.0,0.0,0
3/14/2020,0.0,0.0,0
3/15/2020,1.0,0.0,0
3/16/2020,2.0,0.0,0
3/17/2020,2.0,0.0,0
3/18/2020,3.0,0.0,0
3/19/2020,3.0,0.0,0
3/20/2020,6.0,0.0,0
3/21/2020,6.0,0.0,0
3/22/2020,17.0,0.0,0
3/23/2020,17.0,0.0,0
3/24/2020,17.0,0.0,0
3/25/2020,17.0,0.0,0
3/26/2020,17.0,0.0,0
3/27/2020,19.0,0.0,0
3/28/2020,23.0,0.0,0
3/29/2020,23.0,0.0,0
3/30/2020,30.0,0.0,0
3/31/2020,30.0,0.0,0
4/1/2020,30.0,0.0,0
4/2/2020,37.0,0.0,0
4/3/2020,40.0,0.0,0
4/4/2020,42.0,0.0,0
4/5/2020,42.0,1.0,0
4/6/2020,43.0,1.0,0
4/7/2020,45.0,1.0,0
4/8/2020,45.0,1.0,0
4/9/2020,50.0,1.0,0
4/10/2020,50.0,1.0,0
4/11/2020,51.0,1.0,0
4/12/2020,51.0,1.0,0
4/13/2020,51.0,1.0,0
4/14/2020,51.0,1.0,0
4/15/2020,51.0,1.0,0
4/16/2020,53.0,1.0,0
4/17/2020,54.0,2.0,0
4/18/2020,54.0,3.0,0
4/19/2020,53.0,3.0,0
4/20/2020,54.0,3.0,0
4/21/2020,54.0,3.0,0
4/22/2020,54.0,3.0,0
4/23/2020,54.0,3.0,0
4/24/2020,54.0,3.0,0
4/25/2020,55.0,3.0,0
4/26/2020,57.0,4.0,0
4/27/2020,59.0,4.0,0
4/28/2020,59.0,4.0,0
4/29/2020,66.0,4.0,0
4/30/2020,66.0,4.0,0
5/1/2020,66.0,4.0,0
5/2/2020,66.0,4.0,0
5/3/2020,66.0,4.0,0
5/4/2020,66.0,4.0,0
5/5/2020,66.0,4.0,0
5/6/2020,66.0,4.0,0
5/7/2020,68.0,4.0,0
5/8/2020,68.0,4.0,0
5/9/2020,69.0,4.0,0
5/10/2020,69.0,4.0,0
5/11/2020,69.0,5.0,0
5/12/2020,69.0,6.0,0
5/13/2020,69.0,6.0,0
5/14/2020,69.0,6.0,0
5/15/2020,69.0,6.0,0
5/16/2020,69.0,6.0,0
5/17/2020,69.0,6.0,0
5/18/2020,69.0,6.0,0
5/19/2020,69.0,6.0,0
5/20/2020,69.0,6.0,0
5/21/2020,69.0,6.0,0
5/22/2020,69.0,6.0,0
5/23/2020,69.0,6.0,0
5/24/2020,69.0,6.0,0
5/25/2020,69.0,6.0,0
5/26/2020,69.0,6.0,0
5/27/2020,69.0,6.0,0
5/28/2020,69.0,6.0,0
5/29/2020,69.0,6.0,0
5/30/2020,69.0,6.0,0
5/31/2020,69.0,6.0,0
6/1/2020,70.0,6.0,0
6/2/2020,70.0,6.0,0
6/3/2020,70.0,6.0,0
6/4/2020,71.0,6.0,0
6/5/2020,71.0,6.0,0
6/6/2020,71.0,6.0,0
6/7/2020,71.0,6.0,0
6/8/2020,71.0,6.0,0
6/9/2020,71.0,6.0,0
6/10/2020,72.0,6.0,0
6/11/2020,72.0,6.0,0
6/12/2020,72.0,6.0,0
6/13/2020,72.0,6.0,0
6/14/2020,72.0,6.0,0
6/15/2020,73.0,6.0,0
6/16/2020,73.0,6.0,0
6/17/2020,73.0,6.0,0
6/18/2020,73.0,6.0,0
6/19/2020,74.0,6.0,0
6/20/2020,74.0,6.0,0
6/21/2020,76.0,6.0,0
6/22/2020,76.0,6.0,0
6/23/2020,76.0,6.0,0
6/24/2020,80.0,6.0,0
6/25/2020,81.0,6.0,0
6/26/2020,81.0,6.0,0
6/27/2020,81.0,6.0,0
6/28/2020,81.0,6.0,0
6/29/2020,84.0,6.0,0
6/30/2020,90.0,6.0,0
7/1/2020,92.0,6.0,0
7/2/2020,98.0,6.0,0
7/3/2020,111.0,6.0,0
7/4/2020,111.0,6.0,0
7/5/2020,112.0,6.0,0
7/6/2020,116.0,6.0,0
7/7/2020,122.0,6.0,0
7/8/2020,144.0,6.0,0
7/9/2020,153.0,6.0,0
7/10/2020,167.0,6.0,0
7/11/2020,181.0,6.0,0
7/12/2020,181.0,6.0,0
7/13/2020,206.0,6.0,0
7/14/2020,206.0,6.0,0
7/15/2020,249.0,6.0,0
7/16/2020,263.0,6.0,0
7/17/2020,283.0,6.0,0
7/18/2020,283.0,6.0,0
7/19/2020,297.0,6.0,0
7/20/2020,308.0,6.0,0
7/21/2020,308.0,6.0,0
7/22/2020,336.0,7.0,0
7/23/2020,342.0,7.0,0
7/24/2020,352.0,7.0,0
7/25/2020,361.0,7.0,0
7/26/2020,361.0,7.0,0
7/27/2020,375.0,7.0,0
7/28/2020,385.0,8.0,0
7/29/2020,398.0,8.0,0
7/30/2020,406.0,8.0,0
7/31/2020,421.0,8.0,0
8/1/2020,438.0,8.0,0
8/2/2020,438.0,8.0,0
8/3/2020,463.0,8.0,0
8/4/2020,481.0,8.0,0
8/5/2020,501.0,9.0,0
8/6/2020,522.0,9.0,0
8/7/2020,528.0,9.0,0
8/8/2020,528.0,9.0,0
8/9/2020,547.0,9.0,0
8/10/2020,576.0,9.0,0
8/11/2020,639.0,9.0,0
8/12/2020,639.0,9.0,0
8/13/2020,704.0,9.0,0
8/14/2020,734.0,9.0,0
8/15/2020,734.0,9.0,0
8/16/2020,741.0,9.0,0
8/17/2020,760.0,9.0,0
8/18/2020,796.0,9.0,0
8/19/2020,828.0,9.0,0
8/20/2020,869.0,10.0,0
8/21/2020,932.0,10.0,0
8/22/2020,932.0,10.0,0
8/23/2020,984.0,11.0,0
8/24/2020,998.0,12.0,0
8/25/2020,1030.0,14.0,0
8/26/2020,1052.0,14.0,0
8/27/2020,1075.0,14.0,0
8/28/2020,1118.0,14.0,0
8/29/2020,1129.0,14.0,0
8/30/2020,1134.0,14.0,0
8/31/2020,1139.0,15.0,0
9/1/2020,1143.0,15.0,0
9/2/2020,1144.0,15.0,0
9/3/2020,1150.0,16.0,0
9/4/2020,1167.0,16.0,0
9/5/2020,1181.0,17.0,0
9/6/2020,1190.0,17.0,0
9/7/2020,1191.0,18.0,0
9/8/2020,1191.0,18.0,0
9/9/2020,1197.0,18.0,0
9/10/2020,1201.0,18.0,0
9/11/2020,1211.0,19.0,0
9/12/2020,1220.0,19.0,0
9/13/2020,1221.0,19.0,0
9/14/2020,1221.0,19.0,0
9/15/2020,1232.0,19.0,0
9/16/2020,1238.0,19.0,0
9/17/2020,1242.0,19.0,0
9/18/2020,1242.0,19.0,0
9/19/2020,1257.0,19.0,0
9/20/2020,1269.0,19.0,0
9/21/2020,1276.0,19.0,0
9/22/2020,1278.0,19.0,0
9/23/2020,1290.0,19.0,0
9/24/2020,1290.0,19.0,0
9/25/2020,1296.0,19.0,0
9/26/2020,1317.0,19.0,0
9/27/2020,1317.0,19.0,0
9/28/2020,1318.0,20.0,0
9/29/2020,1318.0,20.0,0
9/30/2020,1318.0,20.0,0
10/1/2020,1326.0,20.0,0
10/2/2020,1326.0,20.0,0
10/3/2020,1327.0,20.0,0
10/4/2020,1327.0,20.0,0
10/5/2020,1322.0,20.0,0
10/6/2020,1321.0,20.0,0
10/7/2020,1322.0,20.0,0
10/8/2020,1324.0,20.0,0
10/9/2020,1324.0,20.0,0
10/10/2020,1325.0,20.0,0
10/11/2020,1325.0,20.0,0
10/12/2020,1325.0,20.0,0
10/13/2020,1328.0,20.0,0
10/14/2020,1328.0,20.0,0
10/15/2020,1329.0,21.0,0
10/16/2020,1329.0,21.0,0
10/17/2020,1335.0,21.0,0
10/18/2020,1335.0,21.0,0
10/19/2020,1335.0,21.0,0
10/20/2020,1337.0,21.0,0
10/21/2020,1337.0,21.0,0
10/22/2020,1343.0,21.0,0
10/23/2020,1346.0,21.0,0
10/24/2020,1348.0,21.0,0
10/25/2020,1348.0,21.0,0
10/26/2020,1348.0,21.0,0
10/27/2020,1351.0,21.0,0
10/28/2020,1353.0,21.0,0
10/29/2020,1353.0,21.0,0
10/30/2020,1362.0,21.0,0
10/31/2020,1378.0,21.0,0
11/1/2020,1378.0,21.0,0
11/2/2020,1385.0,22.0,0
11/3/2020,1388.0,22.0,0
11/4/2020,1388.0,23.0,0
11/5/2020,1390.0,23.0,0
11/6/2020,1390.0,23.0,0
11/7/2020,1405.0,23.0,0
11/8/2020,1405.0,23.0,0
11/9/2020,1410.0,23.0,0
11/10/2020,1413.0,23.0,0
11/11/2020,1413.0,23.0,0
11/12/2020,1426.0,23.0,0
11/13/2020,1434.0,23.0,0
11/14/2020,1434.0,23.0,0
11/15/2020,1434.0,23.0,0
11/16/2020,1450.0,23.0,0
11/17/2020,1463.0,23.0,0
11/18/2020,1469.0,23.0,0
11/19/2020,1469.0,23.0,0
11/20/2020,1482.0,23.0,0
11/21/2020,1504.0,23.0,0
11/22/2020,1504.0,23.0,0
11/23/2020,1507.0,23.0,0
11/24/2020,1521.0,23.0,0
11/25/2020,1536.0,23.0,0
11/26/2020,1538.0,23.0,0
11/27/2020,1538.0,23.0,0
11/28/2020,1538.0,23.0,0
11/29/2020,1544.0,23.0,0
11/30/2020,1550.0,23.0,0
12/1/2020,1550.0,23.0,0
12/2/2020,1589.0,23.0,0
12/3/2020,1613.0,23.0,0
12/4/2020,1633.0,23.0,0
12/5/2020,1649.0,23.0,0
12/6/2020,1649.0,23.0,0
12/7/2020,1680.0,23.0,0
12/8/2020,1698.0,23.0,0
12/9/2020,1733.0,23.0,0
12/10/2020,1733.0,23.0,0
12/11/2020,1791.0,23.0,0
12/12/2020,1807.0,23.0,0
12/13/2020,1807.0,23.0,0
12/14/2020,1828.0,23.0,0
12/15/2020,1850.0,23.0,0
12/16/2020,1878.0,23.0,0
12/17/2020,1900.0,23.0,0
12/18/2020,1910.0,23.0,0
12/19/2020,1921.0,23.0,0
12/20/2020,1921.0,23.0,0
12/21/2020,1921.0,23.0,0
12/22/2020,1934.0,23.0,0
12/23/2020,1967.0,23.0,0
12/24/2020,1979.0,23.0,0
12/25/2020,1979.0,23.0,0
12/26/2020,1988.0,23.0,0
12/27/2020,1988.0,23.0,0
12/28/2020,2004.0,23.0,0
12/29/2020,2010.0,23.0,0
12/30/2020,2031.0,23.0,0
12/31/2020,2036.0,23.0,0
1/1/2021,2036.0,23.0,0
1/2/2021,2041.0,23.0,0
1/3/2021,2042.0,23.0,0
1/4/2021,2055.0,24.0,0
1/5/2021,2080.0,24.0,0
1/6/2021,2106.0,24.0,0
1/7/2021,2130.0,24.0,0
1/8/2021,2143.0,24.0,0
1/9/2021,2143.0,24.0,0
1/10/2021,2153.0,24.0,0
1/11/2021,2166.0,24.0,0
1/12/2021,2166.0,24.0,0
1/13/2021,2218.0,24.0,0
1/14/2021,2218.0,24.0,0
1/15/2021,2218.0,24.0,0
1/16/2021,2252.0,24.0,0
1/17/2021,2260.0,24.0,0
1/18/2021,2260.0,24.0,0
1/19/2021,2283.0,24.0,0
1/20/2021,2305.0,24.0,0
1/21/2021,2321.0,24.0,0
1/22/2021,2335.0,24.0,0
1/23/2021,2341.0,24.0,0
1/24/2021,2341.0,24.0,0
1/25/2021,2350.0,24.0,0
1/26/2021,2373.0,24.0,0
1/27/2021,2373.0,24.0,0
1/28/2021,2384.0,24.0,0
1/29/2021,2407.0,24.0,0
1/30/2021,2421.0,24.0,0
1/31/2021,2421.0,24.0,0
2/1/2021,2421.0,24.0,0
2/2/2021,2430.0,24.0,0
2/3/2021,2440.0,24.0,0
2/4/2021,2440.0,24.0,0
2/5/2021,2449.0,24.0,0
2/6/2021,2466.0,24.0,0
2/7/2021,2466.0,24.0,0
2/8/2021,2473.0,24.0,0
2/9/2021,2485.0,24.0,0
2/10/2021,2505.0,25.0,0
2/11/2021,2524.0,25.0,0
2/12/2021,2524.0,25.0,0
2/13/2021,2524.0,25.0,0
2/14/2021,2542.0,25.0,0
2/15/2021,2542.0,25.0,0
2/16/2021,2542.0,25.0,0
2/17/2021,2558.0,25.0,0
2/18/2021,2558.0,25.0,0
2/19/2021,2575.0,25.0,0
2/20/2021,2579.0,25.0,0
2/21/2021,2579.0,25.0,0
2/22/2021,2589.0,25.0,0
2/23/2021,2589.0,25.0,0
2/24/2021,2623.0,25.0,0
2/25/2021,2636.0,25.0,0
2/26/2021,2636.0,25.0,0
2/27/2021,2646.0,25.0,0
2/28/2021,2646.0,25.0,0
3/1/2021,2646.0,25.0,0
3/2/2021,2695.0,25.0,0
3/3/2021,2695.0,25.0,0
3/4/2021,2714.0,25.0,0
3/5/2021,2724.0,25.0,0
3/6/2021,2735.0,25.0,0
