Dates,Infected,Deaths,Recovered
1/22/2020,0.0,0.0,0
1/23/2020,0.0,0.0,0
1/24/2020,0.0,0.0,0
1/25/2020,0.0,0.0,0
1/26/2020,0.0,0.0,0
1/27/2020,0.0,0.0,0
1/28/2020,0.0,0.0,0
1/29/2020,0.0,0.0,0
1/30/2020,0.0,0.0,0
1/31/2020,0.0,0.0,0
2/1/2020,0.0,0.0,0
2/2/2020,0.0,0.0,0
2/3/2020,0.0,0.0,0
2/4/2020,0.0,0.0,0
2/5/2020,0.0,0.0,0
2/6/2020,0.0,0.0,0
2/7/2020,0.0,0.0,0
2/8/2020,0.0,0.0,0
2/9/2020,0.0,0.0,0
2/10/2020,0.0,0.0,0
2/11/2020,0.0,0.0,0
2/12/2020,0.0,0.0,0
2/13/2020,0.0,0.0,0
2/14/2020,0.0,0.0,0
2/15/2020,0.0,0.0,0
2/16/2020,0.0,0.0,0
2/17/2020,0.0,0.0,0
2/18/2020,0.0,0.0,0
2/19/2020,0.0,0.0,0
2/20/2020,0.0,0.0,0
2/21/2020,0.0,0.0,0
2/22/2020,0.0,0.0,0
2/23/2020,0.0,0.0,0
2/24/2020,0.0,0.0,0
2/25/2020,0.0,0.0,0
2/26/2020,0.0,0.0,0
2/27/2020,0.0,0.0,0
2/28/2020,0.0,0.0,0
2/29/2020,0.0,0.0,0
3/1/2020,0.0,0.0,0
3/2/2020,0.0,0.0,0
3/3/2020,0.0,0.0,0
3/4/2020,0.0,0.0,0
3/5/2020,0.0,0.0,0
3/6/2020,0.0,0.0,0
3/7/2020,0.0,0.0,0
3/8/2020,1.0,0.0,0
3/9/2020,1.0,0.0,0
3/10/2020,1.0,0.0,0
3/11/2020,1.0,0.0,0
3/12/2020,2.0,0.0,0
3/13/2020,2.0,0.0,0
3/14/2020,4.0,0.0,0
3/15/2020,4.0,0.0,0
3/16/2020,8.0,0.0,0
3/17/2020,10.0,0.0,0
3/18/2020,12.0,0.0,0
3/19/2020,14.0,0.0,0
3/20/2020,20.0,2.0,0
3/21/2020,36.0,2.0,0
3/22/2020,44.0,3.0,0
3/23/2020,68.0,5.0,0
3/24/2020,86.0,7.0,0
3/25/2020,112.0,9.0,0
3/26/2020,143.0,9.0,0
3/27/2020,167.0,11.0,0
3/28/2020,192.0,12.0,0
3/29/2020,213.0,12.0,0
3/30/2020,234.0,13.0,0
3/31/2020,271.0,16.0,0
4/1/2020,298.0,16.0,0
4/2/2020,335.0,17.0,0
4/3/2020,364.0,18.0,0
4/4/2020,427.0,20.0,0
4/5/2020,477.0,21.0,0
4/6/2020,506.0,22.0,0
4/7/2020,538.0,22.0,0
4/8/2020,566.0,23.0,0
4/9/2020,584.0,24.0,0
4/10/2020,631.0,26.0,0
4/11/2020,661.0,28.0,0
4/12/2020,679.0,31.0,0
4/13/2020,697.0,32.0,0
4/14/2020,702.0,32.0,0
4/15/2020,711.0,34.0,0
4/16/2020,718.0,35.0,0
4/17/2020,729.0,35.0,0
4/18/2020,738.0,37.0,0
4/19/2020,749.0,37.0,0
4/20/2020,752.0,38.0,0
4/21/2020,754.0,39.0,0
4/22/2020,760.0,42.0,0
4/23/2020,763.0,45.0,0
4/24/2020,766.0,47.0,0
4/25/2020,774.0,47.0,0
4/26/2020,780.0,47.0,0
4/27/2020,783.0,47.0,0
4/28/2020,788.0,47.0,0
4/29/2020,788.0,48.0,0
4/30/2020,792.0,48.0,0
5/1/2020,805.0,50.0,0
5/2/2020,809.0,51.0,0
5/3/2020,820.0,51.0,0
5/4/2020,825.0,51.0,0
5/5/2020,830.0,51.0,0
5/6/2020,833.0,52.0,0
5/7/2020,837.0,52.0,0
5/8/2020,839.0,52.0,0
5/9/2020,841.0,52.0,0
5/10/2020,848.0,52.0,0
5/11/2020,848.0,52.0,0
5/12/2020,849.0,52.0,0
5/13/2020,851.0,52.0,0
5/14/2020,852.0,52.0,0
5/15/2020,853.0,52.0,0
5/16/2020,854.0,53.0,0
5/17/2020,860.0,53.0,0
5/18/2020,860.0,53.0,0
5/19/2020,864.0,53.0,0
5/20/2020,865.0,53.0,0
5/21/2020,870.0,53.0,0
5/22/2020,872.0,53.0,0
5/23/2020,874.0,53.0,0
5/24/2020,876.0,53.0,0
5/25/2020,882.0,54.0,0
5/26/2020,887.0,54.0,0
5/27/2020,889.0,54.0,0
5/28/2020,893.0,54.0,0
5/29/2020,894.0,54.0,0
5/30/2020,896.0,54.0,0
5/31/2020,900.0,54.0,0
6/1/2020,903.0,54.0,0
6/2/2020,903.0,54.0,0
6/3/2020,905.0,54.0,0
6/4/2020,941.0,54.0,0
6/5/2020,942.0,54.0,0
6/6/2020,959.0,54.0,0
6/7/2020,975.0,54.0,0
6/8/2020,987.0,54.0,0
6/9/2020,995.0,54.0,0
6/10/2020,1005.0,54.0,0
6/11/2020,1021.0,54.0,0
6/12/2020,1030.0,54.0,0
6/13/2020,1034.0,54.0,0
6/14/2020,1036.0,54.0,0
6/15/2020,1037.0,54.0,0
6/16/2020,1040.0,54.0,0
6/17/2020,1040.0,55.0,0
6/18/2020,1045.0,55.0,0
6/19/2020,1053.0,55.0,0
6/20/2020,1056.0,55.0,0
6/21/2020,1068.0,55.0,0
6/22/2020,1072.0,55.0,0
6/23/2020,1073.0,55.0,0
6/24/2020,1082.0,55.0,0
6/25/2020,1089.0,55.0,0
6/26/2020,1097.0,55.0,0
6/27/2020,1099.0,55.0,0
6/28/2020,1100.0,55.0,0
6/29/2020,1103.0,55.0,0
6/30/2020,1103.0,55.0,0
7/1/2020,1105.0,55.0,0
7/2/2020,1120.0,55.0,0
7/3/2020,1129.0,55.0,0
7/4/2020,1131.0,55.0,0
7/5/2020,1142.0,55.0,0
7/6/2020,1144.0,55.0,0
7/7/2020,1146.0,55.0,0
7/8/2020,1148.0,55.0,0
7/9/2020,1162.0,55.0,0
7/10/2020,1166.0,55.0,0
7/11/2020,1171.0,55.0,0
7/12/2020,1183.0,56.0,0
7/13/2020,1189.0,56.0,0
7/14/2020,1193.0,56.0,0
7/15/2020,1205.0,56.0,0
7/16/2020,1214.0,56.0,0
7/17/2020,1223.0,56.0,0
7/18/2020,1226.0,56.0,0
7/19/2020,1233.0,56.0,0
7/20/2020,1242.0,56.0,0
7/21/2020,1246.0,56.0,0
7/22/2020,1248.0,56.0,0
7/23/2020,1259.0,56.0,0
7/24/2020,1263.0,56.0,0
7/25/2020,1276.0,56.0,0
7/26/2020,1280.0,56.0,0
7/27/2020,1282.0,56.0,0
7/28/2020,1285.0,56.0,0
7/29/2020,1286.0,57.0,0
7/30/2020,1287.0,57.0,0
7/31/2020,1295.0,57.0,0
8/1/2020,1299.0,57.0,0
8/2/2020,1303.0,57.0,0
8/3/2020,1304.0,57.0,0
8/4/2020,1306.0,57.0,0
8/5/2020,1311.0,57.0,0
8/6/2020,1321.0,57.0,0
8/7/2020,1322.0,57.0,0
8/8/2020,1328.0,57.0,0
8/9/2020,1332.0,57.0,0
8/10/2020,1335.0,57.0,0
8/11/2020,1345.0,57.0,0
8/12/2020,1350.0,57.0,0
8/13/2020,1355.0,57.0,0
8/14/2020,1371.0,57.0,0
8/15/2020,1378.0,57.0,0
8/16/2020,1383.0,57.0,0
8/17/2020,1394.0,57.0,0
8/18/2020,1397.0,57.0,0
8/19/2020,1399.0,57.0,0
8/20/2020,1403.0,57.0,0
8/21/2020,1407.0,57.0,0
8/22/2020,1417.0,57.0,0
8/23/2020,1422.0,57.0,0
8/24/2020,1430.0,57.0,0
8/25/2020,1436.0,57.0,0
8/26/2020,1439.0,57.0,0
8/27/2020,1450.0,57.0,0
8/28/2020,1452.0,57.0,0
8/29/2020,1464.0,57.0,0
8/30/2020,1475.0,57.0,0
8/31/2020,1480.0,57.0,0
9/1/2020,1486.0,57.0,0
9/2/2020,1488.0,57.0,0
9/3/2020,1493.0,57.0,0
9/4/2020,1503.0,57.0,0
9/5/2020,1507.0,57.0,0
9/6/2020,1507.0,57.0,0
9/7/2020,1511.0,57.0,0
9/8/2020,1513.0,57.0,0
9/9/2020,1518.0,57.0,0
9/10/2020,1521.0,57.0,0
9/11/2020,1529.0,57.0,0
9/12/2020,1538.0,57.0,0
9/13/2020,1545.0,57.0,0
9/14/2020,1556.0,57.0,0
9/15/2020,1563.0,57.0,0
9/16/2020,1565.0,57.0,0
9/17/2020,1567.0,57.0,0
9/18/2020,1569.0,57.0,0
9/19/2020,1572.0,57.0,0
9/20/2020,1577.0,57.0,0
9/21/2020,1580.0,57.0,0
9/22/2020,1582.0,57.0,0
9/23/2020,1583.0,57.0,0
9/24/2020,1585.0,57.0,0
9/25/2020,1592.0,57.0,0
9/26/2020,1597.0,57.0,0
9/27/2020,1599.0,57.0,0
9/28/2020,1601.0,57.0,0
9/29/2020,1604.0,57.0,0
9/30/2020,1607.0,57.0,0
10/1/2020,1610.0,57.0,0
10/2/2020,1619.0,57.0,0
10/3/2020,1627.0,57.0,0
10/4/2020,1633.0,57.0,0
10/5/2020,1665.0,57.0,0
10/6/2020,1669.0,57.0,0
10/7/2020,1673.0,57.0,0
10/8/2020,1683.0,57.0,0
10/9/2020,1692.0,57.0,0
10/10/2020,1702.0,57.0,0
10/11/2020,1711.0,57.0,0
10/12/2020,1719.0,57.0,0
10/13/2020,1730.0,57.0,0
10/14/2020,1733.0,57.0,0
10/15/2020,1749.0,57.0,0
10/16/2020,1761.0,57.0,0
10/17/2020,1770.0,57.0,0
10/18/2020,1780.0,57.0,0
10/19/2020,1788.0,57.0,0
10/20/2020,1799.0,57.0,0
10/21/2020,1819.0,57.0,0
10/22/2020,1835.0,57.0,0
10/23/2020,1864.0,57.0,0
10/24/2020,1889.0,57.0,0
10/25/2020,1918.0,57.0,0
10/26/2020,1927.0,57.0,0
10/27/2020,1956.0,57.0,0
10/28/2020,1966.0,57.0,0
10/29/2020,1981.0,57.0,0
10/30/2020,2000.0,57.0,0
10/31/2020,2021.0,57.0,0
11/1/2020,2038.0,57.0,0
11/2/2020,2061.0,57.0,0
11/3/2020,2082.0,57.0,0
11/4/2020,2109.0,57.0,0
11/5/2020,2147.0,57.0,0
11/6/2020,2173.0,58.0,0
11/7/2020,2199.0,58.0,0
11/8/2020,2252.0,58.0,0
11/9/2020,2277.0,58.0,0
11/10/2020,2327.0,58.0,0
11/11/2020,2415.0,58.0,0
11/12/2020,2537.0,58.0,0
11/13/2020,2635.0,58.0,0
11/14/2020,2732.0,58.0,0
11/15/2020,2776.0,58.0,0
11/16/2020,2897.0,58.0,0
11/17/2020,3000.0,59.0,0
11/18/2020,3053.0,60.0,0
11/19/2020,3198.0,62.0,0
11/20/2020,3335.0,62.0,0
11/21/2020,3423.0,63.0,0
11/22/2020,3510.0,64.0,0
11/23/2020,3574.0,66.0,0
11/24/2020,3623.0,66.0,0
11/25/2020,3707.0,68.0,0
11/26/2020,3776.0,68.0,0
11/27/2020,3867.0,68.0,0
11/28/2020,3905.0,68.0,0
11/29/2020,3970.0,71.0,0
11/30/2020,4034.0,72.0,0
12/1/2020,4102.0,76.0,0
12/2/2020,4199.0,77.0,0
12/3/2020,4424.0,79.0,0
12/4/2020,4494.0,81.0,0
12/5/2020,4616.0,86.0,0
12/6/2020,4726.0,89.0,0
12/7/2020,4787.0,91.0,0
12/8/2020,4884.0,92.0,0
12/9/2020,4976.0,94.0,0
12/10/2020,5099.0,96.0,0
12/11/2020,5215.0,98.0,0
12/12/2020,5297.0,98.0,0
12/13/2020,5404.0,102.0,0
12/14/2020,5498.0,103.0,0
12/15/2020,5567.0,109.0,0
12/16/2020,5641.0,111.0,0
12/17/2020,5782.0,112.0,0
12/18/2020,5872.0,112.0,0
12/19/2020,5961.0,116.0,0
12/20/2020,6049.0,118.0,0
12/21/2020,6145.0,119.0,0
12/22/2020,6212.0,125.0,0
12/23/2020,6276.0,128.0,0
12/24/2020,6372.0,129.0,0
12/25/2020,6466.0,131.0,0
12/26/2020,6543.0,136.0,0
12/27/2020,6607.0,137.0,0
12/28/2020,6690.0,139.0,0
12/29/2020,6765.0,142.0,0
12/30/2020,6828.0,143.0,0
12/31/2020,6966.0,145.0,0
1/1/2021,7129.0,147.0,0
1/2/2021,7209.0,149.0,0
1/3/2021,7296.0,149.0,0
1/4/2021,7374.0,152.0,0
1/5/2021,7521.0,152.0,0
1/6/2021,7612.0,154.0,0
1/7/2021,7834.0,155.0,0
1/8/2021,8040.0,155.0,0
1/9/2021,8203.0,155.0,0
1/10/2021,8364.0,157.0,0
1/11/2021,8471.0,160.0,0
1/12/2021,8632.0,161.0,0
1/13/2021,8736.0,162.0,0
1/14/2021,8922.0,164.0,0
1/15/2021,9058.0,164.0,0
1/16/2021,9226.0,166.0,0
1/17/2021,9399.0,166.0,0
1/18/2021,9518.0,166.0,0
1/19/2021,9632.0,168.0,0
1/20/2021,9744.0,171.0,0
1/21/2021,9843.0,172.0,0
1/22/2021,10011.0,172.0,0
1/23/2021,10157.0,172.0,0
1/24/2021,10277.0,173.0,0
1/25/2021,10388.0,173.0,0
1/26/2021,10498.0,174.0,0
1/27/2021,10566.0,174.0,0
1/28/2021,10685.0,174.0,0
1/29/2021,10822.0,176.0,0
1/30/2021,10958.0,177.0,0
1/31/2021,11075.0,179.0,0
2/1/2021,11180.0,181.0,0
2/2/2021,11280.0,183.0,0
2/3/2021,11396.0,183.0,0
2/4/2021,11556.0,183.0,0
2/5/2021,11658.0,184.0,0
2/6/2021,11805.0,184.0,0
2/7/2021,11935.0,185.0,0
2/8/2021,12072.0,187.0,0
2/9/2021,12124.0,188.0,0
2/10/2021,12187.0,189.0,0
2/11/2021,12302.0,189.0,0
2/12/2021,12460.0,191.0,0
2/13/2021,12589.0,191.0,0
2/14/2021,12706.0,191.0,0
2/15/2021,12833.0,192.0,0
2/16/2021,12893.0,192.0,0
2/17/2021,12968.0,192.0,0
2/18/2021,13087.0,194.0,0
2/19/2021,13173.0,196.0,0
2/20/2021,13279.0,198.0,0
2/21/2021,13414.0,198.0,0
2/22/2021,13506.0,200.0,0
2/23/2021,13587.0,201.0,0
2/24/2021,13664.0,202.0,0
2/25/2021,13725.0,202.0,0
2/26/2021,13830.0,202.0,0
2/27/2021,13954.0,204.0,0
2/28/2021,14044.0,204.0,0
3/1/2021,14140.0,204.0,0
3/2/2021,14209.0,204.0,0
