Dates,Infected,Recovered,Deaths
1/22/2020,0.0,0.0,0.0
1/23/2020,0.0,0.0,0.0
1/24/2020,0.0,0.0,0.0
1/25/2020,0.0,0.0,0.0
1/26/2020,0.0,0.0,0.0
1/27/2020,0.0,0.0,0.0
1/28/2020,0.0,0.0,0.0
1/29/2020,0.0,0.0,0.0
1/30/2020,0.0,0.0,0.0
1/31/2020,0.0,0.0,0.0
2/1/2020,0.0,0.0,0.0
2/2/2020,0.0,0.0,0.0
2/3/2020,0.0,0.0,0.0
2/4/2020,0.0,0.0,0.0
2/5/2020,0.0,0.0,0.0
2/6/2020,0.0,0.0,0.0
2/7/2020,0.0,0.0,0.0
2/8/2020,0.0,0.0,0.0
2/9/2020,0.0,0.0,0.0
2/10/2020,0.0,0.0,0.0
2/11/2020,0.0,0.0,0.0
2/12/2020,0.0,0.0,0.0
2/13/2020,0.0,0.0,0.0
2/14/2020,0.0,0.0,0.0
2/15/2020,0.0,0.0,0.0
2/16/2020,0.0,0.0,0.0
2/17/2020,0.0,0.0,0.0
2/18/2020,0.0,0.0,0.0
2/19/2020,0.0,0.0,0.0
2/20/2020,0.0,0.0,0.0
2/21/2020,0.0,0.0,0.0
2/22/2020,0.0,0.0,0.0
2/23/2020,0.0,0.0,0.0
2/24/2020,0.0,0.0,0.0
2/25/2020,0.0,0.0,0.0
2/26/2020,0.0,0.0,0.0
2/27/2020,0.0,0.0,0.0
2/28/2020,0.0,0.0,0.0
2/29/2020,0.0,0.0,0.0
3/1/2020,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0
3/5/2020,0.0,0.0,0.0
3/6/2020,0.0,0.0,0.0
3/7/2020,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0
3/11/2020,0.0,0.0,0.0
3/12/2020,0.0,0.0,0.0
3/13/2020,0.0,0.0,0.0
3/14/2020,0.0,0.0,0.0
3/15/2020,0.0,0.0,0.0
3/16/2020,0.0,0.0,0.0
3/17/2020,1.0,0.0,0.0
3/18/2020,2.0,0.0,0.0
3/19/2020,5.0,0.0,0.0
3/20/2020,8.0,0.0,0.0
3/21/2020,12.0,0.0,0.0
3/22/2020,16.0,0.0,0.0
3/23/2020,20.0,0.0,0.0
3/24/2020,39.0,0.0,0.0
3/25/2020,51.0,0.0,0.0
3/26/2020,76.0,0.0,0.0
3/27/2020,96.0,0.0,0.0
3/28/2020,113.0,0.0,0.0
3/29/2020,124.0,0.0,1.0
3/30/2020,145.0,0.0,1.0
3/31/2020,162.0,0.0,1.0
4/1/2020,191.0,0.0,2.0
4/2/2020,217.0,0.0,2.0
4/3/2020,237.0,0.0,2.0
4/4/2020,282.0,0.0,2.0
4/5/2020,324.0,0.0,3.0
4/6/2020,345.0,0.0,4.0
4/7/2020,412.0,0.0,4.0
4/8/2020,412.0,0.0,4.0
4/9/2020,523.0,0.0,5.0
4/10/2020,574.0,0.0,5.0
4/11/2020,591.0,0.0,6.0
4/12/2020,611.0,0.0,8.0
4/13/2020,626.0,0.0,9.0
4/14/2020,694.0,0.0,10.0
4/15/2020,718.0,0.0,12.0
4/16/2020,739.0,0.0,13.0
4/17/2020,775.0,0.0,16.0
4/18/2020,825.0,0.0,18.0
4/19/2020,863.0,0.0,18.0
4/20/2020,902.0,0.0,24.0
4/21/2020,914.0,0.0,26.0
4/22/2020,963.0,0.0,29.0
4/23/2020,981.0,0.0,31.0
4/24/2020,1010.0,0.0,32.0
4/25/2020,1025.0,0.0,33.0
4/26/2020,1053.0,0.0,34.0
4/27/2020,1077.0,0.0,37.0
4/28/2020,1095.0,0.0,38.0
4/29/2020,1109.0,0.0,40.0
4/30/2020,1125.0,0.0,44.0
5/1/2020,1151.0,0.0,47.0
5/2/2020,1184.0,0.0,50.0
5/3/2020,1195.0,0.0,50.0
5/4/2020,1224.0,0.0,50.0
5/5/2020,1242.0,0.0,50.0
5/6/2020,1276.0,0.0,51.0
5/7/2020,1297.0,0.0,51.0
5/8/2020,1323.0,0.0,52.0
5/9/2020,1347.0,0.0,53.0
5/10/2020,1362.0,0.0,54.0
5/11/2020,1369.0,0.0,57.0
5/12/2020,1378.0,0.0,58.0
5/13/2020,1404.0,0.0,59.0
5/14/2020,1434.0,0.0,62.0
5/15/2020,1447.0,0.0,64.0
5/16/2020,1470.0,0.0,65.0
5/17/2020,1490.0,0.0,67.0
5/18/2020,1502.0,0.0,68.0
5/19/2020,1514.0,0.0,68.0
5/20/2020,1567.0,0.0,69.0
5/21/2020,1603.0,0.0,71.0
5/22/2020,1705.0,0.0,72.0
5/23/2020,1729.0,0.0,72.0
5/24/2020,1771.0,0.0,72.0
5/25/2020,1782.0,0.0,73.0
5/26/2020,1854.0,0.0,74.0
5/27/2020,1899.0,0.0,74.0
5/28/2020,1935.0,0.0,74.0
5/29/2020,1972.0,0.0,74.0
5/30/2020,1989.0,0.0,75.0
5/31/2020,2010.0,0.0,75.0
6/1/2020,2028.0,0.0,76.0
6/2/2020,2056.0,0.0,78.0
6/3/2020,2077.0,0.0,78.0
6/4/2020,2102.0,0.0,79.0
6/5/2020,2119.0,0.0,84.0
6/6/2020,2136.0,0.0,84.0
6/7/2020,2144.0,0.0,84.0
6/8/2020,2161.0,0.0,84.0
6/9/2020,2179.0,0.0,84.0
6/10/2020,2193.0,0.0,85.0
6/11/2020,2217.0,0.0,86.0
6/12/2020,2249.0,0.0,88.0
6/13/2020,2274.0,0.0,88.0
6/14/2020,2290.0,0.0,88.0
6/15/2020,2322.0,0.0,88.0
6/16/2020,2341.0,0.0,88.0
6/17/2020,2376.0,0.0,88.0
6/18/2020,2418.0,0.0,88.0
6/19/2020,2468.0,0.0,88.0
6/20/2020,2500.0,0.0,88.0
6/21/2020,2543.0,0.0,89.0
6/22/2020,2571.0,0.0,90.0
6/23/2020,2593.0,0.0,92.0
6/24/2020,2629.0,0.0,92.0
6/25/2020,2694.0,0.0,92.0
6/26/2020,2730.0,0.0,92.0
6/27/2020,2782.0,0.0,93.0
6/28/2020,2832.0,0.0,93.0
6/29/2020,2870.0,0.0,93.0
6/30/2020,2905.0,0.0,93.0
7/1/2020,2979.0,0.0,93.0
7/2/2020,3053.0,0.0,93.0
7/3/2020,3126.0,0.0,93.0
7/4/2020,3205.0,0.0,94.0
7/5/2020,3335.0,0.0,95.0
7/6/2020,3442.0,0.0,95.0
7/7/2020,3505.0,0.0,95.0
7/8/2020,3707.0,0.0,95.0
7/9/2020,3826.0,0.0,95.0
7/10/2020,3983.0,0.0,95.0
7/11/2020,4146.0,0.0,96.0
7/12/2020,4244.0,0.0,96.0
7/13/2020,4313.0,0.0,97.0
7/14/2020,4407.0,0.0,97.0
7/15/2020,4557.0,0.0,98.0
7/16/2020,4657.0,0.0,99.0
7/17/2020,4783.0,0.0,100.0
7/18/2020,4922.0,0.0,100.0
7/19/2020,5042.0,0.0,100.0
7/20/2020,5142.0,0.0,100.0
7/21/2020,5199.0,0.0,101.0
7/22/2020,5461.0,0.0,102.0
7/23/2020,5550.0,0.0,103.0
7/24/2020,5695.0,0.0,103.0
7/25/2020,5821.0,0.0,103.0
7/26/2020,5960.0,0.0,103.0
7/27/2020,6054.0,0.0,106.0
7/28/2020,6173.0,0.0,111.0
7/29/2020,6326.0,0.0,112.0
7/30/2020,6422.0,0.0,115.0
7/31/2020,6642.0,0.0,116.0
8/1/2020,6735.0,0.0,116.0
8/2/2020,6854.0,0.0,117.0
8/3/2020,6973.0,0.0,117.0
8/4/2020,7051.0,0.0,124.0
8/5/2020,7159.0,0.0,124.0
8/6/2020,7277.0,0.0,124.0
8/7/2020,7433.0,0.0,127.0
8/8/2020,7563.0,0.0,131.0
8/9/2020,7694.0,0.0,139.0
8/10/2020,7754.0,0.0,141.0
8/11/2020,7875.0,0.0,147.0
8/12/2020,8008.0,0.0,153.0
8/13/2020,8151.0,0.0,153.0
8/14/2020,8274.0,0.0,157.0
8/15/2020,8457.0,0.0,160.0
8/16/2020,8564.0,0.0,160.0
8/17/2020,8632.0,0.0,160.0
8/18/2020,8731.0,0.0,164.0
8/19/2020,8801.0,0.0,166.0
8/20/2020,8982.0,0.0,166.0
8/21/2020,9066.0,0.0,170.0
8/22/2020,9185.0,0.0,176.0
8/23/2020,9272.0,0.0,178.0
8/24/2020,9312.0,0.0,179.0
8/25/2020,9395.0,0.0,187.0
8/26/2020,9540.0,0.0,190.0
8/27/2020,9633.0,0.0,199.0
8/28/2020,9824.0,0.0,202.0
8/29/2020,9967.0,0.0,212.0
8/30/2020,10110.0,0.0,213.0
8/31/2020,10250.0,0.0,214.0
9/1/2020,10507.0,0.0,222.0
9/2/2020,10642.0,0.0,230.0
9/3/2020,10845.0,0.0,237.0
9/4/2020,11037.0,0.0,243.0
9/5/2020,11289.0,0.0,243.0
9/6/2020,11412.0,0.0,246.0
9/7/2020,11575.0,0.0,247.0
9/8/2020,11661.0,0.0,250.0
9/9/2020,11808.0,0.0,254.0
9/10/2020,12017.0,0.0,257.0
9/11/2020,12174.0,0.0,263.0
9/12/2020,12521.0,0.0,265.0
9/13/2020,12699.0,0.0,266.0
9/14/2020,12820.0,0.0,275.0
9/15/2020,12976.0,0.0,280.0
9/16/2020,13196.0,0.0,290.0
9/17/2020,13430.0,0.0,294.0
9/18/2020,13683.0,0.0,297.0
9/19/2020,13874.0,0.0,308.0
9/20/2020,14054.0,0.0,310.0
9/21/2020,14171.0,0.0,312.0
9/22/2020,14384.0,0.0,317.0
9/23/2020,14504.0,0.0,319.0
9/24/2020,14706.0,0.0,325.0
9/25/2020,14953.0,0.0,330.0
9/26/2020,15158.0,0.0,332.0
9/27/2020,15348.0,0.0,334.0
9/28/2020,15512.0,0.0,337.0
9/29/2020,15692.0,0.0,345.0
9/30/2020,15848.0,0.0,350.0
10/1/2020,16024.0,0.0,354.0
10/2/2020,16307.0,0.0,355.0
10/3/2020,16468.0,0.0,357.0
10/4/2020,16628.0,0.0,358.0
10/5/2020,16742.0,0.0,361.0
10/6/2020,16936.0,0.0,364.0
10/7/2020,17139.0,0.0,369.0
10/8/2020,17325.0,0.0,370.0
10/9/2020,17707.0,0.0,376.0
10/10/2020,17913.0,0.0,381.0
10/11/2020,18128.0,0.0,382.0
10/12/2020,18281.0,0.0,385.0
10/13/2020,18555.0,0.0,387.0
10/14/2020,18818.0,0.0,391.0
10/15/2020,19082.0,0.0,393.0
10/16/2020,19580.0,0.0,396.0
10/17/2020,19801.0,0.0,399.0
10/18/2020,20081.0,0.0,399.0
10/19/2020,20293.0,0.0,399.0
10/20/2020,20519.0,0.0,408.0
10/21/2020,20734.0,0.0,413.0
10/22/2020,21057.0,0.0,418.0
10/23/2020,21392.0,0.0,422.0
10/24/2020,21712.0,0.0,422.0
10/25/2020,21906.0,0.0,423.0
10/26/2020,22223.0,0.0,424.0
10/27/2020,22706.0,0.0,432.0
10/28/2020,23064.0,0.0,436.0
10/29/2020,23466.0,0.0,443.0
10/30/2020,23990.0,0.0,451.0
10/31/2020,24460.0,0.0,457.0
11/1/2020,24883.0,0.0,457.0
11/2/2020,25235.0,0.0,458.0
11/3/2020,25593.0,0.0,469.0
11/4/2020,25987.0,0.0,472.0
11/5/2020,26547.0,0.0,480.0
11/6/2020,27087.0,0.0,487.0
11/7/2020,27578.0,0.0,502.0
11/8/2020,28404.0,0.0,502.0
11/9/2020,28805.0,0.0,530.0
11/10/2020,29316.0,0.0,546.0
11/11/2020,30201.0,0.0,553.0
11/12/2020,30897.0,0.0,555.0
11/13/2020,31639.0,0.0,565.0
11/14/2020,32792.0,0.0,574.0
11/15/2020,33679.0,0.0,582.0
11/16/2020,34460.0,0.0,585.0
11/17/2020,35324.0,0.0,598.0
11/18/2020,36277.0,0.0,612.0
11/19/2020,37399.0,0.0,623.0
11/20/2020,38480.0,0.0,639.0
11/21/2020,39598.0,0.0,658.0
11/22/2020,40478.0,0.0,662.0
11/23/2020,41114.0,0.0,667.0
11/24/2020,42083.0,0.0,682.0
11/25/2020,43050.0,0.0,695.0
11/26/2020,44180.0,0.0,712.0
11/27/2020,45046.0,0.0,712.0
11/28/2020,45845.0,0.0,718.0
11/29/2020,46997.0,0.0,729.0
11/30/2020,47842.0,0.0,735.0
12/1/2020,48818.0,0.0,758.0
12/2/2020,49905.0,0.0,778.0
12/3/2020,51025.0,0.0,789.0
12/4/2020,52172.0,0.0,799.0
12/5/2020,53572.0,0.0,829.0
12/6/2020,54997.0,0.0,838.0
12/7/2020,56128.0,0.0,841.0
12/8/2020,57060.0,0.0,870.0
12/9/2020,58462.0,0.0,901.0
12/10/2020,59695.0,0.0,921.0
12/11/2020,60637.0,0.0,938.0
12/12/2020,62151.0,0.0,966.0
12/13/2020,63217.0,0.0,968.0
12/14/2020,64394.0,0.0,978.0
12/15/2020,65708.0,0.0,1012.0
12/16/2020,66849.0,0.0,1039.0
12/17/2020,68485.0,0.0,1071.0
12/18/2020,69751.0,0.0,1091.0
12/19/2020,71215.0,0.0,1122.0
12/20/2020,72342.0,0.0,1128.0
12/21/2020,73337.0,0.0,1129.0
12/22/2020,74737.0,0.0,1171.0
12/23/2020,75936.0,0.0,1194.0
12/24/2020,77239.0,0.0,1228.0
12/25/2020,78836.0,0.0,1247.0
12/26/2020,80177.0,0.0,1253.0
12/27/2020,80710.0,0.0,1254.0
12/28/2020,81436.0,0.0,1263.0
12/29/2020,82773.0,0.0,1284.0
12/30/2020,84225.0,0.0,1318.0
12/31/2020,85334.0,0.0,1338.0
1/1/2021,87820.0,0.0,1361.0
1/2/2021,89327.0,0.0,1373.0
1/3/2021,91058.0,0.0,1376.0
1/4/2021,91886.0,0.0,1396.0
1/5/2021,93162.0,0.0,1442.0
1/6/2021,94678.0,0.0,1481.0
1/7/2021,96002.0,0.0,1518.0
1/8/2021,97898.0,0.0,1554.0
1/9/2021,99778.0,0.0,1570.0
1/10/2021,101212.0,0.0,1582.0
1/11/2021,102282.0,0.0,1594.0
1/12/2021,103203.0,0.0,1634.0
1/13/2021,104392.0,0.0,1671.0
1/14/2021,105219.0,0.0,1702.0
1/15/2021,106649.0,0.0,1733.0
1/16/2021,108124.0,0.0,1761.0
1/17/2021,108821.0,0.0,1776.0
1/18/2021,109809.0,0.0,1784.0
1/19/2021,110820.0,0.0,1815.0
1/20/2021,111677.0,0.0,1836.0
1/21/2021,112617.0,0.0,1849.0
1/22/2021,113615.0,0.0,1856.0
1/23/2021,114752.0,0.0,1872.0
1/24/2021,115307.0,0.0,1895.0
1/25/2021,115839.0,0.0,1899.0
1/26/2021,116978.0,0.0,1928.0
1/27/2021,117775.0,0.0,1953.0
1/28/2021,118562.0,0.0,1983.0
1/29/2021,119467.0,0.0,2006.0
1/30/2021,120340.0,0.0,2015.0
1/31/2021,121001.0,0.0,2024.0
2/1/2021,121425.0,0.0,2028.0
2/2/2021,121935.0,0.0,2031.0
2/3/2021,122470.0,0.0,2058.0
2/4/2021,123044.0,0.0,2080.0
2/5/2021,123641.0,0.0,2100.0
2/6/2021,124190.0,0.0,2119.0
2/7/2021,124708.0,0.0,2129.0
2/8/2021,125106.0,0.0,2131.0
2/9/2021,125522.0,0.0,2150.0
2/10/2021,125951.0,0.0,2175.0
2/11/2021,126420.0,0.0,2187.0
2/12/2021,126887.0,0.0,2199.0
2/13/2021,127282.0,0.0,2201.0
2/14/2021,127588.0,0.0,2210.0
2/15/2021,127889.0,0.0,2212.0
2/16/2021,128117.0,0.0,2216.0
2/17/2021,128405.0,0.0,2225.0
2/18/2021,128760.0,0.0,2236.0
2/19/2021,129055.0,0.0,2248.0
2/20/2021,129364.0,0.0,2254.0
2/21/2021,129616.0,0.0,2261.0
2/22/2021,129854.0,0.0,2263.0
2/23/2021,130139.0,0.0,2274.0
2/24/2021,130382.0,0.0,2285.0
2/25/2021,130813.0,0.0,2290.0
2/26/2021,131234.0,0.0,2291.0
2/27/2021,131580.0,0.0,2297.0
2/28/2021,131855.0,0.0,2300.0
3/1/2021,132048.0,0.0,2300.0
3/2/2021,132184.0,0.0,2301.0
3/3/2021,132416.0,0.0,2309.0
3/4/2021,132677.0,0.0,2309.0
3/5/2021,132964.0,0.0,2318.0
3/6/2021,133290.0,0.0,2323.0
3/7/2021,133445.0,0.0,2325.0
3/8/2021,133627.0,0.0,2325.0
3/9/2021,133856.0,0.0,2326.0
3/10/2021,134158.0,0.0,2330.0
3/11/2021,134496.0,0.0,2338.0
3/12/2021,134842.0,0.0,2511.0
3/13/2021,135149.0,0.0,2519.0
3/14/2021,135468.0,0.0,2530.0
3/15/2021,135678.0,0.0,2531.0
3/16/2021,136019.0,0.0,2546.0
3/17/2021,136334.0,0.0,2565.0
3/18/2021,136716.0,0.0,2570.0
3/19/2021,137092.0,0.0,2600.0
3/20/2021,137478.0,0.0,2600.0
3/21/2021,137826.0,0.0,2606.0
3/22/2021,138102.0,0.0,2612.0
3/23/2021,138429.0,0.0,2613.0
3/24/2021,138818.0,0.0,2619.0
3/25/2021,139251.0,0.0,2624.0
3/26/2021,139750.0,0.0,2628.0
3/27/2021,140316.0,0.0,2631.0
3/28/2021,140613.0,0.0,2634.0
3/29/2021,140991.0,0.0,2638.0
3/30/2021,141322.0,0.0,2640.0
3/31/2021,141738.0,0.0,2676.0
4/1/2021,142233.0,0.0,2683.0
4/2/2021,142653.0,0.0,2688.0
4/3/2021,143106.0,0.0,2693.0
4/4/2021,143456.0,0.0,2695.0
4/5/2021,143733.0,0.0,2696.0
4/6/2021,144010.0,0.0,2707.0
4/7/2021,144374.0,0.0,2722.0
4/8/2021,144820.0,0.0,2735.0
4/9/2021,145299.0,0.0,2737.0
4/10/2021,145754.0,0.0,2742.0
4/11/2021,146169.0,0.0,2745.0
4/12/2021,146462.0,0.0,2745.0
4/13/2021,146790.0,0.0,2747.0
4/14/2021,147203.0,0.0,2756.0
4/15/2021,147596.0,0.0,2772.0
4/16/2021,148071.0,0.0,2777.0
4/17/2021,148517.0,0.0,2780.0
4/18/2021,148887.0,0.0,2785.0
4/19/2021,149147.0,0.0,2785.0
4/20/2021,149462.0,0.0,2789.0
4/21/2021,149888.0,0.0,2800.0
4/22/2021,150288.0,0.0,2808.0
4/23/2021,150693.0,0.0,2813.0
4/24/2021,151068.0,0.0,2817.0
4/25/2021,151382.0,0.0,2821.0
4/26/2021,151671.0,0.0,2821.0
4/27/2021,151848.0,0.0,2662.0
4/28/2021,152301.0,0.0,2673.0
4/29/2021,152733.0,0.0,2674.0
4/30/2021,153128.0,0.0,2679.0
5/1/2021,153498.0,0.0,2679.0
5/2/2021,153918.0,0.0,2686.0
5/3/2021,154207.0,0.0,2686.0
5/4/2021,154551.0,0.0,2695.0
5/5/2021,154956.0,0.0,2707.0
5/6/2021,155341.0,0.0,2713.0
5/7/2021,155680.0,0.0,2719.0
5/8/2021,156001.0,0.0,2726.0
5/9/2021,156406.0,0.0,2726.0
5/10/2021,156617.0,0.0,2729.0
5/11/2021,156875.0,0.0,2734.0
5/12/2021,157215.0,0.0,2748.0
5/13/2021,157626.0,0.0,2751.0
5/14/2021,157923.0,0.0,2756.0
5/15/2021,158230.0,0.0,2757.0
5/16/2021,158468.0,0.0,2761.0
5/17/2021,158643.0,0.0,2762.0
5/18/2021,158888.0,0.0,2763.0
5/19/2021,159149.0,0.0,2767.0
5/20/2021,159450.0,0.0,2769.0
5/21/2021,159735.0,0.0,2772.0
5/22/2021,159940.0,0.0,2772.0
5/23/2021,160145.0,0.0,2772.0
5/24/2021,160354.0,0.0,2775.0
5/25/2021,160587.0,0.0,2782.0
5/26/2021,160777.0,0.0,2788.0
5/27/2021,161046.0,0.0,2792.0
5/28/2021,161287.0,0.0,2792.0
5/29/2021,161429.0,0.0,2792.0
5/30/2021,161571.0,0.0,2792.0
5/31/2021,161713.0,0.0,2792.0
6/1/2021,161858.0,0.0,2797.0
6/2/2021,161967.0,0.0,2800.0
6/3/2021,162111.0,0.0,2807.0
6/4/2021,162232.0,0.0,2813.0
6/5/2021,162334.0,0.0,2813.0
6/6/2021,162436.0,0.0,2813.0
6/7/2021,162540.0,0.0,2821.0
6/8/2021,162636.0,0.0,2822.0
6/9/2021,162726.0,0.0,2846.0
6/10/2021,162845.0,0.0,2848.0
6/11/2021,162939.0,0.0,2849.0
6/12/2021,163007.0,0.0,2849.0
6/13/2021,163075.0,0.0,2849.0
6/14/2021,163144.0,0.0,2853.0
