Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,435786.0,0.0,8104.0,7270.0
1/13/2021,439074.0,0.0,8187.0,9245.0
1/14/2021,442297.0,0.0,8282.0,9245.0
1/15/2021,445350.0,0.0,8355.0,13488.0
1/16/2021,447221.0,0.0,8424.0,13488.0
1/17/2021,449002.0,0.0,8493.0,13488.0
1/18/2021,452447.0,0.0,8578.0,13488.0
1/19/2021,455774.0,0.0,8658.0,16346.0
1/20/2021,458742.0,0.0,8740.0,17956.0
1/21/2021,461597.0,0.0,8828.0,21345.0
1/22/2021,464148.0,0.0,8913.0,24840.0
1/23/2021,465747.0,0.0,8985.0,27422.0
1/24/2021,467383.0,0.0,9056.0,29736.0
1/25/2021,470718.0,0.0,9120.0,29978.0
1/26/2021,473576.0,0.0,9196.0,30933.0
1/27/2021,476108.0,0.0,9257.0,33595.0
1/28/2021,478409.0,0.0,9337.0,37431.0
1/29/2021,480328.0,0.0,9415.0,44073.0
1/30/2021,481572.0,0.0,9481.0,53742.0
1/31/2021,482788.0,0.0,9519.0,55331.0
2/1/2021,485207.0,0.0,9572.0,56308.0
2/2/2021,487165.0,0.0,9624.0,58825.0
2/3/2021,488874.0,0.0,9680.0,62990.0
2/4/2021,490502.0,0.0,9730.0,69155.0
2/5/2021,492046.0,0.0,9781.0,76603.0
2/6/2021,493017.0,0.0,9823.0,84278.0
2/7/2021,493932.0,0.0,9857.0,86141.0
2/8/2021,495617.0,0.0,9893.0,88453.0
2/9/2021,497062.0,0.0,9940.0,95033.0
2/10/2021,498399.0,0.0,9989.0,102520.0
2/11/2021,499560.0,0.0,10024.0,111036.0
2/12/2021,500642.0,0.0,10057.0,122019.0
2/13/2021,501388.0,0.0,10082.0,133029.0
2/14/2021,502025.0,0.0,10113.0,137032.0
2/15/2021,503011.0,0.0,10141.0,137032.0
2/16/2021,503697.0,0.0,10171.0,149288.0
2/17/2021,504808.0,0.0,10202.0,154341.0
2/18/2021,505688.0,0.0,10231.0,165104.0
2/19/2021,506466.0,0.0,10266.0,192304.0
2/20/2021,507067.0,0.0,10298.0,214512.0
2/21/2021,507644.0,0.0,10332.0,219639.0
2/22/2021,508656.0,0.0,10352.0,228101.0
2/23/2021,509513.0,0.0,10374.0,239425.0
2/24/2021,510489.0,0.0,10397.0,253615.0
2/25/2021,511241.0,0.0,10419.0,268465.0
2/26/2021,511895.0,0.0,10448.0,286095.0
2/27/2021,512333.0,0.0,10467.0,307868.0
2/28/2021,512825.0,0.0,10479.0,313290.0
3/1/2021,513652.0,0.0,10496.0,316073.0
3/2/2021,514217.0,0.0,10508.0,330046.0
3/3/2021,514766.0,0.0,10518.0,346841.0
3/4/2021,515271.0,0.0,10536.0,365456.0
3/5/2021,515782.0,0.0,10555.0,383078.0
3/6/2021,516143.0,0.0,10573.0,402061.0
3/7/2021,516486.0,0.0,10587.0,406723.0
3/8/2021,517005.0,0.0,10602.0,409937.0
3/9/2021,517508.0,0.0,10617.0,420083.0
3/10/2021,517987.0,0.0,10634.0,435018.0
3/11/2021,518457.0,0.0,10644.0,452746.0
3/12/2021,518926.0,0.0,10654.0,472325.0
3/13/2021,519220.0,0.0,10671.0,492755.0
3/14/2021,519521.0,0.0,10686.0,497653.0
3/15/2021,520088.0,0.0,10696.0,501344.0
3/16/2021,520543.0,0.0,10708.0,511869.0
3/17/2021,520943.0,0.0,10726.0,523649.0
3/18/2021,521397.0,0.0,10731.0,533375.0
3/19/2021,521772.0,0.0,10737.0,547257.0
3/20/2021,522107.0,0.0,10747.0,561254.0
3/21/2021,522379.0,0.0,10761.0,566632.0
3/22/2021,522911.0,0.0,10769.0,569127.0
3/23/2021,523347.0,0.0,10778.0,579598.0
3/24/2021,523754.0,0.0,10785.0,589979.0
3/25/2021,524059.0,0.0,10803.0,600666.0
3/26/2021,524415.0,0.0,10811.0,611694.0
3/27/2021,524698.0,0.0,10819.0,623385.0
3/28/2021,524971.0,0.0,10829.0,628500.0
3/29/2021,525417.0,0.0,10838.0,631388.0
3/30/2021,525820.0,0.0,10849.0,643450.0
3/31/2021,526163.0,0.0,10853.0,656899.0
4/1/2021,526545.0,0.0,10864.0,673773.0
4/2/2021,526904.0,0.0,10871.0,691082.0
4/3/2021,527157.0,0.0,10883.0,705197.0
4/4/2021,527399.0,0.0,10891.0,709849.0
4/5/2021,527953.0,0.0,10898.0,711596.0
4/6/2021,528406.0,0.0,10906.0,725270.0
4/7/2021,528846.0,0.0,10917.0,744961.0
4/8/2021,529249.0,0.0,10920.0,764450.0
4/9/2021,529671.0,0.0,10932.0,788325.0
4/10/2021,529984.0,0.0,10936.0,811323.0
4/11/2021,530275.0,0.0,10943.0,819550.0
4/12/2021,530841.0,0.0,10947.0,824052.0
4/13/2021,531323.0,0.0,10958.0,844353.0
4/14/2021,531765.0,0.0,10964.0,868550.0
4/15/2021,532175.0,0.0,10965.0,893002.0
4/16/2021,532592.0,0.0,10968.0,915654.0
4/17/2021,532866.0,0.0,10975.0,935377.0
4/18/2021,533186.0,0.0,10981.0,943129.0
4/19/2021,533721.0,0.0,10983.0,946333.0
4/20/2021,534168.0,0.0,10990.0,966251.0
4/21/2021,534575.0,0.0,10996.0,987379.0
4/22/2021,534953.0,0.0,11000.0,1010415.0
4/23/2021,535341.0,0.0,11006.0,1033996.0
4/24/2021,535614.0,0.0,11019.0,1054863.0
4/25/2021,535888.0,0.0,11026.0,1062524.0
4/26/2021,536384.0,0.0,11031.0,1066659.0
4/27/2021,536823.0,0.0,11036.0,1079815.0
4/28/2021,537275.0,0.0,11041.0,1098820.0
4/29/2021,537643.0,0.0,11051.0,1121348.0
4/30/2021,537976.0,0.0,11056.0,1143488.0
5/1/2021,538254.0,0.0,11061.0,1161725.0
5/2/2021,538528.0,0.0,11065.0,1165479.0
5/3/2021,539006.0,0.0,11071.0,1168235.0
5/4/2021,539371.0,0.0,11081.0,1179793.0
5/5/2021,539737.0,0.0,11088.0,1199064.0
5/6/2021,540071.0,0.0,11097.0,1201303.0
5/7/2021,540364.0,0.0,11111.0,1240335.0
5/8/2021,540595.0,0.0,11117.0,1263965.0
5/9/2021,540805.0,0.0,11128.0,1270858.0
5/10/2021,541181.0,0.0,11131.0,1273670.0
5/11/2021,541482.0,0.0,11141.0,1273999.0
5/12/2021,541838.0,0.0,11146.0,1286565.0
5/13/2021,542127.0,0.0,11149.0,1314534.0
5/14/2021,542395.0,0.0,11157.0,1334176.0
5/15/2021,542600.0,0.0,11162.0,1348023.0
5/16/2021,542806.0,0.0,11172.0,1350643.0
5/17/2021,543167.0,0.0,11177.0,1350830.0
5/18/2021,543439.0,0.0,11182.0,1362380.0
5/19/2021,543693.0,0.0,11188.0,1362834.0
5/20/2021,543943.0,0.0,11194.0,1382327.0
5/21/2021,544218.0,0.0,11196.0,1387356.0
5/22/2021,544403.0,0.0,11199.0,1396990.0
5/23/2021,544552.0,0.0,11199.0,1407769.0
5/24/2021,544797.0,0.0,11203.0,1407917.0
5/25/2021,544980.0,0.0,11209.0,1415771.0
