Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0,0.0
3/5/2020,0.0,0.0,0.0,0.0
3/6/2020,0.0,0.0,0.0,0.0
3/7/2020,0.0,0.0,0.0,0.0
3/8/2020,0.0,0.0,0.0,0.0
3/9/2020,0.0,0.0,0.0,0.0
3/10/2020,0.0,0.0,0.0,0.0
3/11/2020,1.0,0.0,0.0,0.0
3/12/2020,6.0,0.0,0.0,0.0
3/13/2020,9.0,0.0,0.0,0.0
3/14/2020,12.0,0.0,0.0,0.0
3/15/2020,16.0,0.0,0.0,0.0
3/16/2020,17.0,0.0,0.0,0.0
3/17/2020,24.0,0.0,0.0,0.0
3/18/2020,37.0,0.0,0.0,0.0
3/19/2020,64.0,0.0,0.0,0.0
3/20/2020,100.0,0.0,0.0,0.0
3/21/2020,118.0,0.0,0.0,0.0
3/22/2020,164.0,0.0,0.0,0.0
3/23/2020,197.0,0.0,0.0,0.0
3/24/2020,230.0,0.0,2.0,0.0
3/25/2020,306.0,0.0,2.0,0.0
3/26/2020,349.0,0.0,3.0,0.0
3/27/2020,386.0,0.0,3.0,0.0
3/28/2020,409.0,0.0,5.0,0.0
3/29/2020,443.0,0.0,6.0,0.0
3/30/2020,504.0,0.0,7.0,0.0
3/31/2020,560.0,0.0,8.0,0.0
4/1/2020,614.0,0.0,10.0,0.0
4/2/2020,679.0,0.0,12.0,0.0
4/3/2020,738.0,0.0,12.0,0.0
4/4/2020,743.0,0.0,14.0,0.0
4/5/2020,853.0,0.0,16.0,0.0
4/6/2020,915.0,0.0,16.0,0.0
4/7/2020,993.0,0.0,18.0,0.0
4/8/2020,1071.0,0.0,18.0,0.0
4/9/2020,1127.0,0.0,21.0,0.0
4/10/2020,1202.0,0.0,24.0,0.0
4/11/2020,1234.0,0.0,27.0,0.0
4/12/2020,1307.0,0.0,29.0,0.0
4/13/2020,1410.0,0.0,30.0,0.0
4/14/2020,1498.0,0.0,32.0,0.0
4/15/2020,1583.0,0.0,33.0,0.0
4/16/2020,1635.0,0.0,37.0,0.0
4/17/2020,1702.0,0.0,40.0,0.0
4/18/2020,1777.0,0.0,41.0,0.0
4/19/2020,1781.0,0.0,40.0,0.0
4/20/2020,1964.0,0.0,42.0,0.0
4/21/2020,2262.0,0.0,43.0,0.0
4/22/2020,2281.0,0.0,42.0,0.0
4/23/2020,2465.0,0.0,45.0,0.0
4/24/2020,2810.0,0.0,47.0,0.0
4/25/2020,2909.0,0.0,48.0,0.0
4/26/2020,2941.0,0.0,49.0,0.0
4/27/2020,3055.0,0.0,50.0,0.0
4/28/2020,3121.0,0.0,52.0,0.0
4/29/2020,3192.0,0.0,59.0,0.0
4/30/2020,3255.0,0.0,61.0,0.0
5/1/2020,3310.0,0.0,64.0,0.0
5/2/2020,3372.0,0.0,72.0,0.0
5/3/2020,3431.0,0.0,76.0,0.0
5/4/2020,3469.0,0.0,80.0,0.0
5/5/2020,3496.0,0.0,83.0,0.0
5/6/2020,3611.0,0.0,87.0,0.0
5/7/2020,3665.0,0.0,88.0,0.0
5/8/2020,3747.0,0.0,88.0,0.0
5/9/2020,3984.0,0.0,90.0,0.0
5/10/2020,3984.0,0.0,91.0,0.0
5/11/2020,4043.0,0.0,94.0,0.0
5/12/2020,4164.0,0.0,95.0,0.0
5/13/2020,4236.0,0.0,97.0,0.0
5/14/2020,4348.0,0.0,98.0,0.0
5/15/2020,4463.0,0.0,98.0,0.0
5/16/2020,4578.0,0.0,98.0,0.0
5/17/2020,4759.0,0.0,98.0,0.0
