Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,3.0,0.0,0.0,260.0
1/13/2021,3.0,0.0,0.0,362.0
1/14/2021,3.0,0.0,0.0,362.0
1/15/2021,3.0,0.0,0.0,738.0
1/16/2021,3.0,0.0,0.0,738.0
1/17/2021,3.0,0.0,0.0,738.0
1/18/2021,3.0,0.0,0.0,738.0
1/19/2021,3.0,0.0,0.0,770.0
1/20/2021,3.0,0.0,0.0,836.0
1/21/2021,3.0,0.0,0.0,929.0
1/22/2021,3.0,0.0,0.0,940.0
1/23/2021,3.0,0.0,0.0,948.0
1/24/2021,3.0,0.0,0.0,948.0
1/25/2021,3.0,0.0,0.0,948.0
1/26/2021,3.0,0.0,0.0,948.0
1/27/2021,3.0,0.0,0.0,950.0
1/28/2021,3.0,0.0,0.0,950.0
1/29/2021,3.0,0.0,0.0,997.0
1/30/2021,3.0,0.0,0.0,997.0
1/31/2021,3.0,0.0,0.0,997.0
2/1/2021,3.0,0.0,0.0,1046.0
2/2/2021,3.0,0.0,0.0,1046.0
2/3/2021,3.0,0.0,0.0,1305.0
2/4/2021,3.0,0.0,0.0,1494.0
2/5/2021,3.0,0.0,0.0,2252.0
2/6/2021,3.0,0.0,0.0,2478.0
2/7/2021,3.0,0.0,0.0,2478.0
2/8/2021,3.0,0.0,0.0,2478.0
2/9/2021,3.0,0.0,0.0,2885.0
2/10/2021,3.0,0.0,0.0,3494.0
2/11/2021,3.0,0.0,0.0,3685.0
2/12/2021,3.0,0.0,0.0,4968.0
2/13/2021,4.0,0.0,0.0,5308.0
2/14/2021,4.0,0.0,0.0,5308.0
2/15/2021,4.0,0.0,0.0,5308.0
2/16/2021,4.0,0.0,0.0,5860.0
2/17/2021,4.0,0.0,0.0,5989.0
2/18/2021,4.0,0.0,0.0,5989.0
2/19/2021,4.0,0.0,0.0,5989.0
2/20/2021,4.0,0.0,0.0,6893.0
2/21/2021,4.0,0.0,0.0,7811.0
2/22/2021,4.0,0.0,0.0,7859.0
2/23/2021,4.0,0.0,0.0,7859.0
2/24/2021,4.0,0.0,0.0,8020.0
2/25/2021,4.0,0.0,0.0,8020.0
2/26/2021,4.0,0.0,0.0,8079.0
2/27/2021,4.0,0.0,0.0,8079.0
2/28/2021,4.0,0.0,0.0,8079.0
3/1/2021,4.0,0.0,0.0,8080.0
3/2/2021,4.0,0.0,0.0,8142.0
3/3/2021,4.0,0.0,0.0,8142.0
3/4/2021,4.0,0.0,0.0,8252.0
3/5/2021,4.0,0.0,0.0,8252.0
3/6/2021,4.0,0.0,0.0,8252.0
3/7/2021,4.0,0.0,0.0,8252.0
3/8/2021,4.0,0.0,0.0,8254.0
3/9/2021,4.0,0.0,0.0,8254.0
3/10/2021,4.0,0.0,0.0,8706.0
3/11/2021,4.0,0.0,0.0,8706.0
3/12/2021,4.0,0.0,0.0,8706.0
3/13/2021,4.0,0.0,0.0,8713.0
3/14/2021,4.0,0.0,0.0,8713.0
3/15/2021,4.0,0.0,0.0,9023.0
3/16/2021,4.0,0.0,0.0,9024.0
3/17/2021,4.0,0.0,0.0,9025.0
3/18/2021,4.0,0.0,0.0,9025.0
3/19/2021,4.0,0.0,0.0,9026.0
3/20/2021,4.0,0.0,0.0,9027.0
3/21/2021,4.0,0.0,0.0,9028.0
3/22/2021,4.0,0.0,0.0,10196.0
3/23/2021,4.0,0.0,0.0,10240.0
3/24/2021,4.0,0.0,0.0,10552.0
3/25/2021,4.0,0.0,0.0,10566.0
3/26/2021,0.0,0.0,0.0,11043.0
3/27/2021,0.0,0.0,0.0,11046.0
3/28/2021,0.0,0.0,0.0,11047.0
3/29/2021,0.0,0.0,0.0,11049.0
3/30/2021,0.0,0.0,0.0,11460.0
3/31/2021,0.0,0.0,0.0,13406.0
4/1/2021,0.0,0.0,0.0,13406.0
4/2/2021,0.0,0.0,0.0,13754.0
4/3/2021,0.0,0.0,0.0,13755.0
4/4/2021,0.0,0.0,0.0,13755.0
4/5/2021,0.0,0.0,0.0,13755.0
4/6/2021,0.0,0.0,0.0,13755.0
4/7/2021,0.0,0.0,0.0,14337.0
4/8/2021,0.0,0.0,0.0,14338.0
4/9/2021,0.0,0.0,0.0,14737.0
4/10/2021,0.0,0.0,0.0,14737.0
4/11/2021,0.0,0.0,0.0,14846.0
4/12/2021,0.0,0.0,0.0,14846.0
4/13/2021,0.0,0.0,0.0,14846.0
4/14/2021,0.0,0.0,0.0,15239.0
