Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,1.0,0.0,0.0,0.0
3/2/2020,1.0,0.0,0.0,0.0
3/3/2020,2.0,0.0,0.0,0.0
3/4/2020,2.0,0.0,0.0,0.0
3/5/2020,3.0,0.0,0.0,0.0
3/6/2020,3.0,0.0,0.0,0.0
3/7/2020,5.0,0.0,0.0,0.0
3/8/2020,5.0,0.0,0.0,0.0
3/9/2020,6.0,0.0,0.0,0.0
3/10/2020,8.0,0.0,0.0,0.0
3/11/2020,9.0,0.0,0.0,0.0
3/12/2020,9.0,0.0,0.0,0.0
3/13/2020,10.0,0.0,0.0,0.0
3/14/2020,12.0,0.0,0.0,0.0
3/15/2020,13.0,0.0,0.0,0.0
3/16/2020,18.0,0.0,0.0,0.0
3/17/2020,18.0,0.0,0.0,0.0
3/18/2020,27.0,0.0,0.0,0.0
3/19/2020,44.0,0.0,0.0,0.0
3/20/2020,63.0,0.0,1.0,0.0
3/21/2020,104.0,0.0,1.0,0.0
3/22/2020,152.0,0.0,2.0,0.0
3/23/2020,253.0,0.0,2.0,0.0
3/24/2020,326.0,0.0,5.0,0.0
3/25/2020,401.0,0.0,6.0,0.0
3/26/2020,508.0,0.0,8.0,0.0
3/27/2020,665.0,0.0,13.0,0.0
3/28/2020,773.0,0.0,15.0,0.0
3/29/2020,919.0,0.0,17.0,0.0
3/30/2020,1157.0,0.0,20.0,0.0
3/31/2020,1289.0,0.0,24.0,0.0
4/1/2020,1413.0,0.0,29.0,0.0
4/2/2020,1598.0,0.0,32.0,0.0
4/3/2020,1769.0,0.0,41.0,0.0
4/4/2020,2019.0,0.0,52.0,0.0
4/5/2020,2269.0,0.0,64.0,0.0
4/6/2020,2456.0,0.0,65.0,0.0
4/7/2020,2575.0,0.0,73.0,0.0
4/8/2020,2726.0,0.0,80.0,0.0
4/9/2020,3018.0,0.0,89.0,0.0
4/10/2020,3112.0,0.0,97.0,0.0
4/11/2020,3393.0,0.0,108.0,0.0
4/12/2020,3539.0,0.0,115.0,0.0
4/13/2020,3702.0,0.0,122.0,0.0
4/14/2020,3806.0,0.0,131.0,0.0
4/15/2020,3962.0,0.0,142.0,0.0
4/16/2020,4234.0,0.0,150.0,0.0
4/17/2020,4507.0,0.0,169.0,0.0
4/18/2020,4719.0,0.0,177.0,0.0
4/19/2020,4929.0,0.0,184.0,0.0
4/20/2020,5064.0,0.0,187.0,0.0
4/21/2020,5251.0,0.0,208.0,0.0
4/22/2020,5459.0,0.0,229.0,0.0
4/23/2020,5769.0,0.0,249.0,0.0
4/24/2020,6045.0,0.0,266.0,0.0
4/25/2020,6280.0,0.0,273.0,0.0
4/26/2020,6526.0,0.0,275.0,0.0
4/27/2020,6716.0,0.0,275.0,0.0
4/28/2020,6948.0,0.0,293.0,0.0
4/29/2020,7202.0,0.0,254.0,0.0
4/30/2020,7648.0,0.0,320.0,0.0
5/1/2020,7962.0,0.0,330.0,0.0
5/2/2020,8364.0,0.0,348.0,0.0
5/3/2020,8640.0,0.0,362.0,0.0
5/4/2020,8919.0,0.0,362.0,0.0
5/5/2020,9305.0,0.0,395.0,0.0
5/6/2020,9707.0,0.0,426.0,0.0
5/7/2020,9945.0,0.0,450.0,0.0
5/8/2020,10526.0,0.0,517.0,0.0
5/9/2020,10960.0,0.0,532.0,0.0
5/10/2020,11119.0,0.0,536.0,0.0
5/11/2020,11380.0,0.0,542.0,0.0
5/12/2020,11736.0,0.0,562.0,0.0
5/13/2020,12176.0,0.0,594.0,0.0
5/14/2020,12674.0,0.0,624.0,0.0
5/15/2020,13169.0,0.0,651.0,0.0
5/16/2020,13631.0,0.0,679.0,0.0
5/17/2020,13937.0,0.0,680.0,0.0
5/18/2020,14170.0,0.0,686.0,0.0
5/19/2020,14566.0,0.0,704.0,0.0
5/20/2020,14897.0,0.0,747.0,0.0
5/21/2020,15315.0,0.0,763.0,0.0
5/22/2020,15608.0,0.0,775.0,0.0
5/23/2020,16039.0,0.0,799.0,0.0
5/24/2020,16339.0,0.0,800.0,0.0
5/25/2020,16561.0,0.0,806.0,0.0
5/26/2020,16783.0,0.0,807.0,0.0
5/27/2020,17262.0,0.0,831.0,0.0
5/28/2020,17763.0,0.0,857.0,0.0
5/29/2020,18465.0,0.0,885.0,0.0
5/30/2020,19255.0,0.0,903.0,0.0
5/31/2020,19936.0,0.0,906.0,0.0
6/1/2020,20123.0,0.0,917.0,0.0
6/2/2020,21250.0,0.0,941.0,0.0
6/3/2020,22223.0,0.0,981.0,0.0
6/4/2020,22753.0,0.0,996.0,0.0
6/5/2020,24332.0,0.0,1012.0,0.0
6/6/2020,25451.0,0.0,1042.0,0.0
6/7/2020,26889.0,0.0,1044.0,0.0
6/8/2020,27678.0,0.0,1047.0,0.0
6/9/2020,28296.0,0.0,1070.0,0.0
6/10/2020,29853.0,0.0,1095.0,0.0
6/11/2020,31266.0,0.0,1127.0,0.0
6/12/2020,32921.0,0.0,1144.0,0.0
6/13/2020,34462.0,0.0,1183.0,0.0
6/14/2020,35696.0,0.0,1186.0,0.0
6/15/2020,36711.0,0.0,1194.0,0.0
6/16/2020,39104.0,0.0,1219.0,0.0
6/17/2020,40932.0,0.0,1239.0,0.0
6/18/2020,43452.0,0.0,1271.0,0.0
