Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,990.0,0.0,212.0,0.0
3/2/2020,1031.0,0.0,212.0,0.0
3/3/2020,1131.0,0.0,212.0,0.0
3/4/2020,1208.0,0.0,212.0,0.0
3/5/2020,1293.0,0.0,213.0,0.0
3/6/2020,1387.0,0.0,214.0,0.0
3/7/2020,1493.0,0.0,214.0,0.0
3/8/2020,1649.0,0.0,215.0,0.0
3/9/2020,1810.0,0.0,215.0,0.0
3/10/2020,1992.0,0.0,215.0,0.0
3/11/2020,2320.0,0.0,218.0,0.0
3/12/2020,2672.0,0.0,218.0,0.0
3/13/2020,3088.0,0.0,219.0,0.0
3/14/2020,3582.0,0.0,219.0,0.0
3/15/2020,4149.0,0.0,220.0,0.0
3/16/2020,4650.0,0.0,221.0,0.0
3/17/2020,5247.0,0.0,224.0,0.0
3/18/2020,6105.0,0.0,229.0,0.0
3/19/2020,6919.0,0.0,235.0,0.0
3/20/2020,7668.0,0.0,235.0,0.0
3/21/2020,8428.0,0.0,242.0,0.0
3/22/2020,9348.0,0.0,249.0,0.0
3/23/2020,10031.0,0.0,259.0,0.0
3/24/2020,10782.0,0.0,273.0,0.0
3/25/2020,11782.0,0.0,291.0,0.0
3/26/2020,12620.0,0.0,309.0,0.0
3/27/2020,13662.0,0.0,329.0,0.0
3/28/2020,14628.0,0.0,344.0,0.0
3/29/2020,15626.0,0.0,366.0,0.0
3/30/2020,16568.0,0.0,392.0,0.0
3/31/2020,17391.0,0.0,417.0,0.0
4/1/2020,18758.0,0.0,446.0,0.0
4/2/2020,20005.0,0.0,488.0,0.0
4/3/2020,21499.0,0.0,529.0,0.0
4/4/2020,22862.0,0.0,585.0,0.0
4/5/2020,24364.0,0.0,638.0,0.0
4/6/2020,25486.0,0.0,676.0,0.0
4/7/2020,26623.0,0.0,734.0,0.0
4/8/2020,27973.0,0.0,770.0,0.0
4/9/2020,29390.0,0.0,833.0,0.0
4/10/2020,30859.0,0.0,897.0,0.0
4/11/2020,32253.0,0.0,956.0,0.0
4/12/2020,33709.0,0.0,1018.0,0.0
4/13/2020,34757.0,0.0,1073.0,0.0
4/14/2020,35731.0,0.0,1141.0,0.0
4/15/2020,37244.0,0.0,1220.0,0.0
4/16/2020,38727.0,0.0,1309.0,0.0
4/17/2020,40388.0,0.0,1377.0,0.0
4/18/2020,42046.0,0.0,1476.0,0.0
4/19/2020,43625.0,0.0,1551.0,0.0
4/20/2020,44825.0,0.0,1620.0,0.0
4/21/2020,45891.0,0.0,1687.0,0.0
4/22/2020,47788.0,0.0,1773.0,0.0
4/23/2020,49450.0,0.0,1844.0,0.0
4/24/2020,51191.0,0.0,1929.0,0.0
4/25/2020,53024.0,0.0,2018.0,0.0
4/26/2020,55029.0,0.0,2097.0,0.0
4/27/2020,56627.0,0.0,2164.0,0.0
4/28/2020,57879.0,0.0,2234.0,0.0
4/29/2020,60102.0,0.0,2301.0,0.0
4/30/2020,62188.0,0.0,2394.0,0.0
5/1/2020,64203.0,0.0,2473.0,0.0
5/2/2020,66110.0,0.0,2552.0,0.0
5/3/2020,68323.0,0.0,2626.0,0.0
5/4/2020,69702.0,0.0,2722.0,0.0
5/5/2020,70848.0,0.0,2792.0,0.0
5/6/2020,73257.0,0.0,2868.0,0.0
5/7/2020,75847.0,0.0,2935.0,0.0
5/8/2020,78160.0,0.0,3033.0,0.0
5/9/2020,80303.0,0.0,3117.0,0.0
5/10/2020,82552.0,0.0,3200.0,0.0
5/11/2020,84115.0,0.0,3288.0,0.0
5/12/2020,85441.0,0.0,3361.0,0.0
5/13/2020,87867.0,0.0,3428.0,0.0
5/14/2020,90289.0,0.0,3512.0,0.0
5/15/2020,92559.0,0.0,3587.0,0.0
5/16/2020,95204.0,0.0,3662.0,0.0
5/17/2020,97709.0,0.0,3737.0,0.0
5/18/2020,99417.0,0.0,3828.0,0.0
5/19/2020,100740.0,0.0,3900.0,0.0
5/20/2020,103505.0,0.0,3989.0,0.0
5/21/2020,105925.0,0.0,4064.0,0.0
5/22/2020,108614.0,0.0,4137.0,0.0
5/23/2020,111049.0,0.0,4194.0,0.0
5/24/2020,113566.0,0.0,4274.0,0.0
5/25/2020,115305.0,0.0,4345.0,0.0
5/26/2020,116705.0,0.0,4422.0,0.0
5/27/2020,118924.0,0.0,4481.0,0.0
5/28/2020,122500.0,0.0,4562.0,0.0
5/29/2020,126011.0,0.0,4643.0,0.0
5/30/2020,129169.0,0.0,4714.0,0.0
5/31/2020,132950.0,0.0,4775.0,0.0
6/1/2020,135173.0,0.0,4841.0,0.0
6/2/2020,136763.0,0.0,4908.0,0.0
6/3/2020,140409.0,0.0,4986.0,0.0
6/4/2020,144310.0,0.0,5051.0,0.0
6/5/2020,147723.0,0.0,5136.0,0.0
6/6/2020,151320.0,0.0,5211.0,0.0
6/7/2020,155028.0,0.0,5277.0,0.0
6/8/2020,157728.0,0.0,5342.0,0.0
6/9/2020,159739.0,0.0,5410.0,0.0
6/10/2020,163937.0,0.0,5492.0,0.0
6/11/2020,167941.0,0.0,5567.0,0.0
6/12/2020,172198.0,0.0,5628.0,0.0
6/13/2020,176278.0,0.0,5688.0,0.0
6/14/2020,180760.0,0.0,5760.0,0.0
