Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,364336.0,0.0,5242.0,36425.0
1/13/2021,366774.0,0.0,5285.0,41271.0
1/14/2021,369177.0,0.0,5316.0,41271.0
1/15/2021,371458.0,0.0,5343.0,47021.0
1/16/2021,373483.0,0.0,5363.0,47021.0
1/17/2021,374981.0,0.0,5379.0,47021.0
1/18/2021,376171.0,0.0,5386.0,47021.0
1/19/2021,377856.0,0.0,5388.0,49897.0
1/20/2021,379227.0,0.0,5422.0,51460.0
1/21/2021,381210.0,0.0,5440.0,54474.0
1/22/2021,383008.0,0.0,5462.0,62086.0
1/23/2021,384966.0,0.0,5482.0,62086.0
1/24/2021,386285.0,0.0,5505.0,76902.0
1/25/2021,387462.0,0.0,5512.0,80467.0
1/26/2021,388620.0,0.0,5517.0,82946.0
1/27/2021,390258.0,0.0,5552.0,90200.0
1/28/2021,391699.0,0.0,5569.0,98663.0
1/29/2021,393421.0,0.0,5594.0,108507.0
1/30/2021,393421.0,0.0,5594.0,118770.0
1/31/2021,393421.0,0.0,5594.0,125078.0
2/1/2021,397063.0,0.0,5641.0,130738.0
2/2/2021,397998.0,0.0,5650.0,132752.0
2/3/2021,399267.0,0.0,5664.0,140610.0
2/4/2021,400851.0,0.0,5677.0,149829.0
2/5/2021,402714.0,0.0,5704.0,162511.0
2/6/2021,404255.0,0.0,5721.0,178975.0
2/7/2021,405289.0,0.0,5731.0,197523.0
2/8/2021,406276.0,0.0,5733.0,207951.0
2/9/2021,407210.0,0.0,5746.0,211328.0
2/10/2021,407961.0,0.0,5770.0,225626.0
2/11/2021,409683.0,0.0,5781.0,239804.0
2/12/2021,411414.0,0.0,5790.0,254037.0
2/13/2021,412983.0,0.0,5814.0,271661.0
2/14/2021,413836.0,0.0,5824.0,290991.0
2/15/2021,414369.0,0.0,5826.0,290991.0
2/16/2021,415037.0,0.0,5828.0,308992.0
2/17/2021,416174.0,0.0,5838.0,314557.0
2/18/2021,417415.0,0.0,5864.0,322769.0
2/19/2021,418695.0,0.0,5878.0,345623.0
2/20/2021,419812.0,0.0,5887.0,360392.0
2/21/2021,420614.0,0.0,5892.0,378242.0
2/22/2021,421294.0,0.0,5893.0,392378.0
2/23/2021,422390.0,0.0,5907.0,393198.0
2/24/2021,423558.0,0.0,5917.0,413202.0
2/25/2021,424677.0,0.0,5925.0,426398.0
2/26/2021,426198.0,0.0,5940.0,439201.0
2/27/2021,427462.0,0.0,5945.0,440259.0
2/28/2021,428303.0,0.0,5951.0,461947.0
3/1/2021,429839.0,0.0,5952.0,479652.0
3/2/2021,430615.0,0.0,5959.0,484943.0
3/3/2021,431670.0,0.0,5970.0,499168.0
3/4/2021,433021.0,0.0,5974.0,513386.0
3/5/2021,434654.0,0.0,5986.0,526521.0
3/6/2021,435762.0,0.0,5986.0,549441.0
3/7/2021,436602.0,0.0,5989.0,567922.0
3/8/2021,437187.0,0.0,5990.0,571975.0
3/9/2021,438025.0,0.0,5997.0,584872.0
3/10/2021,439265.0,0.0,6003.0,609417.0
3/11/2021,440220.0,0.0,6021.0,640244.0
3/12/2021,441511.0,0.0,6024.0,665380.0
3/13/2021,442753.0,0.0,6036.0,695032.0
3/14/2021,443968.0,0.0,6038.0,695186.0
3/15/2021,444390.0,0.0,6040.0,720482.0
3/16/2021,444712.0,0.0,6048.0,728689.0
3/17/2021,445338.0,0.0,6049.0,746744.0
3/18/2021,446580.0,0.0,6060.0,765933.0
3/19/2021,448362.0,0.0,6065.0,782902.0
3/20/2021,449828.0,0.0,6068.0,838000.0
3/21/2021,450630.0,0.0,6073.0,866707.0
3/22/2021,450934.0,0.0,6070.0,878386.0
3/23/2021,452304.0,0.0,6074.0,889795.0
3/24/2021,453520.0,0.0,6077.0,900059.0
3/25/2021,454893.0,0.0,6082.0,912807.0
3/26/2021,456302.0,0.0,6086.0,927382.0
3/27/2021,457597.0,0.0,6089.0,946188.0
3/28/2021,458554.0,0.0,6092.0,966835.0
3/29/2021,459361.0,0.0,6092.0,976137.0
3/30/2021,460318.0,0.0,6099.0,991243.0
3/31/2021,462081.0,0.0,6107.0,1008589.0
4/1/2021,463685.0,0.0,6117.0,1028324.0
4/2/2021,465330.0,0.0,6118.0,1051000.0
4/3/2021,466901.0,0.0,6124.0,1081615.0
4/4/2021,468121.0,0.0,6126.0,1108570.0
4/5/2021,468988.0,0.0,6126.0,1118667.0
4/6/2021,470254.0,0.0,6132.0,1131482.0
4/7/2021,472167.0,0.0,6139.0,1156758.0
4/8/2021,474053.0,0.0,6143.0,1181330.0
4/9/2021,475988.0,0.0,6150.0,1207372.0
4/10/2021,477443.0,0.0,6155.0,1249516.0
4/11/2021,478678.0,0.0,6157.0,1285768.0
4/12/2021,479590.0,0.0,6157.0,1311847.0
4/13/2021,481494.0,0.0,6168.0,1333034.0
4/14/2021,483818.0,0.0,6172.0,1358993.0
4/15/2021,485318.0,0.0,6177.0,1379177.0
4/16/2021,487578.0,0.0,6186.0,1405861.0
4/17/2021,489028.0,0.0,6188.0,1441796.0
4/18/2021,490289.0,0.0,6199.0,1482555.0
4/19/2021,491066.0,0.0,6201.0,1510363.0
4/20/2021,493029.0,0.0,6211.0,1535815.0
4/21/2021,494521.0,0.0,6215.0,1561775.0
4/22/2021,496882.0,0.0,6225.0,1596141.0
4/23/2021,498758.0,0.0,6231.0,1636956.0
4/24/2021,500675.0,0.0,6249.0,1639963.0
4/25/2021,502242.0,0.0,6251.0,1727477.0
4/26/2021,503253.0,0.0,6255.0,1745232.0
4/27/2021,505268.0,0.0,6264.0,1767903.0
4/28/2021,506405.0,0.0,6272.0,1792395.0
4/29/2021,509194.0,0.0,6284.0,1824323.0
4/30/2021,510966.0,0.0,6295.0,1856500.0
5/1/2021,512804.0,0.0,6302.0,1901152.0
5/2/2021,513765.0,0.0,6304.0,1932846.0
5/3/2021,514721.0,0.0,6306.0,1948978.0
5/4/2021,516240.0,0.0,6321.0,1972476.0
5/5/2021,517851.0,0.0,6337.0,2003556.0
5/6/2021,519414.0,0.0,6345.0,2045903.0
5/7/2021,520816.0,0.0,6352.0,2088505.0
5/8/2021,522382.0,0.0,6355.0,2126931.0
5/9/2021,523309.0,0.0,6357.0,2172481.0
5/10/2021,524190.0,0.0,6357.0,2204647.0
5/11/2021,525474.0,0.0,6371.0,2230840.0
5/12/2021,526687.0,0.0,6402.0,2250378.0
5/13/2021,528533.0,0.0,6423.0,2271616.0
5/14/2021,530098.0,0.0,6432.0,2307952.0
5/15/2021,531070.0,0.0,6442.0,2335422.0
5/16/2021,531700.0,0.0,6450.0,2369139.0
5/17/2021,532389.0,0.0,6450.0,2380766.0
5/18/2021,533119.0,0.0,6456.0,2393650.0
5/19/2021,534364.0,0.0,6472.0,2415380.0
5/20/2021,535316.0,0.0,6478.0,2435657.0
5/21/2021,536128.0,0.0,6497.0,2436954.0
5/22/2021,536969.0,0.0,6503.0,2487412.0
5/23/2021,537401.0,0.0,6505.0,2504451.0
5/24/2021,537858.0,0.0,6509.0,2513029.0
5/25/2021,539261.0,0.0,6520.0,2526489.0
