Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,217047.0,0.0,6449.0,4174.0
1/13/2021,220576.0,0.0,6536.0,5268.0
1/14/2021,221544.0,0.0,6553.0,5268.0
1/15/2021,223422.0,0.0,6594.0,17162.0
1/16/2021,223422.0,0.0,6594.0,17162.0
1/17/2021,223422.0,0.0,6594.0,17162.0
1/18/2021,230125.0,0.0,6670.0,17162.0
1/19/2021,232219.0,0.0,6682.0,23150.0
1/20/2021,234134.0,0.0,6726.0,25018.0
1/21/2021,235796.0,0.0,6774.0,28602.0
1/22/2021,237815.0,0.0,6819.0,33149.0
1/23/2021,237815.0,0.0,6819.0,37098.0
1/24/2021,237815.0,0.0,6819.0,40506.0
1/25/2021,243632.0,0.0,6911.0,42421.0
1/26/2021,244899.0,0.0,6934.0,45190.0
1/27/2021,247339.0,0.0,6976.0,51939.0
1/28/2021,248765.0,0.0,7020.0,59437.0
1/29/2021,250023.0,0.0,7046.0,67624.0
1/30/2021,250023.0,0.0,7046.0,73706.0
1/31/2021,250023.0,0.0,7046.0,79511.0
2/1/2021,253954.0,0.0,7119.0,83855.0
2/2/2021,256522.0,0.0,7133.0,86602.0
2/3/2021,257004.0,0.0,7157.0,90574.0
2/4/2021,257941.0,0.0,7185.0,97568.0
2/5/2021,259372.0,0.0,7214.0,106224.0
2/6/2021,259372.0,0.0,7214.0,115349.0
2/7/2021,259372.0,0.0,7214.0,123198.0
2/8/2021,263739.0,0.0,7282.0,127194.0
2/9/2021,264608.0,0.0,7298.0,133196.0
2/10/2021,265496.0,0.0,7326.0,142918.0
2/11/2021,266499.0,0.0,7354.0,154639.0
2/12/2021,267337.0,0.0,7381.0,167894.0
2/13/2021,267337.0,0.0,7381.0,183146.0
2/14/2021,267337.0,0.0,7381.0,191978.0
2/15/2021,270242.0,0.0,7447.0,191978.0
2/16/2021,270822.0,0.0,7449.0,206920.0
2/17/2021,271356.0,0.0,7476.0,218777.0
2/18/2021,271903.0,0.0,7496.0,231795.0
2/19/2021,273101.0,0.0,7523.0,253770.0
2/20/2021,273101.0,0.0,7523.0,265343.0
2/21/2021,273101.0,0.0,7523.0,270792.0
2/22/2021,275334.0,0.0,7562.0,277754.0
2/23/2021,276691.0,0.0,7572.0,280425.0
2/24/2021,278184.0,0.0,7595.0,283844.0
2/25/2021,279159.0,0.0,7614.0,286522.0
2/26/2021,279946.0,0.0,7622.0,291338.0
2/27/2021,279946.0,0.0,7622.0,296178.0
2/28/2021,279946.0,0.0,7622.0,301151.0
3/1/2021,282626.0,0.0,7651.0,306075.0
3/2/2021,283128.0,0.0,7658.0,307686.0
3/3/2021,283622.0,0.0,7678.0,311505.0
3/4/2021,284500.0,0.0,7693.0,314508.0
3/5/2021,285330.0,0.0,7704.0,318025.0
3/6/2021,285330.0,0.0,7704.0,321484.0
3/7/2021,285330.0,0.0,7704.0,325922.0
3/8/2021,287396.0,0.0,7725.0,340912.0
3/9/2021,288145.0,0.0,7739.0,345611.0
3/10/2021,288657.0,0.0,7752.0,354352.0
3/11/2021,289392.0,0.0,7761.0,362671.0
3/12/2021,290577.0,0.0,7765.0,374997.0
3/13/2021,290577.0,0.0,7765.0,496388.0
3/14/2021,290577.0,0.0,7765.0,496443.0
3/15/2021,293102.0,0.0,7788.0,509812.0
3/16/2021,293955.0,0.0,7799.0,517141.0
3/17/2021,294328.0,0.0,7807.0,528525.0
3/18/2021,295484.0,0.0,7822.0,543501.0
3/19/2021,296691.0,0.0,7832.0,559558.0
3/20/2021,296691.0,0.0,7832.0,574848.0
3/21/2021,296691.0,0.0,7832.0,589228.0
3/22/2021,299667.0,0.0,7841.0,603624.0
3/23/2021,300565.0,0.0,7845.0,608492.0
3/24/2021,302022.0,0.0,7852.0,618348.0
3/25/2021,303510.0,0.0,7862.0,632200.0
3/26/2021,305210.0,0.0,7865.0,646279.0
3/27/2021,305210.0,0.0,7865.0,664680.0
3/28/2021,305210.0,0.0,7865.0,682603.0
3/29/2021,308439.0,0.0,7883.0,697784.0
3/30/2021,310056.0,0.0,7885.0,713132.0
3/31/2021,310888.0,0.0,7886.0,725544.0
4/1/2021,312468.0,0.0,7900.0,743564.0
4/2/2021,313956.0,0.0,7904.0,765639.0
4/3/2021,313956.0,0.0,7904.0,795034.0
4/4/2021,313956.0,0.0,7904.0,816983.0
4/5/2021,316655.0,0.0,7923.0,839506.0
4/6/2021,317729.0,0.0,7930.0,843076.0
4/7/2021,318767.0,0.0,7935.0,862554.0
4/8/2021,319779.0,0.0,7940.0,887812.0
4/9/2021,321586.0,0.0,7944.0,919764.0
4/10/2021,321586.0,0.0,7944.0,944060.0
4/11/2021,321586.0,0.0,7944.0,974687.0
4/12/2021,324571.0,0.0,7957.0,1001744.0
4/13/2021,325689.0,0.0,7974.0,1020173.0
4/14/2021,327298.0,0.0,7984.0,1040433.0
4/15/2021,328000.0,0.0,7990.0,1058759.0
4/16/2021,329062.0,0.0,7995.0,1083206.0
4/17/2021,329841.0,0.0,8001.0,1104482.0
4/18/2021,330621.0,0.0,8007.0,1127897.0
4/19/2021,331401.0,0.0,8014.0,1147703.0
4/20/2021,332139.0,0.0,8020.0,1159600.0
4/21/2021,332995.0,0.0,8027.0,1177610.0
4/22/2021,333732.0,0.0,8039.0,1200180.0
4/23/2021,334766.0,0.0,8047.0,1223146.0
4/24/2021,335488.0,0.0,8047.0,1250211.0
4/25/2021,336210.0,0.0,8047.0,1278901.0
4/26/2021,336933.0,0.0,8066.0,1298869.0
4/27/2021,337340.0,0.0,8067.0,1306500.0
4/28/2021,337961.0,0.0,8080.0,1327319.0
4/29/2021,338447.0,0.0,8084.0,1350870.0
4/30/2021,339233.0,0.0,8097.0,1372774.0
5/1/2021,339669.0,0.0,8097.0,1402619.0
5/2/2021,340105.0,0.0,8097.0,1425477.0
5/3/2021,340545.0,0.0,8112.0,1437969.0
5/4/2021,340962.0,0.0,8117.0,1447776.0
5/5/2021,341571.0,0.0,8124.0,1467107.0
5/6/2021,342282.0,0.0,8131.0,1493571.0
5/7/2021,342718.0,0.0,8137.0,1522810.0
5/8/2021,342993.0,0.0,8137.0,1553340.0
5/9/2021,343268.0,0.0,8137.0,1581885.0
5/10/2021,343545.0,0.0,8154.0,1604622.0
5/11/2021,343954.0,0.0,8156.0,1620658.0
5/12/2021,344141.0,0.0,8161.0,1636981.0
5/13/2021,344612.0,0.0,8168.0,1656431.0
5/14/2021,344977.0,0.0,8173.0,1676325.0
5/15/2021,345197.0,0.0,8173.0,1698193.0
5/16/2021,345417.0,0.0,8173.0,1719771.0
5/17/2021,345639.0,0.0,8194.0,1737243.0
5/18/2021,345720.0,0.0,8198.0,1745551.0
5/19/2021,345948.0,0.0,8204.0,1757184.0
5/20/2021,346154.0,0.0,8208.0,1775334.0
5/21/2021,346325.0,0.0,8212.0,1793724.0
5/22/2021,346453.0,0.0,8212.0,1814854.0
5/23/2021,346581.0,0.0,8212.0,1816180.0
5/24/2021,346711.0,0.0,8219.0,1840832.0
5/25/2021,346892.0,0.0,8221.0,1846899.0
