Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,32423.0,0.0,825.0,0.0
1/13/2021,32600.0,0.0,831.0,1275.0
1/14/2021,32820.0,0.0,842.0,1275.0
1/15/2021,33140.0,0.0,842.0,8250.0
1/16/2021,33537.0,0.0,847.0,8250.0
1/17/2021,33851.0,0.0,850.0,8250.0
1/18/2021,34033.0,0.0,857.0,8250.0
1/19/2021,34259.0,0.0,861.0,10196.0
1/20/2021,34403.0,0.0,863.0,10553.0
1/21/2021,34612.0,0.0,864.0,11685.0
1/22/2021,34905.0,0.0,867.0,12045.0
1/23/2021,35077.0,0.0,870.0,12649.0
1/24/2021,35301.0,0.0,872.0,13043.0
1/25/2021,35505.0,0.0,879.0,13236.0
1/26/2021,35700.0,0.0,888.0,13293.0
1/27/2021,35865.0,0.0,895.0,14434.0
1/28/2021,36132.0,0.0,902.0,15177.0
1/29/2021,36414.0,0.0,907.0,16112.0
1/30/2021,36662.0,0.0,909.0,17029.0
1/31/2021,36872.0,0.0,913.0,18710.0
2/1/2021,37008.0,0.0,916.0,19217.0
2/2/2021,37138.0,0.0,921.0,19218.0
2/3/2021,37199.0,0.0,926.0,19753.0
2/4/2021,37365.0,0.0,932.0,21313.0
2/5/2021,37634.0,0.0,940.0,22719.0
2/6/2021,37877.0,0.0,947.0,24069.0
2/7/2021,38035.0,0.0,952.0,26151.0
2/8/2021,38136.0,0.0,956.0,26957.0
2/9/2021,38281.0,0.0,961.0,26957.0
2/10/2021,38348.0,0.0,965.0,26957.0
2/11/2021,38533.0,0.0,973.0,31786.0
2/12/2021,38670.0,0.0,976.0,33167.0
2/13/2021,38796.0,0.0,979.0,34388.0
2/14/2021,38918.0,0.0,979.0,36388.0
2/15/2021,39001.0,0.0,980.0,36388.0
2/16/2021,39131.0,0.0,982.0,39060.0
2/17/2021,39180.0,0.0,985.0,39973.0
2/18/2021,39301.0,0.0,992.0,41311.0
2/19/2021,39461.0,0.0,993.0,50145.0
2/20/2021,39553.0,0.0,994.0,51565.0
2/21/2021,39648.0,0.0,995.0,53244.0
2/22/2021,39755.0,0.0,995.0,31114.0
2/23/2021,39844.0,0.0,998.0,31845.0
2/24/2021,39943.0,0.0,1001.0,32760.0
2/25/2021,40122.0,0.0,1005.0,33781.0
2/26/2021,40284.0,0.0,1009.0,34923.0
2/27/2021,40478.0,0.0,1010.0,38247.0
2/28/2021,40598.0,0.0,1017.0,40106.0
3/1/2021,40684.0,0.0,1019.0,41210.0
3/2/2021,40767.0,0.0,1019.0,41860.0
3/3/2021,40818.0,0.0,1023.0,42850.0
3/4/2021,41014.0,0.0,1024.0,44086.0
3/5/2021,41122.0,0.0,1027.0,45362.0
3/6/2021,41273.0,0.0,1030.0,49150.0
3/7/2021,41419.0,0.0,1030.0,50399.0
3/8/2021,41579.0,0.0,1035.0,51723.0
3/9/2021,41910.0,0.0,1036.0,52813.0
3/10/2021,42006.0,0.0,1037.0,54738.0
3/11/2021,42128.0,0.0,1038.0,56459.0
3/12/2021,42282.0,0.0,1038.0,58029.0
3/13/2021,42432.0,0.0,1040.0,59917.0
3/14/2021,42511.0,0.0,1041.0,61934.0
3/15/2021,42623.0,0.0,1042.0,65479.0
3/16/2021,42730.0,0.0,1042.0,67181.0
3/17/2021,42811.0,0.0,1044.0,68796.0
3/18/2021,42892.0,0.0,1046.0,69819.0
3/19/2021,43034.0,0.0,1047.0,71181.0
3/20/2021,43175.0,0.0,1049.0,72304.0
3/21/2021,43229.0,0.0,1050.0,73585.0
3/22/2021,43383.0,0.0,1050.0,74461.0
3/23/2021,43488.0,0.0,1051.0,74927.0
3/24/2021,43595.0,0.0,1053.0,76207.0
3/25/2021,43669.0,0.0,1053.0,79733.0
3/26/2021,43825.0,0.0,1055.0,82094.0
3/27/2021,44051.0,0.0,1056.0,84545.0
3/28/2021,44175.0,0.0,1056.0,88137.0
3/29/2021,44248.0,0.0,1059.0,91317.0
3/30/2021,44413.0,0.0,1061.0,93350.0
3/31/2021,44513.0,0.0,1064.0,97469.0
4/1/2021,44656.0,0.0,1066.0,100548.0
4/2/2021,44807.0,0.0,1069.0,103882.0
4/3/2021,44932.0,0.0,1070.0,107122.0
4/4/2021,45037.0,0.0,1070.0,109897.0
4/5/2021,45112.0,0.0,1072.0,111858.0
4/6/2021,45234.0,0.0,1074.0,113268.0
4/7/2021,45328.0,0.0,1076.0,114192.0
4/8/2021,45498.0,0.0,1077.0,121675.0
4/9/2021,45634.0,0.0,1079.0,125680.0
4/10/2021,45762.0,0.0,1081.0,130670.0
4/11/2021,45830.0,0.0,1081.0,135412.0
4/12/2021,45903.0,0.0,1084.0,139472.0
4/13/2021,46016.0,0.0,1085.0,144190.0
4/14/2021,46209.0,0.0,1088.0,147799.0
4/15/2021,46315.0,0.0,1090.0,153091.0
4/16/2021,46449.0,0.0,1093.0,157353.0
4/17/2021,46579.0,0.0,1095.0,161202.0
4/18/2021,46662.0,0.0,1096.0,165820.0
4/19/2021,46740.0,0.0,1096.0,169356.0
4/20/2021,46869.0,0.0,1097.0,170538.0
4/21/2021,46941.0,0.0,1097.0,174124.0
4/22/2021,47040.0,0.0,1098.0,178088.0
4/23/2021,47141.0,0.0,1099.0,182609.0
4/24/2021,47219.0,0.0,1099.0,187300.0
4/25/2021,47323.0,0.0,1099.0,193477.0
4/26/2021,47378.0,0.0,1099.0,196859.0
