Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,773692.0,0.0,11662.0,7746.0
1/13/2021,782288.0,0.0,11803.0,8937.0
1/14/2021,791324.0,0.0,11975.0,8937.0
1/15/2021,801130.0,0.0,12138.0,22324.0
1/16/2021,809663.0,0.0,12291.0,22324.0
1/17/2021,815995.0,0.0,12296.0,22324.0
1/18/2021,820952.0,0.0,12360.0,22324.0
1/19/2021,828444.0,0.0,12582.0,28907.0
1/20/2021,836649.0,0.0,12778.0,35029.0
1/21/2021,844799.0,0.0,12889.0,39972.0
1/22/2021,853173.0,0.0,13060.0,59925.0
1/23/2021,862158.0,0.0,13246.0,59965.0
1/24/2021,866911.0,0.0,13250.0,59965.0
1/25/2021,870828.0,0.0,13303.0,59965.0
1/26/2021,879221.0,0.0,13482.0,64989.0
1/27/2021,885605.0,0.0,13643.0,75360.0
1/28/2021,892957.0,0.0,13827.0,89305.0
1/29/2021,899515.0,0.0,13986.0,99941.0
1/30/2021,905858.0,0.0,14196.0,109311.0
1/31/2021,909445.0,0.0,14198.0,119878.0
2/1/2021,912479.0,0.0,14242.0,125548.0
2/2/2021,917440.0,0.0,14450.0,129885.0
2/3/2021,922364.0,0.0,14587.0,140900.0
2/4/2021,928070.0,0.0,14756.0,152626.0
2/5/2021,932912.0,0.0,14858.0,169163.0
2/6/2021,937402.0,0.0,15090.0,188736.0
2/7/2021,940991.0,0.0,15092.0,210237.0
2/8/2021,943695.0,0.0,15130.0,219840.0
2/9/2021,947416.0,0.0,15301.0,227997.0
2/10/2021,950906.0,0.0,15421.0,251946.0
2/11/2021,955085.0,0.0,15513.0,279546.0
2/12/2021,958985.0,0.0,15708.0,279546.0
2/13/2021,962808.0,0.0,15850.0,313961.0
2/14/2021,964737.0,0.0,15871.0,380394.0
2/15/2021,966807.0,0.0,15928.0,380394.0
2/16/2021,969702.0,0.0,16174.0,402578.0
2/17/2021,973247.0,0.0,16273.0,402578.0
2/18/2021,976732.0,0.0,16403.0,462570.0
2/19/2021,980411.0,0.0,16610.0,527556.0
2/20/2021,983747.0,0.0,16742.0,568299.0
2/21/2021,985505.0,0.0,16744.0,609520.0
2/22/2021,987041.0,0.0,16835.0,620186.0
2/23/2021,990821.0,0.0,16927.0,624352.0
2/24/2021,994061.0,0.0,17064.0,649555.0
2/25/2021,997388.0,0.0,17199.0,674956.0
2/26/2021,1000822.0,0.0,17219.0,705985.0
2/27/2021,1004187.0,0.0,17294.0,741138.0
2/28/2021,1006521.0,0.0,17295.0,742880.0
3/1/2021,1008660.0,0.0,17376.0,743037.0
3/2/2021,1011807.0,0.0,17480.0,746611.0
3/3/2021,1014542.0,0.0,17625.0,775586.0
3/4/2021,1017428.0,0.0,17750.0,805346.0
3/5/2021,1019509.0,0.0,17815.0,841985.0
3/6/2021,1021778.0,0.0,17905.0,867118.0
3/7/2021,1023487.0,0.0,17906.0,894327.0
3/8/2021,1024931.0,0.0,17948.0,904207.0
3/9/2021,1026692.0,0.0,17978.0,910623.0
3/10/2021,1028432.0,0.0,18036.0,911979.0
3/11/2021,1030146.0,0.0,18117.0,936451.0
3/12/2021,1031713.0,0.0,18164.0,979717.0
3/13/2021,1032967.0,0.0,18216.0,1008364.0
3/14/2021,1033786.0,0.0,18215.0,1033760.0
3/15/2021,1034763.0,0.0,18262.0,1044640.0
3/16/2021,1036506.0,0.0,18287.0,1048574.0
3/17/2021,1038550.0,0.0,18359.0,1050574.0
3/18/2021,1040817.0,0.0,18420.0,1082385.0
3/19/2021,1042417.0,0.0,18464.0,1084493.0
3/20/2021,1044134.0,0.0,18530.0,1138530.0
3/21/2021,1045638.0,0.0,18530.0,1155439.0
3/22/2021,1046382.0,0.0,18556.0,1171886.0
3/23/2021,1048173.0,0.0,18588.0,1172125.0
3/24/2021,1049397.0,0.0,18660.0,1191691.0
3/25/2021,1051361.0,0.0,18751.0,1208667.0
3/26/2021,1053020.0,0.0,18849.0,1229095.0
3/27/2021,1054430.0,0.0,18926.0,1250189.0
3/28/2021,1055256.0,0.0,18926.0,1267677.0
3/29/2021,1056421.0,0.0,18962.0,1275068.0
3/30/2021,1057741.0,0.0,18987.0,1280161.0
3/31/2021,1059548.0,0.0,19055.0,1301323.0
4/1/2021,1060973.0,0.0,19119.0,1327557.0
4/2/2021,1062555.0,0.0,19176.0,1359623.0
4/3/2021,1063680.0,0.0,19210.0,1392057.0
4/4/2021,1064554.0,0.0,19212.0,1393877.0
4/5/2021,1065197.0,0.0,19212.0,1415768.0
4/6/2021,1066671.0,0.0,19238.0,1421747.0
4/7/2021,1068199.0,0.0,19305.0,1494480.0
4/8/2021,1069689.0,0.0,19374.0,1536865.0
4/9/2021,1071130.0,0.0,19424.0,1587661.0
4/10/2021,1072700.0,0.0,19488.0,1591591.0
4/11/2021,1073792.0,0.0,19488.0,1594354.0
4/12/2021,1074731.0,0.0,19523.0,1595403.0
4/13/2021,1076644.0,0.0,19548.0,1737965.0
4/14/2021,1078379.0,0.0,19600.0,1782385.0
