Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,23048.0,0.0,306.0,0.0
1/13/2021,23141.0,0.0,309.0,0.0
1/14/2021,23305.0,0.0,315.0,0.0
1/15/2021,23448.0,0.0,315.0,7268.0
1/16/2021,23604.0,0.0,317.0,7268.0
1/17/2021,23725.0,0.0,319.0,7268.0
1/18/2021,23840.0,0.0,319.0,7268.0
1/19/2021,24483.0,0.0,321.0,11319.0
1/20/2021,24551.0,0.0,322.0,13833.0
1/21/2021,24663.0,0.0,325.0,16132.0
1/22/2021,24785.0,0.0,329.0,16802.0
1/23/2021,24950.0,0.0,333.0,16802.0
1/24/2021,25093.0,0.0,339.0,16802.0
1/25/2021,25209.0,0.0,339.0,17795.0
1/26/2021,25272.0,0.0,398.0,17939.0
1/27/2021,25366.0,0.0,401.0,18544.0
1/28/2021,25460.0,0.0,403.0,19804.0
1/29/2021,25564.0,0.0,404.0,21736.0
1/30/2021,25708.0,0.0,404.0,23758.0
1/31/2021,25786.0,0.0,407.0,25868.0
2/1/2021,25870.0,0.0,407.0,27090.0
2/2/2021,25932.0,0.0,407.0,27156.0
2/3/2021,26000.0,0.0,411.0,28245.0
2/4/2021,26101.0,0.0,413.0,30573.0
2/5/2021,26192.0,0.0,413.0,33726.0
2/6/2021,26325.0,0.0,413.0,37054.0
2/7/2021,26398.0,0.0,415.0,40514.0
2/8/2021,26428.0,0.0,415.0,42472.0
2/9/2021,26456.0,0.0,415.0,42472.0
2/10/2021,26507.0,0.0,420.0,42472.0
2/11/2021,26591.0,0.0,421.0,49969.0
2/12/2021,26652.0,0.0,422.0,53976.0
2/13/2021,26729.0,0.0,422.0,58194.0
2/14/2021,26772.0,0.0,423.0,62239.0
2/15/2021,26803.0,0.0,423.0,62239.0
2/16/2021,26819.0,0.0,423.0,68688.0
2/17/2021,26846.0,0.0,424.0,69799.0
2/18/2021,26906.0,0.0,425.0,73236.0
2/19/2021,26950.0,0.0,427.0,90892.0
2/20/2021,27011.0,0.0,427.0,96971.0
2/21/2021,27075.0,0.0,428.0,102818.0
2/22/2021,27124.0,0.0,428.0,107829.0
2/23/2021,27168.0,0.0,428.0,109100.0
2/24/2021,27211.0,0.0,432.0,113081.0
2/25/2021,27247.0,0.0,432.0,117638.0
2/26/2021,27286.0,0.0,434.0,123174.0
2/27/2021,27419.0,0.0,436.0,129821.0
2/28/2021,27473.0,0.0,436.0,136943.0
3/1/2021,27499.0,0.0,436.0,141240.0
3/2/2021,27532.0,0.0,436.0,143658.0
3/3/2021,27549.0,0.0,438.0,147853.0
3/4/2021,27604.0,0.0,438.0,154495.0
3/5/2021,27655.0,0.0,440.0,159646.0
3/6/2021,27774.0,0.0,441.0,165543.0
3/7/2021,27821.0,0.0,442.0,166634.0
3/8/2021,27862.0,0.0,442.0,174927.0
3/9/2021,27903.0,0.0,442.0,179965.0
3/10/2021,27944.0,0.0,445.0,184608.0
3/11/2021,27998.0,0.0,445.0,188723.0
3/12/2021,28062.0,0.0,446.0,193632.0
3/13/2021,28218.0,0.0,447.0,199012.0
3/14/2021,28268.0,0.0,448.0,202968.0
3/15/2021,28312.0,0.0,448.0,208017.0
3/16/2021,28357.0,0.0,448.0,211174.0
3/17/2021,28423.0,0.0,448.0,215871.0
3/18/2021,28509.0,0.0,448.0,219607.0
3/19/2021,28602.0,0.0,449.0,224113.0
3/20/2021,28763.0,0.0,450.0,228167.0
3/21/2021,28834.0,0.0,451.0,231477.0
3/22/2021,28912.0,0.0,451.0,232428.0
3/23/2021,28950.0,0.0,451.0,235147.0
3/24/2021,29005.0,0.0,454.0,238370.0
3/25/2021,29120.0,0.0,455.0,242800.0
3/26/2021,29237.0,0.0,456.0,250357.0
3/27/2021,29426.0,0.0,459.0,250944.0
3/28/2021,29528.0,0.0,459.0,251645.0
3/29/2021,29608.0,0.0,459.0,259463.0
3/30/2021,29689.0,0.0,459.0,262135.0
3/31/2021,29779.0,0.0,460.0,268481.0
4/1/2021,29888.0,0.0,460.0,276272.0
4/2/2021,30017.0,0.0,460.0,284689.0
4/3/2021,30246.0,0.0,464.0,290158.0
4/4/2021,30338.0,0.0,464.0,296651.0
4/5/2021,30427.0,0.0,464.0,299014.0
4/6/2021,30479.0,0.0,464.0,303429.0
4/7/2021,30552.0,0.0,464.0,311523.0
4/8/2021,30673.0,0.0,467.0,322180.0
4/9/2021,30754.0,0.0,467.0,334093.0
4/10/2021,30956.0,0.0,468.0,335003.0
4/11/2021,31045.0,0.0,468.0,345487.0
4/12/2021,31113.0,0.0,468.0,356879.0
4/13/2021,31175.0,0.0,468.0,363486.0
4/14/2021,31242.0,0.0,470.0,372339.0
4/15/2021,31337.0,0.0,470.0,379371.0
4/16/2021,31422.0,0.0,471.0,387882.0
4/17/2021,31606.0,0.0,471.0,394717.0
4/18/2021,31715.0,0.0,471.0,402153.0
4/19/2021,31779.0,0.0,471.0,405709.0
4/20/2021,31817.0,0.0,471.0,440199.0
4/21/2021,31885.0,0.0,471.0,445314.0
4/22/2021,31977.0,0.0,473.0,451914.0
4/23/2021,32066.0,0.0,474.0,457517.0
4/24/2021,32165.0,0.0,475.0,464503.0
4/25/2021,32284.0,0.0,475.0,473499.0
4/26/2021,32349.0,0.0,475.0,478866.0
4/27/2021,32397.0,0.0,476.0,483260.0
4/28/2021,32465.0,0.0,479.0,490217.0
4/29/2021,32580.0,0.0,480.0,496734.0
4/30/2021,32694.0,0.0,480.0,504812.0
5/1/2021,32882.0,0.0,480.0,511672.0
5/2/2021,32989.0,0.0,480.0,517810.0
5/3/2021,33060.0,0.0,481.0,521634.0
5/4/2021,33132.0,0.0,481.0,522156.0
5/5/2021,33186.0,0.0,482.0,523984.0
5/6/2021,33309.0,0.0,483.0,524415.0
5/7/2021,33417.0,0.0,483.0,568637.0
5/8/2021,33540.0,0.0,484.0,572466.0
5/9/2021,33613.0,0.0,485.0,577610.0
5/10/2021,33665.0,0.0,485.0,577721.0
5/11/2021,33723.0,0.0,485.0,581683.0
5/12/2021,33762.0,0.0,486.0,583992.0
5/13/2021,33835.0,0.0,486.0,592676.0
5/14/2021,33915.0,0.0,487.0,595526.0
5/15/2021,34064.0,0.0,488.0,609688.0
5/16/2021,34180.0,0.0,489.0,610661.0
5/17/2021,34247.0,0.0,489.0,623006.0
5/18/2021,34300.0,0.0,489.0,625841.0
5/19/2021,34395.0,0.0,489.0,632594.0
5/20/2021,34474.0,0.0,489.0,640679.0
5/21/2021,34521.0,0.0,491.0,647759.0
5/22/2021,34610.0,0.0,491.0,653864.0
5/23/2021,34654.0,0.0,493.0,654699.0
5/24/2021,34688.0,0.0,493.0,661016.0
5/25/2021,34708.0,0.0,493.0,664651.0
