Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,298406.0,0.0,4222.0,6099.0
1/13/2021,300304.0,0.0,4232.0,9603.0
1/14/2021,301824.0,0.0,4251.0,9603.0
1/15/2021,303120.0,0.0,4257.0,10742.0
1/16/2021,304270.0,0.0,4321.0,10742.0
1/17/2021,304906.0,0.0,4323.0,10742.0
1/18/2021,305622.0,0.0,4324.0,10742.0
1/19/2021,306679.0,0.0,4332.0,12629.0
1/20/2021,307908.0,0.0,4394.0,13995.0
1/21/2021,309600.0,0.0,4445.0,16860.0
1/22/2021,310935.0,0.0,4478.0,22429.0
1/23/2021,312084.0,0.0,4487.0,26426.0
1/24/2021,312932.0,0.0,4488.0,30949.0
1/25/2021,313515.0,0.0,4488.0,32149.0
1/26/2021,314411.0,0.0,4492.0,32547.0
1/27/2021,315412.0,0.0,4500.0,36067.0
1/28/2021,316684.0,0.0,4532.0,40477.0
1/29/2021,317689.0,0.0,4577.0,46785.0
1/30/2021,318556.0,0.0,4651.0,52324.0
1/31/2021,319247.0,0.0,4901.0,58367.0
2/1/2021,319814.0,0.0,4906.0,60259.0
2/2/2021,320618.0,0.0,4919.0,61085.0
2/3/2021,321836.0,0.0,4975.0,64234.0
2/4/2021,322709.0,0.0,5033.0,69401.0
2/5/2021,323509.0,0.0,5067.0,74252.0
2/6/2021,323937.0,0.0,5108.0,80640.0
2/7/2021,324443.0,0.0,5108.0,87373.0
2/8/2021,324908.0,0.0,5110.0,89506.0
2/9/2021,325583.0,0.0,5145.0,90525.0
2/10/2021,326573.0,0.0,5174.0,95650.0
2/11/2021,327426.0,0.0,5196.0,99986.0
2/12/2021,328139.0,0.0,5223.0,104622.0
2/13/2021,328719.0,0.0,5236.0,109660.0
2/14/2021,329120.0,0.0,5236.0,115407.0
2/15/2021,329453.0,0.0,5237.0,115407.0
2/16/2021,329909.0,0.0,5263.0,119865.0
2/17/2021,330507.0,0.0,5306.0,122291.0
2/18/2021,331221.0,0.0,5321.0,124111.0
2/19/2021,331768.0,0.0,5336.0,134995.0
2/20/2021,332228.0,0.0,5336.0,141104.0
2/21/2021,332641.0,0.0,5336.0,147615.0
2/22/2021,333068.0,0.0,5374.0,152158.0
2/23/2021,333501.0,0.0,5400.0,153335.0
2/24/2021,334244.0,0.0,5415.0,155321.0
2/25/2021,334900.0,0.0,5438.0,157985.0
2/26/2021,335588.0,0.0,5463.0,163243.0
2/27/2021,336007.0,0.0,5470.0,169214.0
2/28/2021,336329.0,0.0,5471.0,178637.0
3/1/2021,336647.0,0.0,5472.0,188168.0
3/2/2021,337062.0,0.0,5498.0,190215.0
3/3/2021,337686.0,0.0,5501.0,196691.0
3/4/2021,338269.0,0.0,5536.0,206008.0
3/5/2021,338774.0,0.0,5549.0,219494.0
3/6/2021,339258.0,0.0,5552.0,253261.0
3/7/2021,339574.0,0.0,5558.0,274405.0
3/8/2021,339779.0,0.0,5559.0,304688.0
3/9/2021,340336.0,0.0,5574.0,313434.0
3/10/2021,341102.0,0.0,5601.0,323127.0
3/11/2021,341575.0,0.0,5621.0,339509.0
3/12/2021,342070.0,0.0,5630.0,359687.0
3/13/2021,342495.0,0.0,5633.0,407675.0
3/14/2021,342776.0,0.0,5641.0,407760.0
3/15/2021,343073.0,0.0,5642.0,423373.0
3/16/2021,343515.0,0.0,5657.0,428963.0
3/17/2021,344005.0,0.0,5666.0,429403.0
3/18/2021,344501.0,0.0,5672.0,441682.0
3/19/2021,345025.0,0.0,5672.0,464445.0
3/20/2021,345390.0,0.0,5674.0,485885.0
3/21/2021,345710.0,0.0,5675.0,503391.0
3/22/2021,345934.0,0.0,5675.0,513482.0
3/23/2021,346447.0,0.0,5683.0,517307.0
3/24/2021,347205.0,0.0,5689.0,523340.0
3/25/2021,347872.0,0.0,5708.0,530038.0
3/26/2021,348695.0,0.0,5716.0,544454.0
3/27/2021,349178.0,0.0,5718.0,562423.0
3/28/2021,349626.0,0.0,5725.0,585741.0
3/29/2021,349885.0,0.0,5729.0,598935.0
3/30/2021,350462.0,0.0,5729.0,603095.0
3/31/2021,350999.0,0.0,5743.0,610099.0
4/1/2021,351795.0,0.0,5751.0,621545.0
4/2/2021,352384.0,0.0,5754.0,636810.0
4/3/2021,352874.0,0.0,5822.0,672306.0
4/4/2021,353280.0,0.0,5822.0,672920.0
4/5/2021,353548.0,0.0,5822.0,683527.0
4/6/2021,354072.0,0.0,5835.0,686954.0
4/7/2021,354822.0,0.0,5836.0,695437.0
4/8/2021,355453.0,0.0,5843.0,712554.0
4/9/2021,356068.0,0.0,5849.0,732901.0
4/10/2021,356509.0,0.0,5857.0,755255.0
4/11/2021,356946.0,0.0,5857.0,783748.0
4/12/2021,357178.0,0.0,5857.0,796722.0
4/13/2021,357739.0,0.0,5857.0,804321.0
4/14/2021,358395.0,0.0,5857.0,821589.0
4/15/2021,358873.0,0.0,5870.0,838544.0
4/16/2021,359260.0,0.0,5878.0,857061.0
4/17/2021,359764.0,0.0,5881.0,875533.0
4/18/2021,360013.0,0.0,5881.0,895032.0
4/19/2021,360173.0,0.0,5886.0,906973.0
4/20/2021,360782.0,0.0,5893.0,910781.0
4/21/2021,361424.0,0.0,5899.0,920481.0
4/22/2021,361894.0,0.0,5904.0,936258.0
4/23/2021,362334.0,0.0,5907.0,955820.0
4/24/2021,362732.0,0.0,5927.0,977098.0
4/25/2021,362923.0,0.0,5927.0,1000402.0
4/26/2021,363158.0,0.0,5927.0,1009439.0
4/27/2021,363530.0,0.0,5930.0,1017291.0
4/28/2021,364033.0,0.0,5931.0,1025468.0
4/29/2021,364476.0,0.0,5931.0,1046172.0
4/30/2021,364842.0,0.0,5950.0,1066664.0
5/1/2021,365228.0,0.0,5952.0,1089362.0
5/2/2021,365519.0,0.0,5959.0,1109016.0
5/3/2021,365620.0,0.0,5959.0,1122814.0
5/4/2021,366126.0,0.0,5960.0,1128668.0
5/5/2021,366566.0,0.0,5962.0,1137408.0
5/6/2021,366946.0,0.0,5980.0,1153092.0
5/7/2021,367297.0,0.0,5983.0,1169842.0
5/8/2021,367561.0,0.0,5984.0,1187977.0
5/9/2021,367715.0,0.0,5985.0,1204970.0
5/10/2021,367909.0,0.0,5985.0,1217278.0
5/11/2021,368190.0,0.0,5989.0,1223229.0
5/12/2021,368566.0,0.0,5994.0,1229761.0
5/13/2021,368823.0,0.0,5997.0,1241247.0
5/14/2021,369060.0,0.0,5998.0,1253317.0
5/15/2021,369230.0,0.0,6000.0,1266340.0
5/16/2021,369368.0,0.0,6006.0,1280972.0
5/17/2021,369489.0,0.0,6006.0,1291090.0
5/18/2021,369690.0,0.0,6013.0,1294912.0
5/19/2021,369987.0,0.0,6018.0,1300473.0
5/20/2021,370195.0,0.0,6025.0,1310692.0
5/21/2021,370363.0,0.0,6035.0,1320401.0
5/22/2021,370517.0,0.0,6035.0,1330456.0
5/23/2021,370625.0,0.0,6035.0,1340627.0
5/24/2021,370715.0,0.0,6035.0,1345985.0
5/25/2021,370875.0,0.0,6039.0,1348285.0
