Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,570834.0,0.0,10766.0,23546.0
1/13/2021,574488.0,0.0,10835.0,32040.0
1/14/2021,578875.0,0.0,10909.0,32040.0
1/15/2021,583553.0,0.0,10987.0,37683.0
1/16/2021,587454.0,0.0,11057.0,37683.0
1/17/2021,590628.0,0.0,11135.0,37683.0
1/18/2021,593138.0,0.0,11211.0,37683.0
1/19/2021,595877.0,0.0,11285.0,50862.0
1/20/2021,598766.0,0.0,11338.0,58616.0
1/21/2021,602402.0,0.0,11409.0,66801.0
1/22/2021,605903.0,0.0,11470.0,73986.0
1/23/2021,609008.0,0.0,11544.0,77985.0
1/24/2021,611540.0,0.0,11598.0,77985.0
1/25/2021,613741.0,0.0,11654.0,83554.0
1/26/2021,615471.0,0.0,11708.0,84719.0
1/27/2021,617713.0,0.0,11765.0,91255.0
1/28/2021,620544.0,0.0,11825.0,97614.0
1/29/2021,623186.0,0.0,11884.0,105208.0
1/30/2021,625532.0,0.0,11939.0,111233.0
1/31/2021,627267.0,0.0,11993.0,111233.0
2/1/2021,628988.0,0.0,12041.0,111233.0
2/2/2021,630512.0,0.0,12090.0,112864.0
2/3/2021,631952.0,0.0,12142.0,120352.0
2/4/2021,634323.0,0.0,12196.0,129626.0
2/5/2021,635816.0,0.0,12240.0,142405.0
2/6/2021,638644.0,0.0,12273.0,156083.0
2/7/2021,640380.0,0.0,12302.0,156083.0
2/8/2021,641425.0,0.0,12333.0,156083.0
2/9/2021,642567.0,0.0,12359.0,161879.0
2/10/2021,644010.0,0.0,12396.0,177231.0
2/11/2021,645723.0,0.0,12427.0,194281.0
2/12/2021,647154.0,0.0,12449.0,213259.0
2/13/2021,648398.0,0.0,12478.0,267774.0
2/14/2021,649628.0,0.0,12499.0,287278.0
2/15/2021,650417.0,0.0,12521.0,287278.0
2/16/2021,651307.0,0.0,12554.0,303183.0
2/17/2021,652242.0,0.0,12579.0,313895.0
2/18/2021,653011.0,0.0,12608.0,320425.0
2/19/2021,654058.0,0.0,12624.0,350440.0
2/20/2021,655485.0,0.0,12636.0,372868.0
2/21/2021,656378.0,0.0,12667.0,393133.0
2/22/2021,657207.0,0.0,12689.0,406193.0
2/23/2021,657898.0,0.0,12711.0,409185.0
2/24/2021,658916.0,0.0,12728.0,442984.0
2/25/2021,660013.0,0.0,12747.0,497603.0
2/26/2021,660970.0,0.0,12764.0,523102.0
2/27/2021,661854.0,0.0,12781.0,547718.0
2/28/2021,662598.0,0.0,12794.0,568523.0
3/1/2021,663151.0,0.0,12810.0,582218.0
3/2/2021,663701.0,0.0,12824.0,586294.0
3/3/2021,664475.0,0.0,12850.0,604583.0
3/4/2021,665423.0,0.0,12861.0,626952.0
3/5/2021,666275.0,0.0,12874.0,652106.0
3/6/2021,667519.0,0.0,12891.0,676716.0
3/7/2021,668278.0,0.0,12903.0,696962.0
3/8/2021,668765.0,0.0,12916.0,716718.0
3/9/2021,669350.0,0.0,12930.0,724015.0
3/10/2021,670219.0,0.0,12942.0,745011.0
3/11/2021,671142.0,0.0,12957.0,765301.0
3/12/2021,672104.0,0.0,12967.0,792015.0
3/13/2021,672953.0,0.0,12983.0,837244.0
3/14/2021,673661.0,0.0,12990.0,837398.0
3/15/2021,674087.0,0.0,12998.0,854647.0
3/16/2021,674661.0,0.0,13006.0,859950.0
3/17/2021,675576.0,0.0,13016.0,875577.0
3/18/2021,676547.0,0.0,13024.0,893151.0
3/19/2021,677419.0,0.0,13044.0,913463.0
3/20/2021,678357.0,0.0,13053.0,937926.0
3/21/2021,679103.0,0.0,13056.0,956783.0
3/22/2021,679646.0,0.0,13066.0,969665.0
3/23/2021,680341.0,0.0,13073.0,974543.0
3/24/2021,681340.0,0.0,13079.0,989857.0
3/25/2021,682324.0,0.0,13086.0,1011271.0
3/26/2021,683444.0,0.0,13095.0,1036624.0
3/27/2021,684440.0,0.0,13102.0,1060159.0
3/28/2021,685403.0,0.0,13110.0,1082231.0
3/29/2021,686135.0,0.0,13118.0,1098306.0
3/30/2021,686874.0,0.0,13124.0,1103261.0
3/31/2021,687937.0,0.0,13133.0,1123914.0
4/1/2021,689172.0,0.0,13143.0,1147247.0
4/2/2021,690394.0,0.0,13152.0,1174624.0
4/3/2021,691462.0,0.0,13158.0,1208285.0
4/4/2021,692426.0,0.0,13164.0,1233438.0
4/5/2021,693160.0,0.0,13170.0,1250217.0
4/6/2021,693775.0,0.0,13173.0,1252763.0
4/7/2021,694960.0,0.0,13178.0,1272876.0
4/8/2021,696371.0,0.0,13187.0,1298097.0
4/9/2021,697710.0,0.0,13194.0,1326151.0
4/10/2021,699068.0,0.0,13203.0,1356734.0
4/11/2021,700227.0,0.0,13213.0,1381844.0
4/12/2021,701073.0,0.0,13224.0,1404887.0
4/13/2021,702025.0,0.0,13235.0,1411286.0
4/14/2021,703221.0,0.0,13252.0,1419782.0
4/15/2021,704595.0,0.0,13257.0,1449816.0
4/16/2021,705882.0,0.0,13263.0,1480851.0
4/17/2021,707120.0,0.0,13275.0,1509814.0
4/18/2021,708076.0,0.0,13283.0,1534209.0
4/19/2021,708788.0,0.0,13288.0,1547101.0
4/20/2021,709464.0,0.0,13294.0,1552343.0
4/21/2021,710607.0,0.0,13302.0,1572858.0
4/22/2021,711787.0,0.0,13310.0,1598850.0
4/23/2021,712858.0,0.0,13314.0,1630002.0
4/24/2021,713959.0,0.0,13320.0,1659992.0
4/25/2021,714786.0,0.0,13329.0,1684341.0
4/26/2021,715468.0,0.0,13340.0,1701402.0
4/27/2021,716306.0,0.0,13348.0,1710566.0
4/28/2021,717564.0,0.0,13359.0,1735367.0
4/29/2021,718948.0,0.0,13368.0,1767251.0
4/30/2021,720425.0,0.0,13376.0,1804874.0
5/1/2021,721577.0,0.0,13386.0,1837863.0
5/2/2021,722646.0,0.0,13394.0,1866680.0
5/3/2021,723443.0,0.0,13403.0,1879763.0
5/4/2021,724214.0,0.0,13411.0,1886703.0
5/5/2021,725353.0,0.0,13418.0,1908526.0
5/6/2021,726600.0,0.0,13429.0,1940977.0
5/7/2021,727764.0,0.0,13439.0,1978478.0
5/8/2021,728811.0,0.0,13450.0,2005243.0
5/9/2021,729716.0,0.0,13459.0,2032376.0
5/10/2021,730306.0,0.0,13473.0,2048655.0
5/11/2021,730969.0,0.0,13478.0,2061307.0
5/12/2021,731810.0,0.0,13488.0,2080805.0
5/13/2021,732692.0,0.0,13496.0,2106606.0
5/14/2021,733591.0,0.0,13507.0,2133785.0
5/15/2021,734736.0,0.0,13514.0,2160955.0
5/16/2021,735462.0,0.0,13525.0,2184367.0
5/17/2021,735999.0,0.0,13536.0,2196547.0
5/18/2021,736480.0,0.0,13544.0,2203604.0
5/19/2021,737282.0,0.0,13550.0,2220826.0
5/20/2021,738173.0,0.0,13564.0,2240373.0
5/21/2021,738961.0,0.0,13572.0,2262150.0
5/22/2021,739626.0,0.0,13581.0,2282947.0
5/23/2021,740189.0,0.0,13594.0,2301734.0
5/24/2021,740564.0,0.0,13596.0,2310307.0
5/25/2021,741053.0,0.0,13605.0,2312972.0
