Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,0.0,0.0,0.0,0.0
3/5/2020,0.0,0.0,0.0,0.0
3/6/2020,0.0,0.0,0.0,0.0
3/7/2020,1.0,0.0,0.0,0.0
3/8/2020,1.0,0.0,0.0,0.0
3/9/2020,1.0,0.0,0.0,0.0
3/10/2020,4.0,0.0,0.0,0.0
3/11/2020,4.0,0.0,0.0,0.0
3/12/2020,11.0,0.0,0.0,0.0
3/13/2020,11.0,0.0,0.0,0.0
3/14/2020,15.0,0.0,0.0,0.0
3/15/2020,20.0,0.0,0.0,0.0
3/16/2020,22.0,0.0,0.0,0.0
3/17/2020,26.0,0.0,0.0,0.0
3/18/2020,35.0,0.0,1.0,0.0
3/19/2020,43.0,0.0,2.0,0.0
3/20/2020,48.0,0.0,2.0,0.0
3/21/2020,87.0,0.0,3.0,0.0
3/22/2020,103.0,0.0,3.0,0.0
3/23/2020,124.0,0.0,4.0,0.0
3/24/2020,163.0,0.0,4.0,0.0
3/25/2020,198.0,0.0,5.0,0.0
3/26/2020,248.0,0.0,5.0,0.0
3/27/2020,302.0,0.0,8.0,0.0
3/28/2020,394.0,0.0,9.0,0.0
3/29/2020,439.0,0.0,9.0,0.0
3/30/2020,480.0,0.0,11.0,0.0
3/31/2020,591.0,0.0,18.0,0.0
4/1/2020,680.0,0.0,20.0,0.0
4/2/2020,770.0,0.0,31.0,0.0
4/3/2020,831.0,0.0,37.0,0.0
4/4/2020,917.0,0.0,40.0,0.0
4/5/2020,955.0,0.0,45.0,0.0
4/6/2020,1008.0,0.0,59.0,0.0
4/7/2020,1149.0,0.0,65.0,0.0
4/8/2020,1346.0,0.0,73.0,0.0
4/9/2020,1452.0,0.0,79.0,0.0
4/10/2020,1693.0,0.0,90.0,0.0
4/11/2020,1840.0,0.0,94.0,0.0
4/12/2020,1963.0,0.0,97.0,0.0
4/13/2020,2048.0,0.0,104.0,0.0
4/14/2020,2210.0,0.0,115.0,0.0
4/15/2020,2291.0,0.0,122.0,0.0
4/16/2020,2429.0,0.0,129.0,0.0
4/17/2020,2522.0,0.0,137.0,0.0
4/18/2020,2707.0,0.0,144.0,0.0
4/19/2020,2960.0,0.0,148.0,0.0
4/20/2020,3050.0,0.0,154.0,0.0
4/21/2020,3192.0,0.0,171.0,0.0
4/22/2020,3373.0,0.0,185.0,0.0
4/23/2020,3481.0,0.0,191.0,0.0
4/24/2020,3779.0,0.0,200.0,0.0
4/25/2020,3905.0,0.0,205.0,0.0
4/26/2020,4074.0,0.0,208.0,0.0
4/27/2020,4146.0,0.0,213.0,0.0
4/28/2020,4375.0,0.0,225.0,0.0
4/29/2020,4539.0,0.0,235.0,0.0
4/30/2020,4708.0,0.0,240.0,0.0
5/1/2020,4879.0,0.0,248.0,0.0
5/2/2020,4879.0,0.0,248.0,0.0
5/3/2020,5130.0,0.0,253.0,0.0
5/4/2020,5245.0,0.0,261.0,0.0
5/5/2020,5822.0,0.0,275.0,0.0
5/6/2020,5934.0,0.0,283.0,0.0
5/7/2020,6129.0,0.0,294.0,0.0
5/8/2020,6288.0,0.0,298.0,0.0
5/9/2020,6440.0,0.0,304.0,0.0
5/10/2020,6440.0,0.0,304.0,0.0
5/11/2020,6677.0,0.0,311.0,0.0
5/12/2020,6853.0,0.0,321.0,0.0
5/13/2020,7080.0,0.0,326.0,0.0
5/14/2020,7225.0,0.0,328.0,0.0
5/15/2020,7444.0,0.0,332.0,0.0
5/16/2020,7688.0,0.0,334.0,0.0
5/17/2020,7688.0,0.0,334.0,0.0
