Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,352939.0,0.0,7971.0,18314.0
1/13/2021,355835.0,0.0,8022.0,21634.0
1/14/2021,361148.0,0.0,8080.0,21634.0
1/15/2021,364853.0,0.0,8080.0,30416.0
1/16/2021,364853.0,0.0,8080.0,30416.0
1/17/2021,368980.0,0.0,8203.0,30416.0
1/18/2021,369951.0,0.0,8253.0,30416.0
1/19/2021,372089.0,0.0,8324.0,33967.0
1/20/2021,374582.0,0.0,8383.0,35049.0
1/21/2021,378318.0,0.0,8442.0,38095.0
1/22/2021,380255.0,0.0,8483.0,40385.0
1/23/2021,380255.0,0.0,8483.0,41788.0
1/24/2021,383862.0,0.0,8565.0,42520.0
1/25/2021,385942.0,0.0,8590.0,43151.0
1/26/2021,388562.0,0.0,8621.0,43189.0
1/27/2021,392416.0,0.0,8688.0,46954.0
1/28/2021,394909.0,0.0,8743.0,51583.0
1/29/2021,397276.0,0.0,8801.0,58132.0
1/30/2021,397276.0,0.0,8801.0,65136.0
1/31/2021,400626.0,0.0,8859.0,73436.0
2/1/2021,401591.0,0.0,8912.0,85872.0
2/2/2021,404194.0,0.0,8953.0,96606.0
2/3/2021,406235.0,0.0,9006.0,104070.0
2/4/2021,408995.0,0.0,9044.0,115629.0
2/5/2021,409861.0,0.0,9076.0,131355.0
2/6/2021,409861.0,0.0,9076.0,150219.0
2/7/2021,411812.0,0.0,9119.0,167576.0
2/8/2021,412989.0,0.0,9142.0,176580.0
2/9/2021,414354.0,0.0,9162.0,180112.0
2/10/2021,414687.0,0.0,9212.0,189574.0
2/11/2021,417415.0,0.0,9239.0,189574.0
2/12/2021,418585.0,0.0,9276.0,217681.0
2/13/2021,418585.0,0.0,9276.0,232766.0
2/14/2021,419891.0,0.0,9292.0,248848.0
2/15/2021,420394.0,0.0,9325.0,248848.0
2/16/2021,420394.0,0.0,9325.0,255269.0
2/17/2021,421018.0,0.0,9391.0,258404.0
2/18/2021,421846.0,0.0,9406.0,259851.0
2/19/2021,422287.0,0.0,9440.0,285057.0
2/20/2021,422287.0,0.0,9440.0,293295.0
2/21/2021,424176.0,0.0,9466.0,301923.0
2/22/2021,424644.0,0.0,9477.0,302205.0
2/23/2021,426048.0,0.0,9503.0,304651.0
2/24/2021,426925.0,0.0,9528.0,312695.0
2/25/2021,427689.0,0.0,9561.0,325913.0
2/26/2021,428592.0,0.0,9587.0,343923.0
2/27/2021,428592.0,0.0,9587.0,361607.0
2/28/2021,430100.0,0.0,9608.0,374818.0
3/1/2021,430504.0,0.0,9628.0,379791.0
3/2/2021,431271.0,0.0,9647.0,381780.0
3/3/2021,431771.0,0.0,9668.0,389540.0
3/4/2021,432527.0,0.0,9686.0,401946.0
3/5/2021,433045.0,0.0,9716.0,418275.0
3/6/2021,433045.0,0.0,9716.0,418865.0
3/7/2021,433785.0,0.0,9748.0,419762.0
3/8/2021,434289.0,0.0,9758.0,461597.0
3/9/2021,434926.0,0.0,9769.0,465217.0
3/10/2021,435514.0,0.0,9812.0,475726.0
3/11/2021,435935.0,0.0,9828.0,487828.0
3/12/2021,436482.0,0.0,9861.0,505211.0
3/13/2021,436482.0,0.0,9861.0,540820.0
3/14/2021,437393.0,0.0,9884.0,540865.0
3/15/2021,437565.0,0.0,9903.0,550112.0
3/16/2021,438557.0,0.0,9925.0,554135.0
3/17/2021,439002.0,0.0,9955.0,563448.0
3/18/2021,439543.0,0.0,9974.0,563914.0
3/19/2021,439737.0,0.0,9988.0,588561.0
3/20/2021,439737.0,0.0,9988.0,605878.0
3/21/2021,439737.0,0.0,9988.0,620467.0
3/22/2021,441066.0,0.0,10030.0,628583.0
3/23/2021,441771.0,0.0,10037.0,631472.0
3/24/2021,442221.0,0.0,10056.0,643026.0
3/25/2021,442620.0,0.0,10073.0,655710.0
3/26/2021,443069.0,0.0,10087.0,673816.0
3/27/2021,443069.0,0.0,10087.0,696039.0
3/28/2021,443069.0,0.0,10087.0,719571.0
3/29/2021,443905.0,0.0,10122.0,735056.0
3/30/2021,444414.0,0.0,10132.0,739320.0
3/31/2021,444933.0,0.0,10141.0,758829.0
4/1/2021,445469.0,0.0,10161.0,780225.0
4/2/2021,445469.0,0.0,10161.0,805242.0
4/3/2021,445469.0,0.0,10161.0,833412.0
4/4/2021,445469.0,0.0,10161.0,846771.0
4/5/2021,446737.0,0.0,10165.0,855263.0
