Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,442529.0,0.0,13474.0,19073.0
1/13/2021,448447.0,0.0,13554.0,24789.0
1/14/2021,454402.0,0.0,13624.0,24789.0
1/15/2021,459927.0,0.0,13691.0,34885.0
1/16/2021,465726.0,0.0,13756.0,34885.0
1/17/2021,470140.0,0.0,13822.0,34885.0
1/18/2021,473441.0,0.0,13891.0,34885.0
1/19/2021,476526.0,0.0,13956.0,41053.0
1/20/2021,481040.0,0.0,14032.0,42062.0
1/21/2021,486180.0,0.0,14103.0,46247.0
1/22/2021,491452.0,0.0,14188.0,51662.0
1/23/2021,496093.0,0.0,14258.0,57869.0
1/24/2021,500037.0,0.0,14318.0,63096.0
1/25/2021,503688.0,0.0,14383.0,64648.0
1/26/2021,506183.0,0.0,14476.0,65761.0
1/27/2021,509503.0,0.0,14562.0,73152.0
1/28/2021,514134.0,0.0,14645.0,83637.0
1/29/2021,517252.0,0.0,14709.0,96373.0
1/30/2021,521360.0,0.0,14768.0,106799.0
1/31/2021,524025.0,0.0,14832.0,116315.0
2/1/2021,526423.0,0.0,14900.0,122652.0
2/2/2021,528662.0,0.0,14955.0,126560.0
2/3/2021,531117.0,0.0,15014.0,126560.0
2/4/2021,533921.0,0.0,15078.0,134311.0
2/5/2021,537208.0,0.0,15149.0,143690.0
2/6/2021,540827.0,0.0,15197.0,153692.0
2/7/2021,543934.0,0.0,15240.0,169148.0
2/8/2021,545303.0,0.0,15283.0,174437.0
2/9/2021,546896.0,0.0,15329.0,181280.0
2/10/2021,548946.0,0.0,15397.0,194968.0
2/11/2021,551396.0,0.0,15451.0,207392.0
2/12/2021,553812.0,0.0,15506.0,218795.0
2/13/2021,555895.0,0.0,15542.0,235910.0
2/14/2021,557777.0,0.0,15611.0,259760.0
2/15/2021,559350.0,0.0,15654.0,259760.0
2/16/2021,560576.0,0.0,15711.0,280622.0
2/17/2021,561936.0,0.0,15746.0,288309.0
2/18/2021,563976.0,0.0,15788.0,299871.0
2/19/2021,565794.0,0.0,15838.0,326108.0
2/20/2021,567764.0,0.0,15874.0,343624.0
2/21/2021,569284.0,0.0,15916.0,367709.0
2/22/2021,570546.0,0.0,15956.0,382100.0
2/23/2021,571783.0,0.0,15995.0,392631.0
2/24/2021,573885.0,0.0,16039.0,407380.0
2/25/2021,575993.0,0.0,16087.0,424922.0
2/26/2021,577980.0,0.0,16129.0,445006.0
2/27/2021,579680.0,0.0,16180.0,471242.0
2/28/2021,581148.0,0.0,16219.0,496356.0
3/1/2021,582543.0,0.0,16272.0,523119.0
3/2/2021,582844.0,0.0,16303.0,538986.0
3/3/2021,584743.0,0.0,16333.0,557064.0
3/4/2021,586310.0,0.0,16384.0,578386.0
3/5/2021,588209.0,0.0,16420.0,605400.0
3/6/2021,589931.0,0.0,16453.0,636626.0
3/7/2021,591356.0,0.0,16479.0,663148.0
3/8/2021,592344.0,0.0,16517.0,695094.0
3/9/2021,593607.0,0.0,16551.0,706965.0
3/10/2021,595264.0,0.0,16588.0,749328.0
3/11/2021,597073.0,0.0,16615.0,776259.0
3/12/2021,598859.0,0.0,16651.0,811452.0
3/13/2021,600616.0,0.0,16683.0,874031.0
3/14/2021,602308.0,0.0,16715.0,874199.0
3/15/2021,603464.0,0.0,16739.0,904685.0
3/16/2021,604666.0,0.0,16760.0,911506.0
3/17/2021,606377.0,0.0,16803.0,942557.0
3/18/2021,608318.0,0.0,16838.0,969041.0
3/19/2021,610481.0,0.0,16877.0,994623.0
3/20/2021,612857.0,0.0,16909.0,1021600.0
3/21/2021,614668.0,0.0,16938.0,1044985.0
3/22/2021,615874.0,0.0,16976.0,1069066.0
3/23/2021,617695.0,0.0,17003.0,1084737.0
3/24/2021,619816.0,0.0,17044.0,1110288.0
3/25/2021,622226.0,0.0,17076.0,1137413.0
3/26/2021,624986.0,0.0,17103.0,1166923.0
3/27/2021,627556.0,0.0,17130.0,1196939.0
3/28/2021,629531.0,0.0,17152.0,1227553.0
3/29/2021,631031.0,0.0,17178.0,1256616.0
3/30/2021,633081.0,0.0,17215.0,1275456.0
3/31/2021,635580.0,0.0,17243.0,1307031.0
4/1/2021,638339.0,0.0,17273.0,1341408.0
4/2/2021,640779.0,0.0,17301.0,1377011.0
4/3/2021,643232.0,0.0,17315.0,1416618.0
4/4/2021,643232.0,0.0,17330.0,1458104.0
4/5/2021,646220.0,0.0,17341.0,1487084.0
4/6/2021,648023.0,0.0,17355.0,1500461.0
4/7/2021,650573.0,0.0,17362.0,1538460.0
4/8/2021,652966.0,0.0,17369.0,1580322.0
4/9/2021,655278.0,0.0,17387.0,1627036.0
4/10/2021,657578.0,0.0,17401.0,1687323.0
4/11/2021,659569.0,0.0,17408.0,1738537.0
4/12/2021,661101.0,0.0,17419.0,1779448.0
4/13/2021,662699.0,0.0,17427.0,1803735.0
4/14/2021,664943.0,0.0,17436.0,1849210.0
4/15/2021,667066.0,0.0,17446.0,1892688.0
4/16/2021,669282.0,0.0,17455.0,1934940.0
4/17/2021,671250.0,0.0,17469.0,1976458.0
4/18/2021,672657.0,0.0,17478.0,2021713.0
4/19/2021,673974.0,0.0,17490.0,2058306.0
4/20/2021,675162.0,0.0,17500.0,2079975.0
4/21/2021,676758.0,0.0,17513.0,2116180.0
4/22/2021,678386.0,0.0,17523.0,2156940.0
4/23/2021,680007.0,0.0,17531.0,2201911.0
4/24/2021,681570.0,0.0,17541.0,2255295.0
4/25/2021,682784.0,0.0,17548.0,2306492.0
4/26/2021,683665.0,0.0,17564.0,2346322.0
4/27/2021,684630.0,0.0,17577.0,2374818.0
4/28/2021,686243.0,0.0,17588.0,2418822.0
4/29/2021,687638.0,0.0,17603.0,2461918.0
4/30/2021,688973.0,0.0,17610.0,2506657.0
5/1/2021,690279.0,0.0,17617.0,2558500.0
5/2/2021,691172.0,0.0,17623.0,2608161.0
5/3/2021,691735.0,0.0,17632.0,2630867.0
5/4/2021,692589.0,0.0,17639.0,2655965.0
5/5/2021,693608.0,0.0,17645.0,2691166.0
5/6/2021,694769.0,0.0,17656.0,2745439.0
5/7/2021,695745.0,0.0,17664.0,2808123.0
5/8/2021,696540.0,0.0,17667.0,2869733.0
5/9/2021,697398.0,0.0,17682.0,2919358.0
5/10/2021,697872.0,0.0,17698.0,2962840.0
5/11/2021,698427.0,0.0,17698.0,2999270.0
5/12/2021,699187.0,0.0,17712.0,3041527.0
5/13/2021,699908.0,0.0,17722.0,3087288.0
5/14/2021,700337.0,0.0,17742.0,3126883.0
5/15/2021,701490.0,0.0,17747.0,3173423.0
