Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,314867.0,0.0,6793.0,6663.0
1/13/2021,317815.0,0.0,6828.0,12706.0
1/14/2021,320739.0,0.0,6879.0,12706.0
1/15/2021,324031.0,0.0,6921.0,15830.0
1/16/2021,326445.0,0.0,6962.0,15830.0
1/17/2021,328214.0,0.0,7011.0,15830.0
1/18/2021,330186.0,0.0,7064.0,15830.0
1/19/2021,332353.0,0.0,7113.0,21794.0
1/20/2021,334519.0,0.0,7159.0,24355.0
1/21/2021,336915.0,0.0,7203.0,28106.0
1/22/2021,339307.0,0.0,7243.0,30877.0
1/23/2021,341452.0,0.0,7287.0,34090.0
1/24/2021,343138.0,0.0,7340.0,37507.0
1/25/2021,344620.0,0.0,7388.0,39259.0
1/26/2021,346559.0,0.0,7425.0,42228.0
1/27/2021,348749.0,0.0,7468.0,48629.0
1/28/2021,350629.0,0.0,7502.0,56274.0
1/29/2021,352726.0,0.0,7533.0,66582.0
1/30/2021,354473.0,0.0,7569.0,76905.0
1/31/2021,355636.0,0.0,7600.0,82743.0
2/1/2021,356541.0,0.0,7632.0,87039.0
2/2/2021,357483.0,0.0,7650.0,88359.0
2/3/2021,359037.0,0.0,7703.0,91468.0
2/4/2021,360584.0,0.0,7734.0,101425.0
2/5/2021,362084.0,0.0,7769.0,115640.0
2/6/2021,363650.0,0.0,7792.0,129951.0
2/7/2021,364553.0,0.0,7829.0,146335.0
2/8/2021,365529.0,0.0,7874.0,150844.0
2/9/2021,366666.0,0.0,7907.0,154468.0
2/10/2021,367865.0,0.0,7939.0,168844.0
2/11/2021,368977.0,0.0,7966.0,181380.0
2/12/2021,370136.0,0.0,7994.0,197848.0
2/13/2021,370983.0,0.0,8020.0,212923.0
2/14/2021,371705.0,0.0,8054.0,231127.0
2/15/2021,372221.0,0.0,8076.0,231127.0
2/16/2021,372980.0,0.0,8103.0,244272.0
2/17/2021,373966.0,0.0,8130.0,253696.0
2/18/2021,374974.0,0.0,8152.0,265183.0
2/19/2021,375737.0,0.0,8180.0,300029.0
2/20/2021,376355.0,0.0,8206.0,320657.0
2/21/2021,376966.0,0.0,8234.0,342271.0
2/22/2021,377628.0,0.0,8261.0,369686.0
2/23/2021,378490.0,0.0,8274.0,381870.0
2/24/2021,379466.0,0.0,8296.0,398749.0
2/25/2021,380436.0,0.0,8326.0,414970.0
2/26/2021,381272.0,0.0,8341.0,438535.0
2/27/2021,382099.0,0.0,8355.0,463613.0
2/28/2021,382702.0,0.0,8370.0,487671.0
3/1/2021,383170.0,0.0,8381.0,503576.0
3/2/2021,383956.0,0.0,8391.0,513499.0
3/3/2021,384765.0,0.0,8403.0,534605.0
3/4/2021,385678.0,0.0,8411.0,550801.0
3/5/2021,386610.0,0.0,8428.0,568160.0
3/6/2021,387319.0,0.0,8445.0,589659.0
3/7/2021,388035.0,0.0,8461.0,602926.0
3/8/2021,388666.0,0.0,8485.0,628959.0
3/9/2021,389566.0,0.0,8500.0,647080.0
3/10/2021,390490.0,0.0,8519.0,666478.0
3/11/2021,391480.0,0.0,8531.0,688419.0
3/12/2021,391480.0,0.0,8540.0,706296.0
3/13/2021,393441.0,0.0,8556.0,725097.0
3/14/2021,394058.0,0.0,8568.0,740659.0
3/15/2021,394716.0,0.0,8587.0,752735.0
3/16/2021,395633.0,0.0,8609.0,765676.0
3/17/2021,396746.0,0.0,8624.0,782003.0
