Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,31149.0,0.0,453.0,4518.0
1/13/2021,31953.0,0.0,461.0,5182.0
1/14/2021,32779.0,0.0,477.0,5182.0
1/15/2021,33219.0,0.0,507.0,8274.0
1/16/2021,33559.0,0.0,511.0,8274.0
1/17/2021,33876.0,0.0,514.0,8274.0
1/18/2021,34261.0,0.0,519.0,8274.0
1/19/2021,34962.0,0.0,530.0,10018.0
1/20/2021,35637.0,0.0,536.0,10661.0
1/21/2021,36273.0,0.0,540.0,12071.0
1/22/2021,36274.0,0.0,544.0,14893.0
1/23/2021,36787.0,0.0,544.0,17562.0
1/24/2021,37046.0,0.0,547.0,19151.0
1/25/2021,37708.0,0.0,558.0,19873.0
1/26/2021,38170.0,0.0,562.0,20096.0
1/27/2021,38454.0,0.0,568.0,21707.0
1/28/2021,38812.0,0.0,572.0,24925.0
1/29/2021,39166.0,0.0,590.0,28255.0
1/30/2021,39323.0,0.0,590.0,31055.0
1/31/2021,39542.0,0.0,595.0,33121.0
2/1/2021,39959.0,0.0,618.0,34299.0
2/2/2021,40233.0,0.0,627.0,34299.0
2/3/2021,40533.0,0.0,631.0,34299.0
2/4/2021,40797.0,0.0,633.0,36870.0
2/5/2021,41063.0,0.0,634.0,38542.0
2/6/2021,41217.0,0.0,635.0,40806.0
2/7/2021,41418.0,0.0,636.0,44447.0
2/8/2021,41629.0,0.0,639.0,44447.0
2/9/2021,41883.0,0.0,641.0,47770.0
2/10/2021,42058.0,0.0,641.0,49721.0
2/11/2021,42259.0,0.0,643.0,49721.0
2/12/2021,42418.0,0.0,647.0,49721.0
2/13/2021,42528.0,0.0,649.0,49721.0
2/14/2021,42677.0,0.0,649.0,49721.0
2/15/2021,42768.0,0.0,651.0,49721.0
2/16/2021,42871.0,0.0,654.0,64236.0
2/17/2021,43090.0,0.0,655.0,65928.0
2/18/2021,43225.0,0.0,655.0,65928.0
2/19/2021,43366.0,0.0,658.0,75845.0
2/20/2021,43497.0,0.0,658.0,75889.0
2/21/2021,43594.0,0.0,658.0,76101.0
2/22/2021,43736.0,0.0,660.0,92472.0
2/23/2021,43900.0,0.0,677.0,93400.0
2/24/2021,44117.0,0.0,701.0,96565.0
2/25/2021,44296.0,0.0,701.0,96635.0
2/26/2021,44493.0,0.0,702.0,96724.0
2/27/2021,44634.0,0.0,703.0,108382.0
2/28/2021,44763.0,0.0,703.0,108688.0
3/1/2021,44945.0,0.0,703.0,108839.0
3/2/2021,45091.0,0.0,705.0,108916.0
3/3/2021,45227.0,0.0,705.0,108974.0
3/4/2021,45452.0,0.0,704.0,109024.0
3/5/2021,45635.0,0.0,704.0,128080.0
3/6/2021,45792.0,0.0,706.0,134846.0
3/7/2021,45926.0,0.0,706.0,135179.0
3/8/2021,46059.0,0.0,723.0,148712.0
3/9/2021,46254.0,0.0,723.0,152152.0
3/10/2021,46441.0,0.0,723.0,156492.0
3/11/2021,46650.0,0.0,723.0,157423.0
3/12/2021,46856.0,0.0,724.0,172270.0
3/13/2021,47025.0,0.0,724.0,172875.0
3/14/2021,47199.0,0.0,725.0,185511.0
3/15/2021,47388.0,0.0,725.0,190539.0
3/16/2021,47388.0,0.0,725.0,192866.0
3/17/2021,47832.0,0.0,727.0,193048.0
3/18/2021,48072.0,0.0,728.0,193255.0
3/19/2021,48293.0,0.0,728.0,204927.0
3/20/2021,48464.0,0.0,729.0,205315.0
3/21/2021,48643.0,0.0,729.0,205437.0
3/22/2021,48774.0,0.0,731.0,220075.0
3/23/2021,48973.0,0.0,731.0,221699.0
3/24/2021,49191.0,0.0,731.0,221872.0
3/25/2021,49444.0,0.0,731.0,231260.0
3/26/2021,49654.0,0.0,736.0,238772.0
3/27/2021,49653.0,0.0,736.0,247671.0
3/28/2021,50030.0,0.0,736.0,254300.0
3/29/2021,50253.0,0.0,738.0,259329.0
3/30/2021,50504.0,0.0,743.0,260703.0
3/31/2021,50788.0,0.0,743.0,264659.0
4/1/2021,51191.0,0.0,744.0,271683.0
4/2/2021,51470.0,0.0,745.0,283385.0
4/3/2021,51765.0,0.0,745.0,294735.0
4/4/2021,51988.0,0.0,746.0,308141.0
4/5/2021,52278.0,0.0,746.0,318678.0
4/6/2021,52679.0,0.0,747.0,319682.0
4/7/2021,52999.0,0.0,748.0,326099.0
4/8/2021,53438.0,0.0,750.0,336903.0
4/9/2021,53745.0,0.0,750.0,351967.0
4/10/2021,53963.0,0.0,750.0,368643.0
4/11/2021,54258.0,0.0,751.0,369973.0
4/12/2021,54828.0,0.0,753.0,371821.0
4/13/2021,55375.0,0.0,757.0,398430.0
4/14/2021,55953.0,0.0,758.0,404943.0
4/15/2021,56526.0,0.0,763.0,414949.0
4/16/2021,56939.0,0.0,764.0,423789.0
4/17/2021,57285.0,0.0,765.0,432309.0
4/18/2021,57545.0,0.0,767.0,433691.0
4/19/2021,57965.0,0.0,767.0,448292.0
4/20/2021,58466.0,0.0,768.0,451547.0
4/21/2021,58868.0,0.0,769.0,455240.0
4/22/2021,59239.0,0.0,771.0,464656.0
4/23/2021,59612.0,0.0,772.0,476842.0
4/24/2021,59777.0,0.0,772.0,486026.0
4/25/2021,60005.0,0.0,772.0,486986.0
4/26/2021,60430.0,0.0,777.0,487794.0
4/27/2021,60691.0,0.0,778.0,503312.0
4/28/2021,60946.0,0.0,782.0,510245.0
