Dates,Infected,Recovered,Deaths,Vaccinated
1/12/2021,438867.0,0.0,5792.0,9798.0
1/13/2021,440354.0,0.0,5842.0,10426.0
1/14/2021,441935.0,0.0,5885.0,10426.0
1/15/2021,443562.0,0.0,5918.0,27799.0
1/16/2021,445047.0,0.0,5955.0,27799.0
1/17/2021,446380.0,0.0,5995.0,27799.0
1/18/2021,447349.0,0.0,6007.0,27799.0
1/19/2021,448268.0,0.0,6013.0,42116.0
1/20/2021,449492.0,0.0,6047.0,42384.0
1/21/2021,450762.0,0.0,6079.0,46008.0
1/22/2021,452268.0,0.0,6100.0,53940.0
1/23/2021,453808.0,0.0,6131.0,64768.0
1/24/2021,454989.0,0.0,6163.0,67716.0
1/25/2021,455783.0,0.0,6166.0,72266.0
1/26/2021,456490.0,0.0,6174.0,72622.0
1/27/2021,457317.0,0.0,6192.0,75844.0
1/28/2021,458633.0,0.0,6208.0,87269.0
1/29/2021,459747.0,0.0,6236.0,98634.0
1/30/2021,460819.0,0.0,6255.0,107528.0
1/31/2021,461807.0,0.0,6268.0,114255.0
2/1/2021,462528.0,0.0,6270.0,118959.0
2/2/2021,463132.0,0.0,6278.0,119631.0
2/3/2021,463766.0,0.0,6302.0,119631.0
2/4/2021,465176.0,0.0,6319.0,131728.0
2/5/2021,466224.0,0.0,6341.0,131728.0
2/6/2021,467217.0,0.0,6357.0,150576.0
2/7/2021,468118.0,0.0,6367.0,157277.0
2/8/2021,468682.0,0.0,6370.0,160794.0
2/9/2021,469254.0,0.0,6376.0,160794.0
2/10/2021,469905.0,0.0,6387.0,160794.0
2/11/2021,470803.0,0.0,6411.0,176482.0
2/12/2021,471851.0,0.0,6430.0,188872.0
2/13/2021,472791.0,0.0,6437.0,205958.0
2/14/2021,473567.0,0.0,6444.0,224005.0
2/15/2021,474169.0,0.0,6446.0,224005.0
2/16/2021,474621.0,0.0,6448.0,236228.0
2/17/2021,475379.0,0.0,6458.0,240414.0
2/18/2021,476292.0,0.0,6472.0,257283.0
2/19/2021,477287.0,0.0,6480.0,293643.0
2/20/2021,478157.0,0.0,6491.0,321228.0
2/21/2021,479036.0,0.0,6500.0,344300.0
2/22/2021,479591.0,0.0,6501.0,346167.0
2/23/2021,480091.0,0.0,6502.0,366321.0
2/24/2021,480845.0,0.0,6511.0,375311.0
