Dates,Infected,Recovered,Deaths,Vaccinated
3/1/2020,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0
3/3/2020,0.0,0.0,0.0,0.0
3/4/2020,1.0,0.0,0.0,0.0
3/5/2020,1.0,0.0,0.0,0.0
3/6/2020,2.0,0.0,0.0,0.0
3/7/2020,2.0,0.0,0.0,0.0
3/8/2020,4.0,0.0,0.0,0.0
3/9/2020,5.0,0.0,0.0,0.0
3/10/2020,5.0,0.0,0.0,0.0
3/11/2020,7.0,0.0,0.0,0.0
3/12/2020,8.0,0.0,0.0,0.0
3/13/2020,15.0,0.0,0.0,0.0
3/14/2020,26.0,0.0,0.0,0.0
3/15/2020,37.0,0.0,0.0,0.0
3/16/2020,65.0,0.0,0.0,0.0
3/17/2020,110.0,0.0,0.0,0.0
3/18/2020,165.0,0.0,1.0,0.0
3/19/2020,235.0,0.0,1.0,0.0
3/20/2020,336.0,0.0,3.0,0.0
3/21/2020,413.0,0.0,3.0,0.0
3/22/2020,488.0,0.0,5.0,0.0
3/23/2020,660.0,0.0,7.0,0.0
3/24/2020,860.0,0.0,10.0,0.0
3/25/2020,1081.0,0.0,12.0,0.0
3/26/2020,1329.0,0.0,14.0,0.0
3/27/2020,1611.0,0.0,15.0,0.0
3/28/2020,1794.0,0.0,20.0,0.0
3/29/2020,1928.0,0.0,23.0,0.0
3/30/2020,2273.0,0.0,27.0,0.0
3/31/2020,2558.0,0.0,32.0,0.0
4/1/2020,2819.0,0.0,39.0,0.0
4/2/2020,3088.0,0.0,51.0,0.0
4/3/2020,3314.0,0.0,64.0,0.0
4/4/2020,3444.0,0.0,75.0,0.0
4/5/2020,3547.0,0.0,87.0,0.0
4/6/2020,3840.0,0.0,95.0,0.0
4/7/2020,4058.0,0.0,107.0,0.0
4/8/2020,4284.0,0.0,117.0,0.0
4/9/2020,4483.0,0.0,140.0,0.0
4/10/2020,4699.0,0.0,151.0,0.0
4/11/2020,4790.0,0.0,169.0,0.0
4/12/2020,4883.0,0.0,181.0,0.0
4/13/2020,5123.0,0.0,189.0,0.0
4/14/2020,5321.0,0.0,202.0,0.0
4/15/2020,5527.0,0.0,220.0,0.0
4/16/2020,5727.0,0.0,246.0,0.0
4/17/2020,5890.0,0.0,256.0,0.0
4/18/2020,6039.0,0.0,264.0,0.0
4/19/2020,6172.0,0.0,274.0,0.0
4/20/2020,6425.0,0.0,296.0,0.0
4/21/2020,6646.0,0.0,317.0,0.0
4/22/2020,6874.0,0.0,332.0,0.0
4/23/2020,7099.0,0.0,351.0,0.0
4/24/2020,7304.0,0.0,381.0,0.0
4/25/2020,7422.0,0.0,395.0,0.0
4/26/2020,7494.0,0.0,416.0,0.0
4/27/2020,7764.0,0.0,431.0,0.0
4/28/2020,8130.0,0.0,447.0,0.0
4/29/2020,8437.0,0.0,462.0,0.0
4/30/2020,8700.0,0.0,478.0,0.0
5/1/2020,8988.0,0.0,494.0,0.0
5/2/2020,9056.0,0.0,512.0,0.0
5/3/2020,9124.0,0.0,527.0,0.0
5/4/2020,9334.0,0.0,538.0,0.0
5/5/2020,9604.0,0.0,561.0,0.0
5/6/2020,9787.0,0.0,582.0,0.0
5/7/2020,9927.0,0.0,608.0,0.0
5/8/2020,10058.0,0.0,626.0,0.0
5/9/2020,10171.0,0.0,643.0,0.0
5/10/2020,10236.0,0.0,655.0,0.0
5/11/2020,10415.0,0.0,665.0,0.0
5/12/2020,10587.0,0.0,677.0,0.0
5/13/2020,10834.0,0.0,697.0,0.0
5/14/2020,11020.0,0.0,711.0,0.0
5/15/2020,11204.0,0.0,729.0,0.0
5/16/2020,11294.0,0.0,744.0,0.0
